year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1996,1st Quintile,East,,,,,,,,,,,,
1996,2nd Quintile,West,,,,,,,,,,,,
1996,2nd Quintile,East,,,,,,,,,,,,
1996,3rd Quintile,West,,,,,,,,,,,,
1996,3rd Quintile,East,,,,,,,,,,,,
1996,4th Quintile,West,,,,,,,,,,,,
1996,4th Quintile,East,,,,,,,,,,,,
1996,5th Quintile,West,,,,,,,,,,,,
1996,5th Quintile,East,,,,,,,,,,,,
1997,1st Quintile,West,,,,,,,,,,,,
1997,1st Quintile,East,,,,,,,,,,,,
1997,2nd Quintile,West,,,,,,,,,,,,
1997,2nd Quintile,East,,,,,,,,,,,,
1997,3rd Quintile,West,,,,,,,,,,,,
1997,3rd Quintile,East,,,,,,,,,,,,
1997,4th Quintile,West,,,,,,,,,,,,
1997,4th Quintile,East,,,,,,,,,,,,
1997,5th Quintile,West,,,,,,,,,,,,
1997,5th Quintile,East,,,,,,,,,,,,
1998,1st Quintile,West,,,,,,,,,,,,
1998,1st Quintile,East,,,,,,,,,,,,
1998,2nd Quintile,West,,,,,,,,,,,,
1998,2nd Quintile,East,,,,,,,,,,,,
1998,3rd Quintile,West,,,,,,,,,,,,
1998,3rd Quintile,East,,,,,,,,,,,,
1998,4th Quintile,West,,,,,,,,,,,,
1998,4th Quintile,East,,,,,,,,,,,,
1998,5th Quintile,West,,,,,,,,,,,,
1998,5th Quintile,East,,,,,,,,,,,,
1999,1st Quintile,West,,,,,,,,,,,,
1999,1st Quintile,East,,,,,,,,,,,,
1999,2nd Quintile,West,,,,,,,,,,,,
1999,2nd Quintile,East,,,,,,,,,,,,
1999,3rd Quintile,West,,,,,,,,,,,,
1999,3rd Quintile,East,,,,,,,,,,,,
1999,4th Quintile,West,,,,,,,,,,,,
1999,4th Quintile,East,,,,,,,,,,,,
1999,5th Quintile,West,,,,,,,,,,,,
1999,5th Quintile,East,,,,,,,,,,,,
2000,1st Quintile,West,1592,6.1949041583687965,6.068628560425889,6.321179756311704,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
2000,1st Quintile,East,676,6.6170498309151995,6.472344831227809,6.76175483060259,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,2nd Quintile,West,1646,6.49516658513312,6.389596695138178,6.600736475128062,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,2nd Quintile,East,747,7.054320728491772,6.93019109047393,7.178450366509614,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2000,3rd Quintile,West,1622,6.899926526746979,6.802913334994992,6.996939718498966,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2000,3rd Quintile,East,757,7.165420865119682,7.036664923185203,7.294176807054161,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2000,4th Quintile,West,1883,7.089198066949771,7.000523390440891,7.177872743458651,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2000,4th Quintile,East,559,7.340932237423085,7.199848652023777,7.482015822822393,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
2000,5th Quintile,West,2049,7.514515649808558,7.435479696988445,7.593551602628672,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2000,5th Quintile,East,304,7.737982295071356,7.550471442646498,7.925493147496215,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2001,1st Quintile,West,,,,,,,,,,,,
2001,1st Quintile,East,,,,,,,,,,,,
2001,2nd Quintile,West,,,,,,,,,,,,
2001,2nd Quintile,East,,,,,,,,,,,,
2001,3rd Quintile,West,,,,,,,,,,,,
2001,3rd Quintile,East,,,,,,,,,,,,
2001,4th Quintile,West,,,,,,,,,,,,
2001,4th Quintile,East,,,,,,,,,,,,
2001,5th Quintile,West,,,,,,,,,,,,
2001,5th Quintile,East,,,,,,,,,,,,
2002,1st Quintile,West,,,,,,,,,,,,
2002,1st Quintile,East,,,,,,,,,,,,
2002,2nd Quintile,West,,,,,,,,,,,,
2002,2nd Quintile,East,,,,,,,,,,,,
2002,3rd Quintile,West,,,,,,,,,,,,
2002,3rd Quintile,East,,,,,,,,,,,,
2002,4th Quintile,West,,,,,,,,,,,,
2002,4th Quintile,East,,,,,,,,,,,,
2002,5th Quintile,West,,,,,,,,,,,,
2002,5th Quintile,East,,,,,,,,,,,,
2003,1st Quintile,West,,,,,,,,,,,,
2003,1st Quintile,East,,,,,,,,,,,,
2003,2nd Quintile,West,,,,,,,,,,,,
2003,2nd Quintile,East,,,,,,,,,,,,
2003,3rd Quintile,West,,,,,,,,,,,,
2003,3rd Quintile,East,,,,,,,,,,,,
2003,4th Quintile,West,,,,,,,,,,,,
2003,4th Quintile,East,,,,,,,,,,,,
2003,5th Quintile,West,,,,,,,,,,,,
2003,5th Quintile,East,,,,,,,,,,,,
2004,1st Quintile,West,2073,5.837100995494501,5.733749644926901,5.9404523460621,5.0,6.0,8.0,0.5,10.0,6.0,6.0,7.0
2004,1st Quintile,East,933,6.510328604646082,6.380866220736045,6.639790988556119,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,2nd Quintile,West,2400,6.528528136728551,6.443622040435472,6.613434233021629,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,2nd Quintile,East,1048,6.89561851958643,6.778955681290873,7.012281357881986,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,3rd Quintile,West,2603,6.773932407443846,6.695712644601401,6.852152170286291,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,3rd Quintile,East,980,7.169616868772768,7.053542714436646,7.28569102310889,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2004,4th Quintile,West,3178,6.911289664620277,6.839644530934349,6.982934798306205,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2004,4th Quintile,East,878,7.5116317227482075,7.392235639824237,7.631027805672178,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2004,5th Quintile,West,5230,7.5870589325570394,7.536659754809085,7.637458110304994,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2004,5th Quintile,East,738,7.744614525376467,7.607149139160909,7.882079911592025,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2005,1st Quintile,West,,,,,,,,,,,,
2005,1st Quintile,East,,,,,,,,,,,,
2005,2nd Quintile,West,,,,,,,,,,,,
2005,2nd Quintile,East,,,,,,,,,,,,
2005,3rd Quintile,West,,,,,,,,,,,,
2005,3rd Quintile,East,,,,,,,,,,,,
2005,4th Quintile,West,,,,,,,,,,,,
2005,4th Quintile,East,,,,,,,,,,,,
2005,5th Quintile,West,,,,,,,,,,,,
2005,5th Quintile,East,,,,,,,,,,,,
2006,1st Quintile,West,,,,,,,,,,,,
2006,1st Quintile,East,,,,,,,,,,,,
2006,2nd Quintile,West,,,,,,,,,,,,
2006,2nd Quintile,East,,,,,,,,,,,,
2006,3rd Quintile,West,,,,,,,,,,,,
2006,3rd Quintile,East,,,,,,,,,,,,
2006,4th Quintile,West,,,,,,,,,,,,
2006,4th Quintile,East,,,,,,,,,,,,
2006,5th Quintile,West,,,,,,,,,,,,
2006,5th Quintile,East,,,,,,,,,,,,
2007,1st Quintile,West,,,,,,,,,,,,
2007,1st Quintile,East,,,,,,,,,,,,
2007,2nd Quintile,West,,,,,,,,,,,,
2007,2nd Quintile,East,,,,,,,,,,,,
2007,3rd Quintile,West,,,,,,,,,,,,
2007,3rd Quintile,East,,,,,,,,,,,,
2007,4th Quintile,West,,,,,,,,,,,,
2007,4th Quintile,East,,,,,,,,,,,,
2007,5th Quintile,West,,,,,,,,,,,,
2007,5th Quintile,East,,,,,,,,,,,,
2008,1st Quintile,West,1881,6.126910050619328,6.013139318647763,6.240680782590893,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
2008,1st Quintile,East,829,6.848816919996263,6.71038718759214,6.987246652400387,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,2nd Quintile,West,2044,6.7269751672200275,6.632589533044745,6.82136080139531,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,2nd Quintile,East,951,7.1838368101100745,7.066650347360053,7.301023272860096,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2008,3rd Quintile,West,2443,7.046970993234855,6.969016600564017,7.124925385905693,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2008,3rd Quintile,East,1025,7.53013930816303,7.419348145636665,7.640930470689396,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2008,4th Quintile,West,2909,7.178097700654552,7.1062461246672015,7.249949276641903,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2008,4th Quintile,East,735,7.629575851214131,7.5098531965663335,7.749298505861929,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2008,5th Quintile,West,4347,7.837875918752705,7.785903787935318,7.889848049570093,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2008,5th Quintile,East,652,8.05436284309703,7.939415266291085,8.169310419902974,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2009,1st Quintile,West,,,,,,,,,,,,
2009,1st Quintile,East,,,,,,,,,,,,
2009,2nd Quintile,West,,,,,,,,,,,,
2009,2nd Quintile,East,,,,,,,,,,,,
2009,3rd Quintile,West,,,,,,,,,,,,
2009,3rd Quintile,East,,,,,,,,,,,,
2009,4th Quintile,West,,,,,,,,,,,,
2009,4th Quintile,East,,,,,,,,,,,,
2009,5th Quintile,West,,,,,,,,,,,,
2009,5th Quintile,East,,,,,,,,,,,,
2010,1st Quintile,West,,,,,,,,,,,,
2010,1st Quintile,East,,,,,,,,,,,,
2010,2nd Quintile,West,,,,,,,,,,,,
2010,2nd Quintile,East,,,,,,,,,,,,
2010,3rd Quintile,West,,,,,,,,,,,,
2010,3rd Quintile,East,,,,,,,,,,,,
2010,4th Quintile,West,,,,,,,,,,,,
2010,4th Quintile,East,,,,,,,,,,,,
2010,5th Quintile,West,,,,,,,,,,,,
2010,5th Quintile,East,,,,,,,,,,,,
2011,1st Quintile,West,,,,,,,,,,,,
2011,1st Quintile,East,,,,,,,,,,,,
2011,2nd Quintile,West,,,,,,,,,,,,
2011,2nd Quintile,East,,,,,,,,,,,,
2011,3rd Quintile,West,,,,,,,,,,,,
2011,3rd Quintile,East,,,,,,,,,,,,
2011,4th Quintile,West,,,,,,,,,,,,
2011,4th Quintile,East,,,,,,,,,,,,
2011,5th Quintile,West,,,,,,,,,,,,
2011,5th Quintile,East,,,,,,,,,,,,
2012,1st Quintile,West,,,,,,,,,,,,
2012,1st Quintile,East,,,,,,,,,,,,
2012,2nd Quintile,West,,,,,,,,,,,,
2012,2nd Quintile,East,,,,,,,,,,,,
2012,3rd Quintile,West,,,,,,,,,,,,
2012,3rd Quintile,East,,,,,,,,,,,,
2012,4th Quintile,West,,,,,,,,,,,,
2012,4th Quintile,East,,,,,,,,,,,,
2012,5th Quintile,West,,,,,,,,,,,,
2012,5th Quintile,East,,,,,,,,,,,,
2013,1st Quintile,West,,,,,,,,,,,,
2013,1st Quintile,East,,,,,,,,,,,,
2013,2nd Quintile,West,,,,,,,,,,,,
2013,2nd Quintile,East,,,,,,,,,,,,
2013,3rd Quintile,West,,,,,,,,,,,,
2013,3rd Quintile,East,,,,,,,,,,,,
2013,4th Quintile,West,,,,,,,,,,,,
2013,4th Quintile,East,,,,,,,,,,,,
2013,5th Quintile,West,,,,,,,,,,,,
2013,5th Quintile,East,,,,,,,,,,,,
2014,1st Quintile,West,4077,6.590341989879299,6.5123768116883465,6.6683071680702515,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2014,1st Quintile,East,1245,6.95989240249594,6.8315433279414295,7.08824147705045,5.0,8.0,8.0,0.5,10.0,8.0,8.0,9.0
2014,2nd Quintile,West,3818,7.07289215702615,7.002832509759137,7.142951804293163,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
2014,2nd Quintile,East,1168,7.635335345646096,7.5324884880418645,7.738182203250328,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2014,3rd Quintile,West,3748,7.39644151784621,7.333033863219361,7.459849172473058,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
2014,3rd Quintile,East,1015,7.743298440356043,7.630746875286263,7.855850005425824,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2014,4th Quintile,West,4028,7.6476687927840405,7.589442587157998,7.705894998410083,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2014,4th Quintile,East,797,7.843130567233727,7.721651825632648,7.964609308834806,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2014,5th Quintile,West,4573,8.090213604111085,8.04220182767571,8.13822538054646,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2014,5th Quintile,East,591,8.264403395989467,8.14778560873907,8.381021183239863,7.0,8.0,9.0,4.0,10.0,8.0,7.0,8.0
2015,1st Quintile,West,,,,,,,,,,,,
2015,1st Quintile,East,,,,,,,,,,,,
2015,2nd Quintile,West,,,,,,,,,,,,
2015,2nd Quintile,East,,,,,,,,,,,,
2015,3rd Quintile,West,,,,,,,,,,,,
