year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1992,5th Quintile,Rural regions,,,,,,,,,,,,
1993,1st Quintile,Urban regions,1171,6.31531,6.14615,6.47071,5.00000,6.05213,8.00000,0.50000,10.00000,6.00000,5.00000,6.00000
1993,1st Quintile,Rural regions,855,6.29220,6.09349,6.50534,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,6.00000
1993,2nd Quintile,Urban regions,1394,6.63895,6.49251,6.79223,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1993,2nd Quintile,Rural regions,952,6.67143,6.50777,6.84808,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1993,3rd Quintile,Urban regions,1450,6.82960,6.68169,6.96365,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1993,3rd Quintile,Rural regions,837,7.02536,6.86898,7.22610,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
1993,4th Quintile,Urban regions,1641,7.06329,6.94921,7.16982,6.00000,7.00000,9.00000,1.50000,10.00000,7.00000,6.00000,7.00000
1993,4th Quintile,Rural regions,654,6.96376,6.76958,7.15402,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1993,5th Quintile,Urban regions,1720,7.49342,7.38002,7.59602,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
1993,5th Quintile,Rural regions,417,7.32425,7.09835,7.54888,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,9.00000
1994,1st Quintile,Urban regions,,,,,,,,,,,,
1994,1st Quintile,Rural regions,,,,,,,,,,,,
1994,2nd Quintile,Urban regions,,,,,,,,,,,,
1994,2nd Quintile,Rural regions,,,,,,,,,,,,
1994,3rd Quintile,Urban regions,,,,,,,,,,,,
1994,3rd Quintile,Rural regions,,,,,,,,,,,,
1994,4th Quintile,Urban regions,,,,,,,,,,,,
1994,4th Quintile,Rural regions,,,,,,,,,,,,
1994,5th Quintile,Urban regions,,,,,,,,,,,,
1994,5th Quintile,Rural regions,,,,,,,,,,,,
1995,1st Quintile,Urban regions,,,,,,,,,,,,
1995,1st Quintile,Rural regions,,,,,,,,,,,,
1995,2nd Quintile,Urban regions,,,,,,,,,,,,
1995,2nd Quintile,Rural regions,,,,,,,,,,,,
1995,3rd Quintile,Urban regions,,,,,,,,,,,,
1995,3rd Quintile,Rural regions,,,,,,,,,,,,
1995,4th Quintile,Urban regions,,,,,,,,,,,,
1995,4th Quintile,Rural regions,,,,,,,,,,,,
1995,5th Quintile,Urban regions,,,,,,,,,,,,
1995,5th Quintile,Rural regions,,,,,,,,,,,,
1996,1st Quintile,Urban regions,,,,,,,,,,,,
1996,1st Quintile,Rural regions,,,,,,,,,,,,
1996,2nd Quintile,Urban regions,,,,,,,,,,,,
1996,2nd Quintile,Rural regions,,,,,,,,,,,,
1996,3rd Quintile,Urban regions,,,,,,,,,,,,
1996,3rd Quintile,Rural regions,,,,,,,,,,,,
1996,4th Quintile,Urban regions,,,,,,,,,,,,
1996,4th Quintile,Rural regions,,,,,,,,,,,,
1996,5th Quintile,Urban regions,,,,,,,,,,,,
1996,5th Quintile,Rural regions,,,,,,,,,,,,
1997,1st Quintile,Urban regions,,,,,,,,,,,,
1997,1st Quintile,Rural regions,,,,,,,,,,,,
1997,2nd Quintile,Urban regions,,,,,,,,,,,,
1997,2nd Quintile,Rural regions,,,,,,,,,,,,
1997,3rd Quintile,Urban regions,,,,,,,,,,,,
1997,3rd Quintile,Rural regions,,,,,,,,,,,,
1997,4th Quintile,Urban regions,,,,,,,,,,,,
1997,4th Quintile,Rural regions,,,,,,,,,,,,
1997,5th Quintile,Urban regions,,,,,,,,,,,,
1997,5th Quintile,Rural regions,,,,,,,,,,,,
1998,1st Quintile,Urban regions,,,,,,,,,,,,
1998,1st Quintile,Rural regions,,,,,,,,,,,,
1998,2nd Quintile,Urban regions,,,,,,,,,,,,
1998,2nd Quintile,Rural regions,,,,,,,,,,,,
1998,3rd Quintile,Urban regions,,,,,,,,,,,,
1998,3rd Quintile,Rural regions,,,,,,,,,,,,
1998,4th Quintile,Urban regions,,,,,,,,,,,,
1998,4th Quintile,Rural regions,,,,,,,,,,,,
1998,5th Quintile,Urban regions,,,,,,,,,,,,
1998,5th Quintile,Rural regions,,,,,,,,,,,,
1999,1st Quintile,Urban regions,,,,,,,,,,,,
1999,1st Quintile,Rural regions,,,,,,,,,,,,
1999,2nd Quintile,Urban regions,,,,,,,,,,,,
1999,2nd Quintile,Rural regions,,,,,,,,,,,,
1999,3rd Quintile,Urban regions,,,,,,,,,,,,
1999,3rd Quintile,Rural regions,,,,,,,,,,,,
1999,4th Quintile,Urban regions,,,,,,,,,,,,
1999,4th Quintile,Rural regions,,,,,,,,,,,,
1999,5th Quintile,Urban regions,,,,,,,,,,,,
1999,5th Quintile,Rural regions,,,,,,,,,,,,
2000,1st Quintile,Urban regions,1446,6.14818,5.97381,6.31179,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,6.00000
2000,1st Quintile,Rural regions,822,6.61185,6.43673,6.81377,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,2nd Quintile,Urban regions,1523,6.66575,6.54493,6.78637,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,2nd Quintile,Rural regions,870,6.58985,6.43854,6.81308,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,3rd Quintile,Urban regions,1447,6.92026,6.80715,7.05742,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2000,3rd Quintile,Rural regions,932,7.05857,6.92580,7.17851,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2000,4th Quintile,Urban regions,1647,7.17359,7.06413,7.28446,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2000,4th Quintile,Rural regions,795,7.02263,6.81310,7.22377,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2000,5th Quintile,Urban regions,1740,7.52600,7.42590,7.63326,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2000,5th Quintile,Rural regions,613,7.56258,7.40024,7.77576,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2001,1st Quintile,Urban regions,,,,,,,,,,,,
2001,1st Quintile,Rural regions,,,,,,,,,,,,
2001,2nd Quintile,Urban regions,,,,,,,,,,,,
2001,2nd Quintile,Rural regions,,,,,,,,,,,,
2001,3rd Quintile,Urban regions,,,,,,,,,,,,
2001,3rd Quintile,Rural regions,,,,,,,,,,,,
2001,4th Quintile,Urban regions,,,,,,,,,,,,
2001,4th Quintile,Rural regions,,,,,,,,,,,,
2001,5th Quintile,Urban regions,,,,,,,,,,,,
2001,5th Quintile,Rural regions,,,,,,,,,,,,
2002,1st Quintile,Urban regions,,,,,,,,,,,,
2002,1st Quintile,Rural regions,,,,,,,,,,,,
2002,2nd Quintile,Urban regions,,,,,,,,,,,,
2002,2nd Quintile,Rural regions,,,,,,,,,,,,
2002,3rd Quintile,Urban regions,,,,,,,,,,,,
2002,3rd Quintile,Rural regions,,,,,,,,,,,,
2002,4th Quintile,Urban regions,,,,,,,,,,,,
2002,4th Quintile,Rural regions,,,,,,,,,,,,
2002,5th Quintile,Urban regions,,,,,,,,,,,,
2002,5th Quintile,Rural regions,,,,,,,,,,,,
2003,1st Quintile,Urban regions,,,,,,,,,,,,
2003,1st Quintile,Rural regions,,,,,,,,,,,,
2003,2nd Quintile,Urban regions,,,,,,,,,,,,
2003,2nd Quintile,Rural regions,,,,,,,,,,,,
2003,3rd Quintile,Urban regions,,,,,,,,,,,,
2003,3rd Quintile,Rural regions,,,,,,,,,,,,
2003,4th Quintile,Urban regions,,,,,,,,,,,,
2003,4th Quintile,Rural regions,,,,,,,,,,,,
2003,5th Quintile,Urban regions,,,,,,,,,,,,
2003,5th Quintile,Rural regions,,,,,,,,,,,,
2004,1st Quintile,Urban regions,1919,5.86226,5.73471,5.98726,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,6.00000
2004,1st Quintile,Rural regions,1087,6.26251,6.07912,6.40580,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,6.00000
2004,2nd Quintile,Urban regions,2118,6.48011,6.36527,6.58616,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,2nd Quintile,Rural regions,1330,6.84665,6.72670,6.98305,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,3rd Quintile,Urban regions,2333,6.75343,6.64443,6.85378,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,3rd Quintile,Rural regions,1250,7.07616,6.95719,7.17642,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2004,4th Quintile,Urban regions,2657,6.98943,6.90770,7.10306,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2004,4th Quintile,Rural regions,1399,7.04012,6.89012,7.17745,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2004,5th Quintile,Urban regions,4470,7.60544,7.53281,7.68342,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2004,5th Quintile,Rural regions,1498,7.58435,7.43174,7.70016,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2005,1st Quintile,Urban regions,,,,,,,,,,,,
2005,1st Quintile,Rural regions,,,,,,,,,,,,
2005,2nd Quintile,Urban regions,,,,,,,,,,,,
2005,2nd Quintile,Rural regions,,,,,,,,,,,,
2005,3rd Quintile,Urban regions,,,,,,,,,,,,
2005,3rd Quintile,Rural regions,,,,,,,,,,,,
2005,4th Quintile,Urban regions,,,,,,,,,,,,
2005,4th Quintile,Rural regions,,,,,,,,,,,,
2005,5th Quintile,Urban regions,,,,,,,,,,,,
2005,5th Quintile,Rural regions,,,,,,,,,,,,
2006,1st Quintile,Urban regions,,,,,,,,,,,,
2006,1st Quintile,Rural regions,,,,,,,,,,,,
2006,2nd Quintile,Urban regions,,,,,,,,,,,,
2006,2nd Quintile,Rural regions,,,,,,,,,,,,
2006,3rd Quintile,Urban regions,,,,,,,,,,,,
2006,3rd Quintile,Rural regions,,,,,,,,,,,,
2006,4th Quintile,Urban regions,,,,,,,,,,,,
2006,4th Quintile,Rural regions,,,,,,,,,,,,
2006,5th Quintile,Urban regions,,,,,,,,,,,,
2006,5th Quintile,Rural regions,,,,,,,,,,,,
2007,1st Quintile,Urban regions,,,,,,,,,,,,
2007,1st Quintile,Rural regions,,,,,,,,,,,,
2007,2nd Quintile,Urban regions,,,,,,,,,,,,
2007,2nd Quintile,Rural regions,,,,,,,,,,,,
2007,3rd Quintile,Urban regions,,,,,,,,,,,,
2007,3rd Quintile,Rural regions,,,,,,,,,,,,
2007,4th Quintile,Urban regions,,,,,,,,,,,,
2007,4th Quintile,Rural regions,,,,,,,,,,,,
2007,5th Quintile,Urban regions,,,,,,,,,,,,
2007,5th Quintile,Rural regions,,,,,,,,,,,,
2008,1st Quintile,Urban regions,1729,6.22105,6.07016,6.36248,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
2008,1st Quintile,Rural regions,981,6.45264,6.29821,6.70548,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2008,2nd Quintile,Urban regions,1797,6.74603,6.61669,6.87698,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2008,2nd Quintile,Rural regions,1198,6.97893,6.81914,7.15832,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2008,3rd Quintile,Urban regions,2114,7.07183,6.95343,7.16216,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,6.00000,7.00000
2008,3rd Quintile,Rural regions,1354,7.30553,7.16399,7.43212,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,9.00000
2008,4th Quintile,Urban regions,2432,7.23962,7.13093,7.34206,6.00000,8.00000,8.05311,2.92034,10.00000,8.00000,8.00000,8.00000
