year,hhtyp,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,A Bit Too Small,0.10099,40,297,0.06666,0.13531
1984,Single-person household,1st Quintile,Just Right,0.79377,257,297,0.74767,0.83986
1984,Single-person household,2nd Quintile,Just Right,0.78261,178,178,0.72184,0.84337
1984,Single-person household,3rd Quintile,Just Right,0.76009,177,177,0.69700,0.82318
1984,Single-person household,4th Quintile,Just Right,0.68599,164,164,0.61474,0.75724
1984,Single-person household,5th Quintile,Just Right,0.71711,165,165,0.64817,0.78604
1984,Couple without children,1st Quintile,Just Right,0.82818,135,135,0.76431,0.89205
1984,Couple without children,2nd Quintile,Just Right,0.84029,170,170,0.78506,0.89553
1984,Couple without children,3rd Quintile,Just Right,0.79902,204,204,0.74390,0.85415
1984,Couple without children,4th Quintile,A Bit Too Small,0.12106,39,275,0.08243,0.15968
1984,Couple without children,4th Quintile,Just Right,0.79177,236,275,0.74369,0.83985
1984,Couple without children,5th Quintile,A Bit Too Small,0.12466,57,381,0.09144,0.15787
1984,Couple without children,5th Quintile,Just Right,0.77206,324,381,0.72988,0.81424
1984,Single parent,1st Quintile,Just Right,0.70440,86,86,0.60739,0.80141
1984,Single parent,2nd Quintile,Just Right,0.74151,51,51,0.62016,0.86287
1984,Single parent,3rd Quintile,Just Right,0.82852,44,44,0.71586,0.94118
1984,Single parent,4th Quintile,Just Right,0.85169,35,35,0.73222,0.97116
1984,Couple with children,1st Quintile,Much Too Small,0.07957,48,520,0.05628,0.10285
1984,Couple with children,1st Quintile,A Bit Too Small,0.19227,116,520,0.15836,0.22617
1984,Couple with children,1st Quintile,Just Right,0.69146,356,520,0.65173,0.73120
1984,Couple with children,2nd Quintile,Much Too Small,0.04644,40,605,0.02966,0.06322
1984,Couple with children,2nd Quintile,A Bit Too Small,0.20915,150,605,0.17672,0.24159
1984,Couple with children,2nd Quintile,Just Right,0.69936,415,605,0.66280,0.73593
1984,Couple with children,3rd Quintile,A Bit Too Small,0.18648,124,525,0.15313,0.21983
1984,Couple with children,3rd Quintile,Just Right,0.71682,401,525,0.67824,0.75539
1984,Couple with children,4th Quintile,A Bit Too Small,0.14012,89,498,0.10960,0.17064
1984,Couple with children,4th Quintile,Just Right,0.77682,409,498,0.74021,0.81343
1984,Couple with children,5th Quintile,A Bit Too Small,0.10873,44,318,0.07446,0.14300
1984,Couple with children,5th Quintile,Just Right,0.79853,274,318,0.75437,0.84268
1985,Single-person household,1st Quintile,A Bit Too Small,0.09078,35,265,0.05612,0.12543
1985,Single-person household,1st Quintile,Just Right,0.78950,230,265,0.74032,0.83868
1985,Single-person household,2nd Quintile,Just Right,0.77270,156,156,0.70672,0.83868
1985,Single-person household,3rd Quintile,Just Right,0.84894,171,171,0.79511,0.90278
1985,Single-person household,4th Quintile,Just Right,0.68553,155,155,0.61219,0.75886
1985,Single-person household,5th Quintile,Just Right,0.68768,133,133,0.60861,0.76674
1985,Couple without children,1st Quintile,Just Right,0.88113,113,113,0.82119,0.94106
1985,Couple without children,2nd Quintile,Just Right,0.83440,163,163,0.77716,0.89164
1985,Couple without children,3rd Quintile,Just Right,0.82083,177,177,0.76418,0.87749
1985,Couple without children,4th Quintile,Just Right,0.80779,230,230,0.75675,0.85882
1985,Couple without children,5th Quintile,A Bit Too Small,0.08504,40,377,0.05685,0.11324
1985,Couple without children,5th Quintile,Just Right,0.77323,297,377,0.73090,0.81555
1985,Couple without children,5th Quintile,A Bit Too Large,0.11443,40,377,0.08226,0.14661
1985,Single parent,1st Quintile,Just Right,0.71047,72,72,0.60498,0.81597
1985,Single parent,2nd Quintile,Just Right,0.62075,40,40,0.46847,0.77303
1985,Single parent,3rd Quintile,Just Right,0.83075,44,44,0.71867,0.94282
1985,Couple with children,1st Quintile,Much Too Small,0.07742,43,468,0.05318,0.10165
1985,Couple with children,1st Quintile,A Bit Too Small,0.17048,103,468,0.13637,0.20459
1985,Couple with children,1st Quintile,Just Right,0.70352,322,468,0.66209,0.74494
1985,Couple with children,2nd Quintile,A Bit Too Small,0.22851,131,510,0.19203,0.26498
1985,Couple with children,2nd Quintile,Just Right,0.68902,379,510,0.64880,0.72923
1985,Couple with children,3rd Quintile,A Bit Too Small,0.14430,96,490,0.11316,0.17545
1985,Couple with children,3rd Quintile,Just Right,0.75533,394,490,0.71723,0.79343
1985,Couple with children,4th Quintile,A Bit Too Small,0.13995,74,412,0.10641,0.17349
1985,Couple with children,4th Quintile,Just Right,0.75727,338,412,0.71582,0.79872
1985,Couple with children,5th Quintile,A Bit Too Small,0.10315,40,304,0.06890,0.13740
1985,Couple with children,5th Quintile,Just Right,0.82246,264,304,0.77944,0.86549
1986,Single-person household,1st Quintile,A Bit Too Small,0.11845,41,251,0.07839,0.15850
1986,Single-person household,1st Quintile,Just Right,0.77633,210,251,0.72468,0.82799
1986,Single-person household,2nd Quintile,Just Right,0.79310,143,143,0.72647,0.85972
1986,Single-person household,3rd Quintile,Just Right,0.75916,155,155,0.69163,0.82670
1986,Single-person household,4th Quintile,Just Right,0.74928,159,159,0.68169,0.81686
1986,Single-person household,5th Quintile,Just Right,0.67237,123,123,0.58909,0.75566
1986,Couple without children,1st Quintile,Just Right,0.86763,124,124,0.80774,0.92752
1986,Couple without children,2nd Quintile,Just Right,0.84952,157,157,0.79341,0.90562
1986,Couple without children,3rd Quintile,Just Right,0.81339,168,168,0.75430,0.87248
1986,Couple without children,4th Quintile,A Bit Too Small,0.09760,31,259,0.06139,0.13382
1986,Couple without children,4th Quintile,Just Right,0.76575,228,259,0.71407,0.81743
1986,Couple without children,5th Quintile,A Bit Too Small,0.10131,36,369,0.07048,0.13214
1986,Couple without children,5th Quintile,Just Right,0.77157,297,369,0.72868,0.81446
1986,Couple without children,5th Quintile,A Bit Too Large,0.11219,36,369,0.07994,0.14443
1986,Single parent,1st Quintile,Just Right,0.73313,72,72,0.63024,0.83602
1986,Single parent,2nd Quintile,Just Right,0.74688,41,41,0.61213,0.88162
1986,Single parent,3rd Quintile,Just Right,0.79682,44,44,0.67655,0.91709
1986,Couple with children,1st Quintile,A Bit Too Small,0.19720,92,376,0.15693,0.23747
1986,Couple with children,1st Quintile,Just Right,0.69336,284,376,0.64669,0.74003
1986,Couple with children,2nd Quintile,A Bit Too Small,0.15013,100,500,0.11879,0.18147
1986,Couple with children,2nd Quintile,Just Right,0.76625,400,500,0.72911,0.80338
1986,Couple with children,3rd Quintile,A Bit Too Small,0.18237,101,463,0.14716,0.21758
1986,Couple with children,3rd Quintile,Just Right,0.72300,362,463,0.68219,0.76381
