year,quintil_oecd_hh,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Much Too Small,0.03901,74,1202,0.02806,0.04996
1984,1st Quintile,West,A Bit Too Small,0.13167,205,1202,0.11255,0.15080
1984,1st Quintile,West,Just Right,0.75799,866,1202,0.73377,0.78222
1984,1st Quintile,West,A Bit Too Large,0.06306,57,1202,0.04931,0.07680
1984,2nd Quintile,West,Much Too Small,0.02417,53,1187,0.01543,0.03291
1984,2nd Quintile,West,A Bit Too Small,0.12391,208,1187,0.10516,0.14266
1984,2nd Quintile,West,Just Right,0.76349,858,1187,0.73931,0.78768
1984,2nd Quintile,West,A Bit Too Large,0.07699,68,1187,0.06182,0.09216
1984,3rd Quintile,West,Much Too Small,0.02222,39,1165,0.01375,0.03069
1984,3rd Quintile,West,A Bit Too Small,0.13597,196,1165,0.11628,0.15566
1984,3rd Quintile,West,Just Right,0.74954,852,1165,0.72465,0.77443
1984,3rd Quintile,West,A Bit Too Large,0.08218,78,1165,0.06640,0.09795
1984,4th Quintile,West,Much Too Small,0.01940,31,1171,0.01150,0.02731
1984,4th Quintile,West,A Bit Too Small,0.12306,168,1171,0.10424,0.14189
1984,4th Quintile,West,Just Right,0.75781,892,1171,0.73326,0.78236
1984,4th Quintile,West,A Bit Too Large,0.08510,80,1171,0.06911,0.10109
1984,5th Quintile,West,A Bit Too Small,0.11032,134,1033,0.09120,0.12943
1984,5th Quintile,West,Just Right,0.76489,820,1033,0.73902,0.79077
1984,5th Quintile,West,A Bit Too Large,0.08693,79,1033,0.06974,0.10412
1985,1st Quintile,West,Much Too Small,0.03762,66,1064,0.02618,0.04906
1985,1st Quintile,West,A Bit Too Small,0.12202,183,1064,0.10234,0.14169
1985,1st Quintile,West,Just Right,0.76897,770,1064,0.74363,0.79431
1985,1st Quintile,West,A Bit Too Large,0.05847,45,1064,0.04436,0.07257
1985,2nd Quintile,West,Much Too Small,0.02210,39,1057,0.01323,0.03097
1985,2nd Quintile,West,A Bit Too Small,0.14093,183,1057,0.11994,0.16191
1985,2nd Quintile,West,Just Right,0.75018,782,1057,0.72407,0.77629
1985,2nd Quintile,West,A Bit Too Large,0.06731,53,1057,0.05219,0.08242
1985,3rd Quintile,West,Much Too Small,0.01867,33,1068,0.01055,0.02679
1985,3rd Quintile,West,A Bit Too Small,0.09727,147,1068,0.07949,0.11505
1985,3rd Quintile,West,Just Right,0.80474,827,1068,0.78096,0.82853
1985,3rd Quintile,West,A Bit Too Large,0.06621,61,1068,0.05129,0.08113
1985,4th Quintile,West,A Bit Too Small,0.10701,135,1002,0.08786,0.12616
1985,4th Quintile,West,Just Right,0.75087,781,1002,0.72408,0.77767
1985,4th Quintile,West,A Bit Too Large,0.10254,86,1002,0.08374,0.12133
1985,5th Quintile,West,A Bit Too Small,0.09620,110,945,0.07739,0.11501
1985,5th Quintile,West,Just Right,0.76000,744,945,0.73276,0.78725
1985,5th Quintile,West,A Bit Too Large,0.10569,91,945,0.08607,0.12530
1986,1st Quintile,West,Much Too Small,0.03425,50,977,0.02284,0.04566
1986,1st Quintile,West,A Bit Too Small,0.13291,171,977,0.11161,0.15420
1986,1st Quintile,West,Just Right,0.76843,722,977,0.74196,0.79489
1986,1st Quintile,West,A Bit Too Large,0.04720,34,977,0.03390,0.06051
1986,2nd Quintile,West,A Bit Too Small,0.09715,138,984,0.07864,0.11566
1986,2nd Quintile,West,Just Right,0.79556,787,984,0.77035,0.82077
1986,2nd Quintile,West,A Bit Too Large,0.07624,59,984,0.05965,0.09283
1986,3rd Quintile,West,Much Too Small,0.02174,34,1018,0.01278,0.03070
1986,3rd Quintile,West,A Bit Too Small,0.12838,159,1018,0.10782,0.14894
1986,3rd Quintile,West,Just Right,0.75881,767,1018,0.73252,0.78511
1986,3rd Quintile,West,A Bit Too Large,0.07238,58,1018,0.05645,0.08830
1986,4th Quintile,West,A Bit Too Small,0.10404,125,982,0.08493,0.12314
1986,4th Quintile,West,Just Right,0.77260,782,982,0.74637,0.79883
1986,4th Quintile,West,A Bit Too Large,0.08650,75,982,0.06891,0.10409
1986,5th Quintile,West,A Bit Too Small,0.10803,105,925,0.08801,0.12805
1986,5th Quintile,West,Just Right,0.74084,722,925,0.71259,0.76909
1986,5th Quintile,West,A Bit Too Large,0.11926,98,925,0.09836,0.14015
1987,1st Quintile,West,Much Too Small,0.03116,37,936,0.02003,0.04230
1987,1st Quintile,West,A Bit Too Small,0.12645,168,936,0.10515,0.14776
1987,1st Quintile,West,Just Right,0.76089,683,936,0.73355,0.78823
1987,1st Quintile,West,A Bit Too Large,0.06703,48,936,0.05100,0.08305
1987,2nd Quintile,West,A Bit Too Small,0.10089,135,971,0.08194,0.11985
1987,2nd Quintile,West,Just Right,0.80515,780,971,0.78022,0.83008
1987,2nd Quintile,West,A Bit Too Large,0.07065,56,971,0.05453,0.08678
1987,3rd Quintile,West,A Bit Too Small,0.10819,141,993,0.08886,0.12752
1987,3rd Quintile,West,Just Right,0.79303,798,993,0.76782,0.81824
1987,3rd Quintile,West,A Bit Too Large,0.06364,54,993,0.04845,0.07883
1987,4th Quintile,West,A Bit Too Small,0.11452,130,991,0.09469,0.13436
1987,4th Quintile,West,Just Right,0.77148,787,991,0.74532,0.79763
1987,4th Quintile,West,A Bit Too Large,0.08424,74,991,0.06693,0.10154
1987,5th Quintile,West,A Bit Too Small,0.09132,91,924,0.07274,0.10990
1987,5th Quintile,West,Just Right,0.76152,736,924,0.73403,0.78901
1987,5th Quintile,West,A Bit Too Large,0.12351,97,924,0.10229,0.14474
1988,1st Quintile,West,Much Too Small,0.02262,33,933,0.01307,0.03217
1988,1st Quintile,West,A Bit Too Small,0.12853,159,933,0.10705,0.15002
1988,1st Quintile,West,Just Right,0.78380,703,933,0.75737,0.81023
1988,1st Quintile,West,A Bit Too Large,0.05578,38,933,0.04104,0.07051
1988,2nd Quintile,West,Much Too Small,0.01867,31,958,0.01010,0.02725
1988,2nd Quintile,West,A Bit Too Small,0.09562,122,958,0.07698,0.11425
1988,2nd Quintile,West,Just Right,0.81096,753,958,0.78615,0.83577
