year,quintil_oecd_hh,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Much Too Small,0.05020,63,800,0.03506,0.06534
1985,1st Quintile,Urban regions,A Bit Too Small,0.13412,155,800,0.11049,0.15775
1985,1st Quintile,Urban regions,Just Right,0.75467,582,800,0.72484,0.78451
1985,1st Quintile,Rural regions,Just Right,0.80711,188,188,0.75055,0.86366
1985,2nd Quintile,Urban regions,Much Too Small,0.02126,33,826,0.01141,0.03110
1985,2nd Quintile,Urban regions,A Bit Too Small,0.14899,152,826,0.12470,0.17329
1985,2nd Quintile,Urban regions,Just Right,0.74927,607,826,0.71970,0.77885
1985,2nd Quintile,Urban regions,A Bit Too Large,0.05918,34,826,0.04308,0.07529
1985,2nd Quintile,Rural regions,A Bit Too Small,0.11549,31,206,0.07174,0.15925
1985,2nd Quintile,Rural regions,Just Right,0.75304,175,206,0.69400,0.81207
1985,3rd Quintile,Urban regions,A Bit Too Small,0.10482,124,816,0.08379,0.12585
1985,3rd Quintile,Urban regions,Just Right,0.80532,650,816,0.77814,0.83251
1985,3rd Quintile,Urban regions,A Bit Too Large,0.05774,42,816,0.04173,0.07376
1985,3rd Quintile,Rural regions,Just Right,0.80294,177,177,0.74417,0.86171
1985,4th Quintile,Urban regions,A Bit Too Small,0.11132,117,831,0.08992,0.13272
1985,4th Quintile,Urban regions,Just Right,0.75473,648,831,0.72546,0.78400
1985,4th Quintile,Urban regions,A Bit Too Large,0.09540,66,831,0.07542,0.11539
1985,4th Quintile,Rural regions,Just Right,0.73361,133,133,0.65820,0.80903
1985,5th Quintile,Urban regions,A Bit Too Small,0.10550,97,763,0.08369,0.12731
1985,5th Quintile,Urban regions,Just Right,0.75574,597,763,0.72523,0.78625
1985,5th Quintile,Urban regions,A Bit Too Large,0.09838,69,763,0.07723,0.11952
1985,5th Quintile,Rural regions,Just Right,0.77695,147,147,0.70942,0.84447
1986,1st Quintile,Urban regions,Much Too Small,0.04135,45,753,0.02712,0.05558
1986,1st Quintile,Urban regions,A Bit Too Small,0.13477,138,753,0.11037,0.15918
1986,1st Quintile,Urban regions,Just Right,0.76930,570,753,0.73919,0.79941
1986,1st Quintile,Rural regions,A Bit Too Small,0.12727,33,185,0.07911,0.17542
1986,1st Quintile,Rural regions,Just Right,0.76580,152,185,0.70461,0.82699
1986,2nd Quintile,Urban regions,A Bit Too Small,0.11447,121,759,0.09181,0.13714
1986,2nd Quintile,Urban regions,Just Right,0.78607,599,759,0.75688,0.81527
1986,2nd Quintile,Urban regions,A Bit Too Large,0.06664,39,759,0.04889,0.08439
1986,2nd Quintile,Rural regions,Just Right,0.82327,188,188,0.76860,0.87794
1986,3rd Quintile,Urban regions,A Bit Too Small,0.14502,142,789,0.12043,0.16960
1986,3rd Quintile,Urban regions,Just Right,0.76106,612,789,0.73129,0.79084
1986,3rd Quintile,Urban regions,A Bit Too Large,0.05256,35,789,0.03698,0.06814
1986,3rd Quintile,Rural regions,Just Right,0.75069,155,155,0.68236,0.81902
1986,4th Quintile,Urban regions,A Bit Too Small,0.10726,104,796,0.08575,0.12877
1986,4th Quintile,Urban regions,Just Right,0.78114,639,796,0.75240,0.80989
