year,bula_h,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Just Right,0.65502,132,132,0.57362,0.73643
1984,Hamburg,West,A Bit Too Small,0.18245,34,151,0.12064,0.24425
1984,Hamburg,West,Just Right,0.72236,117,151,0.65069,0.79403
1984,Lower Saxony,West,A Bit Too Small,0.10528,77,565,0.07995,0.13061
1984,Lower Saxony,West,Just Right,0.77848,448,565,0.74421,0.81276
1984,Lower Saxony,West,A Bit Too Large,0.07475,40,565,0.05304,0.09645
1984,Bremen,West,Just Right,0.81021,59,59,0.70929,0.91113
1984,North Rhine-Westphalia,West,Much Too Small,0.02426,65,1576,0.01666,0.03185
1984,North Rhine-Westphalia,West,A Bit Too Small,0.13034,256,1576,0.11371,0.14697
1984,North Rhine-Westphalia,West,Just Right,0.75418,1158,1576,0.73291,0.77544
1984,North Rhine-Westphalia,West,A Bit Too Large,0.07796,97,1576,0.06472,0.09120
1984,Hesse,West,A Bit Too Small,0.09998,89,521,0.07419,0.12576
1984,Hesse,West,Just Right,0.79304,432,521,0.75821,0.82786
1984,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.07280,39,373,0.04640,0.09920
1984,"Rhineland-Palatinate, Saarland",West,Just Right,0.75728,292,373,0.71372,0.80085
1984,"Rhineland-Palatinate, Saarland",West,A Bit Too Large,0.12203,42,373,0.08877,0.15529
1984,Baden-Wuerttemberg,West,Much Too Small,0.02220,39,1045,0.01327,0.03114
1984,Baden-Wuerttemberg,West,A Bit Too Small,0.11347,163,1045,0.09423,0.13271
1984,Baden-Wuerttemberg,West,Just Right,0.78084,792,1045,0.75574,0.80593
1984,Baden-Wuerttemberg,West,A Bit Too Large,0.07229,51,1045,0.05658,0.08800
1984,Bavaria,West,A Bit Too Small,0.14379,161,948,0.12145,0.16614
1984,Bavaria,West,Just Right,0.76053,731,948,0.73335,0.78771
1984,Bavaria,West,A Bit Too Large,0.06695,56,948,0.05104,0.08287
1984,Berlin,West,A Bit Too Small,0.21062,58,200,0.15396,0.26727
1984,Berlin,West,Just Right,0.69175,142,200,0.62759,0.75591
1985,Schleswig-Holstein,West,Just Right,0.74210,133,133,0.66747,0.81674
1985,Hamburg,West,A Bit Too Small,0.19643,37,140,0.13038,0.26248
1985,Hamburg,West,Just Right,0.68206,103,140,0.60464,0.75947
1985,Lower Saxony,West,A Bit Too Small,0.07477,47,502,0.05173,0.09780
1985,Lower Saxony,West,Just Right,0.78964,407,502,0.75395,0.82533
1985,Lower Saxony,West,A Bit Too Large,0.10888,48,502,0.08160,0.13615
1985,Bremen,West,Just Right,0.83561,50,50,0.73183,0.93938
1985,North Rhine-Westphalia,West,Much Too Small,0.02599,54,1403,0.01766,0.03431
1985,North Rhine-Westphalia,West,A Bit Too Small,0.12520,222,1403,0.10788,0.14253
1985,North Rhine-Westphalia,West,Just Right,0.75890,1049,1403,0.73651,0.78129
1985,North Rhine-Westphalia,West,A Bit Too Large,0.06845,78,1403,0.05523,0.08166
1985,Hesse,West,A Bit Too Small,0.11448,89,468,0.08560,0.14335
1985,Hesse,West,Just Right,0.76276,379,468,0.72418,0.80134
1985,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.07737,34,305,0.04733,0.10740
1985,"Rhineland-Palatinate, Saarland",West,Just Right,0.78397,271,305,0.73771,0.83024
1985,Baden-Wuerttemberg,West,A Bit Too Small,0.09308,124,898,0.07407,0.11210
1985,Baden-Wuerttemberg,West,Just Right,0.79975,727,898,0.77356,0.82594
1985,Baden-Wuerttemberg,West,A Bit Too Large,0.06710,47,898,0.05073,0.08348
1985,Bavaria,West,A Bit Too Small,0.12491,137,853,0.10271,0.14711
