year,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Much Too Small,0.02341,218,5857,0.01954,0.02728
1984,West,A Bit Too Small,0.12502,914,5857,0.11655,0.13349
1984,West,Just Right,0.75873,4303,5857,0.74777,0.76969
1984,West,A Bit Too Large,0.07867,363,5857,0.07178,0.08557
1984,West,Much Too Large,0.01334,59,5857,0.01040,0.01628
1985,West,Much Too Small,0.02268,183,5238,0.01865,0.02671
1985,West,A Bit Too Small,0.11264,759,5238,0.10408,0.12121
1985,West,Just Right,0.76693,3909,5238,0.75548,0.77838
1985,West,A Bit Too Large,0.07994,336,5238,0.07260,0.08729
1985,West,Much Too Large,0.01211,51,5238,0.00915,0.01507
1986,West,Much Too Small,0.01965,148,4994,0.01580,0.02350
1986,West,A Bit Too Small,0.11426,699,4994,0.10544,0.12309
1986,West,Just Right,0.76717,3783,4994,0.75545,0.77889
1986,West,A Bit Too Large,0.08024,324,4994,0.07271,0.08778
1986,West,Much Too Large,0.01051,40,4994,0.00768,0.01333
1987,West,Much Too Small,0.01693,123,4939,0.01333,0.02053
1987,West,A Bit Too Small,0.10822,665,4939,0.09956,0.11689
1987,West,Just Right,0.77823,3786,4939,0.76664,0.78981
1987,West,A Bit Too Large,0.08207,330,4939,0.07442,0.08973
1987,West,Much Too Large,0.00819,35,4939,0.00567,0.01070
1988,West,Much Too Small,0.01632,117,4714,0.01270,0.01993
1988,West,A Bit Too Small,0.10691,614,4714,0.09809,0.11574
1988,West,Just Right,0.78319,3668,4714,0.77142,0.79495
1988,West,A Bit Too Large,0.08076,315,4714,0.07298,0.08853
1989,West,Much Too Small,0.01597,114,4594,0.01234,0.01959
1989,West,A Bit Too Small,0.10566,592,4594,0.09677,0.11455
1989,West,Just Right,0.78359,3573,4594,0.77168,0.79550
1989,West,A Bit Too Large,0.08108,315,4594,0.07319,0.08897
1990,West,Much Too Small,0.01561,113,4531,0.01200,0.01922
1990,West,A Bit Too Small,0.10775,570,4531,0.09873,0.11678
1990,West,Just Right,0.78544,3553,4531,0.77349,0.79740
1990,West,A Bit Too Large,0.07610,295,4531,0.06838,0.08382
1990,East,Much Too Small,0.06099,152,2134,0.05083,0.07114
1990,East,A Bit Too Small,0.21156,521,2134,0.19423,0.22889
1990,East,Just Right,0.66664,1375,2134,0.64663,0.68665
1990,East,A Bit Too Large,0.04746,86,2134,0.03844,0.05648
1991,West,Much Too Small,0.02225,167,4499,0.01794,0.02656
1991,West,A Bit Too Small,0.14874,799,4499,0.13834,0.15913
1991,West,Just Right,0.71279,3226,4499,0.69957,0.72601
1991,West,A Bit Too Large,0.08289,307,4499,0.07483,0.09095
1991,East,Much Too Small,0.03990,93,1958,0.03123,0.04857
1991,East,A Bit Too Small,0.18231,413,1958,0.16520,0.19941
1991,East,Just Right,0.70517,1353,1958,0.68497,0.72538
1991,East,A Bit Too Large,0.05639,99,1958,0.04617,0.06661
1992,West,Much Too Small,0.02430,189,4533,0.01981,0.02878
1992,West,A Bit Too Small,0.15023,820,4533,0.13983,0.16064
1992,West,Just Right,0.71690,3226,4533,0.70378,0.73001
1992,West,A Bit Too Large,0.08150,298,4533,0.07354,0.08947
1992,East,Much Too Small,0.02829,70,1926,0.02089,0.03570
1992,East,A Bit Too Small,0.18002,403,1926,0.16286,0.19719
1992,East,Just Right,0.70350,1313,1926,0.68310,0.72391
1992,East,A Bit Too Large,0.07706,140,1926,0.06515,0.08897
1993,West,Much Too Small,0.02457,192,4569,0.02008,0.02906
1993,West,A Bit Too Small,0.15081,814,4569,0.14043,0.16119
1993,West,Just Right,0.71092,3229,4569,0.69777,0.72407
1993,West,A Bit Too Large,0.08551,334,4569,0.07740,0.09362
1993,East,Much Too Small,0.02393,51,1850,0.01697,0.03090
1993,East,A Bit Too Small,0.18238,385,1850,0.16478,0.19998
1993,East,Just Right,0.69459,1279,1850,0.67359,0.71558
1993,East,A Bit Too Large,0.07799,135,1850,0.06577,0.09021
1994,West,Much Too Small,0.02132,169,4488,0.01710,0.02555
1994,West,A Bit Too Small,0.14288,761,4488,0.13265,0.15312
1994,West,Just Right,0.71188,3219,4488,0.69863,0.72514
1994,West,A Bit Too Large,0.09003,339,4488,0.08166,0.09841
1994,East,Much Too Small,0.02829,64,1820,0.02067,0.03591
1994,East,A Bit Too Small,0.18173,362,1820,0.16401,0.19945
1994,East,Just Right,0.68786,1255,1820,0.66657,0.70916
1994,East,A Bit Too Large,0.08053,139,1820,0.06803,0.09304
1995,West,Much Too Small,0.02206,168,4788,0.01790,0.02622
1995,West,A Bit Too Small,0.14619,830,4788,0.13619,0.15620
1995,West,Just Right,0.70948,3384,4788,0.69661,0.72234
1995,West,A Bit Too Large,0.09779,374,4788,0.08938,0.10621
1995,West,Much Too Large,0.00981,32,4788,0.00702,0.01260
1995,East,Much Too Small,0.02317,56,1807,0.01623,0.03010
1995,East,A Bit Too Small,0.18100,347,1807,0.16324,0.19876
1995,East,Just Right,0.69675,1257,1807,0.67555,0.71795
1995,East,A Bit Too Large,0.08723,147,1807,0.07421,0.10024
1996,West,Much Too Small,0.01682,142,4736,0.01316,0.02048
1996,West,A Bit Too Small,0.14528,796,4736,0.13524,0.15531
1996,West,Just Right,0.70558,3356,4736,0.69260,0.71856
1996,West,A Bit Too Large,0.11037,409,4736,0.10145,0.11930
1996,West,Much Too Large,0.00958,33,4736,0.00680,0.01235
1996,East,Much Too Small,0.02888,57,1817,0.02118,0.03658
1996,East,A Bit Too Small,0.17524,341,1817,0.15776,0.19273
1996,East,Just Right,0.70397,1284,1817,0.68298,0.72497
1996,East,A Bit Too Large,0.08197,135,1817,0.06935,0.09459
1997,West,Much Too Small,0.01559,112,4655,0.01203,0.01915
1997,West,A Bit Too Small,0.15170,803,4655,0.14140,0.16201
1997,West,Just Right,0.70747,3359,4655,0.69440,0.72054
1997,West,A Bit Too Large,0.10778,381,4655,0.09887,0.11669
1997,East,Much Too Small,0.02377,46,1805,0.01674,0.03080
1997,East,A Bit Too Small,0.17184,315,1805,0.15443,0.18925
1997,East,Just Right,0.70704,1305,1805,0.68604,0.72804
1997,East,A Bit Too Large,0.08760,139,1805,0.07455,0.10064
1998,West,Much Too Small,0.02321,151,5320,0.01916,0.02725
1998,West,A Bit Too Small,0.13862,837,5320,0.12933,0.14791
1998,West,Just Right,0.69882,3802,5320,0.68649,0.71115
1998,West,A Bit Too Large,0.10519,480,5320,0.09695,0.11344
1998,West,Much Too Large,0.01096,50,5320,0.00816,0.01376
1998,East,Much Too Small,0.01675,41,1939,0.01104,0.02247
1998,East,A Bit Too Small,0.16076,314,1939,0.14441,0.17712
1998,East,Just Right,0.69847,1392,1939,0.67803,0.71890
1998,East,A Bit Too Large,0.11166,192,1939,0.09764,0.12569
1999,West,Much Too Small,0.01684,117,5182,0.01333,0.02034
