year,hhtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Much Too Small,0.01890,38,1287,0.01146,0.02635
1984,Single-person household,A Bit Too Small,0.09119,137,1287,0.07545,0.10692
1984,Single-person household,Just Right,0.75402,956,1287,0.73048,0.77755
1984,Single-person household,A Bit Too Large,0.10903,122,1287,0.09200,0.12607
1984,Single-person household,Much Too Large,0.02670,34,1287,0.01789,0.03551
1984,Couple without children,A Bit Too Small,0.10381,157,1322,0.08737,0.12026
1984,Couple without children,Just Right,0.79953,1069,1322,0.77794,0.82112
1984,Couple without children,A Bit Too Large,0.08039,96,1322,0.06573,0.09505
1984,Single parent,A Bit Too Small,0.13117,48,289,0.09218,0.17016
1984,Single parent,Just Right,0.76413,241,289,0.71510,0.81317
1984,Couple with children,Much Too Small,0.03908,141,2624,0.03166,0.04649
1984,Couple with children,A Bit Too Small,0.16884,523,2624,0.15450,0.18317
1984,Couple with children,Just Right,0.73639,1855,2624,0.71953,0.75325
1984,Couple with children,A Bit Too Large,0.04941,105,2624,0.04112,0.05771
1984,Multi-generational household,Just Right,0.66905,83,83,0.56720,0.77090
1984,Other Combinations,Just Right,0.77735,99,99,0.69498,0.85972
1985,Single-person household,Much Too Small,0.02027,33,1108,0.01197,0.02858
1985,Single-person household,A Bit Too Small,0.08832,121,1108,0.07161,0.10504
1985,Single-person household,Just Right,0.75968,848,1108,0.73451,0.78485
1985,Single-person household,A Bit Too Large,0.10288,106,1108,0.08498,0.12077
1985,Couple without children,A Bit Too Small,0.07807,111,1190,0.06282,0.09332
1985,Couple without children,Just Right,0.81286,981,1190,0.79070,0.83503
1985,Couple without children,A Bit Too Large,0.08686,98,1190,0.07085,0.10287
1985,Single parent,A Bit Too Small,0.13653,49,255,0.09431,0.17876
1985,Single parent,Just Right,0.73230,206,255,0.67785,0.78675
1985,Couple with children,Much Too Small,0.03387,111,2347,0.02655,0.04119
1985,Couple with children,A Bit Too Small,0.15925,444,2347,0.14444,0.17405
1985,Couple with children,Just Right,0.74432,1697,2347,0.72667,0.76198
1985,Couple with children,A Bit Too Large,0.05148,95,2347,0.04253,0.06042
1985,Multi-generational household,Just Right,0.75151,83,83,0.65798,0.84505
1985,Other Combinations,Just Right,0.78390,94,94,0.70025,0.86756
1986,Single-person household,Much Too Small,0.02045,31,1045,0.01186,0.02903
1986,Single-person household,A Bit Too Small,0.10173,130,1045,0.08339,0.12006
1986,Single-person household,Just Right,0.75387,792,1045,0.72774,0.78000
1986,Single-person household,A Bit Too Large,0.09375,92,1045,0.07607,0.11143
1986,Couple without children,A Bit Too Small,0.08665,109,1179,0.07058,0.10271
1986,Couple without children,Just Right,0.80357,974,1179,0.78089,0.82626
1986,Couple without children,A Bit Too Large,0.08980,96,1179,0.07348,0.10613
1986,Single parent,A Bit Too Small,0.11515,39,241,0.07476,0.15553
1986,Single parent,Just Right,0.74142,202,241,0.68603,0.79682
1986,Couple with children,Much Too Small,0.02670,88,2211,0.01998,0.03342
1986,Couple with children,A Bit Too Small,0.14792,390,2211,0.13311,0.16272
1986,Couple with children,Just Right,0.75782,1634,2211,0.73996,0.77568
1986,Couple with children,A Bit Too Large,0.05727,99,2211,0.04758,0.06695
1986,Multi-generational household,Just Right,0.77061,87,87,0.68175,0.85947
1986,Other Combinations,Just Right,0.76233,94,94,0.67582,0.84884
1987,Single-person household,A Bit Too Small,0.09361,120,1029,0.07580,0.11142
1987,Single-person household,Just Right,0.76783,813,1029,0.74202,0.79364
1987,Single-person household,A Bit Too Large,0.09794,96,1029,0.07977,0.11611
1987,Couple without children,A Bit Too Small,0.08559,106,1167,0.06954,0.10165
1987,Couple without children,Just Right,0.80403,957,1167,0.78125,0.82682
1987,Couple without children,A Bit Too Large,0.09403,104,1167,0.07727,0.11078
1987,Single parent,A Bit Too Small,0.10257,38,240,0.06411,0.14104
1987,Single parent,Just Right,0.76491,202,240,0.71114,0.81867
