year,bula_h,hhtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Couple without children,Just Right,0.81578,36,36,0.68734,0.94421
1984,Schleswig-Holstein,Couple with children,Just Right,0.71423,58,58,0.59695,0.83152
1984,Hamburg,Single-person household,Just Right,0.74276,39,39,0.60378,0.88175
1984,Hamburg,Couple without children,Just Right,0.77340,35,35,0.63268,0.91411
1984,Hamburg,Couple with children,Just Right,0.58813,31,31,0.41201,0.76425
1984,Lower Saxony,Single-person household,Just Right,0.81261,94,94,0.73331,0.89192
1984,Lower Saxony,Couple without children,Just Right,0.80388,114,114,0.73067,0.87709
1984,Lower Saxony,Couple with children,A Bit Too Small,0.14210,43,231,0.09698,0.18723
1984,Lower Saxony,Couple with children,Just Right,0.75423,188,231,0.69858,0.80987
1984,North Rhine-Westphalia,Single-person household,A Bit Too Small,0.10249,44,345,0.07044,0.13455
1984,North Rhine-Westphalia,Single-person household,Just Right,0.74141,267,345,0.69514,0.78768
1984,North Rhine-Westphalia,Single-person household,A Bit Too Large,0.10830,34,345,0.07546,0.14114
1984,North Rhine-Westphalia,Couple without children,A Bit Too Small,0.08857,39,328,0.05777,0.11936
1984,North Rhine-Westphalia,Couple without children,Just Right,0.82848,289,328,0.78763,0.86934
1984,North Rhine-Westphalia,Single parent,Just Right,0.74346,63,63,0.63475,0.85217
1984,North Rhine-Westphalia,Couple with children,Much Too Small,0.04209,43,721,0.02742,0.05675
1984,North Rhine-Westphalia,Couple with children,A Bit Too Small,0.18128,151,721,0.15314,0.20942
1984,North Rhine-Westphalia,Couple with children,Just Right,0.71662,494,721,0.68371,0.74954
1984,North Rhine-Westphalia,Couple with children,A Bit Too Large,0.05416,33,721,0.03763,0.07070
1984,Hesse,Single-person household,Just Right,0.79652,91,91,0.71334,0.87969
1984,Hesse,Couple without children,Just Right,0.78849,111,111,0.71217,0.86480
1984,Hesse,Couple with children,A Bit Too Small,0.13207,52,245,0.08959,0.17455
1984,Hesse,Couple with children,Just Right,0.82806,193,245,0.78071,0.87541
1984,"Rhineland-Palatinate, Saarland",Single-person household,Just Right,0.73003,56,56,0.61270,0.84736
1984,"Rhineland-Palatinate, Saarland",Couple without children,Just Right,0.81199,84,84,0.72794,0.89605
1984,"Rhineland-Palatinate, Saarland",Couple with children,Just Right,0.70009,110,110,0.61407,0.78611
1984,Baden-Wuerttemberg,Single-person household,Just Right,0.78957,164,164,0.72700,0.85215
1984,Baden-Wuerttemberg,Couple without children,A Bit Too Small,0.14955,33,186,0.09816,0.20095
1984,Baden-Wuerttemberg,Couple without children,Just Right,0.75977,153,186,0.69821,0.82133
1984,Baden-Wuerttemberg,Single parent,Just Right,0.75901,45,45,0.63264,0.88538
1984,Baden-Wuerttemberg,Couple with children,A Bit Too Small,0.13843,99,500,0.10813,0.16874
1984,Baden-Wuerttemberg,Couple with children,Just Right,0.78397,401,500,0.74787,0.82008
1984,Bavaria,Single-person household,Just Right,0.76987,146,146,0.70135,0.83838
