year,rentown,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,A Bit Too Small,0.08123,181,1985,0.06921,0.09325
1984,Owner,West,Just Right,0.77994,1573,1985,0.76171,0.79817
1984,Owner,West,A Bit Too Large,0.10858,196,1985,0.09489,0.12227
1984,Owner,West,Much Too Large,0.02152,35,1985,0.01513,0.02790
1984,Tenant,West,Much Too Small,0.03389,200,3830,0.02815,0.03962
1984,Tenant,West,A Bit Too Small,0.15437,733,3830,0.14293,0.16582
1984,Tenant,West,Just Right,0.74451,2730,3830,0.73070,0.75833
1984,Tenant,West,A Bit Too Large,0.05863,167,3830,0.05119,0.06607
1985,Owner,West,A Bit Too Small,0.06748,146,1816,0.05594,0.07902
1985,Owner,West,Just Right,0.79791,1489,1816,0.77943,0.81638
1985,Owner,West,A Bit Too Large,0.10642,181,1816,0.09223,0.12061
1985,Tenant,West,Much Too Small,0.03374,169,3357,0.02763,0.03985
1985,Tenant,West,A Bit Too Small,0.14267,613,3357,0.13084,0.15451
1985,Tenant,West,Just Right,0.74633,2420,3357,0.73161,0.76105
1985,Tenant,West,A Bit Too Large,0.06234,155,3357,0.05416,0.07052
1986,Owner,West,A Bit Too Small,0.06563,137,1788,0.05414,0.07711
1986,Owner,West,Just Right,0.79076,1463,1788,0.77190,0.80962
1986,Owner,West,A Bit Too Large,0.11502,188,1788,0.10022,0.12981
1986,Tenant,West,Much Too Small,0.02920,135,3150,0.02332,0.03508
1986,Tenant,West,A Bit Too Small,0.14639,562,3150,0.13404,0.15874
1986,Tenant,West,Just Right,0.75146,2317,3150,0.73637,0.76656
1986,Tenant,West,A Bit Too Large,0.05742,136,3150,0.04930,0.06555
1987,Owner,West,A Bit Too Small,0.06607,136,1789,0.05456,0.07759
1987,Owner,West,Just Right,0.79546,1466,1789,0.77676,0.81415
1987,Owner,West,A Bit Too Large,0.11470,187,1789,0.09993,0.12947
1987,Tenant,West,Much Too Small,0.02488,111,3102,0.01940,0.03036
1987,Tenant,West,A Bit Too Small,0.13578,529,3102,0.12372,0.14784
1987,Tenant,West,Just Right,0.76687,2319,3102,0.75199,0.78175
1987,Tenant,West,A Bit Too Large,0.06087,143,3102,0.05246,0.06929
1988,Owner,West,A Bit Too Small,0.06449,128,1709,0.05284,0.07614
1988,Owner,West,Just Right,0.79857,1406,1709,0.77955,0.81759
1988,Owner,West,A Bit Too Large,0.11254,175,1709,0.09755,0.12753
1988,Tenant,West,Much Too Small,0.02261,103,2991,0.01728,0.02794
1988,Tenant,West,A Bit Too Small,0.13493,486,2991,0.12269,0.14718
1988,Tenant,West,Just Right,0.77350,2262,2991,0.75850,0.78851
1988,Tenant,West,A Bit Too Large,0.05986,140,2991,0.05135,0.06836
1989,Owner,West,A Bit Too Small,0.06394,124,1674,0.05222,0.07567
1989,Owner,West,Just Right,0.79121,1369,1674,0.77174,0.81069
1989,Owner,West,A Bit Too Large,0.12058,181,1674,0.10497,0.13618
1989,Tenant,West,Much Too Small,0.02201,99,2903,0.01667,0.02734
1989,Tenant,West,A Bit Too Small,0.13307,467,2903,0.12071,0.14543
1989,Tenant,West,Just Right,0.77936,2203,2903,0.76427,0.79445
1989,Tenant,West,A Bit Too Large,0.05474,134,2903,0.04647,0.06302
1990,Owner,West,A Bit Too Small,0.05969,119,1700,0.04842,0.07095
1990,Owner,West,Just Right,0.80312,1405,1700,0.78421,0.82202
1990,Owner,West,A Bit Too Large,0.11426,176,1700,0.09913,0.12938
1990,Owner,East,A Bit Too Small,0.08873,67,605,0.06605,0.11141
1990,Owner,East,Just Right,0.82413,507,605,0.79377,0.85450
1990,Owner,East,A Bit Too Large,0.06036,31,605,0.04137,0.07936
1990,Tenant,West,Much Too Small,0.02256,99,2817,0.01707,0.02804
1990,Tenant,West,A Bit Too Small,0.14052,451,2817,0.12768,0.15335
1990,Tenant,West,Just Right,0.77401,2148,2817,0.75856,0.78946
1990,Tenant,West,A Bit Too Large,0.05021,119,2817,0.04215,0.05828
1990,Tenant,East,Much Too Small,0.07477,136,1513,0.06152,0.08803
1990,Tenant,East,A Bit Too Small,0.25507,454,1513,0.23310,0.27704
1990,Tenant,East,Just Right,0.61326,868,1513,0.58871,0.63781
1990,Tenant,East,A Bit Too Large,0.04307,55,1513,0.03284,0.05330
1991,Owner,West,A Bit Too Small,0.07577,149,1684,0.06313,0.08842
1991,Owner,West,Just Right,0.75907,1345,1684,0.73864,0.77951
1991,Owner,West,A Bit Too Large,0.12523,190,1684,0.10942,0.14104
1991,Owner,East,A Bit Too Small,0.08489,58,574,0.06207,0.10771
1991,Owner,East,Just Right,0.81944,478,574,0.78795,0.85094
1991,Owner,East,A Bit Too Large,0.07572,38,574,0.05405,0.09738
1991,Tenant,West,Much Too Small,0.03574,160,2807,0.02887,0.04261
1991,Tenant,West,A Bit Too Small,0.19844,649,2807,0.18368,0.21319
1991,Tenant,West,Just Right,0.68127,1881,2807,0.66403,0.69851
1991,Tenant,West,A Bit Too Large,0.05402,117,2807,0.04566,0.06239
1991,Tenant,East,Much Too Small,0.04817,83,1374,0.03684,0.05949
1991,Tenant,East,A Bit Too Small,0.21715,355,1374,0.19534,0.23896
1991,Tenant,East,Just Right,0.66430,875,1374,0.63932,0.68928
1991,Tenant,East,A Bit Too Large,0.04948,61,1374,0.03801,0.06095
1992,Owner,West,A Bit Too Small,0.07362,155,1704,0.06122,0.08602
1992,Owner,West,Just Right,0.76840,1371,1704,0.74836,0.78843
1992,Owner,West,A Bit Too Large,0.11677,178,1704,0.10152,0.13203
1992,Owner,East,A Bit Too Small,0.07733,53,547,0.05492,0.09973
1992,Owner,East,Just Right,0.78896,441,547,0.75473,0.82319
1992,Owner,East,A Bit Too Large,0.10650,53,547,0.08062,0.13237
1992,Tenant,West,Much Too Small,0.03810,174,2814,0.03103,0.04518
1992,Tenant,West,A Bit Too Small,0.20414,665,2814,0.18924,0.21903
1992,Tenant,West,Just Right,0.68066,1855,2814,0.66343,0.69789
1992,Tenant,West,A Bit Too Large,0.05669,120,2814,0.04814,0.06523
1992,Tenant,East,Much Too Small,0.03280,60,1369,0.02336,0.04224
1992,Tenant,East,A Bit Too Small,0.21578,350,1369,0.19398,0.23757
1992,Tenant,East,Just Right,0.67375,872,1369,0.64891,0.69860
1992,Tenant,East,A Bit Too Large,0.06681,87,1369,0.05358,0.08004
1993,Owner,West,A Bit Too Small,0.07687,165,1700,0.06420,0.08953
1993,Owner,West,Just Right,0.74983,1329,1700,0.72924,0.77043
1993,Owner,West,A Bit Too Large,0.13316,206,1700,0.11701,0.14932
1993,Owner,East,A Bit Too Small,0.07810,52,540,0.05545,0.10076
1993,Owner,East,Just Right,0.81503,443,540,0.78225,0.84781
1993,Owner,East,A Bit Too Large,0.09093,45,540,0.06666,0.11521
1993,Tenant,West,Much Too Small,0.03841,178,2855,0.03136,0.04546
1993,Tenant,West,A Bit Too Small,0.20379,649,2855,0.18901,0.21857
1993,Tenant,West,Just Right,0.68365,1900,2855,0.66658,0.70071
1993,Tenant,West,A Bit Too Large,0.05150,128,2855,0.04339,0.05961
1993,Tenant,East,Much Too Small,0.03118,47,1306,0.02175,0.04060
1993,Tenant,East,A Bit Too Small,0.22082,333,1306,0.19831,0.24332
1993,Tenant,East,Just Right,0.65019,836,1306,0.62432,0.67607
1993,Tenant,East,A Bit Too Large,0.07322,90,1306,0.05908,0.08735
1994,Owner,West,A Bit Too Small,0.07511,153,1710,0.06262,0.08761
1994,Owner,West,Just Right,0.74866,1345,1710,0.72810,0.76923
1994,Owner,West,A Bit Too Large,0.13694,212,1710,0.12064,0.15323
1994,Owner,East,A Bit Too Small,0.07821,51,536,0.05546,0.10096
1994,Owner,East,Just Right,0.77084,433,536,0.73522,0.80645
1994,Owner,East,A Bit Too Large,0.10984,52,536,0.08335,0.13634
1994,Tenant,West,Much Too Small,0.03335,158,2766,0.02666,0.04004
1994,Tenant,West,A Bit Too Small,0.19266,608,2766,0.17796,0.20737
1994,Tenant,West,Just Right,0.68551,1873,2766,0.66820,0.70281
1994,Tenant,West,A Bit Too Large,0.05599,127,2766,0.04742,0.06456
1994,Tenant,East,Much Too Small,0.03589,57,1277,0.02568,0.04609
1994,Tenant,East,A Bit Too Small,0.21953,311,1277,0.19682,0.24225
1994,Tenant,East,Just Right,0.65756,822,1277,0.63153,0.68360
1994,Tenant,East,A Bit Too Large,0.06983,87,1277,0.05585,0.08381
1995,Owner,West,A Bit Too Small,0.07050,146,1741,0.05848,0.08253
1995,Owner,West,Just Right,0.74030,1367,1741,0.71970,0.76091
1995,Owner,West,A Bit Too Large,0.15303,228,1741,0.13611,0.16994
1995,Owner,East,A Bit Too Small,0.07889,49,549,0.05632,0.10146
