year,regtyp,rentown,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Owner,A Bit Too Small,0.06571,100,1273,0.05209,0.07932
1985,Urban regions,Owner,Just Right,0.80383,1053,1273,0.78200,0.82565
1985,Urban regions,Owner,A Bit Too Large,0.10083,120,1273,0.08428,0.11738
1985,Urban regions,Tenant,Much Too Small,0.03683,155,2854,0.02992,0.04374
1985,Urban regions,Tenant,A Bit Too Small,0.15116,546,2854,0.13802,0.16431
1985,Urban regions,Tenant,Just Right,0.74128,2035,2854,0.72521,0.75735
1985,Urban regions,Tenant,A Bit Too Large,0.05566,118,2854,0.04724,0.06407
1985,Rural regions,Owner,A Bit Too Small,0.07150,46,543,0.04981,0.09319
1985,Rural regions,Owner,Just Right,0.78447,436,543,0.74985,0.81909
1985,Rural regions,Owner,A Bit Too Large,0.11910,61,543,0.09183,0.14637
1985,Rural regions,Tenant,A Bit Too Small,0.10287,67,489,0.07592,0.12982
1985,Rural regions,Tenant,Just Right,0.77000,385,489,0.73266,0.80733
1985,Rural regions,Tenant,A Bit Too Large,0.09368,37,489,0.06782,0.11953
1986,Urban regions,Owner,A Bit Too Small,0.06414,95,1260,0.05060,0.07767
1986,Urban regions,Owner,Just Right,0.79622,1039,1260,0.77397,0.81847
1986,Urban regions,Owner,A Bit Too Large,0.10875,126,1260,0.09155,0.12594
1986,Urban regions,Tenant,Much Too Small,0.02963,117,2689,0.02322,0.03604
1986,Urban regions,Tenant,A Bit Too Small,0.15576,501,2689,0.14205,0.16947
1986,Urban regions,Tenant,Just Right,0.74964,1969,2689,0.73326,0.76601
1986,Urban regions,Tenant,A Bit Too Large,0.05153,102,2689,0.04318,0.05989
1986,Rural regions,Owner,A Bit Too Small,0.06905,42,528,0.04740,0.09069
1986,Rural regions,Owner,Just Right,0.77821,424,528,0.74274,0.81368
1986,Rural regions,Owner,A Bit Too Large,0.12942,62,528,0.10076,0.15808
1986,Rural regions,Tenant,A Bit Too Small,0.10126,61,443,0.07313,0.12938
1986,Rural regions,Tenant,Just Right,0.76025,348,443,0.72045,0.80005
1986,Rural regions,Tenant,A Bit Too Large,0.08579,34,443,0.05968,0.11190
1987,Urban regions,Owner,A Bit Too Small,0.06522,97,1276,0.05167,0.07878
1987,Urban regions,Owner,Just Right,0.80446,1055,1276,0.78269,0.82623
1987,Urban regions,Owner,A Bit Too Large,0.10659,124,1276,0.08965,0.12353
1987,Urban regions,Tenant,Much Too Small,0.02682,99,2634,0.02064,0.03299
1987,Urban regions,Tenant,A Bit Too Small,0.14086,464,2634,0.12758,0.15415
1987,Urban regions,Tenant,Just Right,0.76369,1959,2634,0.74746,0.77991
1987,Urban regions,Tenant,A Bit Too Large,0.05880,112,2634,0.04981,0.06778
1987,Rural regions,Owner,A Bit Too Small,0.06805,39,513,0.04623,0.08986
1987,Rural regions,Owner,Just Right,0.77463,411,513,0.73843,0.81082
1987,Rural regions,Owner,A Bit Too Large,0.13347,63,513,0.10401,0.16293
1987,Rural regions,Tenant,A Bit Too Small,0.11093,65,456,0.08208,0.13979
1987,Rural regions,Tenant,Just Right,0.78244,360,456,0.74453,0.82035
1987,Rural regions,Tenant,A Bit Too Large,0.07101,31,456,0.04741,0.09461
1988,Urban regions,Owner,A Bit Too Small,0.06455,92,1241,0.05087,0.07823
1988,Urban regions,Owner,Just Right,0.81119,1032,1241,0.78941,0.83298
1988,Urban regions,Owner,A Bit Too Large,0.10273,117,1241,0.08583,0.11963
1988,Urban regions,Tenant,Much Too Small,0.02551,95,2535,0.01937,0.03165
