year,bula_h,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Lower Saxony,female,In the next 2 to 5 years,0.03971,33,33,-0.02795,0.10738
1985,North Rhine-Westphalia,male,As soon as possible,0.03320,69,116,0.00046,0.06595
1985,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02511,47,116,-0.00349,0.05370
1985,North Rhine-Westphalia,female,As soon as possible,0.03734,86,285,0.01529,0.05939
1985,North Rhine-Westphalia,female,Next year,0.03463,67,285,0.01336,0.05589
1985,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04347,87,285,0.01975,0.06718
1985,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02111,45,285,0.00439,0.03782
1985,Hesse,male,As soon as possible,0.04516,32,32,-0.02794,0.11827
1985,Hesse,female,As soon as possible,0.03446,40,79,-0.00602,0.07494
1985,Hesse,female,In the next 2 to 5 years,0.05005,39,79,0.00166,0.09845
1985,Baden-Wuerttemberg,male,As soon as possible,0.01850,38,38,-0.02492,0.06192
1985,Baden-Wuerttemberg,female,As soon as possible,0.02509,50,135,-0.00139,0.05156
1985,Baden-Wuerttemberg,female,Next year,0.02942,40,135,0.00081,0.05803
1985,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.03015,45,135,0.00119,0.05910
1985,Bavaria,male,As soon as possible,0.03489,41,41,-0.02198,0.09176
1985,Bavaria,female,As soon as possible,0.02137,37,122,-0.00440,0.04714
1985,Bavaria,female,Next year,0.02943,39,122,-0.00069,0.05954
1985,Bavaria,female,In the next 2 to 5 years,0.03102,46,122,0.00013,0.06191
1986,North Rhine-Westphalia,male,As soon as possible,0.03518,76,173,0.00765,0.06272
1986,North Rhine-Westphalia,male,Next year,0.02024,34,173,-0.00080,0.04129
1986,North Rhine-Westphalia,male,In the next 2 to 5 years,0.03385,63,173,0.00683,0.06088
1986,North Rhine-Westphalia,female,As soon as possible,0.04451,90,299,0.02110,0.06793
1986,North Rhine-Westphalia,female,Next year,0.02198,53,299,0.00534,0.03863
1986,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04787,100,299,0.02363,0.07211
1986,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02900,56,299,0.00995,0.04805
1986,Hesse,female,In the next 2 to 5 years,0.03456,32,32,-0.02974,0.09886
1986,Baden-Wuerttemberg,male,As soon as possible,0.02280,33,65,-0.01377,0.05937
1986,Baden-Wuerttemberg,male,In the next 2 to 5 years,0.02680,32,65,-0.01277,0.06636
1986,Baden-Wuerttemberg,female,As soon as possible,0.02318,39,127,-0.00309,0.04946
1986,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.02673,46,127,-0.00144,0.05489
1986,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.03235,42,127,0.00146,0.06324
1986,Bavaria,male,As soon as possible,0.02582,32,32,-0.03001,0.08166
1986,Bavaria,female,As soon as possible,0.02895,40,111,-0.00238,0.06029
1986,Bavaria,female,In the next 2 to 5 years,0.02887,40,111,-0.00242,0.06016
1986,Bavaria,female,"In the distant future, in more than five years",0.02440,31,111,-0.00443,0.05323
1987,Lower Saxony,male,As soon as possible,0.04554,31,31,-0.02907,0.12014
1987,North Rhine-Westphalia,male,As soon as possible,0.03396,73,171,0.00673,0.06119
1987,North Rhine-Westphalia,male,Next year,0.01800,40,171,-0.00199,0.03799
1987,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02931,58,171,0.00395,0.05466
1987,North Rhine-Westphalia,female,As soon as possible,0.03509,73,300,0.01423,0.05595
1987,North Rhine-Westphalia,female,Next year,0.03809,77,300,0.01639,0.05979
1987,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05170,97,300,0.02660,0.07679
1987,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02752,53,300,0.00898,0.04606
1987,Hesse,female,In the next 2 to 5 years,0.04906,35,35,-0.02354,0.12166
1987,Baden-Wuerttemberg,male,As soon as possible,0.01772,32,67,-0.01411,0.04954
1987,Baden-Wuerttemberg,male,In the next 2 to 5 years,0.03313,35,67,-0.01005,0.07630
1987,Baden-Wuerttemberg,female,As soon as possible,0.02335,43,178,0.00110,0.04559
1987,Baden-Wuerttemberg,female,Next year,0.02169,35,178,0.00023,0.04316
1987,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.03931,67,178,0.01068,0.06794
1987,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.02567,33,178,0.00237,0.04897
1987,Bavaria,female,Next year,0.02322,33,74,-0.01133,0.05777
1987,Bavaria,female,In the next 2 to 5 years,0.03242,41,74,-0.00821,0.07305
1988,Lower Saxony,female,In the next 2 to 5 years,0.05531,45,45,-0.01223,0.12285
1988,North Rhine-Westphalia,male,As soon as possible,0.03353,66,182,0.00731,0.05976
1988,North Rhine-Westphalia,male,Next year,0.02782,43,182,0.00386,0.05177
1988,North Rhine-Westphalia,male,In the next 2 to 5 years,0.03971,73,182,0.01126,0.06816
1988,North Rhine-Westphalia,female,As soon as possible,0.03804,65,272,0.01526,0.06082
1988,North Rhine-Westphalia,female,Next year,0.03620,64,272,0.01396,0.05845
1988,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05299,96,272,0.02631,0.07966
1988,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02217,47,272,0.00464,0.03970
1988,Hesse,female,In the next 2 to 5 years,0.03950,32,32,-0.02907,0.10807
1988,Baden-Wuerttemberg,male,As soon as possible,0.01915,32,65,-0.01443,0.05272
1988,Baden-Wuerttemberg,male,In the next 2 to 5 years,0.03327,33,65,-0.01067,0.07720
1988,Baden-Wuerttemberg,female,As soon as possible,0.02148,40,168,-0.00051,0.04347
1988,Baden-Wuerttemberg,female,Next year,0.01978,33,168,-0.00134,0.04089
1988,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.04199,60,168,0.01157,0.07241
1988,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.03047,35,168,0.00440,0.05653
1988,Bavaria,female,Next year,0.03161,42,85,-0.00581,0.06902
1988,Bavaria,female,In the next 2 to 5 years,0.03438,43,85,-0.00459,0.07334
