year,bula_h,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,Upper Secondary Level,In the next 2 to 5 years,0.33995,32,32,0.17320,0.50670
1984,North Rhine-Westphalia,Primary Level,As soon as possible,0.58635,42,42,0.43560,0.73710
1984,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.24966,47,137,0.17691,0.32240
1984,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.38356,58,137,0.30183,0.46528
1984,North Rhine-Westphalia,Lower Secondary Level,"In the distant future, in more than five years",0.19478,32,137,0.12822,0.26134
1984,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.24128,73,279,0.19098,0.29157
1984,North Rhine-Westphalia,Upper Secondary Level,Next year,0.17150,47,279,0.12719,0.21581
1984,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.39217,103,279,0.33478,0.44957
1984,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.19505,56,279,0.14847,0.24162
1984,Hesse,Lower Secondary Level,As soon as possible,0.37916,31,31,0.20554,0.55278
1984,Hesse,Upper Secondary Level,As soon as possible,0.24655,33,64,0.14012,0.35298
1984,Hesse,Upper Secondary Level,In the next 2 to 5 years,0.35741,31,64,0.23907,0.47576
1984,Baden-Wuerttemberg,Lower Secondary Level,As soon as possible,0.25355,32,32,0.10041,0.40670
1984,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.19894,33,110,0.12399,0.27388
1984,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.26806,32,110,0.18490,0.35122
1984,Baden-Wuerttemberg,Upper Secondary Level,"In the distant future, in more than five years",0.42630,45,110,0.33345,0.51914
1984,Bavaria,Upper Secondary Level,As soon as possible,0.27268,45,139,0.19837,0.34698
1984,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.33315,53,139,0.25451,0.41179
1984,Bavaria,Upper Secondary Level,"In the distant future, in more than five years",0.27876,41,139,0.20395,0.35357
