year,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,As soon as possible,0.35073,278,708,0.31556,0.38591
1984,1st Quintile,Next year,0.14383,99,708,0.11796,0.16970
1984,1st Quintile,In the next 2 to 5 years,0.33007,205,708,0.29541,0.36473
1984,1st Quintile,"In the distant future, in more than five years",0.17537,126,708,0.14733,0.20340
1984,2nd Quintile,As soon as possible,0.24556,135,475,0.20681,0.28431
1984,2nd Quintile,Next year,0.19840,86,475,0.16250,0.23430
1984,2nd Quintile,In the next 2 to 5 years,0.33239,155,475,0.28998,0.37480
1984,2nd Quintile,"In the distant future, in more than five years",0.22365,99,475,0.18613,0.26116
1984,3rd Quintile,As soon as possible,0.22899,91,346,0.18465,0.27333
1984,3rd Quintile,Next year,0.13731,48,346,0.10099,0.17363
1984,3rd Quintile,In the next 2 to 5 years,0.36623,119,346,0.31540,0.41707
1984,3rd Quintile,"In the distant future, in more than five years",0.26747,88,346,0.22076,0.31417
1984,4th Quintile,As soon as possible,0.18970,70,311,0.14606,0.23335
1984,4th Quintile,Next year,0.19264,58,311,0.14874,0.23654
1984,4th Quintile,In the next 2 to 5 years,0.34820,101,311,0.29516,0.40123
1984,4th Quintile,"In the distant future, in more than five years",0.26946,82,311,0.22007,0.31885
1984,5th Quintile,As soon as possible,0.17623,38,168,0.11844,0.23402
1984,5th Quintile,In the next 2 to 5 years,0.44475,84,168,0.36938,0.52012
1984,5th Quintile,"In the distant future, in more than five years",0.23220,46,168,0.16816,0.29624
1985,1st Quintile,As soon as possible,0.45639,267,561,0.41514,0.49765
1985,1st Quintile,Next year,0.20986,104,561,0.17614,0.24359
1985,1st Quintile,In the next 2 to 5 years,0.24165,135,561,0.20620,0.27711
1985,1st Quintile,"In the distant future, in more than five years",0.09209,55,561,0.06814,0.11604
1985,2nd Quintile,As soon as possible,0.34070,135,358,0.29154,0.38986
1985,2nd Quintile,Next year,0.25282,78,358,0.20774,0.29791
1985,2nd Quintile,In the next 2 to 5 years,0.29958,104,358,0.25207,0.34710
1985,2nd Quintile,"In the distant future, in more than five years",0.10690,41,358,0.07484,0.13895
1985,3rd Quintile,As soon as possible,0.30541,95,290,0.25231,0.35851
1985,3rd Quintile,Next year,0.22258,63,290,0.17462,0.27054
1985,3rd Quintile,In the next 2 to 5 years,0.33326,93,290,0.27892,0.38761
1985,3rd Quintile,"In the distant future, in more than five years",0.13874,39,290,0.09889,0.17859
1985,4th Quintile,As soon as possible,0.21611,51,206,0.15977,0.27246
1985,4th Quintile,Next year,0.20729,43,206,0.15180,0.26278
1985,4th Quintile,In the next 2 to 5 years,0.29690,58,206,0.23435,0.35944
1985,4th Quintile,"In the distant future, in more than five years",0.27969,54,206,0.21825,0.34114
1985,5th Quintile,As soon as possible,0.23177,38,125,0.15750,0.30604
1985,5th Quintile,Next year,0.25240,37,125,0.17594,0.32886
1985,5th Quintile,In the next 2 to 5 years,0.33118,50,125,0.24835,0.41402
1986,1st Quintile,As soon as possible,0.43113,234,535,0.38912,0.47313
1986,1st Quintile,Next year,0.20462,105,535,0.17040,0.23883
1986,1st Quintile,In the next 2 to 5 years,0.23661,132,535,0.20056,0.27265
1986,1st Quintile,"In the distant future, in more than five years",0.12765,64,535,0.09935,0.15596
1986,2nd Quintile,As soon as possible,0.28567,106,337,0.23737,0.33397
1986,2nd Quintile,Next year,0.15985,57,337,0.12066,0.19903
1986,2nd Quintile,In the next 2 to 5 years,0.33995,113,337,0.28930,0.39060
1986,2nd Quintile,"In the distant future, in more than five years",0.21453,61,337,0.17064,0.25842
1986,3rd Quintile,As soon as possible,0.23886,66,272,0.18810,0.28963
1986,3rd Quintile,Next year,0.20521,51,272,0.15713,0.25329
1986,3rd Quintile,In the next 2 to 5 years,0.31597,99,272,0.26062,0.37132
1986,3rd Quintile,"In the distant future, in more than five years",0.23996,56,272,0.18911,0.29080
1986,4th Quintile,As soon as possible,0.26943,60,190,0.20617,0.33268
1986,4th Quintile,In the next 2 to 5 years,0.36698,77,190,0.29826,0.43569
1986,4th Quintile,"In the distant future, in more than five years",0.22692,53,190,0.16720,0.28663
1986,5th Quintile,As soon as possible,0.22025,38,163,0.15644,0.28407
1986,5th Quintile,Next year,0.18354,32,163,0.12393,0.24315
1986,5th Quintile,In the next 2 to 5 years,0.35162,53,163,0.27809,0.42514
1986,5th Quintile,"In the distant future, in more than five years",0.24459,40,163,0.17840,0.31078
1987,1st Quintile,As soon as possible,0.42842,229,529,0.38621,0.47063
1987,1st Quintile,Next year,0.21251,113,529,0.17762,0.24741
1987,1st Quintile,In the next 2 to 5 years,0.23390,120,529,0.19779,0.27000
1987,1st Quintile,"In the distant future, in more than five years",0.12517,67,529,0.09695,0.15340
1987,2nd Quintile,As soon as possible,0.24892,94,366,0.20456,0.29328
1987,2nd Quintile,Next year,0.21850,91,366,0.17610,0.26089
1987,2nd Quintile,In the next 2 to 5 years,0.35873,122,366,0.30953,0.40794
1987,2nd Quintile,"In the distant future, in more than five years",0.17385,59,366,0.13497,0.21273
1987,3rd Quintile,As soon as possible,0.30161,84,281,0.24785,0.35537
