year,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,As soon as possible,0.25685,614,2046,0.23791,0.27579
1984,West,Next year,0.16571,323,2046,0.14959,0.18183
1984,West,In the next 2 to 5 years,0.35173,666,2046,0.33103,0.37242
1984,West,"In the distant future, in more than five years",0.22571,443,2046,0.20759,0.24383
1985,West,As soon as possible,0.33969,587,1571,0.31626,0.36312
1985,West,Next year,0.22551,325,1571,0.20484,0.24618
1985,West,In the next 2 to 5 years,0.29381,444,1571,0.27127,0.31634
1985,West,"In the distant future, in more than five years",0.14099,215,1571,0.12378,0.15821
1986,West,As soon as possible,0.31725,507,1531,0.29392,0.34057
1986,West,Next year,0.18204,276,1531,0.16270,0.20137
1986,West,In the next 2 to 5 years,0.30571,474,1531,0.28262,0.32879
1986,West,"In the distant future, in more than five years",0.19501,274,1531,0.17516,0.21486
1987,West,As soon as possible,0.30381,498,1568,0.28104,0.32658
1987,West,Next year,0.21723,349,1568,0.19681,0.23765
1987,West,In the next 2 to 5 years,0.31618,476,1568,0.29316,0.33921
1987,West,"In the distant future, in more than five years",0.16278,245,1568,0.14450,0.18106
1988,West,As soon as possible,0.26912,443,1505,0.24670,0.29153
1988,West,Next year,0.24267,345,1505,0.22100,0.26434
1988,West,In the next 2 to 5 years,0.33802,498,1505,0.31411,0.36193
1988,West,"In the distant future, in more than five years",0.15019,219,1505,0.13214,0.16825
1989,West,As soon as possible,0.25207,362,1319,0.22863,0.27551
1989,West,Next year,0.20144,261,1319,0.17978,0.22309
1989,West,In the next 2 to 5 years,0.37560,486,1319,0.34946,0.40175
1989,West,"In the distant future, in more than five years",0.17089,210,1319,0.15057,0.19121
1990,West,As soon as possible,0.22264,290,1220,0.19928,0.24599
1990,West,Next year,0.21762,276,1220,0.19445,0.24078
1990,West,In the next 2 to 5 years,0.36144,426,1220,0.33447,0.38841
1990,West,"In the distant future, in more than five years",0.19830,228,1220,0.17592,0.22068
1990,East,As soon as possible,0.33192,108,311,0.27950,0.38435
1990,East,Next year,0.40177,123,311,0.34720,0.45635
1990,East,In the next 2 to 5 years,0.23605,80,311,0.18878,0.28333
1991,West,As soon as possible,0.21487,269,1149,0.19111,0.23863
1991,West,Next year,0.22110,249,1149,0.19710,0.24511
1991,West,In the next 2 to 5 years,0.37954,425,1149,0.35147,0.40761
1991,West,"In the distant future, in more than five years",0.18449,206,1149,0.16205,0.20693
1991,East,As soon as possible,0.53031,272,503,0.48665,0.57397
1991,East,Next year,0.26016,138,503,0.22178,0.29854
1991,East,In the next 2 to 5 years,0.17902,93,503,0.14548,0.21255
1992,West,As soon as possible,0.22608,297,1231,0.20271,0.24946
1992,West,Next year,0.23554,265,1231,0.21182,0.25925
1992,West,In the next 2 to 5 years,0.38123,477,1231,0.35409,0.40837
1992,West,"In the distant future, in more than five years",0.15715,192,1231,0.13681,0.17749
1992,East,As soon as possible,0.59462,387,664,0.55724,0.63199
1992,East,Next year,0.25330,172,664,0.22019,0.28640
1992,East,In the next 2 to 5 years,0.13135,105,664,0.10564,0.15706
1993,West,As soon as possible,0.26024,328,1256,0.23596,0.28451
1993,West,Next year,0.20831,259,1256,0.18584,0.23078
1993,West,In the next 2 to 5 years,0.39596,483,1256,0.36890,0.42302
1993,West,"In the distant future, in more than five years",0.13549,186,1256,0.11656,0.15443
1993,East,As soon as possible,0.61181,391,663,0.57468,0.64893
1993,East,Next year,0.21993,148,663,0.18837,0.25148
1993,East,In the next 2 to 5 years,0.12698,93,663,0.10162,0.15235
1993,East,"In the distant future, in more than five years",0.04128,31,663,0.02613,0.05644
1994,West,As soon as possible,0.27772,394,1349,0.25381,0.30163
1994,West,Next year,0.24098,310,1349,0.21815,0.26381
1994,West,In the next 2 to 5 years,0.35171,464,1349,0.32622,0.37720
1994,West,"In the distant future, in more than five years",0.12959,181,1349,0.11167,0.14752
1994,East,As soon as possible,0.62295,394,664,0.58605,0.65984
1994,East,Next year,0.18195,121,664,0.15258,0.21132
1994,East,In the next 2 to 5 years,0.15259,115,664,0.12522,0.17996
1994,East,"In the distant future, in more than five years",0.04251,34,664,0.02715,0.05787
1995,West,As soon as possible,0.27353,417,1524,0.25115,0.29592
1995,West,Next year,0.21145,328,1524,0.19094,0.23196
1995,West,In the next 2 to 5 years,0.37058,562,1524,0.34633,0.39484
1995,West,"In the distant future, in more than five years",0.14443,217,1524,0.12678,0.16209
1995,East,As soon as possible,0.53889,311,600,0.49897,0.57881
1995,East,Next year,0.23155,135,600,0.19777,0.26533
1995,East,In the next 2 to 5 years,0.19217,119,600,0.16062,0.22372
1995,East,"In the distant future, in more than five years",0.03739,35,600,0.02220,0.05259
1996,West,As soon as possible,0.28518,443,1480,0.26217,0.30820
1996,West,Next year,0.21498,319,1480,0.19405,0.23592
1996,West,In the next 2 to 5 years,0.35684,513,1480,0.33242,0.38125
1996,West,"In the distant future, in more than five years",0.14299,205,1480,0.12515,0.16083
1996,East,As soon as possible,0.51168,323,650,0.47322,0.55014
1996,East,Next year,0.27234,164,650,0.23809,0.30659
1996,East,In the next 2 to 5 years,0.17092,126,650,0.14196,0.19988
1996,East,"In the distant future, in more than five years",0.04505,37,650,0.02910,0.06101
1997,West,As soon as possible,0.31176,471,1473,0.28810,0.33543
1997,West,Next year,0.20674,281,1473,0.18605,0.22742
1997,West,In the next 2 to 5 years,0.35759,527,1473,0.33311,0.38208
1997,West,"In the distant future, in more than five years",0.12391,194,1473,0.10708,0.14074
1997,East,As soon as possible,0.57521,352,639,0.53685,0.61356
1997,East,Next year,0.19552,126,639,0.16474,0.22629
1997,East,In the next 2 to 5 years,0.18363,127,639,0.15359,0.21368
1997,East,"In the distant future, in more than five years",0.04564,34,639,0.02945,0.06184
1998,West,As soon as possible,0.30685,457,1515,0.28362,0.33008
1998,West,Next year,0.21876,315,1515,0.19794,0.23959
