year,bula_h,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,No answer / don't know,As soon as possible,0.26342,71,234,0.20686,0.31998
1984,Lower Saxony,No answer / don't know,Next year,0.18376,39,234,0.13403,0.23349
1984,Lower Saxony,No answer / don't know,In the next 2 to 5 years,0.32658,74,234,0.26636,0.38680
1984,Lower Saxony,No answer / don't know,"In the distant future, in more than five years",0.22624,50,234,0.17252,0.27997
1984,North Rhine-Westphalia,No answer / don't know,As soon as possible,0.24723,186,629,0.21349,0.28098
1984,North Rhine-Westphalia,No answer / don't know,Next year,0.17504,102,629,0.14532,0.20476
1984,North Rhine-Westphalia,No answer / don't know,In the next 2 to 5 years,0.37011,213,629,0.33234,0.40787
1984,North Rhine-Westphalia,No answer / don't know,"In the distant future, in more than five years",0.20762,128,629,0.17590,0.23935
1984,Hesse,No answer / don't know,As soon as possible,0.30705,80,189,0.24111,0.37298
1984,Hesse,No answer / don't know,In the next 2 to 5 years,0.35774,70,189,0.28922,0.42626
1984,Hesse,No answer / don't know,"In the distant future, in more than five years",0.18706,39,189,0.13131,0.24280
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,As soon as possible,0.30305,41,88,0.20648,0.39962
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,In the next 2 to 5 years,0.35279,47,88,0.25238,0.45320
1984,Baden-Wuerttemberg,No answer / don't know,As soon as possible,0.19952,91,328,0.15621,0.24284
1984,Baden-Wuerttemberg,No answer / don't know,Next year,0.16488,57,328,0.12466,0.20510
1984,Baden-Wuerttemberg,No answer / don't know,In the next 2 to 5 years,0.35301,97,328,0.30121,0.40481
1984,Baden-Wuerttemberg,No answer / don't know,"In the distant future, in more than five years",0.28258,83,328,0.23378,0.33139
1984,Bavaria,No answer / don't know,As soon as possible,0.23802,83,311,0.19061,0.28543
1984,Bavaria,No answer / don't know,Next year,0.13001,39,311,0.09257,0.16745
1984,Bavaria,No answer / don't know,In the next 2 to 5 years,0.36216,111,311,0.30866,0.41567
1984,Bavaria,No answer / don't know,"In the distant future, in more than five years",0.26981,78,311,0.22040,0.31922
1985,Lower Saxony,Urban regions,As soon as possible,0.35664,33,33,0.19068,0.52261
1985,Lower Saxony,Rural regions,As soon as possible,0.43622,48,48,0.29444,0.57800
1985,North Rhine-Westphalia,Urban regions,As soon as possible,0.31163,152,443,0.26845,0.35480
1985,North Rhine-Westphalia,Urban regions,Next year,0.23304,93,443,0.19363,0.27245
1985,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.30884,131,443,0.26577,0.35191
1985,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.14649,67,443,0.11353,0.17946
1985,Hesse,Urban regions,As soon as possible,0.34407,54,95,0.24804,0.44011
1985,Hesse,Urban regions,In the next 2 to 5 years,0.29212,41,95,0.20019,0.38405
1985,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.41822,32,32,0.24458,0.59187
1985,Baden-Wuerttemberg,Urban regions,As soon as possible,0.24927,75,226,0.19274,0.30579
1985,Baden-Wuerttemberg,Urban regions,Next year,0.29307,60,226,0.23360,0.35255
1985,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.27508,57,226,0.21673,0.33343
1985,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.18258,34,226,0.13210,0.23306
1985,Bavaria,Urban regions,As soon as possible,0.20216,36,85,0.11627,0.28804
1985,Bavaria,Urban regions,In the next 2 to 5 years,0.40888,49,85,0.30375,0.51402
1985,Bavaria,Rural regions,As soon as possible,0.45257,42,42,0.30021,0.60493
1986,Lower Saxony,Rural regions,As soon as possible,0.40426,36,36,0.24168,0.56685
1986,North Rhine-Westphalia,Urban regions,As soon as possible,0.32538,163,483,0.28355,0.36721
1986,North Rhine-Westphalia,Urban regions,Next year,0.17037,85,483,0.13681,0.20393
1986,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.33472,159,483,0.29259,0.37685
1986,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.16953,76,483,0.13603,0.20303
1986,Hesse,Urban regions,As soon as possible,0.27113,43,85,0.17606,0.36620
1986,Hesse,Urban regions,In the next 2 to 5 years,0.31208,42,85,0.21299,0.41117
1986,Baden-Wuerttemberg,Urban regions,As soon as possible,0.25966,63,219,0.20145,0.31786
1986,Baden-Wuerttemberg,Urban regions,Next year,0.21703,44,219,0.16230,0.27175
1986,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.28332,64,219,0.22350,0.34314
1986,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.24000,48,219,0.18330,0.29669
1986,Bavaria,Urban regions,As soon as possible,0.22452,37,87,0.13633,0.31271
1986,Bavaria,Urban regions,In the next 2 to 5 years,0.38295,50,87,0.28021,0.48569
1986,Bavaria,Rural regions,As soon as possible,0.41946,35,35,0.25359,0.58533
1987,Lower Saxony,Rural regions,As soon as possible,0.40225,40,40,0.24835,0.55615
1987,North Rhine-Westphalia,Urban regions,As soon as possible,0.28331,144,478,0.24287,0.32374
1987,North Rhine-Westphalia,Urban regions,Next year,0.22782,113,478,0.19018,0.26546
1987,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.33492,151,478,0.29257,0.37728
1987,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.15395,70,478,0.12156,0.18634
1987,Hesse,Urban regions,As soon as possible,0.29121,39,82,0.19227,0.39015
1987,Hesse,Urban regions,In the next 2 to 5 years,0.37770,43,82,0.27212,0.48328
1987,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.43825,37,37,0.27617,0.60033
1987,Baden-Wuerttemberg,Urban regions,As soon as possible,0.21321,61,240,0.16128,0.26513
1987,Baden-Wuerttemberg,Urban regions,Next year,0.22514,52,240,0.17219,0.27809
1987,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.37524,87,240,0.31385,0.43662
1987,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.18642,40,240,0.13704,0.23579
1987,Bavaria,Urban regions,In the next 2 to 5 years,0.41031,49,49,0.27115,0.54946
1988,North Rhine-Westphalia,Urban regions,As soon as possible,0.27400,128,459,0.23315,0.31484
1988,North Rhine-Westphalia,Urban regions,Next year,0.23102,98,459,0.19241,0.26962
1988,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.36460,166,459,0.32052,0.40868
1988,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.13039,67,459,0.09955,0.16123
1988,Hesse,Urban regions,As soon as possible,0.22813,38,110,0.14935,0.30691
1988,Hesse,Urban regions,Next year,0.22174,31,110,0.14375,0.29973
1988,Hesse,Urban regions,In the next 2 to 5 years,0.31387,41,110,0.22675,0.40099
1988,Baden-Wuerttemberg,Urban regions,As soon as possible,0.20558,59,230,0.15323,0.25792
1988,Baden-Wuerttemberg,Urban regions,Next year,0.20987,48,230,0.15713,0.26261
1988,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.39163,83,230,0.32841,0.45485
1988,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.19292,40,230,0.14181,0.24403
1988,Bavaria,Urban regions,As soon as possible,0.18007,31,107,0.10692,0.25322
1988,Bavaria,Urban regions,Next year,0.26257,32,107,0.17880,0.34633
1988,Bavaria,Urban regions,In the next 2 to 5 years,0.40073,44,107,0.30744,0.49403
1989,Lower Saxony,Rural regions,As soon as possible,0.41089,34,34,0.24302,0.57875
1989,North Rhine-Westphalia,Urban regions,As soon as possible,0.26137,109,397,0.21809,0.30465
1989,North Rhine-Westphalia,Urban regions,Next year,0.20919,85,397,0.16913,0.24926
1989,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.35401,138,397,0.30691,0.40111
1989,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.17543,65,397,0.13797,0.21289
1989,Hesse,Urban regions,As soon as possible,0.20668,35,75,0.11442,0.29894
1989,Hesse,Urban regions,In the next 2 to 5 years,0.33878,40,75,0.23094,0.44662
1989,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.40159,32,32,0.22902,0.57416
1989,Baden-Wuerttemberg,Urban regions,As soon as possible,0.16206,40,157,0.10423,0.21989
1989,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.48294,83,157,0.40452,0.56136
1989,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.22393,34,157,0.15851,0.28935
1989,Bavaria,Urban regions,In the next 2 to 5 years,0.46070,50,50,0.32114,0.60027
1990,North Rhine-Westphalia,Urban regions,As soon as possible,0.21868,83,375,0.17679,0.26058
1990,North Rhine-Westphalia,Urban regions,Next year,0.22169,89,375,0.17960,0.26379
1990,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.36959,137,375,0.32067,0.41851
1990,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.19004,66,375,0.15027,0.22980
1990,Hesse,Urban regions,In the next 2 to 5 years,0.41513,38,38,0.25636,0.57391
1990,Baden-Wuerttemberg,Urban regions,Next year,0.19217,34,145,0.12781,0.25652
1990,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.40961,69,145,0.32929,0.48993
1990,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.26851,42,145,0.19612,0.34089
1990,Bavaria,Urban regions,Next year,0.25504,32,77,0.15704,0.35303
1990,Bavaria,Urban regions,In the next 2 to 5 years,0.45099,45,77,0.33912,0.56287
1991,North Rhine-Westphalia,Urban regions,As soon as possible,0.22741,79,332,0.18226,0.27257
1991,North Rhine-Westphalia,Urban regions,Next year,0.20147,71,332,0.15826,0.24468
1991,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.38746,124,332,0.33498,0.43994
1991,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.18365,58,332,0.14194,0.22537
1991,Hesse,Urban regions,In the next 2 to 5 years,0.37729,35,35,0.21436,0.54022
1991,Baden-Wuerttemberg,Urban regions,As soon as possible,0.17075,38,188,0.11681,0.22468
1991,Baden-Wuerttemberg,Urban regions,Next year,0.19092,36,188,0.13459,0.24725
1991,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.39800,77,188,0.32784,0.46816
1991,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.24034,37,188,0.17909,0.30158
1991,Bavaria,Urban regions,In the next 2 to 5 years,0.39510,38,38,0.23757,0.55262
1991,Berlin,Urban regions,As soon as possible,0.51482,46,46,0.36880,0.66085
1991,Brandenburg,Rural regions,As soon as possible,0.50110,39,39,0.34213,0.66008
1991,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.57215,35,35,0.40584,0.73846
1991,Saxony,Urban regions,As soon as possible,0.49027,36,36,0.32465,0.65589
1991,Saxony,Rural regions,As soon as possible,0.49079,31,31,0.31190,0.66968
1991,Saxony-Anhalt,Rural regions,As soon as possible,0.59482,43,43,0.44635,0.74330
1991,Thuringa,Rural regions,As soon as possible,0.46613,35,35,0.29845,0.63382
1992,North Rhine-Westphalia,Urban regions,As soon as possible,0.22988,88,359,0.18629,0.27347
1992,North Rhine-Westphalia,Urban regions,Next year,0.20871,72,359,0.16661,0.25080
1992,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.38647,136,359,0.33603,0.43691
1992,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.17495,63,359,0.13559,0.21430
1992,Hesse,Urban regions,In the next 2 to 5 years,0.47867,46,46,0.33272,0.62463
1992,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.52784,40,40,0.37116,0.68452
1992,Baden-Wuerttemberg,Urban regions,As soon as possible,0.20817,54,204,0.15232,0.26402
1992,Baden-Wuerttemberg,Urban regions,Next year,0.20583,37,204,0.15021,0.26145
1992,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.38276,77,204,0.31589,0.44962
1992,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.20325,36,204,0.14789,0.25861
1992,Bavaria,Urban regions,In the next 2 to 5 years,0.46803,43,43,0.31712,0.61894
1992,Berlin,Urban regions,As soon as possible,0.50779,50,50,0.36781,0.64778
1992,Brandenburg,Rural regions,As soon as possible,0.58406,60,60,0.45829,0.70983
1992,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.69229,46,46,0.55744,0.82714
1992,Saxony,Urban regions,As soon as possible,0.67563,63,63,0.55910,0.79216
1992,Saxony,Rural regions,As soon as possible,0.55955,51,51,0.42194,0.69715
1992,Saxony-Anhalt,Rural regions,As soon as possible,0.62357,48,48,0.48506,0.76209
1992,Thuringa,Rural regions,As soon as possible,0.58167,46,46,0.43754,0.72579
1993,Lower Saxony,Rural regions,In the next 2 to 5 years,0.51911,36,36,0.35358,0.68464
1993,North Rhine-Westphalia,Urban regions,As soon as possible,0.23723,95,364,0.19347,0.28099
1993,North Rhine-Westphalia,Urban regions,Next year,0.21542,73,364,0.17313,0.25771
1993,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.39208,138,364,0.34185,0.44230
1993,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.15527,58,364,0.11802,0.19253
1993,Hesse,Urban regions,In the next 2 to 5 years,0.41804,41,41,0.26518,0.57090
1993,Baden-Wuerttemberg,Urban regions,As soon as possible,0.17382,54,217,0.12329,0.22436
1993,Baden-Wuerttemberg,Urban regions,Next year,0.17448,39,217,0.12386,0.22509
1993,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.49880,88,217,0.43212,0.56548
1993,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.15290,36,217,0.10490,0.20089
1993,Bavaria,Urban regions,In the next 2 to 5 years,0.45927,44,44,0.31032,0.60823
1993,Bavaria,Rural regions,In the next 2 to 5 years,0.41771,34,34,0.24944,0.58598
1993,Berlin,Urban regions,As soon as possible,0.39196,34,34,0.22539,0.55852
1993,Brandenburg,Rural regions,As soon as possible,0.56501,51,51,0.42759,0.70242
1993,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.59250,43,43,0.44389,0.74110
1993,Saxony,Urban regions,As soon as possible,0.57401,56,56,0.44333,0.70470
1993,Saxony,Rural regions,As soon as possible,0.69963,60,60,0.58266,0.81661
1993,Saxony-Anhalt,Rural regions,As soon as possible,0.66045,66,66,0.54532,0.77557
1993,Thuringa,Rural regions,As soon as possible,0.66373,56,56,0.53887,0.78859
1994,North Rhine-Westphalia,Urban regions,As soon as possible,0.25338,115,389,0.21010,0.29666
1994,North Rhine-Westphalia,Urban regions,Next year,0.25956,95,389,0.21594,0.30318
1994,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.33934,123,389,0.29223,0.38645
1994,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.14772,56,389,0.11242,0.18303
1994,Hesse,Urban regions,In the next 2 to 5 years,0.37997,42,42,0.23139,0.52854
1994,Baden-Wuerttemberg,Urban regions,As soon as possible,0.22684,71,241,0.17386,0.27982
1994,Baden-Wuerttemberg,Urban regions,Next year,0.27790,50,241,0.22122,0.33457
1994,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.33688,88,241,0.27708,0.39668
1994,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.15838,32,241,0.11219,0.20457
1994,Bavaria,Urban regions,As soon as possible,0.29658,31,66,0.18554,0.40762
1994,Bavaria,Urban regions,In the next 2 to 5 years,0.30544,35,66,0.19346,0.41741
1994,Bavaria,Rural regions,In the next 2 to 5 years,0.36236,37,37,0.20533,0.51938
1994,Berlin,Urban regions,As soon as possible,0.39402,33,33,0.22471,0.56332
1994,Brandenburg,Rural regions,As soon as possible,0.59492,53,53,0.46149,0.72835
1994,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.68456,49,49,0.55310,0.81602
1994,Saxony,Urban regions,As soon as possible,0.53587,57,57,0.40525,0.66649
1994,Saxony,Rural regions,As soon as possible,0.64138,57,57,0.51577,0.76700
1994,Saxony-Anhalt,Rural regions,As soon as possible,0.74196,59,59,0.62935,0.85457
1994,Thuringa,Rural regions,As soon as possible,0.69833,61,61,0.58219,0.81447
1995,Lower Saxony,Urban regions,As soon as possible,0.44553,35,35,0.27846,0.61260
1995,North Rhine-Westphalia,Urban regions,As soon as possible,0.24099,111,410,0.19954,0.28244
1995,North Rhine-Westphalia,Urban regions,Next year,0.22347,87,410,0.18310,0.26384
1995,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.37261,148,410,0.32575,0.41947
1995,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.16292,64,410,0.12713,0.19871
1995,Hesse,Urban regions,In the next 2 to 5 years,0.44053,49,49,0.30008,0.58097
1995,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.39385,38,38,0.23641,0.55129
1995,Baden-Wuerttemberg,Urban regions,As soon as possible,0.19750,62,255,0.14854,0.24647
1995,Baden-Wuerttemberg,Urban regions,Next year,0.20725,49,255,0.15740,0.25710
1995,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.43133,110,255,0.37042,0.49224
1995,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.16391,34,255,0.11838,0.20944
1995,Bavaria,Urban regions,As soon as possible,0.29111,36,81,0.19156,0.39066
1995,Bavaria,Urban regions,In the next 2 to 5 years,0.33685,45,81,0.23328,0.44042
1995,Bavaria,Rural regions,Next year,0.22629,33,77,0.13222,0.32037
1995,Bavaria,Rural regions,In the next 2 to 5 years,0.36049,44,77,0.25254,0.46844
1995,Berlin,Urban regions,Next year,0.32801,31,31,0.16001,0.49602
1995,Brandenburg,Rural regions,As soon as possible,0.57771,45,45,0.43176,0.72366
1995,Saxony,Urban regions,As soon as possible,0.53526,52,52,0.39838,0.67215
1995,Saxony,Rural regions,As soon as possible,0.50355,43,43,0.35234,0.65477
1995,Saxony-Anhalt,Rural regions,As soon as possible,0.52560,49,49,0.38433,0.66686
1995,Thuringa,Rural regions,As soon as possible,0.63152,49,49,0.49505,0.76799
1996,Lower Saxony,Rural regions,In the next 2 to 5 years,0.41082,38,38,0.25229,0.56935
