year,pgisced97,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Next year,0.24393,47,164,0.17800,0.30986
1984,Pre-primary Level,West,In the next 2 to 5 years,0.40036,76,164,0.32514,0.47558
1984,Pre-primary Level,West,"In the distant future, in more than five years",0.21393,41,164,0.15097,0.27688
1984,Primary Level,West,As soon as possible,0.12910,102,102,0.06370,0.19449
1984,Lower Secondary Level,West,As soon as possible,0.03876,186,602,0.02333,0.05420
1984,Lower Secondary Level,West,Next year,0.02580,99,602,0.01313,0.03848
1984,Lower Secondary Level,West,In the next 2 to 5 years,0.05166,197,602,0.03396,0.06935
1984,Lower Secondary Level,West,"In the distant future, in more than five years",0.02874,120,602,0.01539,0.04210
1984,Upper Secondary Level,West,As soon as possible,0.03701,259,882,0.02454,0.04948
1984,Upper Secondary Level,West,Next year,0.02017,122,882,0.01089,0.02946
1984,Upper Secondary Level,West,In the next 2 to 5 years,0.04829,294,882,0.03413,0.06244
1984,Upper Secondary Level,West,"In the distant future, in more than five years",0.03380,207,882,0.02187,0.04573
1985,Pre-primary Level,West,Next year,0.19675,40,119,0.12502,0.26848
1985,Pre-primary Level,West,In the next 2 to 5 years,0.22724,44,119,0.15163,0.30285
1985,Pre-primary Level,West,"In the distant future, in more than five years",0.20134,35,119,0.12898,0.27369
1985,Primary Level,West,As soon as possible,0.13548,91,91,0.06477,0.20619
1985,Lower Secondary Level,West,As soon as possible,0.04163,181,456,0.02328,0.05999
1985,Lower Secondary Level,West,Next year,0.03399,110,456,0.01734,0.05064
1985,Lower Secondary Level,West,In the next 2 to 5 years,0.03154,108,456,0.01548,0.04760
1985,Lower Secondary Level,West,"In the distant future, in more than five years",0.01461,57,456,0.00358,0.02563
1985,Upper Secondary Level,West,As soon as possible,0.04197,243,632,0.02632,0.05761
1985,Upper Secondary Level,West,Next year,0.01881,109,632,0.00821,0.02941
1985,Upper Secondary Level,West,In the next 2 to 5 years,0.03277,195,632,0.01888,0.04667
1985,Upper Secondary Level,West,"In the distant future, in more than five years",0.01423,85,632,0.00499,0.02347
1986,Pre-primary Level,West,In the next 2 to 5 years,0.30604,66,103,0.21661,0.39548
1986,Pre-primary Level,West,"In the distant future, in more than five years",0.22895,37,103,0.14741,0.31049
1986,Primary Level,West,As soon as possible,0.08906,65,65,0.01928,0.15884
1986,Lower Secondary Level,West,As soon as possible,0.04603,168,440,0.02643,0.06563
1986,Lower Secondary Level,West,Next year,0.02167,79,440,0.00805,0.03529
1986,Lower Secondary Level,West,In the next 2 to 5 years,0.03010,121,440,0.01412,0.04609
1986,Lower Secondary Level,West,"In the distant future, in more than five years",0.02068,72,440,0.00737,0.03400
1986,Upper Secondary Level,West,As soon as possible,0.03423,202,640,0.02013,0.04832
1986,Upper Secondary Level,West,Next year,0.02059,113,640,0.00958,0.03160
1986,Upper Secondary Level,West,In the next 2 to 5 years,0.03521,200,640,0.02092,0.04950
1986,Upper Secondary Level,West,"In the distant future, in more than five years",0.02165,125,640,0.01037,0.03294
1987,Pre-primary Level,West,Next year,0.17729,39,134,0.11238,0.24219
1987,Pre-primary Level,West,In the next 2 to 5 years,0.32494,60,134,0.24534,0.40454
1987,Pre-primary Level,West,"In the distant future, in more than five years",0.21763,35,134,0.14751,0.28776
1987,Primary Level,West,As soon as possible,0.10879,69,69,0.03478,0.18280
1987,Lower Secondary Level,West,As soon as possible,0.04100,159,453,0.02272,0.05928
1987,Lower Secondary Level,West,Next year,0.02331,107,453,0.00940,0.03722
1987,Lower Secondary Level,West,In the next 2 to 5 years,0.03198,121,453,0.01576,0.04820
1987,Lower Secondary Level,West,"In the distant future, in more than five years",0.01708,66,453,0.00514,0.02903
1987,Upper Secondary Level,West,As soon as possible,0.03508,201,648,0.02090,0.04926
1987,Upper Secondary Level,West,Next year,0.02499,132,648,0.01297,0.03702
1987,Upper Secondary Level,West,In the next 2 to 5 years,0.03876,215,648,0.02389,0.05363
1987,Upper Secondary Level,West,"In the distant future, in more than five years",0.01852,100,648,0.00813,0.02891
1988,Pre-primary Level,West,In the next 2 to 5 years,0.36650,55,91,0.26695,0.46605
1988,Pre-primary Level,West,"In the distant future, in more than five years",0.20091,36,91,0.11813,0.28369
1988,Primary Level,West,As soon as possible,0.08680,55,55,0.01171,0.16190
1988,Lower Secondary Level,West,As soon as possible,0.04141,158,437,0.02271,0.06011
