year,age_gr,bula_h,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Saxony,Next year,0.22745,31,89,0.13987,0.31503
1984,17-29 y.,Lower Saxony,In the next 2 to 5 years,0.42059,58,89,0.31745,0.52373
1984,17-29 y.,North Rhine-Westphalia,As soon as possible,0.20429,93,379,0.16364,0.24493
1984,17-29 y.,North Rhine-Westphalia,Next year,0.19903,70,379,0.15878,0.23928
1984,17-29 y.,North Rhine-Westphalia,In the next 2 to 5 years,0.42460,147,379,0.37477,0.47442
1984,17-29 y.,North Rhine-Westphalia,"In the distant future, in more than five years",0.17209,69,379,0.13404,0.21014
1984,17-29 y.,Hesse,As soon as possible,0.25374,42,92,0.16433,0.34315
1984,17-29 y.,Hesse,In the next 2 to 5 years,0.38857,50,92,0.28842,0.48872
1984,17-29 y.,Baden-Wuerttemberg,As soon as possible,0.16835,40,186,0.11443,0.22227
1984,17-29 y.,Baden-Wuerttemberg,Next year,0.19677,42,186,0.13949,0.25406
1984,17-29 y.,Baden-Wuerttemberg,In the next 2 to 5 years,0.39380,63,186,0.32340,0.46421
1984,17-29 y.,Baden-Wuerttemberg,"In the distant future, in more than five years",0.24107,41,186,0.17943,0.30271
1984,17-29 y.,Bavaria,As soon as possible,0.23403,43,174,0.17094,0.29712
1984,17-29 y.,Bavaria,Next year,0.18145,31,174,0.12402,0.23888
1984,17-29 y.,Bavaria,In the next 2 to 5 years,0.35044,61,174,0.27934,0.42154
1984,17-29 y.,Bavaria,"In the distant future, in more than five years",0.23408,39,174,0.17098,0.29718
1984,30-45 y.,North Rhine-Westphalia,As soon as possible,0.29072,66,177,0.22363,0.35781
1984,30-45 y.,North Rhine-Westphalia,In the next 2 to 5 years,0.30743,55,177,0.23926,0.37560
1984,30-45 y.,North Rhine-Westphalia,"In the distant future, in more than five years",0.31995,56,177,0.25103,0.38886
1984,30-45 y.,Baden-Wuerttemberg,As soon as possible,0.21948,31,71,0.12252,0.31644
1984,30-45 y.,Baden-Wuerttemberg,"In the distant future, in more than five years",0.38008,40,71,0.26637,0.49379
1984,30-45 y.,Bavaria,In the next 2 to 5 years,0.41864,43,78,0.30844,0.52883
