year,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,As soon as possible,0.35640,286,698,0.32085,0.39196
1984,male,Next year,0.17152,114,698,0.14354,0.19951
1984,male,In the next 2 to 5 years,0.32648,207,698,0.29167,0.36129
1984,male,"In the distant future, in more than five years",0.14559,91,698,0.11941,0.17178
1984,female,As soon as possible,0.20413,328,1348,0.18260,0.22565
1984,female,Next year,0.16263,209,1348,0.14292,0.18234
1984,female,In the next 2 to 5 years,0.36510,459,1348,0.33939,0.39081
1984,female,"In the distant future, in more than five years",0.26814,352,1348,0.24448,0.29180
1985,male,As soon as possible,0.42841,295,631,0.38976,0.46705
1985,male,Next year,0.20086,118,631,0.16958,0.23215
1985,male,In the next 2 to 5 years,0.25007,147,631,0.21625,0.28388
1985,male,"In the distant future, in more than five years",0.12066,71,631,0.09523,0.14610
1985,female,As soon as possible,0.27544,292,940,0.24687,0.30402
1985,female,Next year,0.24336,207,940,0.21591,0.27080
1985,female,In the next 2 to 5 years,0.32548,297,940,0.29551,0.35545
1985,female,"In the distant future, in more than five years",0.15572,144,940,0.13252,0.17891
1986,male,As soon as possible,0.34921,237,605,0.31119,0.38723
1986,male,Next year,0.19437,111,605,0.16281,0.22592
1986,male,In the next 2 to 5 years,0.31309,180,605,0.27611,0.35008
1986,male,"In the distant future, in more than five years",0.14334,77,605,0.11539,0.17128
1986,female,As soon as possible,0.29617,270,926,0.26674,0.32559
1986,female,Next year,0.17391,165,926,0.14948,0.19834
1986,female,In the next 2 to 5 years,0.30083,294,926,0.27128,0.33039
1986,female,"In the distant future, in more than five years",0.22909,197,926,0.20201,0.25617
1987,male,As soon as possible,0.38819,244,596,0.34903,0.42734
1987,male,Next year,0.19225,119,596,0.16058,0.22391
1987,male,In the next 2 to 5 years,0.31477,171,596,0.27745,0.35209
1987,male,"In the distant future, in more than five years",0.10480,62,596,0.08019,0.12941
1987,female,As soon as possible,0.25318,254,972,0.22583,0.28053
1987,female,Next year,0.23222,230,972,0.20566,0.25878
1987,female,In the next 2 to 5 years,0.31703,305,972,0.28776,0.34630
1987,female,"In the distant future, in more than five years",0.19757,183,972,0.17252,0.22261
1988,male,As soon as possible,0.33211,223,581,0.29378,0.37044
1988,male,Next year,0.25873,128,581,0.22309,0.29438
1988,male,In the next 2 to 5 years,0.30468,170,581,0.26722,0.34214
1988,male,"In the distant future, in more than five years",0.10448,60,581,0.07958,0.12937
1988,female,As soon as possible,0.22761,220,924,0.20056,0.25466
1988,female,Next year,0.23208,217,924,0.20485,0.25932
1988,female,In the next 2 to 5 years,0.35999,328,924,0.32902,0.39096
1988,female,"In the distant future, in more than five years",0.18031,159,924,0.15551,0.20511
1989,male,As soon as possible,0.31613,178,496,0.27517,0.35709
1989,male,Next year,0.20844,99,496,0.17266,0.24423
1989,male,In the next 2 to 5 years,0.34672,163,496,0.30479,0.38865
1989,male,"In the distant future, in more than five years",0.12871,56,496,0.09921,0.15821
1989,female,As soon as possible,0.21001,184,823,0.18216,0.23785
1989,female,Next year,0.19684,162,823,0.16965,0.22402
1989,female,In the next 2 to 5 years,0.39457,323,823,0.36116,0.42798
1989,female,"In the distant future, in more than five years",0.19859,154,823,0.17132,0.22586
1990,male,As soon as possible,0.29225,189,576,0.25508,0.32942
1990,male,Next year,0.24679,145,576,0.21155,0.28203
1990,male,In the next 2 to 5 years,0.30714,165,576,0.26943,0.34484
1990,male,"In the distant future, in more than five years",0.15382,77,576,0.12433,0.18331
1990,female,As soon as possible,0.20252,209,969,0.17720,0.22784
1990,female,Next year,0.23991,254,969,0.21301,0.26681
1990,female,In the next 2 to 5 years,0.36822,341,969,0.33784,0.39861
1990,female,"In the distant future, in more than five years",0.18934,165,969,0.16466,0.21402
1991,male,As soon as possible,0.38886,262,614,0.35027,0.42745
1991,male,Next year,0.23671,135,614,0.20306,0.27036
1991,male,In the next 2 to 5 years,0.25514,145,614,0.22063,0.28965
1991,male,"In the distant future, in more than five years",0.11930,72,614,0.09364,0.14496
1991,female,As soon as possible,0.22606,279,1057,0.20083,0.25129
1991,female,Next year,0.22600,252,1057,0.20077,0.25122
1991,female,In the next 2 to 5 years,0.38057,373,1057,0.35128,0.40985
1991,female,"In the distant future, in more than five years",0.16738,153,1057,0.14486,0.18989
1992,male,As soon as possible,0.41380,300,663,0.37628,0.45132
1992,male,Next year,0.20852,131,663,0.17757,0.23946
1992,male,In the next 2 to 5 years,0.27582,173,663,0.24177,0.30986
1992,male,"In the distant future, in more than five years",0.10187,59,663,0.07882,0.12491
1992,female,As soon as possible,0.27446,384,1253,0.24974,0.29918
1992,female,Next year,0.25894,306,1253,0.23467,0.28320
1992,female,In the next 2 to 5 years,0.33565,409,1253,0.30950,0.36181
1992,female,"In the distant future, in more than five years",0.13095,154,1253,0.11226,0.14964
1993,male,As soon as possible,0.44611,316,690,0.40899,0.48323
1993,male,Next year,0.22860,156,690,0.19724,0.25996
1993,male,In the next 2 to 5 years,0.24367,159,690,0.21161,0.27572
1993,male,"In the distant future, in more than five years",0.08162,59,690,0.06118,0.10207
1993,female,As soon as possible,0.29483,403,1229,0.26933,0.32033
1993,female,Next year,0.20095,251,1229,0.17854,0.22337
1993,female,In the next 2 to 5 years,0.37556,417,1229,0.34847,0.40264
1993,female,"In the distant future, in more than five years",0.12866,158,1229,0.10994,0.14739
1994,male,As soon as possible,0.48938,377,726,0.45299,0.52577
1994,male,Next year,0.23046,158,726,0.19981,0.26112
1994,male,In the next 2 to 5 years,0.20822,140,726,0.17866,0.23777
1994,male,"In the distant future, in more than five years",0.07194,51,726,0.05313,0.09075
1994,female,As soon as possible,0.28658,411,1287,0.26186,0.31129
1994,female,Next year,0.22396,273,1287,0.20117,0.24674
1994,female,In the next 2 to 5 years,0.35953,439,1287,0.33331,0.38576
1994,female,"In the distant future, in more than five years",0.12993,164,1287,0.11156,0.14831
1995,male,As soon as possible,0.45243,348,751,0.41681,0.48805
1995,male,Next year,0.24226,184,751,0.21159,0.27292
1995,male,In the next 2 to 5 years,0.21220,158,751,0.18294,0.24146
1995,male,"In the distant future, in more than five years",0.09311,61,751,0.07232,0.11391
1995,female,As soon as possible,0.25776,380,1373,0.23461,0.28090
1995,female,Next year,0.20041,279,1373,0.17922,0.22159
1995,female,In the next 2 to 5 years,0.40294,523,1373,0.37698,0.42889
1995,female,"In the distant future, in more than five years",0.13890,191,1373,0.12060,0.15720
1996,male,As soon as possible,0.48344,394,778,0.44831,0.51858
1996,male,Next year,0.18537,143,778,0.15804,0.21269
1996,male,In the next 2 to 5 years,0.25000,181,778,0.21955,0.28044
1996,male,"In the distant future, in more than five years",0.08119,60,778,0.06199,0.10040
1996,female,As soon as possible,0.25049,372,1352,0.22738,0.27359
1996,female,Next year,0.25205,340,1352,0.22890,0.27520
1996,female,In the next 2 to 5 years,0.35321,458,1352,0.32772,0.37870
1996,female,"In the distant future, in more than five years",0.14425,182,1352,0.12552,0.16299
1997,male,As soon as possible,0.51895,415,786,0.48400,0.55391
1997,male,Next year,0.19969,152,786,0.17173,0.22766
1997,male,In the next 2 to 5 years,0.18949,156,786,0.16207,0.21690
1997,male,"In the distant future, in more than five years",0.09186,63,786,0.07166,0.11207
1997,female,As soon as possible,0.28103,408,1326,0.25683,0.30523
1997,female,Next year,0.20697,255,1326,0.18516,0.22879
1997,female,In the next 2 to 5 years,0.39672,498,1326,0.37038,0.42306
1997,female,"In the distant future, in more than five years",0.11528,165,1326,0.09808,0.13247
1998,male,As soon as possible,0.52768,451,845,0.49400,0.56136
1998,male,Next year,0.18668,155,845,0.16039,0.21297
1998,male,In the next 2 to 5 years,0.20510,171,845,0.17786,0.23235
1998,male,"In the distant future, in more than five years",0.08054,68,845,0.06218,0.09890
1998,female,As soon as possible,0.27769,408,1367,0.25394,0.30144
1998,female,Next year,0.22277,302,1367,0.20070,0.24483
1998,female,In the next 2 to 5 years,0.35402,463,1367,0.32866,0.37938
1998,female,"In the distant future, in more than five years",0.14553,194,1367,0.12683,0.16423
1999,male,As soon as possible,0.50857,354,700,0.47151,0.54563
1999,male,Next year,0.19541,143,700,0.16601,0.22481
1999,male,In the next 2 to 5 years,0.20060,143,700,0.17091,0.23029
1999,male,"In the distant future, in more than five years",0.09542,60,700,0.07364,0.11720
1999,female,As soon as possible,0.26226,334,1222,0.23759,0.28694
1999,female,Next year,0.23269,277,1222,0.20899,0.25640
1999,female,In the next 2 to 5 years,0.38637,452,1222,0.35906,0.41369
1999,female,"In the distant future, in more than five years",0.11867,159,1222,0.10053,0.13681
2000,male,As soon as possible,0.46514,559,1193,0.43683,0.49346
2000,male,Next year,0.21600,261,1193,0.19264,0.23936
2000,male,In the next 2 to 5 years,0.22562,268,1193,0.20189,0.24935
2000,male,"In the distant future, in more than five years",0.09323,105,1193,0.07673,0.10974
2000,female,As soon as possible,0.24689,539,2144,0.22863,0.26515
2000,female,Next year,0.22664,473,2144,0.20891,0.24437
2000,female,In the next 2 to 5 years,0.38616,817,2144,0.36555,0.40677
2000,female,"In the distant future, in more than five years",0.14031,315,2144,0.12561,0.15502
2001,male,As soon as possible,0.49961,525,1080,0.46978,0.52945
2001,male,Next year,0.21449,226,1080,0.19000,0.23899
2001,male,In the next 2 to 5 years,0.20141,233,1080,0.17748,0.22534
2001,male,"In the distant future, in more than five years",0.08449,96,1080,0.06789,0.10108
2001,female,As soon as possible,0.24328,467,1879,0.22388,0.26269
2001,female,Next year,0.24282,426,1879,0.22343,0.26221
2001,female,In the next 2 to 5 years,0.37528,719,1879,0.35338,0.39718
2001,female,"In the distant future, in more than five years",0.13862,267,1879,0.12299,0.15425
2002,male,As soon as possible,0.52252,575,1222,0.49450,0.55054
2002,male,Next year,0.19079,224,1222,0.16875,0.21283
2002,male,In the next 2 to 5 years,0.20416,287,1222,0.18155,0.22677
2002,male,"In the distant future, in more than five years",0.08253,136,1222,0.06709,0.09796
2002,female,As soon as possible,0.29185,523,1940,0.27161,0.31208
2002,female,Next year,0.23688,449,1940,0.21795,0.25580
2002,female,In the next 2 to 5 years,0.35044,716,1940,0.32921,0.37168
2002,female,"In the distant future, in more than five years",0.12083,252,1940,0.10632,0.13534
2003,male,As soon as possible,0.56261,644,1263,0.53525,0.58998
2003,male,Next year,0.16782,223,1263,0.14720,0.18844
2003,male,In the next 2 to 5 years,0.21083,299,1263,0.18832,0.23333
2003,male,"In the distant future, in more than five years",0.05874,97,1263,0.04576,0.07171
2003,female,As soon as possible,0.32990,552,1811,0.30824,0.35156
2003,female,Next year,0.25872,445,1811,0.23855,0.27890
2003,female,In the next 2 to 5 years,0.31020,596,1811,0.28889,0.33151
2003,female,"In the distant future, in more than five years",0.10118,218,1811,0.08728,0.11507
2004,male,As soon as possible,0.55173,660,1296,0.52464,0.57882
2004,male,Next year,0.17781,212,1296,0.15698,0.19863
2004,male,In the next 2 to 5 years,0.20518,303,1296,0.18319,0.22718
