,Unnamed: 0,year,age_gr,sex,plb0418,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,17-29 y.,male,As soon as possible,0.24321,154,1974,0.21779,0.27216
1,1,1984,17-29 y.,male,Next year,0.17959,90,1974,0.16106,0.19798
2,2,1984,17-29 y.,male,In the next 2 to 5 years,0.40162,198,1974,0.37583,0.42877
3,3,1984,17-29 y.,male,"In the distant future, in more than five years",0.17559,87,1974,0.15831,0.19039
4,4,1984,17-29 y.,female,As soon as possible,0.18217,141,1974,0.16143,0.20521
5,5,1984,17-29 y.,female,Next year,0.21416,139,1974,0.19368,0.23389
6,6,1984,17-29 y.,female,In the next 2 to 5 years,0.39136,243,1974,0.36429,0.4117
7,7,1984,17-29 y.,female,"In the distant future, in more than five years",0.21231,143,1974,0.19303,0.22853
8,8,1984,30-45 y.,male,As soon as possible,1.0,73,1974,0.87017,1.10686
9,9,1984,30-45 y.,female,As soon as possible,0.18405,128,1974,0.16426,0.20659
10,10,1984,30-45 y.,female,Next year,0.09183,49,1974,0.07739,0.1038
11,11,1984,30-45 y.,female,In the next 2 to 5 years,0.34535,178,1974,0.32389,0.36334
12,12,1984,30-45 y.,female,"In the distant future, in more than five years",0.37877,195,1974,0.35498,0.40054
13,13,1984,46-65 y.,male,As soon as possible,1.0,59,1974,0.79459,1.20401
14,14,1984,46-65 y.,female,As soon as possible,0.54187,59,1974,0.43655,0.65596
15,15,1984,46-65 y.,female,In the next 2 to 5 years,0.45813,38,1974,0.40048,0.51024
16,16,1985,17-29 y.,male,As soon as possible,0.26522,141,1500,0.23069,0.29452
17,17,1985,17-29 y.,male,Next year,0.24376,102,1500,0.22009,0.26267
18,18,1985,17-29 y.,male,In the next 2 to 5 years,0.33109,140,1500,0.30496,0.35664
19,19,1985,17-29 y.,male,"In the distant future, in more than five years",0.15993,68,1500,0.1417,0.17407
20,20,1985,17-29 y.,female,As soon as possible,0.22769,124,1500,0.20249,0.25901
21,21,1985,17-29 y.,female,Next year,0.29182,128,1500,0.26413,0.32006
22,22,1985,17-29 y.,female,In the next 2 to 5 years,0.34368,164,1500,0.31805,0.37317
23,23,1985,17-29 y.,female,"In the distant future, in more than five years",0.13681,67,1500,0.11926,0.15454
24,24,1985,30-45 y.,male,As soon as possible,1.0,81,1500,0.86171,1.13452
25,25,1985,30-45 y.,female,As soon as possible,0.27052,111,1500,0.22927,0.30458
26,26,1985,30-45 y.,female,Next year,0.15729,55,1500,0.13594,0.1769
27,27,1985,30-45 y.,female,In the next 2 to 5 years,0.3439,115,1500,0.32118,0.36829
28,28,1985,30-45 y.,female,"In the distant future, in more than five years",0.2283,74,1500,0.20618,0.24978
29,29,1985,46-65 y.,male,As soon as possible,1.0,73,1500,0.83847,1.14751
30,30,1985,46-65 y.,female,As soon as possible,1.0,57,1500,0.83217,1.18853
31,31,1986,17-29 y.,male,As soon as possible,0.18037,101,1457,0.15345,0.211
32,32,1986,17-29 y.,male,Next year,0.22864,98,1457,0.1978,0.25184
33,33,1986,17-29 y.,male,In the next 2 to 5 years,0.39836,165,1457,0.36045,0.43034
34,34,1986,17-29 y.,male,"In the distant future, in more than five years",0.19263,76,1457,0.17181,0.2145
35,35,1986,17-29 y.,female,As soon as possible,0.28175,118,1457,0.24488,0.32331
36,36,1986,17-29 y.,female,Next year,0.22152,98,1457,0.19508,0.24932
