year,pgisced97,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,1st Quintile,As soon as possible,0.60387,56,56,0.47461,0.73313
1984,Lower Secondary Level,1st Quintile,As soon as possible,0.35345,97,243,0.29322,0.41368
1984,Lower Secondary Level,1st Quintile,Next year,0.15829,36,243,0.11230,0.20428
1984,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.32453,69,243,0.26554,0.38352
1984,Lower Secondary Level,1st Quintile,"In the distant future, in more than five years",0.16373,41,243,0.11711,0.21035
1984,Lower Secondary Level,2nd Quintile,As soon as possible,0.24432,39,90,0.15505,0.33359
1984,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.36851,51,90,0.26828,0.46873
1984,Lower Secondary Level,3rd Quintile,In the next 2 to 5 years,0.47618,41,41,0.32140,0.63096
1984,Upper Secondary Level,1st Quintile,As soon as possible,0.34742,99,227,0.28534,0.40950
1984,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.34366,79,227,0.28174,0.40558
1984,Upper Secondary Level,1st Quintile,"In the distant future, in more than five years",0.20120,49,227,0.14893,0.25347
1984,Upper Secondary Level,2nd Quintile,As soon as possible,0.25756,60,219,0.19951,0.31561
1984,Upper Secondary Level,2nd Quintile,Next year,0.15607,33,219,0.10790,0.20425
1984,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.33673,74,219,0.27399,0.39946
1984,Upper Secondary Level,2nd Quintile,"In the distant future, in more than five years",0.24964,52,219,0.19219,0.30710
1984,Upper Secondary Level,3rd Quintile,As soon as possible,0.27955,49,145,0.20625,0.35286
1984,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.31215,51,145,0.23647,0.38783
1984,Upper Secondary Level,3rd Quintile,"In the distant future, in more than five years",0.28695,45,145,0.21307,0.36083
1984,Upper Secondary Level,4th Quintile,As soon as possible,0.21194,34,121,0.13881,0.28506
