year,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Next year,0.24393,47,164,0.17800,0.30986
1984,Pre-primary Level,In the next 2 to 5 years,0.40036,76,164,0.32514,0.47558
1984,Pre-primary Level,"In the distant future, in more than five years",0.21393,41,164,0.15097,0.27688
1984,Primary Level,As soon as possible,0.12910,102,102,0.06370,0.19449
1984,Lower Secondary Level,As soon as possible,0.03876,186,602,0.02333,0.05420
1984,Lower Secondary Level,Next year,0.02580,99,602,0.01313,0.03848
1984,Lower Secondary Level,In the next 2 to 5 years,0.05166,197,602,0.03396,0.06935
1984,Lower Secondary Level,"In the distant future, in more than five years",0.02874,120,602,0.01539,0.04210
1984,Upper Secondary Level,As soon as possible,0.03701,259,882,0.02454,0.04948
1984,Upper Secondary Level,Next year,0.02017,122,882,0.01089,0.02946
1984,Upper Secondary Level,In the next 2 to 5 years,0.04829,294,882,0.03413,0.06244
1984,Upper Secondary Level,"In the distant future, in more than five years",0.03380,207,882,0.02187,0.04573
1985,Pre-primary Level,Next year,0.19675,40,119,0.12502,0.26848
1985,Pre-primary Level,In the next 2 to 5 years,0.22724,44,119,0.15163,0.30285
1985,Pre-primary Level,"In the distant future, in more than five years",0.20134,35,119,0.12898,0.27369
1985,Primary Level,As soon as possible,0.13548,91,91,0.06477,0.20619
1985,Lower Secondary Level,As soon as possible,0.04163,181,456,0.02328,0.05999
1985,Lower Secondary Level,Next year,0.03399,110,456,0.01734,0.05064
1985,Lower Secondary Level,In the next 2 to 5 years,0.03154,108,456,0.01548,0.04760
1985,Lower Secondary Level,"In the distant future, in more than five years",0.01461,57,456,0.00358,0.02563
1985,Upper Secondary Level,As soon as possible,0.04197,243,632,0.02632,0.05761
1985,Upper Secondary Level,Next year,0.01881,109,632,0.00821,0.02941
1985,Upper Secondary Level,In the next 2 to 5 years,0.03277,195,632,0.01888,0.04667
1985,Upper Secondary Level,"In the distant future, in more than five years",0.01423,85,632,0.00499,0.02347
