year,bula_h,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,As soon as possible,0.26342,71,234,0.20686,0.31998
1984,Lower Saxony,Next year,0.18376,39,234,0.13403,0.23349
1984,Lower Saxony,In the next 2 to 5 years,0.32658,74,234,0.26636,0.38680
1984,Lower Saxony,"In the distant future, in more than five years",0.22624,50,234,0.17252,0.27997
1984,North Rhine-Westphalia,As soon as possible,0.24723,186,629,0.21349,0.28098
1984,North Rhine-Westphalia,Next year,0.17504,102,629,0.14532,0.20476
1984,North Rhine-Westphalia,In the next 2 to 5 years,0.37011,213,629,0.33234,0.40787
1984,North Rhine-Westphalia,"In the distant future, in more than five years",0.20762,128,629,0.17590,0.23935
1984,Hesse,As soon as possible,0.30705,80,189,0.24111,0.37298
1984,Hesse,In the next 2 to 5 years,0.35774,70,189,0.28922,0.42626
1984,Hesse,"In the distant future, in more than five years",0.18706,39,189,0.13131,0.24280
1984,"Rhineland-Palatinate, Saarland",As soon as possible,0.30305,41,88,0.20648,0.39962
1984,"Rhineland-Palatinate, Saarland",In the next 2 to 5 years,0.35279,47,88,0.25238,0.45320
1984,Baden-Wuerttemberg,As soon as possible,0.19952,91,328,0.15621,0.24284
1984,Baden-Wuerttemberg,Next year,0.16488,57,328,0.12466,0.20510
1984,Baden-Wuerttemberg,In the next 2 to 5 years,0.35301,97,328,0.30121,0.40481
1984,Baden-Wuerttemberg,"In the distant future, in more than five years",0.28258,83,328,0.23378,0.33139
1984,Bavaria,As soon as possible,0.23802,83,311,0.19061,0.28543
1984,Bavaria,Next year,0.13001,39,311,0.09257,0.16745
1984,Bavaria,In the next 2 to 5 years,0.36216,111,311,0.30866,0.41567
1984,Bavaria,"In the distant future, in more than five years",0.26981,78,311,0.22040,0.31922
1985,Lower Saxony,As soon as possible,0.40361,81,170,0.32964,0.47758
1985,Lower Saxony,Next year,0.20970,38,170,0.14832,0.27107
1985,Lower Saxony,In the next 2 to 5 years,0.25480,51,170,0.18910,0.32050
1985,North Rhine-Westphalia,As soon as possible,0.31197,155,454,0.26930,0.35463
1985,North Rhine-Westphalia,Next year,0.23837,97,454,0.19913,0.27761
1985,North Rhine-Westphalia,In the next 2 to 5 years,0.30607,134,454,0.26363,0.34851
1985,North Rhine-Westphalia,"In the distant future, in more than five years",0.14360,68,454,0.11131,0.17589
1985,Hesse,As soon as possible,0.37497,72,121,0.28835,0.46159
1985,Hesse,In the next 2 to 5 years,0.29456,49,121,0.21300,0.37612
1985,"Rhineland-Palatinate, Saarland",As soon as possible,0.43020,38,38,0.27067,0.58973
1985,Baden-Wuerttemberg,As soon as possible,0.23461,88,267,0.18369,0.28553
1985,Baden-Wuerttemberg,Next year,0.27391,67,267,0.22032,0.32750
1985,Baden-Wuerttemberg,In the next 2 to 5 years,0.30961,71,267,0.25405,0.36517
1985,Baden-Wuerttemberg,"In the distant future, in more than five years",0.18188,41,267,0.13552,0.22823
1985,Bavaria,As soon as possible,0.32519,78,201,0.26026,0.39011
1985,Bavaria,Next year,0.24612,53,201,0.18642,0.30582
1985,Bavaria,In the next 2 to 5 years,0.29659,70,201,0.23328,0.35989
1986,Lower Saxony,As soon as possible,0.30369,50,173,0.23496,0.37241
1986,Lower Saxony,Next year,0.19457,35,173,0.13541,0.25374
1986,Lower Saxony,In the next 2 to 5 years,0.23144,43,173,0.16841,0.29447
1986,Lower Saxony,"In the distant future, in more than five years",0.27030,45,173,0.20393,0.33668
1986,North Rhine-Westphalia,As soon as possible,0.32620,166,493,0.28477,0.36763
1986,North Rhine-Westphalia,Next year,0.17229,87,493,0.13892,0.20566
1986,North Rhine-Westphalia,In the next 2 to 5 years,0.33526,163,493,0.29354,0.37697
1986,North Rhine-Westphalia,"In the distant future, in more than five years",0.16625,77,493,0.13336,0.19915
1986,Hesse,As soon as possible,0.26690,55,104,0.18148,0.35233
1986,Hesse,In the next 2 to 5 years,0.32756,49,104,0.23692,0.41820
1986,Baden-Wuerttemberg,As soon as possible,0.25055,72,259,0.19767,0.30343
1986,Baden-Wuerttemberg,Next year,0.20582,52,259,0.15649,0.25515
1986,Baden-Wuerttemberg,In the next 2 to 5 years,0.29152,78,259,0.23607,0.34698
1986,Baden-Wuerttemberg,"In the distant future, in more than five years",0.25211,57,259,0.19912,0.30509
1986,Bavaria,As soon as possible,0.30980,72,223,0.24897,0.37063
1986,Bavaria,Next year,0.21919,47,223,0.16477,0.27361
1986,Bavaria,In the next 2 to 5 years,0.28504,65,223,0.22565,0.34442
1986,Bavaria,"In the distant future, in more than five years",0.18597,39,223,0.13479,0.23715
1987,Lower Saxony,As soon as possible,0.31788,58,187,0.25096,0.38480
1987,Lower Saxony,Next year,0.23128,46,187,0.17069,0.29188
1987,Lower Saxony,In the next 2 to 5 years,0.26866,49,187,0.20496,0.33237
1987,Lower Saxony,"In the distant future, in more than five years",0.18217,34,187,0.12670,0.23764
1987,North Rhine-Westphalia,As soon as possible,0.28133,146,490,0.24147,0.32118
1987,North Rhine-Westphalia,Next year,0.23130,117,490,0.19392,0.26867
1987,North Rhine-Westphalia,In the next 2 to 5 years,0.33305,155,490,0.29128,0.37482
1987,North Rhine-Westphalia,"In the distant future, in more than five years",0.15433,72,490,0.12231,0.18635
1987,Hesse,As soon as possible,0.27663,47,128,0.19883,0.35443
1987,Hesse,Next year,0.25375,35,128,0.17807,0.32943
1987,Hesse,In the next 2 to 5 years,0.36636,46,128,0.28256,0.45015
1987,"Rhineland-Palatinate, Saarland",As soon as possible,0.41872,44,44,0.27126,0.56619
1987,Baden-Wuerttemberg,As soon as possible,0.22453,75,275,0.17512,0.27394
1987,Baden-Wuerttemberg,Next year,0.21335,57,275,0.16484,0.26186
1987,Baden-Wuerttemberg,In the next 2 to 5 years,0.39523,102,275,0.33734,0.45312
1987,Baden-Wuerttemberg,"In the distant future, in more than five years",0.16689,41,275,0.12274,0.21104
1987,Bavaria,As soon as possible,0.28984,57,210,0.22833,0.35135
1987,Bavaria,Next year,0.20186,51,210,0.14744,0.25627
1987,Bavaria,In the next 2 to 5 years,0.33024,67,210,0.26648,0.39401
1987,Bavaria,"In the distant future, in more than five years",0.17806,35,210,0.12619,0.22993
1988,Lower Saxony,As soon as possible,0.28430,47,141,0.20958,0.35902
1988,Lower Saxony,Next year,0.21751,38,141,0.14917,0.28585
1988,Lower Saxony,In the next 2 to 5 years,0.33786,56,141,0.25951,0.41621
1988,North Rhine-Westphalia,As soon as possible,0.27342,131,475,0.23330,0.31355
1988,North Rhine-Westphalia,Next year,0.24523,107,475,0.20650,0.28396
1988,North Rhine-Westphalia,In the next 2 to 5 years,0.35522,169,475,0.31214,0.39831
1988,North Rhine-Westphalia,"In the distant future, in more than five years",0.12613,68,475,0.09624,0.15601
1988,Hesse,As soon as possible,0.25514,52,129,0.17962,0.33067
1988,Hesse,Next year,0.24452,36,129,0.17006,0.31898
1988,Hesse,In the next 2 to 5 years,0.26740,41,129,0.19072,0.34408
1988,"Rhineland-Palatinate, Saarland",As soon as possible,0.34906,36,68,0.23492,0.46320
1988,"Rhineland-Palatinate, Saarland",In the next 2 to 5 years,0.29984,32,68,0.19012,0.40955
1988,Baden-Wuerttemberg,As soon as possible,0.21243,72,262,0.16281,0.26205
1988,Baden-Wuerttemberg,Next year,0.20309,53,262,0.15429,0.25190
1988,Baden-Wuerttemberg,In the next 2 to 5 years,0.39419,93,262,0.33490,0.45348
1988,Baden-Wuerttemberg,"In the distant future, in more than five years",0.19029,44,262,0.14266,0.23791
1988,Bavaria,As soon as possible,0.22297,53,179,0.16182,0.28411
1988,Bavaria,Next year,0.30914,59,179,0.24125,0.37704
1988,Bavaria,In the next 2 to 5 years,0.34241,67,179,0.27270,0.41212
1989,Lower Saxony,As soon as possible,0.32743,48,90,0.22994,0.42493
1989,Lower Saxony,In the next 2 to 5 years,0.31301,42,90,0.21667,0.40935
1989,North Rhine-Westphalia,As soon as possible,0.27208,112,405,0.22868,0.31548
1989,North Rhine-Westphalia,Next year,0.20817,87,405,0.16858,0.24776
1989,North Rhine-Westphalia,In the next 2 to 5 years,0.35105,141,405,0.30451,0.39759
1989,North Rhine-Westphalia,"In the distant future, in more than five years",0.16870,65,405,0.13218,0.20522
1989,Hesse,As soon as possible,0.24172,43,118,0.16415,0.31930
1989,Hesse,Next year,0.24464,32,118,0.16675,0.32253
1989,Hesse,In the next 2 to 5 years,0.30988,43,118,0.22609,0.39368
1989,"Rhineland-Palatinate, Saarland",In the next 2 to 5 years,0.40027,41,41,0.24844,0.55211
1989,Baden-Wuerttemberg,As soon as possible,0.18002,51,218,0.12890,0.23114
1989,Baden-Wuerttemberg,Next year,0.14650,34,218,0.09945,0.19355
1989,Baden-Wuerttemberg,In the next 2 to 5 years,0.44713,93,218,0.38098,0.51329
1989,Baden-Wuerttemberg,"In the distant future, in more than five years",0.22634,40,218,0.17066,0.28202
1989,Bavaria,As soon as possible,0.17973,41,191,0.12514,0.23433
1989,Bavaria,Next year,0.20147,38,191,0.14444,0.25851
1989,Bavaria,In the next 2 to 5 years,0.43306,78,191,0.36260,0.50351
1989,Bavaria,"In the distant future, in more than five years",0.18574,34,191,0.13044,0.24103
1990,Lower Saxony,As soon as possible,0.27380,38,111,0.19047,0.35714
1990,Lower Saxony,Next year,0.25894,33,111,0.17708,0.34081
1990,Lower Saxony,In the next 2 to 5 years,0.32168,40,111,0.23438,0.40897
1990,North Rhine-Westphalia,As soon as possible,0.22202,85,383,0.18034,0.26370
1990,North Rhine-Westphalia,Next year,0.22694,92,383,0.18494,0.26894
1990,North Rhine-Westphalia,In the next 2 to 5 years,0.36454,139,383,0.31627,0.41280
1990,North Rhine-Westphalia,"In the distant future, in more than five years",0.18650,67,383,0.14744,0.22557
1990,Hesse,As soon as possible,0.18190,32,77,0.09517,0.26863
1990,Hesse,In the next 2 to 5 years,0.41233,45,77,0.30166,0.52301
1990,Baden-Wuerttemberg,As soon as possible,0.13834,33,192,0.08938,0.18731
1990,Baden-Wuerttemberg,Next year,0.22220,44,192,0.16324,0.28116
1990,Baden-Wuerttemberg,In the next 2 to 5 years,0.38970,72,192,0.32054,0.45886
1990,Baden-Wuerttemberg,"In the distant future, in more than five years",0.24976,43,192,0.18837,0.31115
1990,Bavaria,As soon as possible,0.14967,31,179,0.09726,0.20208
1990,Bavaria,Next year,0.22031,41,179,0.15942,0.28119
1990,Bavaria,In the next 2 to 5 years,0.42847,71,179,0.35577,0.50117
1990,Bavaria,"In the distant future, in more than five years",0.20155,36,179,0.14262,0.26048
1990,Berlin,As soon as possible,0.33033,31,31,0.16203,0.49864
1990,Saxony,Next year,0.49705,39,39,0.33807,0.65602
1991,Lower Saxony,Next year,0.23667,31,78,0.14173,0.33160
1991,Lower Saxony,In the next 2 to 5 years,0.42494,47,78,0.31453,0.53536
1991,North Rhine-Westphalia,As soon as possible,0.22703,81,344,0.18270,0.27137
1991,North Rhine-Westphalia,Next year,0.21016,75,344,0.16704,0.25328
1991,North Rhine-Westphalia,In the next 2 to 5 years,0.37884,127,344,0.32750,0.43018
1991,North Rhine-Westphalia,"In the distant future, in more than five years",0.18396,61,344,0.14296,0.22497
1991,Hesse,In the next 2 to 5 years,0.35681,41,41,0.20835,0.50528
1991,Baden-Wuerttemberg,As soon as possible,0.17267,44,211,0.12155,0.22379
1991,Baden-Wuerttemberg,Next year,0.19258,42,211,0.13924,0.24591
1991,Baden-Wuerttemberg,In the next 2 to 5 years,0.39692,85,211,0.33075,0.46310
1991,Baden-Wuerttemberg,"In the distant future, in more than five years",0.23783,40,211,0.18025,0.29542
1991,Bavaria,As soon as possible,0.12429,32,179,0.07582,0.17276
1991,Bavaria,Next year,0.32883,50,179,0.25981,0.39784
1991,Bavaria,In the next 2 to 5 years,0.37611,64,179,0.30494,0.44727
1991,Bavaria,"In the distant future, in more than five years",0.17078,33,179,0.11550,0.22606
1991,Berlin,As soon as possible,0.51464,47,47,0.37021,0.65908
1991,Brandenburg,As soon as possible,0.50735,42,42,0.35432,0.66038
1991,Mecklenburg-Western Pomerania,As soon as possible,0.59799,41,41,0.44604,0.74993
1991,Saxony,As soon as possible,0.48693,68,116,0.39558,0.57828
1991,Saxony,Next year,0.31189,48,116,0.22722,0.39656
1991,Saxony-Anhalt,As soon as possible,0.55473,51,51,0.41697,0.69249
1991,Thuringa,As soon as possible,0.53633,49,49,0.39525,0.67741
1992,Lower Saxony,Next year,0.24504,32,87,0.15413,0.33594
1992,Lower Saxony,In the next 2 to 5 years,0.42365,55,87,0.31922,0.52809
1992,North Rhine-Westphalia,As soon as possible,0.22842,89,369,0.18553,0.27132
1992,North Rhine-Westphalia,Next year,0.21738,76,369,0.17524,0.25953
1992,North Rhine-Westphalia,In the next 2 to 5 years,0.38222,140,369,0.33257,0.43187
1992,North Rhine-Westphalia,"In the distant future, in more than five years",0.17197,64,369,0.13342,0.21053
1992,Hesse,In the next 2 to 5 years,0.46281,54,54,0.32857,0.59705
1992,"Rhineland-Palatinate, Saarland",In the next 2 to 5 years,0.53487,49,49,0.39376,0.67598
1992,Baden-Wuerttemberg,As soon as possible,0.20849,61,233,0.15621,0.26076
1992,Baden-Wuerttemberg,Next year,0.21549,43,233,0.16258,0.26840
1992,Baden-Wuerttemberg,In the next 2 to 5 years,0.36222,84,233,0.30037,0.42407
1992,Baden-Wuerttemberg,"In the distant future, in more than five years",0.21380,45,233,0.16105,0.26656
1992,Bavaria,As soon as possible,0.18966,39,156,0.12795,0.25138
1992,Bavaria,Next year,0.28835,47,156,0.21703,0.35966
1992,Bavaria,In the next 2 to 5 years,0.37714,70,156,0.30084,0.45344
1992,Berlin,As soon as possible,0.50987,52,52,0.37267,0.64707
1992,Brandenburg,As soon as possible,0.53756,61,61,0.41140,0.66372
1992,Mecklenburg-Western Pomerania,As soon as possible,0.71424,55,55,0.59375,0.83474
1992,Saxony,As soon as possible,0.61989,115,164,0.54536,0.69441
1992,Saxony,Next year,0.22698,49,164,0.16267,0.29128
1992,Saxony-Anhalt,As soon as possible,0.57889,64,96,0.47960,0.67817
1992,Saxony-Anhalt,Next year,0.32290,32,96,0.22887,0.41692
1992,Thuringa,As soon as possible,0.53276,64,98,0.43347,0.63205
1992,Thuringa,Next year,0.29148,34,98,0.20104,0.38192
1993,Lower Saxony,As soon as possible,0.26423,31,87,0.17104,0.35741
1993,Lower Saxony,In the next 2 to 5 years,0.42698,56,87,0.32244,0.53153
1993,North Rhine-Westphalia,As soon as possible,0.24954,97,370,0.20539,0.29370
1993,North Rhine-Westphalia,Next year,0.20853,73,370,0.16708,0.24999
1993,North Rhine-Westphalia,In the next 2 to 5 years,0.38937,141,370,0.33962,0.43912
1993,North Rhine-Westphalia,"In the distant future, in more than five years",0.15256,59,370,0.11587,0.18924
1993,Hesse,In the next 2 to 5 years,0.40449,49,49,0.26564,0.54333
1993,Baden-Wuerttemberg,As soon as possible,0.21600,71,250,0.16488,0.26711
1993,Baden-Wuerttemberg,Next year,0.17581,46,250,0.12853,0.22309
1993,Baden-Wuerttemberg,In the next 2 to 5 years,0.46543,93,250,0.40347,0.52738
1993,Baden-Wuerttemberg,"In the distant future, in more than five years",0.14277,40,250,0.09932,0.18622
1993,Bavaria,As soon as possible,0.15710,36,157,0.10000,0.21421
1993,Bavaria,Next year,0.24558,43,157,0.17804,0.31313
1993,Bavaria,In the next 2 to 5 years,0.44166,78,157,0.36373,0.51958
1993,Berlin,As soon as possible,0.39196,34,34,0.22539,0.55852
1993,Brandenburg,As soon as possible,0.54528,52,52,0.40862,0.68195
1993,Mecklenburg-Western Pomerania,As soon as possible,0.61478,50,50,0.47852,0.75104
1993,Saxony,As soon as possible,0.62846,116,152,0.55139,0.70554
1993,Saxony,Next year,0.19932,36,152,0.13560,0.26304
1993,Saxony-Anhalt,As soon as possible,0.68231,88,88,0.58448,0.78015
1993,Thuringa,As soon as possible,0.65583,69,69,0.54291,0.76876
1994,Lower Saxony,As soon as possible,0.27899,37,93,0.18734,0.37064
1994,Lower Saxony,In the next 2 to 5 years,0.41157,56,93,0.31100,0.51213
1994,North Rhine-Westphalia,As soon as possible,0.24578,115,398,0.20343,0.28813
1994,North Rhine-Westphalia,Next year,0.25518,96,398,0.21229,0.29806
1994,North Rhine-Westphalia,In the next 2 to 5 years,0.35035,129,398,0.30342,0.39728
1994,North Rhine-Westphalia,"In the distant future, in more than five years",0.14870,58,398,0.11370,0.18370
1994,Hesse,As soon as possible,0.27311,35,113,0.19059,0.35562
1994,Hesse,Next year,0.22597,31,113,0.14851,0.30342
1994,Hesse,In the next 2 to 5 years,0.38447,47,113,0.29438,0.47457
1994,Baden-Wuerttemberg,As soon as possible,0.24205,85,276,0.19143,0.29268
1994,Baden-Wuerttemberg,Next year,0.28451,60,276,0.23118,0.33784
1994,Baden-Wuerttemberg,In the next 2 to 5 years,0.33069,96,276,0.27509,0.38630
1994,Baden-Wuerttemberg,"In the distant future, in more than five years",0.14275,35,276,0.10140,0.18409
1994,Bavaria,As soon as possible,0.31228,57,210,0.24945,0.37511
1994,Bavaria,Next year,0.23224,46,210,0.17499,0.28949
1994,Bavaria,In the next 2 to 5 years,0.33128,72,210,0.26747,0.39509
1994,Bavaria,"In the distant future, in more than five years",0.12420,35,210,0.07949,0.16891
1994,Berlin,As soon as possible,0.39402,33,33,0.22471,0.56332
1994,Brandenburg,As soon as possible,0.53829,53,53,0.40278,0.67379
1994,Mecklenburg-Western Pomerania,As soon as possible,0.70155,60,60,0.58479,0.81831
1994,Saxony,As soon as possible,0.58495,114,200,0.51649,0.65341
1994,Saxony,Next year,0.18989,44,200,0.13540,0.24439
1994,Saxony,In the next 2 to 5 years,0.18369,42,200,0.12989,0.23749
