year,quintil_oecd,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,As soon as possible,0.07853,210,452,0.05371,0.10336
1985,1st Quintile,Urban regions,Next year,0.03535,82,452,0.01831,0.05239
1985,1st Quintile,Urban regions,In the next 2 to 5 years,0.04776,114,452,0.02807,0.06744
1985,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01662,46,452,0.00482,0.02842
1985,1st Quintile,Rural regions,As soon as possible,0.07112,57,57,0.00380,0.13844
1985,2nd Quintile,Urban regions,As soon as possible,0.03546,99,246,0.01230,0.05862
1985,2nd Quintile,Urban regions,Next year,0.03133,61,246,0.00952,0.05315
1985,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03888,86,246,0.01467,0.06308
1985,2nd Quintile,Rural regions,As soon as possible,0.04990,36,36,-0.02224,0.12204
1985,3rd Quintile,Urban regions,As soon as possible,0.02579,69,219,0.00475,0.04683
1985,3rd Quintile,Urban regions,Next year,0.02085,46,219,0.00188,0.03982
1985,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03440,73,219,0.01021,0.05859
1985,3rd Quintile,Urban regions,"In the distant future, in more than five years",0.01463,31,219,-0.00131,0.03056
1985,4th Quintile,Urban regions,As soon as possible,0.01383,36,166,-0.00399,0.03166
1985,4th Quintile,Urban regions,Next year,0.01745,39,166,-0.00253,0.03743
1985,4th Quintile,Urban regions,In the next 2 to 5 years,0.01965,45,166,-0.00153,0.04083
1985,4th Quintile,Urban regions,"In the distant future, in more than five years",0.02197,46,166,-0.00040,0.04434
1985,5th Quintile,Urban regions,In the next 2 to 5 years,0.01825,38,38,-0.02488,0.06137
1986,1st Quintile,Urban regions,As soon as possible,0.07125,183,432,0.04696,0.09553
1986,1st Quintile,Urban regions,Next year,0.03822,85,432,0.02012,0.05632
1986,1st Quintile,Urban regions,In the next 2 to 5 years,0.04514,114,432,0.02554,0.06474
1986,1st Quintile,Urban regions,"In the distant future, in more than five years",0.02068,50,432,0.00725,0.03412
1986,1st Quintile,Rural regions,As soon as possible,0.07740,51,51,0.00333,0.15147
1986,2nd Quintile,Urban regions,As soon as possible,0.02796,79,258,0.00781,0.04812
1986,2nd Quintile,Urban regions,Next year,0.01566,43,258,0.00048,0.03084
1986,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03632,89,258,0.01345,0.05920
1986,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.02296,47,258,0.00465,0.04127
1986,3rd Quintile,Urban regions,As soon as possible,0.02166,52,221,0.00242,0.04090
1986,3rd Quintile,Urban regions,Next year,0.02030,42,221,0.00166,0.03893
1986,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03231,85,221,0.00894,0.05568
1986,3rd Quintile,Urban regions,"In the distant future, in more than five years",0.02034,42,221,0.00169,0.03899
1986,4th Quintile,Urban regions,As soon as possible,0.01901,44,156,-0.00249,0.04051
1986,4th Quintile,Urban regions,In the next 2 to 5 years,0.03128,66,156,0.00388,0.05869
1986,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01974,46,156,-0.00216,0.04163
1986,5th Quintile,Urban regions,As soon as possible,0.01410,33,79,-0.01207,0.04027
1986,5th Quintile,Urban regions,In the next 2 to 5 years,0.02235,46,79,-0.01045,0.05516
1987,1st Quintile,Urban regions,As soon as possible,0.07072,170,413,0.04597,0.09547
1987,1st Quintile,Urban regions,Next year,0.03542,87,413,0.01757,0.05327
1987,1st Quintile,Urban regions,In the next 2 to 5 years,0.04271,100,413,0.02318,0.06223
1987,1st Quintile,Urban regions,"In the distant future, in more than five years",0.02254,56,413,0.00821,0.03687
1987,1st Quintile,Rural regions,As soon as possible,0.07158,59,59,0.00524,0.13793
1987,2nd Quintile,Urban regions,As soon as possible,0.02802,77,310,0.00962,0.04642
1987,2nd Quintile,Urban regions,Next year,0.02833,78,310,0.00983,0.04682
1987,2nd Quintile,Urban regions,In the next 2 to 5 years,0.04604,106,310,0.02268,0.06941
1987,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.02123,49,310,0.00515,0.03730
1987,3rd Quintile,Urban regions,As soon as possible,0.02570,58,188,0.00302,0.04838
1987,3rd Quintile,Urban regions,Next year,0.02457,54,188,0.00238,0.04676
1987,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03125,76,188,0.00631,0.05618
1987,4th Quintile,Urban regions,As soon as possible,0.01945,47,190,-0.00024,0.03914
1987,4th Quintile,Urban regions,Next year,0.01762,38,190,-0.00114,0.03638
1987,4th Quintile,Urban regions,In the next 2 to 5 years,0.03493,72,190,0.00876,0.06111
1987,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01187,33,190,-0.00357,0.02731
1987,5th Quintile,Urban regions,In the next 2 to 5 years,0.02237,46,81,-0.01004,0.05477
1987,5th Quintile,Urban regions,"In the distant future, in more than five years",0.01605,35,81,-0.01149,0.04359
1988,1st Quintile,Urban regions,As soon as possible,0.05828,151,414,0.03569,0.08088
1988,1st Quintile,Urban regions,Next year,0.04048,79,414,0.02148,0.05949
1988,1st Quintile,Urban regions,In the next 2 to 5 years,0.05969,135,414,0.03684,0.08254
1988,1st Quintile,Urban regions,"In the distant future, in more than five years",0.02039,49,414,0.00676,0.03402
1988,1st Quintile,Rural regions,As soon as possible,0.06009,43,43,-0.01179,0.13196
1988,2nd Quintile,Urban regions,As soon as possible,0.02408,60,263,0.00552,0.04265
1988,2nd Quintile,Urban regions,Next year,0.02717,68,263,0.00749,0.04686
1988,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03704,93,263,0.01417,0.05991
1988,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01999,42,263,0.00304,0.03694
1988,3rd Quintile,Urban regions,As soon as possible,0.02349,59,235,0.00408,0.04290
1988,3rd Quintile,Urban regions,Next year,0.02948,63,235,0.00781,0.05115
1988,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03838,75,235,0.01376,0.06299
1988,3rd Quintile,Urban regions,"In the distant future, in more than five years",0.01917,38,235,0.00160,0.03674
