year,age_gr,bula_h,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Saxony,Very concerned,0.14069,47,170,0.08826,0.19311
1984,17-29 y.,Lower Saxony,Somewhat concerned,0.17185,55,170,0.11498,0.22873
1984,17-29 y.,Lower Saxony,Not concerned at all,0.20606,68,170,0.14507,0.26704
1984,17-29 y.,North Rhine-Westphalia,Very concerned,0.09858,100,501,0.07245,0.12471
1984,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.16443,159,501,0.13194,0.19692
1984,17-29 y.,North Rhine-Westphalia,Not concerned at all,0.26903,242,501,0.23016,0.30790
1984,17-29 y.,Hesse,Very concerned,0.10178,48,214,0.06118,0.14239
1984,17-29 y.,Hesse,Somewhat concerned,0.16923,70,214,0.11887,0.21959
1984,17-29 y.,Hesse,Not concerned at all,0.28838,96,214,0.22754,0.34922
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.23792,59,121,0.16174,0.31411
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.26692,62,121,0.18777,0.34607
1984,17-29 y.,Baden-Wuerttemberg,Very concerned,0.09612,73,418,0.06783,0.12441
1984,17-29 y.,Baden-Wuerttemberg,Somewhat concerned,0.20616,146,418,0.16733,0.24499
1984,17-29 y.,Baden-Wuerttemberg,Not concerned at all,0.34499,199,418,0.29937,0.39062
1984,17-29 y.,Bavaria,Very concerned,0.11069,67,349,0.07772,0.14365
1984,17-29 y.,Bavaria,Somewhat concerned,0.20059,111,349,0.15852,0.24266
1984,17-29 y.,Bavaria,Not concerned at all,0.31875,171,349,0.26979,0.36771
1984,30-45 y.,Schleswig-Holstein,Somewhat concerned,0.25141,35,82,0.15694,0.34589
1984,30-45 y.,Schleswig-Holstein,Not concerned at all,0.32953,47,82,0.22717,0.43190
1984,30-45 y.,Hamburg,Not concerned at all,0.45505,53,53,0.31970,0.59040
1984,30-45 y.,Lower Saxony,Very concerned,0.14124,60,278,0.10023,0.18226
1984,30-45 y.,Lower Saxony,Somewhat concerned,0.22068,83,278,0.17184,0.26951
1984,30-45 y.,Lower Saxony,Not concerned at all,0.36648,135,278,0.30974,0.42323
1984,30-45 y.,North Rhine-Westphalia,Very concerned,0.12831,164,726,0.10396,0.15265
1984,30-45 y.,North Rhine-Westphalia,Somewhat concerned,0.21129,234,726,0.18158,0.24101
1984,30-45 y.,North Rhine-Westphalia,Not concerned at all,0.33969,328,726,0.30522,0.37417
1984,30-45 y.,Hesse,Very concerned,0.11915,57,279,0.08107,0.15724
1984,30-45 y.,Hesse,Somewhat concerned,0.23759,84,279,0.18756,0.28762
1984,30-45 y.,Hesse,Not concerned at all,0.43023,138,279,0.37203,0.48843
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.12229,32,141,0.06802,0.17657
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.25664,53,141,0.18429,0.32899
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.29136,56,141,0.21609,0.36663
1984,30-45 y.,Baden-Wuerttemberg,Very concerned,0.09121,94,546,0.06704,0.11539
1984,30-45 y.,Baden-Wuerttemberg,Somewhat concerned,0.21412,169,546,0.17968,0.24856
1984,30-45 y.,Baden-Wuerttemberg,Not concerned at all,0.41837,283,546,0.37695,0.45978
1984,30-45 y.,Bavaria,Very concerned,0.10419,84,479,0.07680,0.13157
1984,30-45 y.,Bavaria,Somewhat concerned,0.24421,174,479,0.20569,0.28272
1984,30-45 y.,Bavaria,Not concerned at all,0.36073,221,479,0.31768,0.40378
1984,30-45 y.,Berlin,Somewhat concerned,0.30830,40,86,0.21013,0.40648
1984,30-45 y.,Berlin,Not concerned at all,0.36095,46,86,0.25885,0.46305
