year,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Very concerned,0.06988,1345,6747,0.06379,0.07596
1984,Somewhat concerned,0.12656,2130,6747,0.11862,0.13449
1984,Not concerned at all,0.21495,3272,6747,0.20514,0.22475
1985,Very concerned,0.04968,875,6094,0.04422,0.05514
1985,Somewhat concerned,0.12095,1873,6094,0.11276,0.12913
1985,Not concerned at all,0.24475,3346,6094,0.23395,0.25554
1986,Very concerned,0.05061,850,5841,0.04499,0.05623
1986,Somewhat concerned,0.11852,1765,5841,0.11023,0.12681
1986,Not concerned at all,0.24439,3226,5841,0.23336,0.25541
1987,Very concerned,0.04300,713,5928,0.03784,0.04817
1987,Somewhat concerned,0.13646,1974,5928,0.12772,0.14520
1987,Not concerned at all,0.24933,3241,5928,0.23832,0.26034
1988,Very concerned,0.05092,815,5622,0.04517,0.05666
1988,Somewhat concerned,0.14234,1926,5622,0.13321,0.15148
1988,Not concerned at all,0.23308,2881,5622,0.22203,0.24414
1989,Very concerned,0.03245,505,5542,0.02779,0.03712
1989,Somewhat concerned,0.12294,1673,5542,0.11430,0.13159
1989,Not concerned at all,0.28257,3364,5542,0.27072,0.29443
1990,Very concerned,0.07161,1834,8778,0.06622,0.07700
1990,Somewhat concerned,0.14769,3108,8778,0.14027,0.15511
1990,Not concerned at all,0.24527,3836,8778,0.23627,0.25427
1991,Very concerned,0.06762,1638,8343,0.06223,0.07301
1991,Somewhat concerned,0.12095,2458,8343,0.11395,0.12794
1991,Not concerned at all,0.26860,4247,8343,0.25908,0.27811
1992,Very concerned,0.06217,1418,7812,0.05681,0.06752
1992,Somewhat concerned,0.14028,2671,7812,0.13258,0.14798
1992,Not concerned at all,0.23893,3723,7812,0.22947,0.24839
1993,Very concerned,0.04772,1014,7587,0.04292,0.05252
1993,Somewhat concerned,0.14163,2655,7587,0.13378,0.14947
1993,Not concerned at all,0.24865,3918,7587,0.23892,0.25838
1994,Very concerned,0.05443,1085,7367,0.04925,0.05961
1994,Somewhat concerned,0.15843,2936,7367,0.15010,0.16677
1994,Not concerned at all,0.21942,3346,7367,0.20997,0.22887
1995,Very concerned,0.05892,1237,8016,0.05377,0.06408
1995,Somewhat concerned,0.15580,3001,8016,0.14786,0.16374
1995,Not concerned at all,0.23214,3778,8016,0.22290,0.24139
1996,Very concerned,0.05166,1030,7765,0.04673,0.05658
