year,age_gr,quintil_oecd,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Very concerned,0.11245,86,309,0.07717,0.14773
1984,17-29 y.,1st Quintile,Somewhat concerned,0.10822,96,309,0.07352,0.14291
1984,17-29 y.,1st Quintile,Not concerned at all,0.16187,127,309,0.12073,0.20300
1984,17-29 y.,2nd Quintile,Very concerned,0.12347,89,340,0.08845,0.15849
1984,17-29 y.,2nd Quintile,Somewhat concerned,0.19538,128,340,0.15318,0.23759
1984,17-29 y.,2nd Quintile,Not concerned at all,0.18880,123,340,0.14714,0.23046
1984,17-29 y.,3rd Quintile,Very concerned,0.11489,86,423,0.08446,0.14531
1984,17-29 y.,3rd Quintile,Somewhat concerned,0.22996,157,423,0.18981,0.27011
1984,17-29 y.,3rd Quintile,Not concerned at all,0.29383,180,423,0.25037,0.33730
1984,17-29 y.,4th Quintile,Very concerned,0.10592,93,499,0.07890,0.13295
1984,17-29 y.,4th Quintile,Somewhat concerned,0.22429,165,499,0.18765,0.26092
1984,17-29 y.,4th Quintile,Not concerned at all,0.34010,241,499,0.29850,0.38171
1984,17-29 y.,5th Quintile,Very concerned,0.08524,55,398,0.05777,0.11270
1984,17-29 y.,5th Quintile,Somewhat concerned,0.18145,111,398,0.14354,0.21936
1984,17-29 y.,5th Quintile,Not concerned at all,0.43377,232,398,0.38502,0.48252
1984,30-45 y.,1st Quintile,Very concerned,0.11526,115,371,0.08272,0.14780
1984,30-45 y.,1st Quintile,Somewhat concerned,0.16838,138,371,0.13025,0.20651
1984,30-45 y.,1st Quintile,Not concerned at all,0.16032,118,371,0.12293,0.19771
1984,30-45 y.,2nd Quintile,Very concerned,0.15093,136,525,0.12028,0.18158
1984,30-45 y.,2nd Quintile,Somewhat concerned,0.23944,184,525,0.20290,0.27598
1984,30-45 y.,2nd Quintile,Not concerned at all,0.28619,205,525,0.24749,0.32489
1984,30-45 y.,3rd Quintile,Very concerned,0.14000,124,563,0.11131,0.16869
1984,30-45 y.,3rd Quintile,Somewhat concerned,0.24819,190,563,0.21247,0.28390
1984,30-45 y.,3rd Quintile,Not concerned at all,0.34216,249,563,0.30294,0.38139
1984,30-45 y.,4th Quintile,Very concerned,0.09829,97,638,0.07517,0.12141
1984,30-45 y.,4th Quintile,Somewhat concerned,0.24464,201,638,0.21126,0.27803
1984,30-45 y.,4th Quintile,Not concerned at all,0.44236,340,638,0.40379,0.48093
1984,30-45 y.,5th Quintile,Very concerned,0.09333,84,671,0.07131,0.11536
1984,30-45 y.,5th Quintile,Somewhat concerned,0.23392,188,671,0.20187,0.26598
1984,30-45 y.,5th Quintile,Not concerned at all,0.52676,399,671,0.48896,0.56457
1984,46-65 y.,1st Quintile,Very concerned,0.05462,50,191,0.02231,0.08693
1984,46-65 y.,1st Quintile,Somewhat concerned,0.08535,61,191,0.04562,0.12508
1984,46-65 y.,1st Quintile,Not concerned at all,0.12095,80,191,0.07459,0.16732
1984,46-65 y.,2nd Quintile,Very concerned,0.10828,83,315,0.07391,0.14265
1984,46-65 y.,2nd Quintile,Somewhat concerned,0.15331,113,315,0.11346,0.19316
1984,46-65 y.,2nd Quintile,Not concerned at all,0.16948,119,315,0.12798,0.21097
1984,46-65 y.,3rd Quintile,Very concerned,0.08169,83,402,0.05488,0.10850
1984,46-65 y.,3rd Quintile,Somewhat concerned,0.14497,118,402,0.11051,0.17943
1984,46-65 y.,3rd Quintile,Not concerned at all,0.27635,201,402,0.23258,0.32012
1984,46-65 y.,4th Quintile,Very concerned,0.06604,70,460,0.04332,0.08876
1984,46-65 y.,4th Quintile,Somewhat concerned,0.16269,134,460,0.12893,0.19646
1984,46-65 y.,4th Quintile,Not concerned at all,0.32380,256,460,0.28099,0.36660
1984,46-65 y.,5th Quintile,Very concerned,0.09559,91,607,0.07218,0.11900
1984,46-65 y.,5th Quintile,Somewhat concerned,0.15690,145,607,0.12794,0.18585
1984,46-65 y.,5th Quintile,Not concerned at all,0.42445,371,607,0.38509,0.46380
1985,17-29 y.,1st Quintile,Very concerned,0.08508,69,314,0.05417,0.11599
1985,17-29 y.,1st Quintile,Somewhat concerned,0.13810,115,314,0.09988,0.17632
1985,17-29 y.,1st Quintile,Not concerned at all,0.19044,130,314,0.14694,0.23395
1985,17-29 y.,2nd Quintile,Very concerned,0.08804,60,302,0.05603,0.12005
