"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","7.56","8","439","7.34","7.78"
"1984","(noch) kein Abschluss","7.02","8","667","6.83","7.21"
"1984","AkademikerInnen","7.82","8","616","7.66","7.98"
"1984","Hauptschulabschluss","7.69","8","4099","7.62","7.76"
"1984","Realschulabschluss","","","","",""
"1985","(Fach-)Abitur","7.14","8","401","6.9","7.38"
"1985","(noch) kein Abschluss","7.2","8","518","7","7.4"
"1985","AkademikerInnen","7.64","8","586","7.48","7.8"
"1985","Hauptschulabschluss","7.52","8","3639","7.45","7.59"
"1985","Realschulabschluss","","","","",""
"1986","(Fach-)Abitur","7.2","8","438","6.98","7.42"
"1986","(noch) kein Abschluss","7.19","8","482","6.98","7.4"
"1986","AkademikerInnen","7.59","8","583","7.44","7.74"
"1986","Hauptschulabschluss","7.4","8","3502","7.33","7.47"
"1986","Realschulabschluss","","","","",""
"1987","(Fach-)Abitur","7.18","8","425","6.98","7.38"
"1987","(noch) kein Abschluss","7.18","8","467","6.98","7.38"
"1987","AkademikerInnen","7.62","8","575","7.46","7.78"
"1987","Hauptschulabschluss","7.4","8","3473","7.33","7.47"
"1987","Realschulabschluss","","","","",""
"1988","(Fach-)Abitur","7.1","8","395","6.89","7.31"
"1988","(noch) kein Abschluss","6.91","7","412","6.71","7.11"
"1988","AkademikerInnen","7.43","8","549","7.27","7.59"
"1988","Hauptschulabschluss","7.25","8","3290","7.18","7.32"
"1988","Realschulabschluss","","","","",""
"1989","(Fach-)Abitur","7.18","8","405","6.98","7.38"
"1989","(noch) kein Abschluss","6.65","7","394","6.44","6.86"
"1989","AkademikerInnen","7.72","8","548","7.57","7.87"
"1989","Hauptschulabschluss","7.18","8","3166","7.11","7.25"
"1989","Realschulabschluss","","","","",""
"1990","(Fach-)Abitur","7.1","7","494","6.92","7.28"
"1990","(noch) kein Abschluss","6.86","7","388","6.65","7.07"
"1990","AkademikerInnen","","","","",""
"1990","Hauptschulabschluss","7.26","8","4221","7.2","7.32"
"1990","Realschulabschluss","","","","",""
