"year","age_gr","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1993","66 +","weiblich","","","","",""
"1994","17-34","maennlich","7.09","7.5","1769","6.99","7.19"
"1994","17-34","weiblich","7.09","7.5","1399","6.98","7.2"
"1994","35-65","maennlich","6.88","6.5","2515","6.8","6.96"
"1994","35-65","weiblich","6.85","6.5","1791","6.75","6.95"
"1994","66 +","maennlich","","","","",""
"1994","66 +","weiblich","","","","",""
"1995","17-34","maennlich","6.99","6.5","1942","6.89","7.09"
"1995","17-34","weiblich","6.93","7.5","1553","6.82","7.04"
"1995","35-65","maennlich","6.82","6.5","2668","6.74","6.9"
"1995","35-65","weiblich","6.81","6.5","2005","6.71","6.91"
"1995","66 +","maennlich","6.39","6.5","31","5.56","7.22"
"1995","66 +","weiblich","5.68","5.5","36","4.75","6.61"
"1996","17-34","maennlich","7","6.5","1883","6.9","7.1"
"1996","17-34","weiblich","6.95","6.5","1472","6.84","7.06"
"1996","35-65","maennlich","6.72","6.5","2615","6.64","6.8"
"1996","35-65","weiblich","6.85","6.5","2026","6.76","6.94"
"1996","66 +","maennlich","6.63","6.5","35","5.87","7.39"
"1996","66 +","weiblich","5.95","6.5","42","5.13","6.77"
"1997","17-34","maennlich","7.03","7.5","1812","6.94","7.12"
"1997","17-34","weiblich","6.89","6.5","1399","6.78","7"
"1997","35-65","maennlich","6.73","6.5","2538","6.65","6.81"
"1997","35-65","weiblich","6.8","6.5","1977","6.71","6.89"
"1997","66 +","maennlich","5.87","4.5","38","5.01","6.73"
"1997","66 +","weiblich","6.77","7.5","35","5.82","7.72"
"1998","17-34","maennlich","6.97","6.5","1866","6.87","7.07"
"1998","17-34","weiblich","6.84","6.5","1481","6.73","6.95"
"1998","35-65","maennlich","6.89","6.5","2850","6.81","6.97"
"1998","35-65","weiblich","6.88","6.5","2219","6.79","6.97"
"1998","66 +","maennlich","6.3","6.5","51","5.44","7.16"
"1998","66 +","weiblich","6.74","6.5","55","5.95","7.53"
"1999","17-34","maennlich","7.07","7.5","1779","6.98","7.16"
"1999","17-34","weiblich","6.83","6.5","1442","6.72","6.94"
"1999","35-65","maennlich","6.8","6.5","2810","6.72","6.88"
"1999","35-65","weiblich","6.82","6.5","2207","6.73","6.91"
"1999","66 +","maennlich","6.85","6.5","35","6.04","7.66"
"1999","66 +","weiblich","5.46","5.5","46","4.55","6.37"
"2000","17-34","maennlich","7.31","7.5","2439","7.23","7.39"
"2000","17-34","weiblich","7.08","7.5","2019","6.98","7.18"
"2000","35-65","maennlich","7.05","7.5","4778","6.99","7.11"
"2000","35-65","weiblich","7.02","6.5","3811","6.95","7.09"
"2000","66 +","maennlich","6.35","6.5","99","5.68","7.02"
"2000","66 +","weiblich","5","5.5","98","4.3","5.7"
"2001","17-34","maennlich","7.28","7.5","2316","7.2","7.36"
"2001","17-34","weiblich","7.11","7.5","1993","7.01","7.21"
"2001","35-65","maennlich","7","6.5","4678","6.94","7.06"
"2001","35-65","weiblich","7.06","7.5","3852","6.99","7.13"
"2001","66 +","maennlich","6.43","7.5","90","5.68","7.18"
"2001","66 +","weiblich","4.65","5.5","94","3.88","5.42"
"2002","17-34","maennlich","7","6.5","2202","6.91","7.09"
"2002","17-34","weiblich","7.03","7.5","1951","6.93","7.13"
"2002","35-65","maennlich","6.86","6.5","5218","6.8","6.92"
"2002","35-65","weiblich","6.88","6.5","4319","6.82","6.94"
"2002","66 +","maennlich","6.35","6.5","131","5.82","6.88"
"2002","66 +","weiblich","5.24","5.5","93","4.51","5.97"
"2003","17-34","maennlich","6.99","7.5","2030","6.9","7.08"
"2003","17-34","weiblich","6.93","6.5","1880","6.83","7.03"
"2003","35-65","maennlich","6.82","6.5","4905","6.76","6.88"
"2003","35-65","weiblich","6.9","6.5","4165","6.84","6.96"
"2003","66 +","maennlich","6.29","7.5","135","5.73","6.85"
"2003","66 +","weiblich","4.89","5.5","102","4.17","5.61"
"2004","17-34","maennlich","6.86","6.5","1903","6.76","6.96"
"2004","17-34","weiblich","6.88","6.5","1770","6.77","6.99"
"2004","35-65","maennlich","6.72","6.5","4750","6.66","6.78"
"2004","35-65","weiblich","6.77","6.5","4106","6.7","6.84"
"2004","66 +","maennlich","6.39","6.5","130","5.85","6.93"
"2004","66 +","weiblich","6.12","6.5","95","5.44","6.8"
"2005","17-34","maennlich","6.9","6.5","1764","6.8","7"
"2005","17-34","weiblich","6.9","6.5","1645","6.79","7.01"
"2005","35-65","maennlich","6.65","6.5","4504","6.59","6.71"
"2005","35-65","weiblich","6.72","6.5","3961","6.65","6.79"
"2005","66 +","maennlich","6.34","6.5","126","5.78","6.9"
"2005","66 +","weiblich","5.41","5.5","107","4.72","6.1"
"2006","17-34","maennlich","6.94","6.5","1737","6.84","7.04"
"2006","17-34","weiblich","6.94","6.5","1635","6.83","7.05"
"2006","35-65","maennlich","6.66","6.5","4769","6.6","6.72"
"2006","35-65","weiblich","6.8","6.5","4258","6.73","6.87"
"2006","66 +","maennlich","6.54","6.5","144","6.07","7.01"
"2006","66 +","weiblich","5.36","5.5","115","4.75","5.97"
"2007","17-34","maennlich","7.03","7.5","1649","6.93","7.13"
"2007","17-34","weiblich","6.89","6.5","1554","6.78","7"
"2007","35-65","maennlich","6.69","6.5","4479","6.63","6.75"
"2007","35-65","weiblich","6.71","6.5","4082","6.65","6.77"
"2007","66 +","maennlich","6.51","6.5","157","6.04","6.98"
"2007","66 +","weiblich","5.64","6.5","134","5.07","6.21"
"2008","17-34","maennlich","7.06","6.5","1546","6.96","7.16"
"2008","17-34","weiblich","6.87","6.5","1466","6.76","6.98"
"2008","35-65","maennlich","6.7","6.5","4216","6.64","6.76"
"2008","35-65","weiblich","6.81","6.5","3940","6.74","6.88"
"2008","66 +","maennlich","6.54","7.5","159","6.12","6.96"
"2008","66 +","weiblich","6.99","7.5","114","6.51","7.47"
"2009","17-34","maennlich","6.84","6.5","1416","6.73","6.95"
"2009","17-34","weiblich","7.01","6.5","1426","6.9","7.12"
"2009","35-65","maennlich","6.6","6.5","3920","6.53","6.67"
"2009","35-65","weiblich","6.67","6.5","3716","6.6","6.74"
"2009","66 +","maennlich","6.31","6.5","169","5.9","6.72"
"2009","66 +","weiblich","5.88","6.5","130","5.33","6.43"
"2010","17-34","maennlich","7.03","6.5","2081","6.93","7.13"
"2010","17-34","weiblich","6.94","6.5","1899","6.84","7.04"
"2010","35-65","maennlich","6.76","6.5","5279","6.7","6.82"
"2010","35-65","weiblich","6.79","6.5","4875","6.73","6.85"
"2010","66 +","maennlich","6.71","7.5","164","6.26","7.16"
"2010","66 +","weiblich","5.73","5.5","129","5.16","6.3"
"2011","17-34","maennlich","7.11","7.5","2007","7.02","7.2"
"2011","17-34","weiblich","7.15","7.5","2183","7.06","7.24"
"2011","35-65","maennlich","6.83","6.5","5889","6.78","6.88"
"2011","35-65","weiblich","6.85","6.5","5845","6.79","6.91"
"2011","66 +","maennlich","6.76","7.5","186","6.37","7.15"
"2011","66 +","weiblich","5.66","6.5","157","5.12","6.2"
"2012","17-34","maennlich","7.18","7.5","1961","7.09","7.27"
"2012","17-34","weiblich","7.14","7.5","2024","7.05","7.23"
"2012","35-65","maennlich","6.94","6.5","5927","6.89","6.99"
"2012","35-65","weiblich","6.98","6.5","6191","6.93","7.03"
"2012","66 +","maennlich","7.14","7.5","192","6.79","7.49"
"2012","66 +","weiblich","6.63","7.5","155","6.17","7.09"
"2013","17-34","maennlich","7.17","7.5","2474","7.09","7.25"
"2013","17-34","weiblich","7.16","7.5","2594","7.08","7.24"
"2013","35-65","maennlich","6.93","6.5","6773","6.88","6.98"
"2013","35-65","weiblich","7.02","7.5","7021","6.97","7.07"
"2013","66 +","maennlich","7.37","7.5","193","7.06","7.68"
"2013","66 +","weiblich","7.09","7.5","154","6.68","7.5"
"2014","17-34","maennlich","7.25","7.5","2187","7.16","7.34"
"2014","17-34","weiblich","6.95","6.5","2238","6.86","7.04"
"2014","35-65","maennlich","6.98","6.5","5988","6.93","7.03"
"2014","35-65","weiblich","7.04","7.5","6345","6.99","7.09"
"2014","66 +","maennlich","6.67","7.5","212","6.32","7.02"
"2014","66 +","weiblich","6.79","7.5","148","6.35","7.23"
"2015","17-34","maennlich","7.26","7.5","1886","7.17","7.35"
"2015","17-34","weiblich","7.33","7.5","1927","7.24","7.42"
"2015","35-65","maennlich","7.02","6.5","5500","6.97","7.07"
"2015","35-65","weiblich","6.99","6.5","5988","6.94","7.04"
"2015","66 +","maennlich","7.38","7.5","207","7.1","7.66"
"2015","66 +","weiblich","6.89","7.5","141","6.47","7.31"
"2016","17-34","maennlich","7.3","7.5","1834","7.21","7.39"
"2016","17-34","weiblich","7.24","7.5","1877","7.15","7.33"
"2016","35-65","maennlich","7.02","6.5","5273","6.97","7.07"
"2016","35-65","weiblich","7.06","7.5","5831","7.01","7.11"
"2016","66 +","maennlich","7.36","7.5","203","7.06","7.66"
"2016","66 +","weiblich","6.79","7.5","158","6.39","7.19"
"2017","17-34","maennlich","7.35","7.5","2039","7.27","7.43"
"2017","17-34","weiblich","7.27","7.5","2021","7.18","7.36"
"2017","35-65","maennlich","7","6.5","5906","6.95","7.05"
"2017","35-65","weiblich","7.05","6.5","6521","7","7.1"
"2017","66 +","maennlich","7.63","7.5","244","7.39","7.87"
"2017","66 +","weiblich","7.31","7.5","174","6.97","7.65"
"2018","17-34","maennlich","7.2","7.5","2093","7.12","7.28"
"2018","17-34","weiblich","7.15","7.5","2000","7.06","7.24"
"2018","35-65","maennlich","7.02","6.5","5579","6.97","7.07"
"2018","35-65","weiblich","7.04","6.5","6340","6.99","7.09"
"2018","66 +","maennlich","7.1","7.5","238","6.8","7.4"
"2018","66 +","weiblich","7.56","7.5","204","7.24","7.88"
"2019","17-34","maennlich","7.43","7.5","1847","7.34","7.52"
"2019","17-34","weiblich","7.26","7.5","1783","7.17","7.35"
"2019","35-65","maennlich","7.12","7.5","6177","7.07","7.17"
"2019","35-65","weiblich","7.14","7.5","6341","7.09","7.19"
"2019","66 +","maennlich","8.15","7.5","383","7.99","8.31"
"2019","66 +","weiblich","7.57","7.5","216","7.32","7.82"
"2020","17-34","maennlich","7.23","7.5","2339","7.15","7.31"
"2020","17-34","weiblich","7.31","7.5","2050","7.22","7.4"
"2020","35-65","maennlich","7.04","6.5","5841","6.99","7.09"
"2020","35-65","weiblich","7.03","6.5","6071","6.98","7.08"
"2020","66 +","maennlich","7.73","7.5","290","7.51","7.95"
"2020","66 +","weiblich","7.95","7.5","190","7.7","8.2"
