"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","","","","",""
"1984","35-65 Jahre alt","7.8","8","4124","7.73","7.87"
"1984","66 und Ã¤lter","8.36","9","46","7.79","8.93"
"1985","16-34 Jahre alt","","","","",""
"1985","35-65 Jahre alt","7.6","8","3695","7.53","7.67"
"1985","66 und Ã¤lter","6.79","7.19","40","5.9","7.68"
"1986","16-34 Jahre alt","","","","",""
"1986","35-65 Jahre alt","7.44","8","3521","7.37","7.51"
"1986","66 und Ã¤lter","","","","",""
"1987","16-34 Jahre alt","","","","",""
"1987","35-65 Jahre alt","7.48","8","3507","7.41","7.55"
"1987","66 und Ã¤lter","7.92","8","35","7.15","8.69"
"1988","16-34 Jahre alt","","","","",""
"1988","35-65 Jahre alt","7.24","8","3326","7.17","7.31"
"1988","66 und Ã¤lter","8.63","9","31","7.9","9.36"
"1989","16-34 Jahre alt","","","","",""
"1989","35-65 Jahre alt","7.25","8","3198","7.18","7.32"
"1989","66 und Ã¤lter","","","","",""
"1990","16-34 Jahre alt","7.13","8","3858","7.06","7.2"
"1990","35-65 Jahre alt","7.28","8","5173","7.22","7.34"
"1990","66 und Ã¤lter","7.95","8","47","7.34","8.56"
"1991","16-34 Jahre alt","7.1","8","3622","7.03","7.17"
"1991","35-65 Jahre alt","6.95","7","4875","6.89","7.01"
"1991","66 und Ã¤lter","7.87","8","36","7.24","8.5"
"1992","16-34 Jahre alt","7.33","8","3386","7.26","7.4"
"1992","35-65 Jahre alt","7.26","8","4638","7.2","7.32"
"1992","66 und Ã¤lter","","","","",""
"1993","16-34 Jahre alt","7.16","8","3287","7.09","7.23"
"1993","35-65 Jahre alt","7.01","7","4470","6.95","7.07"
"1993","66 und Ã¤lter","","","","",""
"1994","16-34 Jahre alt","7.09","8","3181","7.02","7.16"
"1994","35-65 Jahre alt","6.86","7","4318","6.8","6.92"
"1994","66 und Ã¤lter","","","","",""
"1995","16-34 Jahre alt","6.97","7","3521","6.9","7.04"
"1995","35-65 Jahre alt","6.8","7","4684","6.74","6.86"
"1995","66 und Ã¤lter","5.96","6","67","5.35","6.57"
"1996","16-34 Jahre alt","6.97","7","3372","6.9","7.04"
"1996","35-65 Jahre alt","6.76","7","4652","6.7","6.82"
"1996","66 und Ã¤lter","6.1","6.34","77","5.54","6.66"
"1997","16-34 Jahre alt","6.98","7","3231","6.91","7.05"
"1997","35-65 Jahre alt","6.73","7","4531","6.67","6.79"
"1997","66 und Ã¤lter","6.36","7","73","5.74","6.98"
"1998","16-34 Jahre alt","6.89","7","3359","6.82","6.96"
"1998","35-65 Jahre alt","6.89","7","5083","6.83","6.95"
"1998","66 und Ã¤lter","","","","",""
"1999","16-34 Jahre alt","6.96","8","3237","6.89","7.03"
"1999","35-65 Jahre alt","6.8","7","5035","6.74","6.86"
"1999","66 und Ã¤lter","5.98","6","81","5.34","6.62"
