"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1984","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1984","16-34 Jahre alt","AkademikerInnen","","","","",""
"1984","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1984","16-34 Jahre alt","Realschulabschluss","7.63","8","677","7.46","7.8"
"1984","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1984","35-65 Jahre alt","(noch) kein Abschluss","7.07","8","493","6.85","7.29"
"1984","35-65 Jahre alt","AkademikerInnen","7.99","8","412","7.81","8.17"
"1984","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1984","35-65 Jahre alt","Realschulabschluss","7.94","8","470","7.75","8.13"
"1984","66 und Ã¤lter","(Fach-)Abitur","9.78","10","6","9.35","10.21"
"1984","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1984","66 und Ã¤lter","AkademikerInnen","9.32","9","5","8.64","10"
"1984","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1984","66 und Ã¤lter","Realschulabschluss","7.62","6.86","8","5.55","9.69"
"1985","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1985","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1985","16-34 Jahre alt","AkademikerInnen","","","","",""
"1985","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1985","16-34 Jahre alt","Realschulabschluss","7.55","8","661","7.39","7.71"
"1985","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1985","35-65 Jahre alt","(noch) kein Abschluss","7.31","8","401","7.09","7.53"
"1985","35-65 Jahre alt","AkademikerInnen","7.9","8","391","7.73","8.07"
"1985","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1985","35-65 Jahre alt","Realschulabschluss","7.65","8","451","7.46","7.84"
"1985","66 und Ã¤lter","(Fach-)Abitur","5.82","7","7","2.87","8.77"
"1985","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1985","66 und Ã¤lter","AkademikerInnen","10","10","5","10","10"
"1985","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1985","66 und Ã¤lter","Realschulabschluss","9.38","9.19","5","8.27","10.49"
"1986","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1986","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1986","16-34 Jahre alt","AkademikerInnen","","","","",""
"1986","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1986","16-34 Jahre alt","Realschulabschluss","7.38","8","655","7.22","7.54"
"1986","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1986","35-65 Jahre alt","(noch) kein Abschluss","7","8","366","6.76","7.24"
"1986","35-65 Jahre alt","AkademikerInnen","7.65","8","395","7.47","7.83"
"1986","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1986","35-65 Jahre alt","Realschulabschluss","7.5","8","421","7.31","7.69"
"1986","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1986","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1986","66 und Ã¤lter","AkademikerInnen","10","10","5","10","10"
"1986","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1986","66 und Ã¤lter","Realschulabschluss","8.09","7.96","5","5.87","10.31"
"1987","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1987","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1987","16-34 Jahre alt","AkademikerInnen","","","","",""
"1987","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1987","16-34 Jahre alt","Realschulabschluss","7.35","8","685","7.19","7.51"
"1987","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1987","35-65 Jahre alt","(noch) kein Abschluss","7.28","7","358","7.06","7.5"
"1987","35-65 Jahre alt","AkademikerInnen","7.69","8","391","7.51","7.87"
"1987","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1987","35-65 Jahre alt","Realschulabschluss","7.58","8","426","7.4","7.76"
"1987","66 und Ã¤lter","(Fach-)Abitur","9.13","8.47","4","7.29","10.97"
"1987","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1987","66 und Ã¤lter","AkademikerInnen","8.56","10","8","6.49","10.63"
"1987","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1987","66 und Ã¤lter","Realschulabschluss","","","","",""
"1988","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1988","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1988","16-34 Jahre alt","AkademikerInnen","","","","",""
"1988","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1988","16-34 Jahre alt","Realschulabschluss","7.32","8","649","7.16","7.48"
"1988","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1988","35-65 Jahre alt","(noch) kein Abschluss","7.12","8","312","6.89","7.35"
"1988","35-65 Jahre alt","AkademikerInnen","7.3","8","376","7.1","7.5"
"1988","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1988","35-65 Jahre alt","Realschulabschluss","7.29","8","430","7.1","7.48"
"1988","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1988","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1988","66 und Ã¤lter","AkademikerInnen","","","","",""
"1988","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1988","66 und Ã¤lter","Realschulabschluss","","","","",""
"1989","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1989","16-34 Jahre alt","(noch) kein Abschluss","6.59","7","99","6.13","7.05"
"1989","16-34 Jahre alt","AkademikerInnen","","","","",""
"1989","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1989","16-34 Jahre alt","Realschulabschluss","7.36","8","652","7.2","7.52"
"1989","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1989","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1989","35-65 Jahre alt","AkademikerInnen","7.71","8","374","7.53","7.89"
"1989","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1989","35-65 Jahre alt","Realschulabschluss","7.29","8","419","7.1","7.48"
"1989","66 und Ã¤lter","(Fach-)Abitur","6.26","5.76","6","3.71","8.81"
"1989","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1989","66 und Ã¤lter","AkademikerInnen","9.3","9","8","8.68","9.92"
"1989","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1989","66 und Ã¤lter","Realschulabschluss","","","","",""
"1990","16-34 Jahre alt","(Fach-)Abitur","6.92","7","322","6.69","7.15"
"1990","16-34 Jahre alt","(noch) kein Abschluss","6.6","7","92","6.09","7.11"
"1990","16-34 Jahre alt","AkademikerInnen","7.16","8","433","6.95","7.37"
"1990","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1990","16-34 Jahre alt","Realschulabschluss","","","","",""
"1990","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1990","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1990","35-65 Jahre alt","AkademikerInnen","7.24","8","957","7.1","7.38"
"1990","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1990","35-65 Jahre alt","Realschulabschluss","7.34","8","869","7.2","7.48"
"1990","66 und Ã¤lter","(Fach-)Abitur","8.25","8","7","7.35","9.15"
"1990","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1990","66 und Ã¤lter","AkademikerInnen","","","","",""
"1990","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1990","66 und Ã¤lter","Realschulabschluss","8.05","8","7","5.86","10.24"
"1991","16-34 Jahre alt","(Fach-)Abitur","6.94","8","332","6.7","7.18"
"1991","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1991","16-34 Jahre alt","AkademikerInnen","7.12","8","383","6.89","7.35"
"1991","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1991","16-34 Jahre alt","Realschulabschluss","","","","",""
"1991","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1991","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1991","35-65 Jahre alt","AkademikerInnen","6.88","8","908","6.73","7.03"
"1991","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1991","35-65 Jahre alt","Realschulabschluss","6.9","7","850","6.74","7.06"
"1991","66 und Ã¤lter","(Fach-)Abitur","8.3","8","7","7.31","9.29"
"1991","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1991","66 und Ã¤lter","AkademikerInnen","","","","",""
"1991","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1991","66 und Ã¤lter","Realschulabschluss","8.6","8.31","6","6.89","10.31"
"1992","16-34 Jahre alt","(Fach-)Abitur","7.18","8","335","6.97","7.39"
"1992","16-34 Jahre alt","(noch) kein Abschluss","6.98","7","91","6.51","7.45"
"1992","16-34 Jahre alt","AkademikerInnen","7.44","8","348","7.24","7.64"
"1992","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1992","16-34 Jahre alt","Realschulabschluss","","","","",""
"1992","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1992","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1992","35-65 Jahre alt","AkademikerInnen","7.27","8","893","7.14","7.4"
"1992","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1992","35-65 Jahre alt","Realschulabschluss","7.32","8","849","7.19","7.45"
"1992","66 und Ã¤lter","(Fach-)Abitur","7.23","6.32","4","3.95","10.51"
"1992","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1992","66 und Ã¤lter","AkademikerInnen","8.14","7.96","7","6.96","9.32"
"1992","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1992","66 und Ã¤lter","Realschulabschluss","8.57","8","4","6.98","10.16"
"1993","16-34 Jahre alt","(Fach-)Abitur","7.28","8","326","7.07","7.49"
"1993","16-34 Jahre alt","(noch) kein Abschluss","7.28","7","76","6.8","7.76"
"1993","16-34 Jahre alt","AkademikerInnen","7.11","7","334","6.91","7.31"
"1993","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1993","16-34 Jahre alt","Realschulabschluss","","","","",""
"1993","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1993","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1993","35-65 Jahre alt","AkademikerInnen","7.11","8","886","6.98","7.24"
"1993","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1993","35-65 Jahre alt","Realschulabschluss","7.03","8","873","6.89","7.17"
"1993","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1993","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1993","66 und Ã¤lter","AkademikerInnen","6.95","5.97","6","3.91","9.99"
"1993","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1993","66 und Ã¤lter","Realschulabschluss","","","","",""
"1994","16-34 Jahre alt","(Fach-)Abitur","6.96","7","366","6.75","7.17"
"1994","16-34 Jahre alt","(noch) kein Abschluss","7.12","7","80","6.69","7.55"
