year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,7.69773,7.64583,7.74962,7.00000,8.00000,10.00000,2.50000,10.00000,6975.00000
1985,7.52121,7.46858,7.57384,6.00000,8.00000,9.00000,1.50000,10.00000,6294.00000
1986,7.41132,7.35918,7.46346,6.00000,8.00000,9.00000,1.50000,10.00000,6131.00000
1987,7.41347,7.36205,7.46490,6.00000,8.00000,9.00000,1.50000,10.00000,6122.00000
1988,7.26005,7.20647,7.31364,6.00000,8.00000,9.00000,1.50000,10.00000,5812.00000
1989,7.26757,7.21534,7.31981,6.00000,8.00000,9.00000,1.50000,10.00000,5668.00000
1990,7.23010,7.18683,7.27338,6.00000,8.00000,9.00000,1.50000,10.00000,9048.00000
1991,7.01561,6.96893,7.06228,6.00000,8.00000,8.00000,3.00000,10.00000,8501.00000
1992,7.28679,7.24383,7.32974,6.00000,8.00000,9.00000,1.50000,10.00000,8021.00000
1993,7.06311,7.01766,7.10856,6.00000,8.00000,8.00000,3.00000,10.00000,7755.00000
1994,6.95905,6.91200,7.00611,6.00000,7.00000,8.00000,3.00000,10.00000,7500.00000
1995,6.85835,6.81067,6.90604,6.00000,7.00000,8.00000,3.00000,10.00000,8235.00000
1996,6.84117,6.79405,6.88830,5.00000,7.00000,8.00000,0.50000,10.00000,8073.00000
1997,6.83010,6.78280,6.87741,6.00000,7.00000,8.00000,3.00000,10.00000,7799.00000
1998,6.88942,6.84313,6.93570,6.00000,7.00000,8.00000,3.00000,10.00000,8522.00000
1999,6.84966,6.80282,6.89651,5.00000,7.00000,8.00000,0.50000,10.00000,8319.00000
2000,7.06590,7.02782,7.10398,6.00000,8.00000,9.00000,1.50000,10.00000,13244.00000
2001,7.05652,7.01848,7.09456,6.00000,8.00000,9.00000,1.50000,10.00000,13023.00000
2002,6.89630,6.85925,6.93336,6.00000,7.00000,8.00000,3.00000,10.00000,13914.00000
2003,6.86310,6.82477,6.90143,6.00000,7.00000,8.00000,3.00000,10.00000,13217.00000
2004,6.77274,6.73319,6.81229,5.00000,7.00000,8.00000,0.50000,10.00000,12754.00000
2005,6.72970,6.68860,6.77081,5.00000,7.00000,8.00000,0.50000,10.00000,12107.00000
2006,6.76923,6.72969,6.80876,5.00000,7.00000,8.00000,0.50000,10.00000,12658.00000
2007,6.76132,6.72134,6.80130,5.00000,7.00000,8.00000,0.50000,10.00000,12055.00000
2008,6.81601,6.77633,6.85568,5.00000,7.00000,8.00000,0.50000,10.00000,11441.00000
2009,6.70591,6.66291,6.74891,5.00000,7.00000,8.00000,0.50000,10.00000,10777.00000
2010,6.82252,6.78615,6.85890,6.00000,7.00000,8.00000,3.00000,10.00000,14427.00000
2011,6.90320,6.86862,6.93778,6.00000,7.00000,8.00000,3.00000,10.00000,16267.00000
2012,7.01725,6.98479,7.04972,6.00000,7.00000,8.00000,3.00000,10.00000,16450.00000
2013,7.04120,7.01078,7.07162,6.00000,8.00000,8.00000,3.00000,10.00000,19209.00000
2014,7.02944,6.99734,7.06153,6.00000,8.00000,8.00000,3.00000,10.00000,17118.00000
2015,7.09017,7.05775,7.12260,6.00000,8.00000,8.00000,3.00000,10.00000,15649.00000
2016,7.10203,7.06964,7.13442,6.00000,8.00000,8.00000,3.00000,10.00000,15176.00000
2017,7.12165,7.09083,7.15247,6.00000,8.00000,8.00000,3.00000,10.00000,16905.00000
2018,7.08043,7.04973,7.11113,6.00000,7.00000,8.00000,3.00000,10.00000,16454.00000
2019,7.21496,7.18549,7.24442,6.00000,8.00000,8.00000,3.00000,10.00000,16722.00000
2020,7.12311,7.09316,7.15306,6.00000,8.00000,8.00000,3.00000,10.00000,16760.00000
2021,7.19419,7.15802,7.23036,6.00000,8.00000,8.00000,3.00000,10.00000,11547.00000
2022,7.00989,6.98051,7.03928,6.00000,7.00000,8.00000,3.00000,10.00000,19257.00000
