year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No answer / don't know,West,6975,7.69773,7.64583,7.74962,7.00000,8.00000,10.00000,2.50000,10,,,
1985,Urban regions,West,5010,7.51885,7.45983,7.57786,6.00000,8.00000,9.00000,1.50000,10,,,
1985,Rural regions,West,1284,7.52899,7.41249,7.64550,6.00000,8.00000,9.00000,1.50000,10,,,
1986,Urban regions,West,4856,7.40688,7.34852,7.46524,6.00000,8.00000,9.00000,1.50000,10,,,
1986,Rural regions,West,1275,7.42555,7.30966,7.54144,6.00000,8.00000,9.00000,1.50000,10,,,
1987,Urban regions,West,4828,7.43258,7.37492,7.49024,6.00000,8.00000,9.00000,1.50000,10,,,
1987,Rural regions,West,1294,7.35180,7.23838,7.46523,6.00000,8.00000,9.00000,1.50000,10,,,
1988,Urban regions,West,4634,7.25254,7.19220,7.31288,6.00000,8.00000,9.00000,1.50000,10,,,
1988,Rural regions,West,1178,7.28584,7.16900,7.40269,6.00000,8.00000,9.00000,1.50000,10,,,
1989,Urban regions,West,4528,7.28003,7.22195,7.33812,6.00000,8.00000,9.00000,1.50000,10,,,
1989,Rural regions,West,1140,7.22400,7.10503,7.34297,6.00000,8.00000,9.00000,1.50000,10,,,
1990,No answer / don't know,East,69,7.17623,6.53112,7.82134,5.00000,7.00000,10.00000,0,10,,,
1990,Urban regions,West,4492,7.24324,7.18440,7.30209,6.00000,8.00000,9.00000,1.50000,10,,,
1990,Urban regions,East,1138,6.98505,6.84311,7.12700,5.00000,8.00000,9.00000,0,10,,,
1990,Rural regions,West,1163,7.22047,7.10450,7.33645,6.00000,8.00000,9.00000,1.50000,10,,,
1990,Rural regions,East,2186,7.32503,7.22882,7.42124,6.00000,8.00000,9.00000,1.50000,10,,,
1991,No answer / don't know,West,,,,,,,,,,,,
1991,No answer / don't know,East,54,7.38741,6.71754,8.05728,6.00000,8.00000,9.00000,1.50000,10,,,
1991,Urban regions,West,4573,7.21377,7.15624,7.27130,6.00000,8.00000,9.00000,1.50000,10,,,
1991,Urban regions,East,895,6.25341,6.07458,6.43225,5.00000,7.00000,8.00000,0.50000,10,,,
1991,Rural regions,West,1214,7.15013,7.03715,7.26311,6.00000,8.00000,8.00000,3.00000,10,,,
1991,Rural regions,East,1762,6.34618,6.21879,6.47356,5.00000,7.00000,8.00000,0.50000,10,,,
1992,No answer / don't know,West,,,,,,,,,,,,
1992,No answer / don't know,East,69,6.98077,6.39734,7.56420,5.00000,8.00000,9.00000,0,10,,,
1992,Urban regions,West,4430,7.42250,7.36791,7.47709,7.00000,8.00000,9.00000,4.00000,10,,,
1992,Urban regions,East,813,6.65541,6.50096,6.80985,5.00000,7.00000,8.00000,0.50000,10,,,
1992,Rural regions,West,1201,7.38304,7.27492,7.49117,6.00000,8.00000,9.00000,1.50000,10,,,
1992,Rural regions,East,1498,6.82223,6.70913,6.93533,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Urban regions,West,4351,7.10811,7.04966,7.16656,6.00000,8.00000,8.00000,3.00000,10,,,
1993,Urban regions,East,800,6.78546,6.63046,6.94047,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Rural regions,West,1186,7.14353,7.02407,7.26299,6.00000,8.00000,8.00000,3.00000,10,,,
