"year","age_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","17-34","Ostdeutschland","","","","",""
"1984","17-34","Westdeutschland","7.53","7.5","2843","7.44","7.62"
"1984","35-65","Ostdeutschland","","","","",""
"1984","35-65","Westdeutschland","7.8","7.5","4086","7.73","7.87"
"1984","66 +","Ostdeutschland","","","","",""
"1984","66 +","Westdeutschland","8.36","8.5","46","7.79","8.93"
"1985","17-34","Ostdeutschland","","","","",""
"1985","17-34","Westdeutschland","7.43","7.5","2590","7.35","7.51"
"1985","35-65","Ostdeutschland","","","","",""
"1985","35-65","Westdeutschland","7.6","7.5","3664","7.53","7.67"
"1985","66 +","Ostdeutschland","","","","",""
"1985","66 +","Westdeutschland","6.81","7.5","40","5.92","7.7"
"1986","17-34","Ostdeutschland","","","","",""
"1986","17-34","Westdeutschland","7.35","7.5","2608","7.27","7.43"
"1986","35-65","Ostdeutschland","","","","",""
"1986","35-65","Westdeutschland","7.44","7.5","3495","7.37","7.51"
"1986","66 +","Ostdeutschland","","","","",""
"1986","66 +","Westdeutschland","","","","",""
"1987","17-34","Ostdeutschland","","","","",""
"1987","17-34","Westdeutschland","7.31","7.5","2607","7.23","7.39"
"1987","35-65","Ostdeutschland","","","","",""
"1987","35-65","Westdeutschland","7.48","7.5","3480","7.41","7.55"
"1987","66 +","Ostdeutschland","","","","",""
"1987","66 +","Westdeutschland","7.93","7.5","35","7.16","8.7"
"1988","17-34","Ostdeutschland","","","","",""
"1988","17-34","Westdeutschland","7.27","7.5","2477","7.19","7.35"
"1988","35-65","Ostdeutschland","","","","",""
"1988","35-65","Westdeutschland","7.24","7.5","3304","7.17","7.31"
"1988","66 +","Ostdeutschland","","","","",""
"1988","66 +","Westdeutschland","8.63","8.5","31","7.9","9.36"
"1989","17-34","Ostdeutschland","","","","",""
"1989","17-34","Westdeutschland","7.26","7.5","2458","7.18","7.34"
"1989","35-65","Ostdeutschland","","","","",""
"1989","35-65","Westdeutschland","7.26","7.5","3182","7.19","7.33"
"1989","66 +","Ostdeutschland","","","","",""
"1989","66 +","Westdeutschland","","","","",""
"1990","17-34","Ostdeutschland","6.95","6.5","1385","6.82","7.08"
"1990","17-34","Westdeutschland","7.19","7.5","2463","7.11","7.27"
"1990","35-65","Ostdeutschland","7.37","7.5","1989","7.27","7.47"
"1990","35-65","Westdeutschland","7.27","7.5","3164","7.2","7.34"
"1990","66 +","Ostdeutschland","","","","",""
"1990","66 +","Westdeutschland","","","","",""
"1991","17-34","Ostdeutschland","6.44","6.5","1098","6.28","6.6"
"1991","17-34","Westdeutschland","7.27","7.5","2511","7.19","7.35"
"1991","35-65","Ostdeutschland","6.26","6.5","1606","6.13","6.39"
"1991","35-65","Westdeutschland","7.14","7.5","3250","7.07","7.21"
"1991","66 +","Ostdeutschland","","","","",""
"1991","66 +","Westdeutschland","","","","",""
"1992","17-34","Ostdeutschland","6.79","6.5","947","6.65","6.93"
"1992","17-34","Westdeutschland","7.46","7.5","2425","7.39","7.53"
"1992","35-65","Ostdeutschland","6.74","6.5","1429","6.63","6.85"
"1992","35-65","Westdeutschland","7.38","7.5","3194","7.32","7.44"
"1992","66 +","Ostdeutschland","","","","",""
"1992","66 +","Westdeutschland","","","","",""
"1993","17-34","Ostdeutschland","6.97","6.5","895","6.83","7.11"
"1993","17-34","Westdeutschland","7.19","7.5","2372","7.11","7.27"
"1993","35-65","Ostdeutschland","6.74","6.5","1320","6.62","6.86"
"1993","35-65","Westdeutschland","7.07","6.5","3139","7","7.14"
"1993","66 +","Ostdeutschland","","","","",""
"1993","66 +","Westdeutschland","","","","",""
"1994","17-34","Ostdeutschland","6.88","6.5","845","6.74","7.02"
"1994","17-34","Westdeutschland","7.14","7.5","2323","7.06","7.22"
"1994","35-65","Ostdeutschland","6.65","6.5","1336","6.54","6.76"
"1994","35-65","Westdeutschland","6.92","6.5","2970","6.85","6.99"
"1994","66 +","Ostdeutschland","","","","",""
"1994","66 +","Westdeutschland","","","","",""
"1995","17-34","Ostdeutschland","6.79","6.5","892","6.64","6.94"
"1995","17-34","Westdeutschland","7.01","6.5","2603","6.93","7.09"
"1995","35-65","Ostdeutschland","6.56","6.5","1404","6.44","6.68"
"1995","35-65","Westdeutschland","6.87","6.5","3269","6.8","6.94"
"1995","66 +","Ostdeutschland","","","","",""
"1995","66 +","Westdeutschland","6.13","6.5","56","5.42","6.84"
