"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","7.48","8","1653","7.37","7.59"
"1984","16-34 Jahre alt","weiblich","7.58","8","1201","7.45","7.71"
"1984","35-65 Jahre alt","maennlich","7.84","8","2755","7.76","7.92"
"1984","35-65 Jahre alt","weiblich","7.71","8","1369","7.59","7.83"
"1984","66 und älter","maennlich","","","","",""
"1984","66 und älter","weiblich","","","","",""
"1985","16-34 Jahre alt","maennlich","7.47","8","1490","7.36","7.58"
"1985","16-34 Jahre alt","weiblich","7.38","8","1112","7.25","7.51"
"1985","35-65 Jahre alt","maennlich","7.59","8","2432","7.51","7.67"
"1985","35-65 Jahre alt","weiblich","7.62","8","1263","7.5","7.74"
"1985","66 und älter","maennlich","","","","",""
"1985","66 und älter","weiblich","","","","",""
"1986","16-34 Jahre alt","maennlich","7.43","8","1512","7.32","7.54"
"1986","16-34 Jahre alt","weiblich","7.24","8","1108","7.11","7.37"
"1986","35-65 Jahre alt","maennlich","7.47","8","2303","7.38","7.56"
"1986","35-65 Jahre alt","weiblich","7.4","8","1218","7.28","7.52"
"1986","66 und älter","maennlich","","","","",""
"1986","66 und älter","weiblich","","","","",""
"1987","16-34 Jahre alt","maennlich","7.35","8","1507","7.24","7.46"
"1987","16-34 Jahre alt","weiblich","7.24","8","1106","7.11","7.37"
"1987","35-65 Jahre alt","maennlich","7.53","8","2256","7.45","7.61"
"1987","35-65 Jahre alt","weiblich","7.39","8","1251","7.28","7.5"
"1987","66 und älter","maennlich","","","","",""
"1987","66 und älter","weiblich","","","","",""
"1988","16-34 Jahre alt","maennlich","7.2","8","1440","7.09","7.31"
"1988","16-34 Jahre alt","weiblich","7.37","8","1040","7.24","7.5"
"1988","35-65 Jahre alt","maennlich","7.29","8","2118","7.2","7.38"
"1988","35-65 Jahre alt","weiblich","7.14","8","1208","7.02","7.26"
"1988","66 und älter","maennlich","","","","",""
"1988","66 und älter","weiblich","","","","",""
"1989","16-34 Jahre alt","maennlich","7.25","8","1427","7.14","7.36"
"1989","16-34 Jahre alt","weiblich","7.27","8","1039","7.14","7.4"
"1989","35-65 Jahre alt","maennlich","7.29","8","2014","7.2","7.38"
"1989","35-65 Jahre alt","weiblich","7.19","8","1184","7.07","7.31"
"1989","66 und älter","maennlich","","","","",""
"1989","66 und älter","weiblich","","","","",""
"1990","16-34 Jahre alt","maennlich","7.14","8","2138","7.05","7.23"
"1990","16-34 Jahre alt","weiblich","7.12","8","1720","7.01","7.23"
"1990","35-65 Jahre alt","maennlich","7.29","8","3034","7.22","7.36"
"1990","35-65 Jahre alt","weiblich","7.27","8","2139","7.18","7.36"
"1990","66 und älter","maennlich","","","","",""
"1990","66 und älter","weiblich","","","","",""
"1991","16-34 Jahre alt","maennlich","7.11","8","2022","7.01","7.21"
"1991","16-34 Jahre alt","weiblich","7.09","8","1600","6.97","7.21"
"1991","35-65 Jahre alt","maennlich","6.99","7","2864","6.91","7.07"
"1991","35-65 Jahre alt","weiblich","6.89","7","2011","6.79","6.99"
"1991","66 und älter","maennlich","","","","",""
"1991","66 und älter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","7.33","8","1909","7.24","7.42"
"1992","16-34 Jahre alt","weiblich","7.34","8","1477","7.24","7.44"
"1992","35-65 Jahre alt","maennlich","7.26","8","2722","7.19","7.33"
"1992","35-65 Jahre alt","weiblich","7.26","8","1916","7.17","7.35"
"1992","66 und älter","maennlich","","","","",""
"1992","66 und älter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","7.16","8","1850","7.07","7.25"
"1993","16-34 Jahre alt","weiblich","7.15","8","1437","7.04","7.26"
"1993","35-65 Jahre alt","maennlich","7","7","2616","6.92","7.08"
"1993","35-65 Jahre alt","weiblich","7.02","7","1854","6.92","7.12"
"1993","66 und älter","maennlich","","","","",""
"1993","66 und älter","weiblich","","","","",""
"1994","16-34 Jahre alt","maennlich","7.09","8","1774","6.99","7.19"
"1994","16-34 Jahre alt","weiblich","7.1","8","1407","6.99","7.21"
"1994","35-65 Jahre alt","maennlich","6.88","7","2523","6.8","6.96"
"1994","35-65 Jahre alt","weiblich","6.84","7","1795","6.74","6.94"
"1994","66 und älter","maennlich","","","","",""
"1994","66 und älter","weiblich","","","","",""
"1995","16-34 Jahre alt","maennlich","7","7","1955","6.91","7.09"
"1995","16-34 Jahre alt","weiblich","6.94","8","1566","6.83","7.05"
"1995","35-65 Jahre alt","maennlich","6.81","7","2675","6.73","6.89"
"1995","35-65 Jahre alt","weiblich","6.78","7","2009","6.68","6.88"
"1995","66 und älter","maennlich","6.34","6.55","31","5.51","7.17"
"1995","66 und älter","weiblich","5.6","6","36","4.67","6.53"
"1996","16-34 Jahre alt","maennlich","6.99","7","1888","6.89","7.09"
"1996","16-34 Jahre alt","weiblich","6.94","7","1484","6.83","7.05"
"1996","35-65 Jahre alt","maennlich","6.71","7","2620","6.63","6.79"
"1996","35-65 Jahre alt","weiblich","6.83","7","2032","6.74","6.92"
"1996","66 und älter","maennlich","6.64","7","35","5.88","7.4"
"1996","66 und älter","weiblich","5.76","5.29","42","4.94","6.58"
"1997","16-34 Jahre alt","maennlich","7.03","8","1818","6.94","7.12"
"1997","16-34 Jahre alt","weiblich","6.9","7","1413","6.79","7.01"
"1997","35-65 Jahre alt","maennlich","6.71","7","2546","6.63","6.79"
"1997","35-65 Jahre alt","weiblich","6.75","7","1985","6.66","6.84"
"1997","66 und älter","maennlich","5.72","5","38","4.86","6.58"
"1997","66 und älter","weiblich","6.91","8","35","5.96","7.86"
"1998","16-34 Jahre alt","maennlich","6.94","7","1869","6.84","7.04"
"1998","16-34 Jahre alt","weiblich","6.83","7","1490","6.72","6.94"
"1998","35-65 Jahre alt","maennlich","6.9","7","2857","6.82","6.98"
"1998","35-65 Jahre alt","weiblich","6.88","7","2226","6.79","6.97"
"1998","66 und älter","maennlich","6.13","7","51","5.27","6.99"
"1998","66 und älter","weiblich","6.63","7","57","5.86","7.4"
"1999","16-34 Jahre alt","maennlich","7.06","8","1788","6.97","7.15"
"1999","16-34 Jahre alt","weiblich","6.82","7","1449","6.71","6.93"
"1999","35-65 Jahre alt","maennlich","6.78","7","2821","6.7","6.86"
"1999","35-65 Jahre alt","weiblich","6.82","7","2214","6.73","6.91"
"1999","66 und älter","maennlich","6.85","6.8","35","6.04","7.66"
"1999","66 und älter","weiblich","5.48","5.59","46","4.57","6.39"
"2000","16-34 Jahre alt","maennlich","7.31","8","2455","7.23","7.39"
"2000","16-34 Jahre alt","weiblich","7.07","8","2033","6.97","7.17"
"2000","35-65 Jahre alt","maennlich","7.03","8","4792","6.97","7.09"
"2000","35-65 Jahre alt","weiblich","7.01","7","3822","6.94","7.08"
"2000","66 und älter","maennlich","6.35","7","100","5.68","7.02"
"2000","66 und älter","weiblich","5","6","99","4.3","5.7"
"2001","16-34 Jahre alt","maennlich","7.29","8","2332","7.21","7.37"
"2001","16-34 Jahre alt","weiblich","7.1","8","2012","7","7.2"
"2001","35-65 Jahre alt","maennlich","6.99","7","4691","6.93","7.05"
"2001","35-65 Jahre alt","weiblich","7.05","8","3862","6.98","7.12"
"2001","66 und älter","maennlich","6.56","8","90","5.81","7.31"
"2001","66 und älter","weiblich","4.74","5.36","95","3.98","5.5"
"2002","16-34 Jahre alt","maennlich","7","7","2217","6.91","7.09"
"2002","16-34 Jahre alt","weiblich","7.02","8","1965","6.92","7.12"
"2002","35-65 Jahre alt","maennlich","6.86","7","5226","6.8","6.92"
"2002","35-65 Jahre alt","weiblich","6.87","7","4327","6.81","6.93"
"2002","66 und älter","maennlich","6.5","7","131","5.97","7.03"
"2002","66 und älter","weiblich","5.34","6","93","4.61","6.07"
"2003","16-34 Jahre alt","maennlich","6.96","8","2043","6.87","7.05"
"2003","16-34 Jahre alt","weiblich","6.94","8","1893","6.84","7.04"
"2003","35-65 Jahre alt","maennlich","6.83","7","4915","6.77","6.89"
"2003","35-65 Jahre alt","weiblich","6.89","7","4174","6.83","6.95"
"2003","66 und älter","maennlich","6.4","8","136","5.84","6.96"
"2003","66 und älter","weiblich","4.81","5","104","4.09","5.53"
"2004","16-34 Jahre alt","maennlich","6.82","7","1916","6.72","6.92"
"2004","16-34 Jahre alt","weiblich","6.84","7","1776","6.73","6.95"
"2004","35-65 Jahre alt","maennlich","6.72","7","4761","6.66","6.78"
"2004","35-65 Jahre alt","weiblich","6.76","7","4112","6.69","6.83"
"2004","66 und älter","maennlich","6.49","7","131","5.96","7.02"
"2004","66 und älter","weiblich","6.15","7","96","5.47","6.83"
"2005","16-34 Jahre alt","maennlich","6.87","7","1776","6.77","6.97"
"2005","16-34 Jahre alt","weiblich","6.89","7","1656","6.78","7"
"2005","35-65 Jahre alt","maennlich","6.61","7","4514","6.55","6.67"
"2005","35-65 Jahre alt","weiblich","6.7","7","3967","6.63","6.77"
"2005","66 und älter","maennlich","6.18","7","128","5.62","6.74"
"2005","66 und älter","weiblich","5.44","6","107","4.75","6.13"
"2006","16-34 Jahre alt","maennlich","6.91","7","1745","6.81","7.01"
"2006","16-34 Jahre alt","weiblich","6.96","7","1640","6.85","7.07"
"2006","35-65 Jahre alt","maennlich","6.63","7","4777","6.57","6.69"
"2006","35-65 Jahre alt","weiblich","6.78","7","4264","6.72","6.84"
"2006","66 und älter","maennlich","6.34","7","147","5.87","6.81"
"2006","66 und älter","weiblich","5.54","6","115","4.93","6.15"
