year,age_gr,bula_h,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Schleswig-Holstein,Often,0.26016,33,73,0.15882,0.36150
2003,17-29 y.,Schleswig-Holstein,Sometimes,0.36722,40,73,0.25587,0.47857
2003,17-29 y.,Lower Saxony,Very often,0.12078,40,328,0.08546,0.15610
2003,17-29 y.,Lower Saxony,Often,0.33121,104,328,0.28020,0.38223
2003,17-29 y.,Lower Saxony,Sometimes,0.39085,134,328,0.33796,0.44373
2003,17-29 y.,Lower Saxony,Seldom,0.14373,50,328,0.10570,0.18175
2003,17-29 y.,North Rhine-Westphalia,Very often,0.10272,77,780,0.08140,0.12404
2003,17-29 y.,North Rhine-Westphalia,Often,0.34033,273,780,0.30706,0.37360
2003,17-29 y.,North Rhine-Westphalia,Sometimes,0.38113,291,780,0.34702,0.41523
2003,17-29 y.,North Rhine-Westphalia,Seldom,0.14067,108,780,0.11626,0.16509
2003,17-29 y.,North Rhine-Westphalia,Never,0.03127,31,780,0.01905,0.04349
2003,17-29 y.,Hesse,Often,0.34840,86,208,0.28349,0.41330
2003,17-29 y.,Hesse,Sometimes,0.32105,86,208,0.25745,0.38465
2003,17-29 y.,Hesse,Seldom,0.13263,36,208,0.08642,0.17883
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Often,0.31620,75,196,0.25094,0.38147
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.34266,77,196,0.27605,0.40928
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.20591,44,196,0.14915,0.26266
2003,17-29 y.,Baden-Wuerttemberg,Very often,0.07775,39,514,0.05458,0.10093
2003,17-29 y.,Baden-Wuerttemberg,Often,0.25920,140,514,0.22128,0.29712
2003,17-29 y.,Baden-Wuerttemberg,Sometimes,0.39885,198,514,0.35648,0.44122
2003,17-29 y.,Baden-Wuerttemberg,Seldom,0.18076,90,514,0.14746,0.21406
2003,17-29 y.,Baden-Wuerttemberg,Never,0.08343,47,514,0.05950,0.10736
2003,17-29 y.,Bavaria,Very often,0.10107,54,541,0.07565,0.12649
2003,17-29 y.,Bavaria,Often,0.26805,143,541,0.23069,0.30541
2003,17-29 y.,Bavaria,Sometimes,0.36801,229,541,0.32733,0.40869
2003,17-29 y.,Bavaria,Seldom,0.20907,115,541,0.17477,0.24337
2003,17-29 y.,Berlin,Often,0.36337,66,127,0.27939,0.44736
2003,17-29 y.,Berlin,Sometimes,0.39212,61,127,0.30687,0.47737
2003,17-29 y.,Brandenburg,Often,0.24890,49,133,0.17514,0.32266
2003,17-29 y.,Brandenburg,Sometimes,0.43052,84,133,0.34605,0.51499
2003,17-29 y.,Mecklenburg-Western Pomerania,Sometimes,0.47781,45,45,0.33021,0.62540
2003,17-29 y.,Saxony,Often,0.30909,95,276,0.25447,0.36371
2003,17-29 y.,Saxony,Sometimes,0.38241,122,276,0.32498,0.43985
2003,17-29 y.,Saxony,Seldom,0.22092,59,276,0.17188,0.26995
2003,17-29 y.,Saxony-Anhalt,Often,0.31295,59,148,0.23799,0.38791
2003,17-29 y.,Saxony-Anhalt,Sometimes,0.24786,51,148,0.17806,0.31765
2003,17-29 y.,Saxony-Anhalt,Seldom,0.27412,38,148,0.20201,0.34623
2003,17-29 y.,Thuringa,Often,0.25981,54,182,0.19593,0.32370
2003,17-29 y.,Thuringa,Sometimes,0.39357,93,182,0.32239,0.46474
2003,17-29 y.,Thuringa,Seldom,0.15560,35,182,0.10279,0.20841
2003,30-45 y.,Schleswig-Holstein,Sometimes,0.56029,102,139,0.47748,0.64311
2003,30-45 y.,Schleswig-Holstein,Seldom,0.19312,37,139,0.12725,0.25898
2003,30-45 y.,Hamburg,Sometimes,0.43694,35,35,0.27021,0.60366
2003,30-45 y.,Lower Saxony,Very often,0.07816,53,628,0.05715,0.09917
2003,30-45 y.,Lower Saxony,Often,0.22928,139,628,0.19638,0.26219
2003,30-45 y.,Lower Saxony,Sometimes,0.38511,247,628,0.34702,0.42320
2003,30-45 y.,Lower Saxony,Seldom,0.25578,157,628,0.22163,0.28993
2003,30-45 y.,Lower Saxony,Never,0.05160,32,628,0.03428,0.06892
2003,30-45 y.,North Rhine-Westphalia,Very often,0.04743,69,1487,0.03662,0.05824
2003,30-45 y.,North Rhine-Westphalia,Often,0.19948,301,1487,0.17916,0.21980
2003,30-45 y.,North Rhine-Westphalia,Sometimes,0.45080,672,1487,0.42551,0.47610
2003,30-45 y.,North Rhine-Westphalia,Seldom,0.22806,335,1487,0.20673,0.24940
2003,30-45 y.,North Rhine-Westphalia,Never,0.07157,110,1487,0.05846,0.08468
2003,30-45 y.,Hesse,Often,0.21322,110,474,0.17631,0.25014
2003,30-45 y.,Hesse,Sometimes,0.39841,202,474,0.35429,0.44253
2003,30-45 y.,Hesse,Seldom,0.23219,114,474,0.19414,0.27025
2003,30-45 y.,Hesse,Never,0.09446,48,474,0.06810,0.12082
2003,30-45 y.,"Rhineland-Palatinate, Saarland",Often,0.22268,98,420,0.18284,0.26251
2003,30-45 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.37812,166,420,0.33169,0.42455
2003,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.22613,105,420,0.18608,0.26619
2003,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.11029,51,420,0.08030,0.14029
2003,30-45 y.,Baden-Wuerttemberg,Very often,0.04122,38,927,0.02841,0.05402
2003,30-45 y.,Baden-Wuerttemberg,Often,0.16066,133,927,0.13701,0.18431
2003,30-45 y.,Baden-Wuerttemberg,Sometimes,0.38523,352,927,0.35389,0.41658
2003,30-45 y.,Baden-Wuerttemberg,Seldom,0.27338,267,927,0.24467,0.30209
2003,30-45 y.,Baden-Wuerttemberg,Never,0.13873,137,927,0.11646,0.16099
2003,30-45 y.,Bavaria,Very often,0.04572,42,1016,0.03287,0.05857
2003,30-45 y.,Bavaria,Often,0.18995,204,1016,0.16582,0.21408
2003,30-45 y.,Bavaria,Sometimes,0.38964,394,1016,0.35964,0.41964
2003,30-45 y.,Bavaria,Seldom,0.25479,287,1016,0.22799,0.28160
2003,30-45 y.,Bavaria,Never,0.11562,89,1016,0.09594,0.13529
2003,30-45 y.,Berlin,Often,0.18362,44,200,0.12982,0.23741
2003,30-45 y.,Berlin,Sometimes,0.40684,92,200,0.33859,0.47510
2003,30-45 y.,Berlin,Seldom,0.27442,64,200,0.21242,0.33641
2003,30-45 y.,Brandenburg,Sometimes,0.34655,91,169,0.27459,0.41851
2003,30-45 y.,Brandenburg,Seldom,0.35687,78,169,0.28442,0.42931
2003,30-45 y.,Mecklenburg-Western Pomerania,Often,0.19946,34,135,0.13180,0.26712
2003,30-45 y.,Mecklenburg-Western Pomerania,Sometimes,0.35251,54,135,0.27162,0.43340
2003,30-45 y.,Mecklenburg-Western Pomerania,Seldom,0.30501,47,135,0.22705,0.38296
2003,30-45 y.,Saxony,Often,0.20536,97,468,0.16873,0.24200
2003,30-45 y.,Saxony,Sometimes,0.40248,203,468,0.35800,0.44696
2003,30-45 y.,Saxony,Seldom,0.25559,115,468,0.21603,0.29516
2003,30-45 y.,Saxony,Never,0.11783,53,468,0.08859,0.14707
2003,30-45 y.,Saxony-Anhalt,Often,0.24544,58,206,0.18653,0.30435
2003,30-45 y.,Saxony-Anhalt,Sometimes,0.36632,75,206,0.30036,0.43227
2003,30-45 y.,Saxony-Anhalt,Seldom,0.26391,73,206,0.20357,0.32424
2003,30-45 y.,Thuringa,Often,0.15750,36,227,0.11000,0.20499
2003,30-45 y.,Thuringa,Sometimes,0.34533,105,227,0.28334,0.40732
2003,30-45 y.,Thuringa,Seldom,0.31891,86,227,0.25815,0.37968
2003,46-65 y.,Schleswig-Holstein,Sometimes,0.41779,102,218,0.35217,0.48341
2003,46-65 y.,Schleswig-Holstein,Seldom,0.30043,81,218,0.23944,0.36143
2003,46-65 y.,Schleswig-Holstein,Never,0.14456,35,218,0.09777,0.19135
2003,46-65 y.,Hamburg,Sometimes,0.39009,52,91,0.28932,0.49086
2003,46-65 y.,Hamburg,Seldom,0.32710,39,91,0.23017,0.42403
2003,46-65 y.,Lower Saxony,Often,0.12537,94,587,0.09856,0.15218
2003,46-65 y.,Lower Saxony,Sometimes,0.33990,214,587,0.30155,0.37826
2003,46-65 y.,Lower Saxony,Seldom,0.32386,190,587,0.28597,0.36175
2003,46-65 y.,Lower Saxony,Never,0.19166,89,587,0.15979,0.22353
2003,46-65 y.,North Rhine-Westphalia,Very often,0.02630,44,1615,0.01849,0.03411
2003,46-65 y.,North Rhine-Westphalia,Often,0.12274,213,1615,0.10673,0.13875
2003,46-65 y.,North Rhine-Westphalia,Sometimes,0.35070,593,1615,0.32741,0.37398
