year,regtyp,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,Very often,0.03523,639,14632,0.03225,0.03822
2003,Urban regions,Often,0.13876,2592,14632,0.13316,0.14436
2003,Urban regions,Sometimes,0.28313,5176,14632,0.27583,0.29043
2003,Urban regions,Seldom,0.21509,3863,14632,0.20843,0.22175
2003,Urban regions,Never,0.15332,2362,14632,0.14748,0.15916
2003,Rural regions,Very often,0.02933,266,7395,0.02548,0.03317
2003,Rural regions,Often,0.12007,1128,7395,0.11266,0.12748
2003,Rural regions,Sometimes,0.26395,2508,7395,0.25390,0.27399
2003,Rural regions,Seldom,0.24076,2159,7395,0.23102,0.25051
2003,Rural regions,Never,0.17652,1334,7395,0.16783,0.18521
2008,Urban regions,Very often,0.02738,433,12571,0.02453,0.03023
2008,Urban regions,Often,0.13231,2097,12571,0.12639,0.13824
2008,Urban regions,Sometimes,0.28570,4394,12571,0.27781,0.29360
2008,Urban regions,Seldom,0.23400,3585,12571,0.22660,0.24140
2008,Urban regions,Never,0.14973,2062,12571,0.14349,0.15597
2008,Rural regions,Very often,0.02316,175,6603,0.01953,0.02679
2008,Rural regions,Often,0.11431,915,6603,0.10663,0.12199
2008,Rural regions,Sometimes,0.26720,2166,6603,0.25653,0.27788
2008,Rural regions,Seldom,0.26251,2079,6603,0.25189,0.27312
2008,Rural regions,Never,0.17241,1268,6603,0.16330,0.18152
2013,Urban regions,Very often,0.01964,473,16120,0.01750,0.02178
2013,Urban regions,Often,0.11563,2752,16120,0.11069,0.12057
2013,Urban regions,Sometimes,0.25117,5649,16120,0.24448,0.25787
2013,Urban regions,Seldom,0.23585,4958,16120,0.22930,0.24241
2013,Urban regions,Never,0.12084,2288,16120,0.11581,0.12587
2013,Rural regions,Very often,0.01575,200,9290,0.01322,0.01828
2013,Rural regions,Often,0.10330,1275,9290,0.09711,0.10948
2013,Rural regions,Sometimes,0.26335,3125,9290,0.25439,0.27230
2013,Rural regions,Seldom,0.26372,3093,9290,0.25476,0.27268
2013,Rural regions,Never,0.15039,1597,9290,0.14312,0.15766
2018,Urban regions,Very often,0.03407,724,16605,0.03131,0.03683
2018,Urban regions,Often,0.14593,3027,16605,0.14056,0.15130
2018,Urban regions,Sometimes,0.28623,5855,16605,0.27935,0.29310
2018,Urban regions,Seldom,0.24058,4684,16605,0.23407,0.24708
2018,Urban regions,Never,0.12498,2315,16605,0.11995,0.13001
2018,Rural regions,Very often,0.02193,254,8954,0.01890,0.02496
2018,Rural regions,Often,0.12769,1263,8954,0.12078,0.13460
2018,Rural regions,Sometimes,0.28469,3076,8954,0.27534,0.29404
2018,Rural regions,Seldom,0.26479,2849,8954,0.25565,0.27393
2018,Rural regions,Never,0.13750,1512,8954,0.13037,0.14463
