year,migback,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Very often,0.03258,757,18665,0.03003,0.03512
2003,No migration background,Often,0.13229,3127,18665,0.12743,0.13716
2003,No migration background,Sometimes,0.28553,6565,18665,0.27905,0.29201
2003,No migration background,Seldom,0.23442,5235,18665,0.22834,0.24050
2003,No migration background,Never,0.16145,2981,18665,0.15617,0.16673
2003,Direct migration background,Very often,0.03846,89,2589,0.03105,0.04587
2003,Direct migration background,Often,0.14928,377,2589,0.13555,0.16301
2003,Direct migration background,Sometimes,0.29450,829,2589,0.27694,0.31206
2003,Direct migration background,Seldom,0.23283,659,2589,0.21654,0.24911
2003,Direct migration background,Never,0.22211,635,2589,0.20610,0.23813
2003,Indirect migration background,Very often,0.03443,59,773,0.02157,0.04729
2003,Indirect migration background,Often,0.11094,216,773,0.08879,0.13309
2003,Indirect migration background,Sometimes,0.13839,290,773,0.11403,0.16275
2003,Indirect migration background,Seldom,0.06372,128,773,0.04649,0.08095
2003,Indirect migration background,Never,0.04311,80,773,0.02878,0.05743
2008,No migration background,Very often,0.02520,506,16530,0.02281,0.02759
2008,No migration background,Often,0.12842,2576,16530,0.12332,0.13352
2008,No migration background,Sometimes,0.28774,5696,16530,0.28083,0.29464
2008,No migration background,Seldom,0.25091,4974,16530,0.24430,0.25752
2008,No migration background,Never,0.15550,2778,16530,0.14997,0.16102
2008,Direct migration background,Very often,0.02972,55,1882,0.02204,0.03739
2008,Direct migration background,Often,0.12386,257,1882,0.10897,0.13875
2008,Direct migration background,Sometimes,0.28925,573,1882,0.26876,0.30974
2008,Direct migration background,Seldom,0.28603,524,1882,0.26561,0.30646
2008,Direct migration background,Never,0.23606,473,1882,0.21687,0.25525
2008,Indirect migration background,Very often,0.02952,47,762,0.01750,0.04155
2008,Indirect migration background,Often,0.11134,179,762,0.08899,0.13369
2008,Indirect migration background,Sometimes,0.18526,291,762,0.15765,0.21286
2008,Indirect migration background,Seldom,0.10318,166,762,0.08157,0.12479
2008,Indirect migration background,Never,0.06229,79,762,0.04512,0.07946
2013,No migration background,Very often,0.01994,542,21538,0.01807,0.02181
2013,No migration background,Often,0.12060,3350,21538,0.11625,0.12495
2013,No migration background,Sometimes,0.28625,7487,21538,0.28021,0.29229
2013,No migration background,Seldom,0.27449,6899,21538,0.26853,0.28045
2013,No migration background,Never,0.14224,3260,21538,0.13758,0.14691
2013,Direct migration background,Very often,0.01413,81,2747,0.00972,0.01854
2013,Direct migration background,Often,0.08384,425,2747,0.07347,0.09420
2013,Direct migration background,Sometimes,0.15705,883,2747,0.14345,0.17066
2013,Direct migration background,Seldom,0.16701,845,2747,0.15306,0.18096
2013,Direct migration background,Never,0.12290,513,2747,0.11062,0.13518
2013,Indirect migration background,Very often,0.00948,50,1125,0.00382,0.01515
2013,Indirect migration background,Often,0.06571,252,1125,0.05123,0.08020
2013,Indirect migration background,Sometimes,0.09931,404,1125,0.08183,0.11680
2013,Indirect migration background,Seldom,0.07361,307,1125,0.05834,0.08888
2013,Indirect migration background,Never,0.02651,112,1125,0.01712,0.03591
2018,No migration background,Very often,0.02726,656,19410,0.02497,0.02955
2018,No migration background,Often,0.14115,3205,19410,0.13625,0.14604
2018,No migration background,Sometimes,0.30170,6976,19410,0.29524,0.30816
2018,No migration background,Seldom,0.26330,5915,19410,0.25710,0.26950
2018,No migration background,Never,0.12718,2658,19410,0.12249,0.13187
2018,Direct migration background,Very often,0.03841,213,4522,0.03280,0.04401
2018,Direct migration background,Often,0.14560,709,4522,0.13532,0.15588
2018,Direct migration background,Sometimes,0.27621,1425,4522,0.26318,0.28925
2018,Direct migration background,Seldom,0.24861,1187,4522,0.23601,0.26121
2018,Direct migration background,Never,0.18721,988,4522,0.17584,0.19858
2018,Indirect migration background,Very often,0.04268,109,1627,0.03286,0.05251
2018,Indirect migration background,Often,0.12473,376,1627,0.10867,0.14079
2018,Indirect migration background,Sometimes,0.16970,530,1627,0.15145,0.18794
2018,Indirect migration background,Seldom,0.12331,431,1627,0.10732,0.13929
2018,Indirect migration background,Never,0.05447,181,1627,0.04344,0.06550
