year,age_gr,quintil_oecd,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,1st Quintile,Very often,0.07481,63,861,0.05722,0.09239
2003,17-29 y.,1st Quintile,Often,0.30494,247,861,0.27417,0.33571
2003,17-29 y.,1st Quintile,Sometimes,0.38049,343,861,0.34804,0.41294
2003,17-29 y.,1st Quintile,Seldom,0.16636,143,861,0.14147,0.19124
2003,17-29 y.,1st Quintile,Never,0.07185,65,861,0.05459,0.08911
2003,17-29 y.,2nd Quintile,Very often,0.11400,78,767,0.09149,0.13650
2003,17-29 y.,2nd Quintile,Often,0.32821,245,767,0.29496,0.36147
2003,17-29 y.,2nd Quintile,Sometimes,0.33739,267,767,0.30390,0.37087
2003,17-29 y.,2nd Quintile,Seldom,0.16756,139,767,0.14111,0.19400
2003,17-29 y.,2nd Quintile,Never,0.04757,38,767,0.03250,0.06264
2003,17-29 y.,3rd Quintile,Very often,0.10583,70,756,0.08389,0.12778
2003,17-29 y.,3rd Quintile,Often,0.26578,210,756,0.23427,0.29729
2003,17-29 y.,3rd Quintile,Sometimes,0.35960,290,756,0.32537,0.39383
2003,17-29 y.,3rd Quintile,Seldom,0.20987,144,756,0.18082,0.23892
2003,17-29 y.,3rd Quintile,Never,0.05891,42,756,0.04212,0.07571
2003,17-29 y.,4th Quintile,Very often,0.09420,77,776,0.07364,0.11477
2003,17-29 y.,4th Quintile,Often,0.31000,251,776,0.27744,0.34256
2003,17-29 y.,4th Quintile,Sometimes,0.43746,341,776,0.40253,0.47238
2003,17-29 y.,4th Quintile,Seldom,0.13519,107,776,0.11112,0.15926
2003,17-29 y.,5th Quintile,Very often,0.10238,85,797,0.08132,0.12344
2003,17-29 y.,5th Quintile,Often,0.32856,280,797,0.29593,0.36119
2003,17-29 y.,5th Quintile,Sometimes,0.36672,299,797,0.33324,0.40019
2003,17-29 y.,5th Quintile,Seldom,0.17226,133,797,0.14603,0.19850
2003,30-45 y.,1st Quintile,Very often,0.06407,48,950,0.04849,0.07966
2003,30-45 y.,1st Quintile,Often,0.18211,159,950,0.15755,0.20666
2003,30-45 y.,1st Quintile,Sometimes,0.32773,317,950,0.29787,0.35759
2003,30-45 y.,1st Quintile,Seldom,0.25366,256,950,0.22597,0.28134
2003,30-45 y.,1st Quintile,Never,0.16559,170,950,0.14194,0.18924
2003,30-45 y.,2nd Quintile,Very often,0.03231,37,1251,0.02250,0.04211
2003,30-45 y.,2nd Quintile,Often,0.19190,224,1251,0.17007,0.21373
2003,30-45 y.,2nd Quintile,Sometimes,0.42582,521,1251,0.39841,0.45323
2003,30-45 y.,2nd Quintile,Seldom,0.24854,329,1251,0.22458,0.27250
2003,30-45 y.,2nd Quintile,Never,0.09841,140,1251,0.08189,0.11492
2003,30-45 y.,3rd Quintile,Very often,0.04607,59,1366,0.03495,0.05720
2003,30-45 y.,3rd Quintile,Often,0.16805,245,1366,0.14821,0.18789
2003,30-45 y.,3rd Quintile,Sometimes,0.41537,572,1366,0.38923,0.44151
2003,30-45 y.,3rd Quintile,Seldom,0.25305,349,1366,0.22999,0.27611
2003,30-45 y.,3rd Quintile,Never,0.11334,141,1366,0.09652,0.13016
2003,30-45 y.,4th Quintile,Very often,0.03662,60,1489,0.02707,0.04616
2003,30-45 y.,4th Quintile,Often,0.21568,305,1489,0.19478,0.23658
2003,30-45 y.,4th Quintile,Sometimes,0.41696,624,1489,0.39190,0.44201
2003,30-45 y.,4th Quintile,Seldom,0.26019,397,1489,0.23790,0.28249
2003,30-45 y.,4th Quintile,Never,0.06980,103,1489,0.05685,0.08275
2003,30-45 y.,5th Quintile,Very often,0.05194,106,1855,0.04184,0.06205
2003,30-45 y.,5th Quintile,Often,0.22484,417,1855,0.20584,0.24384
2003,30-45 y.,5th Quintile,Sometimes,0.42678,775,1855,0.40426,0.44929
2003,30-45 y.,5th Quintile,Seldom,0.23594,457,1855,0.21661,0.25527
2003,30-45 y.,5th Quintile,Never,0.05298,100,1855,0.04278,0.06317
2003,46-65 y.,1st Quintile,Often,0.07663,65,865,0.05889,0.09436
2003,46-65 y.,1st Quintile,Sometimes,0.28017,233,865,0.25022,0.31011
2003,46-65 y.,1st Quintile,Seldom,0.29947,271,865,0.26893,0.33002
2003,46-65 y.,1st Quintile,Never,0.31822,296,865,0.28716,0.34928
2003,46-65 y.,2nd Quintile,Often,0.10291,94,949,0.08357,0.12225
2003,46-65 y.,2nd Quintile,Sometimes,0.28718,272,949,0.25837,0.31598
2003,46-65 y.,2nd Quintile,Seldom,0.32072,318,949,0.29101,0.35043
2003,46-65 y.,2nd Quintile,Never,0.26982,265,949,0.24157,0.29808
2003,46-65 y.,3rd Quintile,Often,0.11306,138,1209,0.09520,0.13092
2003,46-65 y.,3rd Quintile,Sometimes,0.31611,389,1209,0.28989,0.34233
2003,46-65 y.,3rd Quintile,Seldom,0.32693,430,1209,0.30048,0.35338
2003,46-65 y.,3rd Quintile,Never,0.22337,252,1209,0.19989,0.24686
2003,46-65 y.,4th Quintile,Very often,0.04349,53,1568,0.03339,0.05358
2003,46-65 y.,4th Quintile,Often,0.11323,191,1568,0.09754,0.12892
2003,46-65 y.,4th Quintile,Sometimes,0.35827,566,1568,0.33453,0.38201
2003,46-65 y.,4th Quintile,Seldom,0.32247,515,1568,0.29933,0.34561
2003,46-65 y.,4th Quintile,Never,0.16006,243,1568,0.14190,0.17821
2003,46-65 y.,5th Quintile,Very often,0.03899,104,2894,0.03194,0.04605
2003,46-65 y.,5th Quintile,Often,0.15223,442,2894,0.13914,0.16532
2003,46-65 y.,5th Quintile,Sometimes,0.35957,1097,2894,0.34209,0.37706
2003,46-65 y.,5th Quintile,Seldom,0.31214,930,2894,0.29526,0.32903
2003,46-65 y.,5th Quintile,Never,0.13107,321,2894,0.11877,0.14337
2003,66 and older,1st Quintile,Sometimes,0.14765,107,653,0.12042,0.17488
2003,66 and older,1st Quintile,Seldom,0.25191,172,653,0.21859,0.28523
2003,66 and older,1st Quintile,Never,0.53810,374,653,0.49983,0.57637
2003,66 and older,2nd Quintile,Often,0.05419,45,850,0.03896,0.06942
2003,66 and older,2nd Quintile,Sometimes,0.17033,149,850,0.14504,0.19562
2003,66 and older,2nd Quintile,Seldom,0.29393,257,850,0.26328,0.32457
2003,66 and older,2nd Quintile,Never,0.45252,399,850,0.41904,0.48600
2003,66 and older,3rd Quintile,Often,0.04130,36,747,0.02702,0.05558
2003,66 and older,3rd Quintile,Sometimes,0.20832,173,747,0.17918,0.23746
2003,66 and older,3rd Quintile,Seldom,0.31662,247,747,0.28324,0.35000
2003,66 and older,3rd Quintile,Never,0.41228,291,747,0.37696,0.44761
2003,66 and older,4th Quintile,Often,0.06735,38,560,0.04657,0.08813
2003,66 and older,4th Quintile,Sometimes,0.25148,134,560,0.21552,0.28745
2003,66 and older,4th Quintile,Seldom,0.29699,175,560,0.25911,0.33487
2003,66 and older,4th Quintile,Never,0.37060,213,560,0.33056,0.41064
2003,66 and older,5th Quintile,Often,0.08036,61,731,0.06064,0.10008
2003,66 and older,5th Quintile,Sometimes,0.27078,214,731,0.23854,0.30301
2003,66 and older,5th Quintile,Seldom,0.33671,253,731,0.30243,0.37099
2003,66 and older,5th Quintile,Never,0.29395,203,731,0.26090,0.32700
2008,17-29 y.,1st Quintile,Very often,0.04622,53,782,0.03149,0.06094
2008,17-29 y.,1st Quintile,Often,0.23258,195,782,0.20295,0.26221
2008,17-29 y.,1st Quintile,Sometimes,0.35600,295,782,0.32242,0.38958
2008,17-29 y.,1st Quintile,Seldom,0.18411,153,782,0.15692,0.21129
2008,17-29 y.,1st Quintile,Never,0.09490,86,782,0.07435,0.11546
2008,17-29 y.,2nd Quintile,Often,0.21825,141,543,0.18347,0.25302
2008,17-29 y.,2nd Quintile,Sometimes,0.36310,227,543,0.32261,0.40359
2008,17-29 y.,2nd Quintile,Seldom,0.20295,122,543,0.16909,0.23681
2008,17-29 y.,2nd Quintile,Never,0.08530,53,543,0.06178,0.10882
2008,17-29 y.,3rd Quintile,Very often,0.05371,34,609,0.03579,0.07163
2008,17-29 y.,3rd Quintile,Often,0.20664,158,609,0.17446,0.23882
2008,17-29 y.,3rd Quintile,Sometimes,0.46766,287,609,0.42800,0.50732
