year,sex,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,male,Very often,0.03517,435,10606,0.03166,0.03867
2003,male,Often,0.13713,1789,10606,0.13058,0.14368
2003,male,Sometimes,0.28192,3743,10606,0.27336,0.29049
2003,male,Seldom,0.22157,2958,10606,0.21366,0.22947
2003,male,Never,0.14355,1681,10606,0.13688,0.15023
2003,female,Very often,0.03162,470,11421,0.02841,0.03483
2003,female,Often,0.12871,1931,11421,0.12257,0.13485
2003,female,Sometimes,0.27236,3941,11421,0.26420,0.28053
2003,female,Seldom,0.22482,3064,11421,0.21717,0.23248
2003,female,Never,0.17715,2015,11421,0.17015,0.18415
2008,male,Very often,0.02323,242,9143,0.02015,0.02632
2008,male,Often,0.12546,1377,9143,0.11867,0.13225
2008,male,Sometimes,0.27825,3098,9143,0.26907,0.28744
2008,male,Seldom,0.25226,2899,9143,0.24336,0.26116
2008,male,Never,0.14528,1527,9143,0.13805,0.15250
2008,female,Very often,0.02874,366,10031,0.02547,0.03201
2008,female,Often,0.12764,1635,10031,0.12111,0.13417
2008,female,Sometimes,0.28130,3462,10031,0.27250,0.29010
2008,female,Seldom,0.23424,2765,10031,0.22595,0.24253
2008,female,Never,0.16824,1803,10031,0.16092,0.17556
2013,male,Very often,0.01638,270,11487,0.01406,0.01870
2013,male,Often,0.10827,1686,11487,0.10259,0.11395
2013,male,Sometimes,0.25468,3934,11487,0.24671,0.26264
2013,male,Seldom,0.24988,3840,11487,0.24196,0.25780
2013,male,Never,0.11967,1757,11487,0.11373,0.12560
2013,female,Very often,0.02029,403,13923,0.01795,0.02264
2013,female,Often,0.11483,2341,13923,0.10953,0.12012
2013,female,Sometimes,0.25559,4840,13923,0.24835,0.26284
2013,female,Seldom,0.24018,4211,13923,0.23308,0.24727
2013,female,Never,0.14090,2128,13923,0.13512,0.14668
2018,male,Very often,0.02833,407,11772,0.02533,0.03132
2018,male,Often,0.12909,1813,11772,0.12303,0.13515
2018,male,Sometimes,0.28895,4112,11772,0.28076,0.29714
2018,male,Seldom,0.26087,3724,11772,0.25293,0.26880
2018,male,Never,0.11813,1716,11772,0.11230,0.12396
2018,female,Very often,0.03221,571,13787,0.02926,0.03516
2018,female,Often,0.15121,2477,13787,0.14523,0.15719
2018,female,Sometimes,0.28267,4819,13787,0.27515,0.29019
2018,female,Seldom,0.23570,3809,13787,0.22861,0.24278
2018,female,Never,0.13946,2111,13787,0.13368,0.14525
