year,age_gr,migback,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,No migration background,Very often,0.09433,292,3121,0.08407,0.10459
2003,17-29 y.,No migration background,Often,0.30729,979,3121,0.29110,0.32348
2003,17-29 y.,No migration background,Sometimes,0.38290,1212,3121,0.36585,0.39996
2003,17-29 y.,No migration background,Seldom,0.17536,527,3121,0.16202,0.18870
2003,17-29 y.,No migration background,Never,0.03878,111,3121,0.03200,0.04555
2003,17-29 y.,Direct migration background,Very often,0.09706,35,376,0.06709,0.12702
2003,17-29 y.,Direct migration background,Often,0.28613,96,376,0.24039,0.33188
2003,17-29 y.,Direct migration background,Sometimes,0.37438,144,376,0.32540,0.42337
2003,17-29 y.,Direct migration background,Seldom,0.15753,67,376,0.12066,0.19440
2003,17-29 y.,Direct migration background,Never,0.07623,34,376,0.04937,0.10309
2003,17-29 y.,Indirect migration background,Very often,0.10952,47,503,0.08220,0.13684
2003,17-29 y.,Indirect migration background,Often,0.32575,159,503,0.28475,0.36674
2003,17-29 y.,Indirect migration background,Sometimes,0.34433,185,503,0.30277,0.38590
2003,17-29 y.,Indirect migration background,Seldom,0.14241,72,503,0.11184,0.17298
2003,17-29 y.,Indirect migration background,Never,0.07622,40,503,0.05301,0.09944
2003,30-45 y.,No migration background,Very often,0.04597,270,5812,0.04059,0.05136
2003,30-45 y.,No migration background,Often,0.19838,1148,5812,0.18813,0.20864
2003,30-45 y.,No migration background,Sometimes,0.41240,2378,5812,0.39975,0.42506
2003,30-45 y.,No migration background,Seldom,0.25598,1541,5812,0.24476,0.26720
2003,30-45 y.,No migration background,Never,0.08485,475,5812,0.07768,0.09201
2003,30-45 y.,Direct migration background,Very often,0.04065,31,886,0.02764,0.05366
2003,30-45 y.,Direct migration background,Often,0.18733,155,886,0.16162,0.21304
2003,30-45 y.,Direct migration background,Sometimes,0.36663,344,886,0.33488,0.39838
2003,30-45 y.,Direct migration background,Seldom,0.23301,204,886,0.20516,0.26086
2003,30-45 y.,Direct migration background,Never,0.15834,152,886,0.13429,0.18239
2003,30-45 y.,Indirect migration background,Often,0.23072,47,177,0.16848,0.29297
2003,30-45 y.,Indirect migration background,Sometimes,0.41582,87,177,0.34300,0.48863
2003,30-45 y.,Indirect migration background,Seldom,0.16213,43,177,0.10768,0.21658
2003,46-65 y.,No migration background,Very often,0.02931,179,6506,0.02521,0.03341
2003,46-65 y.,No migration background,Often,0.11934,818,6506,0.11146,0.12722
2003,46-65 y.,No migration background,Sometimes,0.33709,2271,6506,0.32560,0.34858
2003,46-65 y.,No migration background,Seldom,0.31962,2155,6506,0.30829,0.33095
2003,46-65 y.,No migration background,Never,0.18925,1083,6506,0.17974,0.19877
2003,46-65 y.,Direct migration background,Often,0.10921,104,961,0.08948,0.12894
2003,46-65 y.,Direct migration background,Sometimes,0.27604,270,961,0.24776,0.30432
2003,46-65 y.,Direct migration background,Seldom,0.29631,300,961,0.26742,0.32519
2003,46-65 y.,Direct migration background,Never,0.28875,287,961,0.26008,0.31741
2003,66 and older,No migration background,Often,0.05339,182,3210,0.04561,0.06116
2003,66 and older,No migration background,Sometimes,0.20341,704,3210,0.18948,0.21734
2003,66 and older,No migration background,Seldom,0.30145,1012,3210,0.28558,0.31733
2003,66 and older,No migration background,Never,0.42196,1312,3210,0.40487,0.43905
2003,66 and older,Direct migration background,Sometimes,0.20174,71,321,0.15777,0.24571
2003,66 and older,Direct migration background,Seldom,0.25065,88,321,0.20317,0.29814
2003,66 and older,Direct migration background,Never,0.43885,162,321,0.38447,0.49322
2008,17-29 y.,No migration background,Very often,0.05927,161,2494,0.05000,0.06854
2008,17-29 y.,No migration background,Often,0.23666,665,2494,0.21998,0.25335
2008,17-29 y.,No migration background,Sometimes,0.38454,1007,2494,0.36544,0.40364
2008,17-29 y.,No migration background,Seldom,0.18904,514,2494,0.17367,0.20441
2008,17-29 y.,No migration background,Never,0.05767,147,2494,0.04852,0.06682
2008,17-29 y.,Direct migration background,Often,0.23045,55,190,0.17042,0.29049
2008,17-29 y.,Direct migration background,Sometimes,0.44386,97,190,0.37303,0.51469
2008,17-29 y.,Direct migration background,Seldom,0.20345,38,190,0.14606,0.26085
2008,17-29 y.,Indirect migration background,Often,0.21484,107,407,0.17488,0.25479
2008,17-29 y.,Indirect migration background,Sometimes,0.36798,175,407,0.32107,0.41489
2008,17-29 y.,Indirect migration background,Seldom,0.16677,85,407,0.13051,0.20303
2008,17-29 y.,Indirect migration background,Never,0.09763,40,407,0.06876,0.12651
2008,30-45 y.,No migration background,Very often,0.03682,167,4283,0.03118,0.04246
2008,30-45 y.,No migration background,Often,0.18269,778,4283,0.17112,0.19427
2008,30-45 y.,No migration background,Sometimes,0.40789,1744,4283,0.39317,0.42261
2008,30-45 y.,No migration background,Seldom,0.28030,1219,4283,0.26685,0.29376
2008,30-45 y.,No migration background,Never,0.08919,375,4283,0.08065,0.09773
2008,30-45 y.,Direct migration background,Often,0.14306,97,581,0.11456,0.17156
2008,30-45 y.,Direct migration background,Sometimes,0.31667,207,581,0.27881,0.35453
2008,30-45 y.,Direct migration background,Seldom,0.32744,180,581,0.28925,0.36563
2008,30-45 y.,Direct migration background,Never,0.16339,97,581,0.13330,0.19348
2008,30-45 y.,Indirect migration background,Often,0.20298,61,222,0.14995,0.25601
2008,30-45 y.,Indirect migration background,Sometimes,0.33183,98,222,0.26975,0.39391
2008,30-45 y.,Indirect migration background,Seldom,0.22982,63,222,0.17435,0.28529
2008,46-65 y.,No migration background,Very often,0.02204,133,5895,0.01830,0.02579
2008,46-65 y.,No migration background,Often,0.13749,850,5895,0.12870,0.14628
2008,46-65 y.,No migration background,Sometimes,0.31638,1969,5895,0.30451,0.32825
2008,46-65 y.,No migration background,Seldom,0.32917,1961,5895,0.31717,0.34117
2008,46-65 y.,No migration background,Never,0.18585,982,5895,0.17591,0.19578
2008,46-65 y.,Direct migration background,Often,0.10648,88,685,0.08336,0.12959
2008,46-65 y.,Direct migration background,Sometimes,0.28014,205,685,0.24649,0.31379
2008,46-65 y.,Direct migration background,Seldom,0.30215,202,685,0.26774,0.33656
2008,46-65 y.,Direct migration background,Never,0.27897,190,685,0.24536,0.31258
2008,66 and older,No migration background,Very often,0.01094,45,3858,0.00765,0.01422
2008,66 and older,No migration background,Often,0.07042,283,3858,0.06234,0.07849
2008,66 and older,No migration background,Sometimes,0.24120,976,3858,0.22770,0.25470
2008,66 and older,No migration background,Seldom,0.31430,1280,3858,0.29965,0.32895
2008,66 and older,No migration background,Never,0.34433,1274,3858,0.32933,0.35932
2008,66 and older,Direct migration background,Sometimes,0.17663,64,340,0.13603,0.21723
2008,66 and older,Direct migration background,Seldom,0.28188,104,340,0.23398,0.32977
2008,66 and older,Direct migration background,Never,0.45455,172,340,0.40154,0.50755
2013,17-29 y.,No migration background,Very often,0.04024,130,2806,0.03296,0.04751
2013,17-29 y.,No migration background,Often,0.21790,671,2806,0.20262,0.23318
2013,17-29 y.,No migration background,Sometimes,0.35326,1095,2806,0.33557,0.37095
2013,17-29 y.,No migration background,Seldom,0.21615,684,2806,0.20091,0.23138
2013,17-29 y.,No migration background,Never,0.06367,226,2806,0.05464,0.07271
2013,17-29 y.,Direct migration background,Often,0.08878,65,243,0.05294,0.12462
2013,17-29 y.,Direct migration background,Sometimes,0.14037,100,243,0.09660,0.18413
2013,17-29 y.,Direct migration background,Seldom,0.07342,78,243,0.04055,0.10628
2013,17-29 y.,Indirect migration background,Very often,0.01677,32,472,0.00517,0.02836
2013,17-29 y.,Indirect migration background,Often,0.13362,137,472,0.10289,0.16435
2013,17-29 y.,Indirect migration background,Sometimes,0.14035,159,472,0.10898,0.17173
2013,17-29 y.,Indirect migration background,Seldom,0.11186,107,472,0.08339,0.14032
2013,17-29 y.,Indirect migration background,Never,0.03263,37,472,0.01659,0.04868
2013,30-45 y.,No migration background,Very often,0.03494,202,6257,0.03039,0.03949
2013,30-45 y.,No migration background,Often,0.17656,1164,6257,0.16711,0.18601
2013,30-45 y.,No migration background,Sometimes,0.39453,2413,6257,0.38242,0.40664
2013,30-45 y.,No migration background,Seldom,0.29634,1913,6257,0.28502,0.30765
2013,30-45 y.,No migration background,Never,0.07358,565,6257,0.06711,0.08005
2013,30-45 y.,Direct migration background,Very often,0.01810,44,1222,0.01062,0.02557
2013,30-45 y.,Direct migration background,Often,0.07922,201,1222,0.06407,0.09437
2013,30-45 y.,Direct migration background,Sometimes,0.13761,434,1222,0.11829,0.15693
2013,30-45 y.,Direct migration background,Seldom,0.12413,370,1222,0.10563,0.14262
2013,30-45 y.,Direct migration background,Never,0.05987,173,1222,0.04657,0.07318
2013,30-45 y.,Indirect migration background,Often,0.11523,89,489,0.08690,0.14356
2013,30-45 y.,Indirect migration background,Sometimes,0.25913,196,489,0.22025,0.29800
2013,30-45 y.,Indirect migration background,Seldom,0.16152,150,489,0.12887,0.19417
2013,30-45 y.,Indirect migration background,Never,0.05819,54,489,0.03742,0.07896
2013,46-65 y.,No migration background,Very often,0.01446,149,7947,0.01183,0.01708
2013,46-65 y.,No migration background,Often,0.12910,1130,7947,0.12173,0.13647
2013,46-65 y.,No migration background,Sometimes,0.35193,2877,7947,0.34143,0.36243
2013,46-65 y.,No migration background,Seldom,0.34673,2689,7947,0.33627,0.35720
2013,46-65 y.,No migration background,Never,0.14436,1102,7947,0.13663,0.15209
2013,46-65 y.,Direct migration background,Often,0.10455,133,848,0.08394,0.12516
2013,46-65 y.,Direct migration background,Sometimes,0.19202,270,848,0.16549,0.21855
2013,46-65 y.,Direct migration background,Seldom,0.21067,267,848,0.18320,0.23813
2013,46-65 y.,Direct migration background,Never,0.14130,178,848,0.11784,0.16476
2013,46-65 y.,Indirect migration background,Sometimes,0.31832,49,98,0.22562,0.41103
2013,46-65 y.,Indirect migration background,Seldom,0.28437,49,98,0.19460,0.37415
2013,66 and older,No migration background,Very often,0.01523,61,4528,0.01166,0.01880
2013,66 and older,No migration background,Often,0.07753,385,4528,0.06974,0.08532
2013,66 and older,No migration background,Sometimes,0.23287,1102,4528,0.22056,0.24519
2013,66 and older,No migration background,Seldom,0.34447,1613,4528,0.33063,0.35831
2013,66 and older,No migration background,Never,0.31737,1367,4528,0.30381,0.33093
2013,66 and older,Direct migration background,Sometimes,0.17688,79,343,0.13644,0.21732
2013,66 and older,Direct migration background,Seldom,0.30554,130,343,0.25672,0.35436
2013,66 and older,Direct migration background,Never,0.36185,134,343,0.31092,0.41278
2018,17-29 y.,No migration background,Very often,0.05363,169,2910,0.04544,0.06181
2018,17-29 y.,No migration background,Often,0.21995,664,2910,0.20490,0.23500
2018,17-29 y.,No migration background,Sometimes,0.35390,1110,2910,0.33653,0.37128
2018,17-29 y.,No migration background,Seldom,0.23471,736,2910,0.21931,0.25011
2018,17-29 y.,No migration background,Never,0.07290,231,2910,0.06346,0.08235
2018,17-29 y.,Direct migration background,Very often,0.06096,38,550,0.04095,0.08098
2018,17-29 y.,Direct migration background,Often,0.18382,126,550,0.15142,0.21622
2018,17-29 y.,Direct migration background,Sometimes,0.20600,173,550,0.17217,0.23983
2018,17-29 y.,Direct migration background,Seldom,0.21933,130,550,0.18472,0.25395
2018,17-29 y.,Direct migration background,Never,0.10534,83,550,0.07966,0.13102
2018,17-29 y.,Indirect migration background,Very often,0.08140,65,808,0.06254,0.10027
2018,17-29 y.,Indirect migration background,Often,0.23653,205,808,0.20721,0.26585
2018,17-29 y.,Indirect migration background,Sometimes,0.32935,271,808,0.29692,0.36178
2018,17-29 y.,Indirect migration background,Seldom,0.18587,194,808,0.15903,0.21271
2018,17-29 y.,Indirect migration background,Never,0.08446,73,808,0.06528,0.10365
2018,30-45 y.,No migration background,Very often,0.04179,155,4213,0.03575,0.04783
2018,30-45 y.,No migration background,Often,0.19684,811,4213,0.18483,0.20885
2018,30-45 y.,No migration background,Sometimes,0.38652,1621,4213,0.37181,0.40122
2018,30-45 y.,No migration background,Seldom,0.29093,1238,4213,0.27722,0.30465
2018,30-45 y.,No migration background,Never,0.08286,388,4213,0.07454,0.09119
2018,30-45 y.,Direct migration background,Very often,0.03647,89,1946,0.02814,0.04480
2018,30-45 y.,Direct migration background,Often,0.16581,318,1946,0.14928,0.18233
2018,30-45 y.,Direct migration background,Sometimes,0.31446,649,1946,0.29382,0.33509
2018,30-45 y.,Direct migration background,Seldom,0.25890,514,1946,0.23943,0.27837
2018,30-45 y.,Direct migration background,Never,0.16751,376,1946,0.15091,0.18411
2018,30-45 y.,Indirect migration background,Very often,0.08451,34,561,0.06147,0.10754
2018,30-45 y.,Indirect migration background,Often,0.22182,121,561,0.18741,0.25623
2018,30-45 y.,Indirect migration background,Sometimes,0.33152,189,561,0.29253,0.37051
2018,30-45 y.,Indirect migration background,Seldom,0.25309,149,561,0.21708,0.28910
2018,30-45 y.,Indirect migration background,Never,0.10594,68,561,0.08045,0.13143
2018,46-65 y.,No migration background,Very often,0.02710,242,7789,0.02349,0.03071
2018,46-65 y.,No migration background,Often,0.16057,1237,7789,0.15242,0.16872
2018,46-65 y.,No migration background,Sometimes,0.37307,2925,7789,0.36233,0.38381
2018,46-65 y.,No migration background,Seldom,0.31089,2434,7789,0.30061,0.32117
2018,46-65 y.,No migration background,Never,0.12469,951,7789,0.11736,0.13203
2018,46-65 y.,Direct migration background,Very often,0.04756,76,1574,0.03704,0.05807
2018,46-65 y.,Direct migration background,Often,0.15583,218,1574,0.13790,0.17375
2018,46-65 y.,Direct migration background,Sometimes,0.30588,496,1574,0.28311,0.32865
2018,46-65 y.,Direct migration background,Seldom,0.25800,422,1574,0.23638,0.27963
2018,46-65 y.,Direct migration background,Never,0.21366,362,1574,0.19341,0.23392
2018,46-65 y.,Indirect migration background,Often,0.23041,45,228,0.17563,0.28519
2018,46-65 y.,Indirect migration background,Sometimes,0.25015,68,228,0.19381,0.30649
2018,46-65 y.,Indirect migration background,Seldom,0.31658,80,228,0.25607,0.37709
2018,46-65 y.,Indirect migration background,Never,0.13616,35,228,0.09155,0.18078
2018,66 and older,No migration background,Very often,0.01699,90,4498,0.01321,0.02076
2018,66 and older,No migration background,Often,0.10644,493,4498,0.09742,0.11545
2018,66 and older,No migration background,Sometimes,0.27556,1320,4498,0.26250,0.28861
2018,66 and older,No migration background,Seldom,0.33367,1507,4498,0.31989,0.34745
2018,66 and older,No migration background,Never,0.25870,1088,4498,0.24590,0.27150
2018,66 and older,Direct migration background,Often,0.09667,47,442,0.06909,0.12426
2018,66 and older,Direct migration background,Sometimes,0.26976,107,442,0.22834,0.31119
2018,66 and older,Direct migration background,Seldom,0.30719,121,442,0.26413,0.35025
2018,66 and older,Direct migration background,Never,0.29555,167,442,0.25296,0.33814
