year,quintil_oecd,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Very often,0.03085,126,3369,0.02501,0.03668
2003,1st Quintile,Often,0.11642,496,3369,0.10558,0.12725
2003,1st Quintile,Sometimes,0.22321,1000,3369,0.20915,0.23727
2003,1st Quintile,Seldom,0.19333,842,3369,0.17999,0.20667
2003,1st Quintile,Never,0.21907,905,3369,0.20510,0.23304
2003,2nd Quintile,Very often,0.02952,136,3838,0.02416,0.03488
2003,2nd Quintile,Often,0.12577,608,3838,0.11528,0.13626
2003,2nd Quintile,Sometimes,0.24338,1209,3838,0.22980,0.25695
2003,2nd Quintile,Seldom,0.21002,1043,3838,0.19713,0.22291
2003,2nd Quintile,Never,0.18101,842,3838,0.16882,0.19319
2003,3rd Quintile,Very often,0.03055,151,4100,0.02528,0.03582
2003,3rd Quintile,Often,0.11328,629,4100,0.10358,0.12298
2003,3rd Quintile,Sometimes,0.27058,1424,4100,0.25698,0.28418
2003,3rd Quintile,Seldom,0.23200,1170,4100,0.21908,0.24492
2003,3rd Quintile,Never,0.16889,726,4100,0.15742,0.18036
2003,4th Quintile,Very often,0.03641,191,4412,0.03088,0.04194
2003,4th Quintile,Often,0.14696,785,4412,0.13651,0.15741
2003,4th Quintile,Sometimes,0.32043,1665,4412,0.30666,0.33421
2003,4th Quintile,Seldom,0.23026,1194,4412,0.21783,0.24268
2003,4th Quintile,Never,0.12336,577,4412,0.11366,0.13307
2003,5th Quintile,Very often,0.03945,300,6304,0.03464,0.04425
2003,5th Quintile,Often,0.16113,1200,6304,0.15205,0.17020
2003,5th Quintile,Sometimes,0.32768,2385,6304,0.31609,0.33927
2003,5th Quintile,Seldom,0.25084,1773,6304,0.24014,0.26154
2003,5th Quintile,Never,0.11121,646,6304,0.10345,0.11897
2008,1st Quintile,Very often,0.02799,114,2980,0.02207,0.03391
2008,1st Quintile,Often,0.11347,414,2980,0.10208,0.12486
2008,1st Quintile,Sometimes,0.22322,841,2980,0.20827,0.23818
2008,1st Quintile,Seldom,0.21213,785,2980,0.19745,0.22681
2008,1st Quintile,Never,0.21325,826,2980,0.19854,0.22796
2008,2nd Quintile,Very often,0.01755,72,3333,0.01309,0.02201
2008,2nd Quintile,Often,0.10457,436,3333,0.09418,0.11496
2008,2nd Quintile,Sometimes,0.25184,1060,3333,0.23710,0.26658
2008,2nd Quintile,Seldom,0.23566,988,3333,0.22125,0.25007
2008,2nd Quintile,Never,0.19589,777,3333,0.18241,0.20937
2008,3rd Quintile,Very often,0.02279,101,3742,0.01800,0.02757
2008,3rd Quintile,Often,0.11007,540,3742,0.10004,0.12010
2008,3rd Quintile,Sometimes,0.30276,1331,3742,0.28803,0.31748
2008,3rd Quintile,Seldom,0.23607,1118,3742,0.22247,0.24968
2008,3rd Quintile,Never,0.15272,652,3742,0.14120,0.16425
2008,4th Quintile,Very often,0.03129,131,3907,0.02583,0.03675
2008,4th Quintile,Often,0.13958,653,3907,0.12871,0.15045
2008,4th Quintile,Sometimes,0.30409,1412,3907,0.28967,0.31852
2008,4th Quintile,Seldom,0.25294,1185,3907,0.23931,0.26657
2008,4th Quintile,Never,0.12339,526,3907,0.11308,0.13370
2008,5th Quintile,Very often,0.03054,189,5210,0.02587,0.03521
2008,5th Quintile,Often,0.16534,969,5210,0.15526,0.17543
2008,5th Quintile,Sometimes,0.31663,1915,5210,0.30400,0.32927
2008,5th Quintile,Seldom,0.27891,1588,5210,0.26674,0.29109
2008,5th Quintile,Never,0.09959,549,5210,0.09146,0.10773
2013,1st Quintile,Very often,0.02132,154,5103,0.01736,0.02529
2013,1st Quintile,Often,0.11261,775,5103,0.10393,0.12128
2013,1st Quintile,Sometimes,0.21266,1497,5103,0.20144,0.22389
2013,1st Quintile,Seldom,0.23798,1514,5103,0.22630,0.24967
2013,1st Quintile,Never,0.21392,1163,5103,0.20267,0.22518
2013,2nd Quintile,Very often,0.01802,129,5132,0.01438,0.02166
2013,2nd Quintile,Often,0.10859,749,5132,0.10008,0.11710
2013,2nd Quintile,Sometimes,0.24546,1644,5132,0.23368,0.25723
2013,2nd Quintile,Seldom,0.26340,1635,5132,0.25135,0.27545
2013,2nd Quintile,Never,0.18431,975,5132,0.17370,0.19492
2013,3rd Quintile,Very often,0.01925,125,4887,0.01539,0.02310
2013,3rd Quintile,Often,0.11543,765,4887,0.10647,0.12439
2013,3rd Quintile,Sometimes,0.28551,1714,4887,0.27285,0.29818
2013,3rd Quintile,Seldom,0.27069,1566,4887,0.25823,0.28315
2013,3rd Quintile,Never,0.14262,717,4887,0.13281,0.15242
2013,4th Quintile,Very often,0.01837,104,4855,0.01460,0.02215
2013,4th Quintile,Often,0.12916,773,4855,0.11973,0.13860
2013,4th Quintile,Sometimes,0.31176,1835,4855,0.29873,0.32479
2013,4th Quintile,Seldom,0.28897,1591,4855,0.27622,0.30172
2013,4th Quintile,Never,0.10999,552,4855,0.10119,0.11880
2013,5th Quintile,Very often,0.02455,161,5429,0.02043,0.02866
2013,5th Quintile,Often,0.14826,963,5429,0.13880,0.15771
2013,5th Quintile,Sometimes,0.34375,2083,5429,0.33112,0.35639
2013,5th Quintile,Seldom,0.28924,1745,5429,0.27718,0.30131
2013,5th Quintile,Never,0.08306,477,5429,0.07572,0.09040
2018,1st Quintile,Very often,0.03687,217,4649,0.03145,0.04228
2018,1st Quintile,Often,0.12498,732,4649,0.11547,0.13449
2018,1st Quintile,Sometimes,0.21921,1451,4649,0.20731,0.23110
2018,1st Quintile,Seldom,0.19711,1208,4649,0.18567,0.20854
2018,1st Quintile,Never,0.18180,1041,4649,0.17071,0.19289
2018,2nd Quintile,Very often,0.02298,163,5241,0.01892,0.02704
2018,2nd Quintile,Often,0.10854,768,5241,0.10012,0.11696
2018,2nd Quintile,Sometimes,0.26380,1722,5241,0.25187,0.27573
2018,2nd Quintile,Seldom,0.25206,1561,5241,0.24031,0.26382
2018,2nd Quintile,Never,0.17084,1027,5241,0.16065,0.18103
2018,3rd Quintile,Very often,0.02596,162,4747,0.02144,0.03048
2018,3rd Quintile,Often,0.13742,768,4747,0.12762,0.14721
2018,3rd Quintile,Sometimes,0.29166,1686,4747,0.27873,0.30459
2018,3rd Quintile,Seldom,0.26038,1477,4747,0.24789,0.27286
2018,3rd Quintile,Never,0.12339,654,4747,0.11403,0.13274
2018,4th Quintile,Very often,0.02858,153,4603,0.02377,0.03340
2018,4th Quintile,Often,0.15335,797,4603,0.14294,0.16376
2018,4th Quintile,Sometimes,0.31833,1747,4603,0.30487,0.33179
2018,4th Quintile,Seldom,0.27092,1441,4603,0.25808,0.28376
2018,4th Quintile,Never,0.09362,465,4603,0.08521,0.10204
2018,5th Quintile,Very often,0.03380,206,5076,0.02883,0.03877
2018,5th Quintile,Often,0.17348,988,5076,0.16306,0.18390
