year,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,West,Very often,0.03412,713,16710,0.03137,0.03688
2003,West,Often,0.13327,2874,16710,0.12812,0.13843
2003,West,Sometimes,0.27841,5923,16710,0.27162,0.28521
2003,West,Seldom,0.21799,4465,16710,0.21173,0.22426
2003,West,Never,0.15553,2735,16710,0.15004,0.16103
2003,East,Very often,0.02992,192,5317,0.02534,0.03450
2003,East,Often,0.13088,846,5317,0.12181,0.13994
2003,East,Sometimes,0.27089,1761,5317,0.25894,0.28284
2003,East,Seldom,0.24689,1557,5317,0.23530,0.25848
2003,East,Never,0.18392,961,5317,0.17351,0.19434
2008,West,Very often,0.02688,477,14436,0.02424,0.02952
2008,West,Often,0.12670,2325,14436,0.12127,0.13212
2008,West,Sometimes,0.27800,4946,14436,0.27069,0.28531
2008,West,Seldom,0.23673,4195,14436,0.22979,0.24366
2008,West,Never,0.15634,2493,14436,0.15042,0.16227
2008,East,Very often,0.02213,131,4738,0.01794,0.02632
2008,East,Often,0.12601,687,4738,0.11656,0.13546
2008,East,Sometimes,0.28810,1614,4738,0.27520,0.30100
2008,East,Seldom,0.27236,1469,4738,0.25968,0.28504
2008,East,Never,0.15982,837,4738,0.14939,0.17026
2013,West,Very often,0.01938,552,19712,0.01746,0.02131
2013,West,Often,0.11494,3323,19712,0.11049,0.11939
2013,West,Sometimes,0.25098,6953,19712,0.24493,0.25704
2013,West,Seldom,0.23788,6128,19712,0.23193,0.24382
2013,West,Never,0.12117,2756,19712,0.11661,0.12573
2013,East,Very often,0.01362,121,5698,0.01061,0.01663
2013,East,Often,0.09591,704,5698,0.08826,0.10355
2013,East,Sometimes,0.27475,1821,5698,0.26315,0.28634
2013,East,Seldom,0.27823,1923,5698,0.26660,0.28987
2013,East,Never,0.17435,1129,5698,0.16450,0.18420
2018,West,Very often,0.03268,820,20078,0.03022,0.03514
2018,West,Often,0.14504,3548,20078,0.14017,0.14992
2018,West,Sometimes,0.28820,7147,20078,0.28193,0.29446
2018,West,Seldom,0.24386,5765,20078,0.23792,0.24980
2018,West,Never,0.12286,2798,20078,0.11832,0.12740
2018,East,Very often,0.01875,158,5481,0.01516,0.02234
2018,East,Often,0.11710,742,5481,0.10858,0.12561
2018,East,Sometimes,0.27394,1784,5481,0.26213,0.28574
2018,East,Seldom,0.26871,1768,5481,0.25698,0.28045
2018,East,Never,0.15793,1029,5481,0.14827,0.16758
