year,bula_h,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Owner,Yes,0.97100,241,241,0.94977,0.99223
2015,Schleswig-Holstein,Tenant,Yes,0.92595,270,270,0.89466,0.95724
2015,Hamburg,Owner,Yes,0.95506,74,74,0.90754,1.00259
2015,Hamburg,Tenant,Yes,0.88019,190,190,0.83390,0.92649
2015,Lower Saxony,Owner,Yes,0.96702,727,727,0.95403,0.98001
2015,Lower Saxony,Tenant,Yes,0.91091,670,743,0.89042,0.93141
2015,Lower Saxony,Tenant,No,0.08909,73,743,0.06859,0.10958
2015,Bremen,Owner,Yes,0.93905,37,37,0.86089,1.01720
2015,Bremen,Tenant,Yes,0.96195,71,71,0.91714,1.00677
2015,North Rhine-Westphalia,Owner,Yes,0.96698,1236,1296,0.95725,0.97671
2015,North Rhine-Westphalia,Owner,No,0.03302,60,1296,0.02329,0.04275
2015,North Rhine-Westphalia,Tenant,Yes,0.90183,1701,1896,0.88843,0.91522
2015,North Rhine-Westphalia,Tenant,No,0.09817,195,1896,0.08478,0.11157
2015,Hesse,Owner,Yes,0.91362,450,450,0.88763,0.93960
2015,Hesse,Tenant,Yes,0.84738,565,649,0.81969,0.87507
2015,Hesse,Tenant,No,0.15262,84,649,0.12493,0.18031
2015,"Rhineland-Palatinate, Saarland",Owner,Yes,0.93575,443,443,0.91289,0.95861
2015,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.87092,389,454,0.84004,0.90180
2015,"Rhineland-Palatinate, Saarland",Tenant,No,0.12908,65,454,0.09820,0.15996
2015,Baden-Wuerttemberg,Owner,Yes,0.91724,839,915,0.89938,0.93510
2015,Baden-Wuerttemberg,Owner,No,0.08276,76,915,0.06490,0.10062
2015,Baden-Wuerttemberg,Tenant,Yes,0.82369,746,903,0.79882,0.84856
2015,Baden-Wuerttemberg,Tenant,No,0.17631,157,903,0.15144,0.20118
2015,Bavaria,Owner,Yes,0.93594,1126,1193,0.92204,0.94984
2015,Bavaria,Owner,No,0.06406,67,1193,0.05016,0.07796
2015,Bavaria,Tenant,Yes,0.83166,1154,1380,0.81191,0.85141
2015,Bavaria,Tenant,No,0.16834,226,1380,0.14859,0.18809
2015,Berlin,Owner,Yes,0.93821,107,107,0.89238,0.98405
2015,Berlin,Tenant,Yes,0.74468,394,531,0.70755,0.78180
2015,Berlin,Tenant,No,0.25532,137,531,0.21820,0.29245
2015,Brandenburg,Owner,Yes,0.89642,235,235,0.85738,0.93547
2015,Brandenburg,Tenant,Yes,0.88648,307,343,0.85286,0.92010
2015,Brandenburg,Tenant,No,0.11352,36,343,0.07990,0.14714
2015,Mecklenburg-Western Pomerania,Owner,Yes,0.95014,108,108,0.90890,0.99138
2015,Mecklenburg-Western Pomerania,Tenant,Yes,0.80542,205,205,0.75110,0.85975
2015,Saxony,Owner,Yes,0.94779,293,293,0.92227,0.97330
2015,Saxony,Tenant,Yes,0.79534,496,594,0.76287,0.82782
2015,Saxony,Tenant,No,0.20466,98,594,0.17218,0.23713
2015,Saxony-Anhalt,Owner,Yes,0.90669,202,202,0.86648,0.94691
2015,Saxony-Anhalt,Tenant,Yes,0.90127,285,327,0.86889,0.93365
2015,Saxony-Anhalt,Tenant,No,0.09873,42,327,0.06635,0.13111
2015,Thuringa,Owner,Yes,0.89308,228,228,0.85288,0.93328
2015,Thuringa,Tenant,Yes,0.93749,315,315,0.91071,0.96427
2016,Schleswig-Holstein,Owner,Yes,0.99255,232,232,0.98146,1.00364
2016,Schleswig-Holstein,Tenant,Yes,0.93290,251,251,0.90188,0.96391
2016,Hamburg,Owner,Yes,0.93200,72,72,0.87345,0.99056
2016,Hamburg,Tenant,Yes,0.94702,177,177,0.91392,0.98011
2016,Lower Saxony,Owner,Yes,0.98040,679,679,0.96996,0.99083
2016,Lower Saxony,Tenant,Yes,0.93155,607,652,0.91215,0.95094
2016,Lower Saxony,Tenant,No,0.06845,45,652,0.04906,0.08785
2016,Bremen,Owner,Yes,0.90933,33,33,0.80984,1.00882
2016,Bremen,Tenant,Yes,0.96100,63,63,0.91281,1.00919
2016,North Rhine-Westphalia,Owner,Yes,0.96416,1167,1214,0.95370,0.97462
2016,North Rhine-Westphalia,Owner,No,0.03584,47,1214,0.02538,0.04630
2016,North Rhine-Westphalia,Tenant,Yes,0.92457,1556,1686,0.91196,0.93718
2016,North Rhine-Westphalia,Tenant,No,0.07543,130,1686,0.06282,0.08804
2016,Hesse,Owner,Yes,0.94842,413,413,0.92706,0.96978
2016,Hesse,Tenant,Yes,0.90463,495,551,0.88008,0.92918
2016,Hesse,Tenant,No,0.09537,56,551,0.07082,0.11992
2016,"Rhineland-Palatinate, Saarland",Owner,Yes,0.95055,427,427,0.92997,0.97114
2016,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.89812,354,406,0.86866,0.92758
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.10188,52,406,0.07242,0.13134
2016,Baden-Wuerttemberg,Owner,Yes,0.95407,819,852,0.94000,0.96813
2016,Baden-Wuerttemberg,Owner,No,0.04593,33,852,0.03187,0.06000
