year,rentown,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,West,Yes,0.94379,5239,5527,0.93772,0.94986
2015,Owner,West,No,0.05621,288,5527,0.05014,0.06228
2015,Owner,East,Yes,0.92232,1107,1186,0.90708,0.93756
2015,Owner,East,No,0.07768,79,1186,0.06244,0.09292
2015,Tenant,West,Yes,0.86207,5948,6898,0.85393,0.87021
2015,Tenant,West,No,0.13793,950,6898,0.12979,0.14607
2015,Tenant,East,Yes,0.85120,1810,2073,0.83587,0.86652
2015,Tenant,East,No,0.14880,263,2073,0.13348,0.16413
2016,Owner,West,Yes,0.95783,4954,5141,0.95234,0.96333
2016,Owner,West,No,0.04217,187,5141,0.03667,0.04766
2016,Owner,East,Yes,0.95241,1097,1156,0.94013,0.96469
2016,Owner,East,No,0.04759,59,1156,0.03531,0.05987
2016,Tenant,West,Yes,0.89956,5442,6067,0.89200,0.90712
2016,Tenant,West,No,0.10044,625,6067,0.09288,0.10800
2016,Tenant,East,Yes,0.90490,1738,1914,0.89176,0.91805
2016,Tenant,East,No,0.09510,176,1914,0.08195,0.10824
2017,Owner,West,Yes,0.96770,5587,5747,0.96312,0.97227
2017,Owner,West,No,0.03230,160,5747,0.02773,0.03688
2017,Owner,East,Yes,0.96192,1265,1313,0.95156,0.97228
2017,Owner,East,No,0.03808,48,1313,0.02772,0.04844
2017,Tenant,West,Yes,0.89725,5904,6497,0.88987,0.90464
2017,Tenant,West,No,0.10275,593,6497,0.09536,0.11013
2017,Tenant,East,Yes,0.88969,1921,2099,0.87629,0.90310
2017,Tenant,East,No,0.11031,178,2099,0.09690,0.12371
2018,Owner,West,Yes,0.97276,5365,5500,0.96846,0.97706
2018,Owner,West,No,0.02724,135,5500,0.02294,0.03154
2018,Owner,East,Yes,0.95294,1203,1253,0.94121,0.96467
2018,Owner,East,No,0.04706,50,1253,0.03533,0.05879
2018,Tenant,West,Yes,0.92045,5996,6508,0.91387,0.92702
2018,Tenant,West,No,0.07955,512,6508,0.07298,0.08613
2018,Tenant,East,Yes,0.92796,2029,2172,0.91708,0.93884
2018,Tenant,East,No,0.07204,143,2172,0.06116,0.08292
2019,Owner,West,Yes,0.97316,4709,4821,0.96859,0.97772
2019,Owner,West,No,0.02684,112,4821,0.02228,0.03141
2019,Owner,East,Yes,0.94988,1075,1119,0.93709,0.96267
2019,Owner,East,No,0.05012,44,1119,0.03733,0.06291
2019,Tenant,West,Yes,0.92108,4578,4952,0.91357,0.92859
2019,Tenant,West,No,0.07892,374,4952,0.07141,0.08643
2019,Tenant,East,Yes,0.92903,1624,1726,0.91692,0.94115
2019,Tenant,East,No,0.07097,102,1726,0.05885,0.08308
2020,Owner,West,Yes,0.96827,5463,5607,0.96368,0.97286
2020,Owner,West,No,0.03173,144,5607,0.02714,0.03632
2020,Owner,East,Yes,0.96586,1323,1359,0.95620,0.97552
2020,Owner,East,No,0.03414,36,1359,0.02448,0.04380
2020,Tenant,West,Yes,0.90992,6375,7239,0.90333,0.91652
2020,Tenant,West,No,0.09008,864,7239,0.08348,0.09667
2020,Tenant,East,Yes,0.92464,1910,2076,0.91328,0.93599
2020,Tenant,East,No,0.07536,166,2076,0.06401,0.08672
2021,Owner,West,Yes,0.97308,3684,3782,0.96792,0.97823
2021,Owner,West,No,0.02692,98,3782,0.02177,0.03208
2021,Owner,East,Yes,0.98237,854,854,0.97354,0.99120
2021,Tenant,West,Yes,0.90671,3588,3990,0.89769,0.91574
2021,Tenant,West,No,0.09329,402,3990,0.08426,0.10231
2021,Tenant,East,Yes,0.93531,1216,1306,0.92196,0.94866
2021,Tenant,East,No,0.06469,90,1306,0.05134,0.07804
2022,Owner,West,Yes,0.96753,6116,6287,0.96314,0.97191
2022,Owner,West,No,0.03247,171,6287,0.02809,0.03686
2022,Owner,East,Yes,0.97016,1490,1546,0.96168,0.97865
2022,Owner,East,No,0.02984,56,1546,0.02135,0.03832
2022,Tenant,West,Yes,0.90782,7761,8683,0.90174,0.91391
2022,Tenant,West,No,0.09218,922,8683,0.08609,0.09826
2022,Tenant,East,Yes,0.92223,2408,2649,0.91203,0.93243
2022,Tenant,East,No,0.07777,241,2649,0.06757,0.08797
