year,bula_h,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Yes,0.94941,511,543,0.93096,0.96786
2015,Schleswig-Holstein,No,0.05059,32,543,0.03214,0.06904
2015,Hamburg,Yes,0.90221,264,264,0.86631,0.93811
2015,Lower Saxony,Yes,0.94148,1397,1489,0.92955,0.95341
2015,Lower Saxony,No,0.05852,92,1489,0.04659,0.07045
2015,Bremen,Yes,0.95349,108,108,0.91358,0.99339
2015,North Rhine-Westphalia,Yes,0.93057,2937,3192,0.92175,0.93939
2015,North Rhine-Westphalia,No,0.06943,255,3192,0.06061,0.07825
2015,Hesse,Yes,0.87916,1015,1125,0.86010,0.89821
2015,Hesse,No,0.12084,110,1125,0.10179,0.13990
2015,"Rhineland-Palatinate, Saarland",Yes,0.90409,832,919,0.88504,0.92314
2015,"Rhineland-Palatinate, Saarland",No,0.09591,87,919,0.07686,0.11496
2015,Baden-Wuerttemberg,Yes,0.87440,1585,1818,0.85916,0.88963
2015,Baden-Wuerttemberg,No,0.12560,233,1818,0.11037,0.14084
2015,Bavaria,Yes,0.88441,2280,2573,0.87205,0.89677
2015,Bavaria,No,0.11559,293,2573,0.10323,0.12795
2015,Berlin,Yes,0.78266,501,644,0.75078,0.81454
2015,Berlin,No,0.21734,143,644,0.18546,0.24922
2015,Brandenburg,Yes,0.89096,542,603,0.86606,0.91586
2015,Brandenburg,No,0.10904,61,603,0.08414,0.13394
2015,Mecklenburg-Western Pomerania,Yes,0.85244,313,348,0.81512,0.88975
2015,Mecklenburg-Western Pomerania,No,0.14756,35,348,0.11025,0.18488
2015,Saxony,Yes,0.84582,789,908,0.82232,0.86933
2015,Saxony,No,0.15418,119,908,0.13067,0.17768
2015,Saxony-Anhalt,Yes,0.90341,487,543,0.87854,0.92828
2015,Saxony-Anhalt,No,0.09659,56,543,0.07172,0.12146
2015,Thuringa,Yes,0.92013,543,579,0.89803,0.94223
2015,Thuringa,No,0.07987,36,579,0.05777,0.10197
2016,Schleswig-Holstein,Yes,0.96403,483,483,0.94741,0.98066
2016,Hamburg,Yes,0.94243,249,249,0.91344,0.97142
2016,Lower Saxony,Yes,0.95821,1286,1345,0.94751,0.96891
2016,Lower Saxony,No,0.04179,59,1345,0.03109,0.05249
2016,Bremen,Yes,0.94241,96,96,0.89557,0.98926
2016,North Rhine-Westphalia,Yes,0.94192,2723,2900,0.93341,0.95044
2016,North Rhine-Westphalia,No,0.05808,177,2900,0.04956,0.06659
2016,Hesse,Yes,0.92528,908,977,0.90879,0.94178
2016,Hesse,No,0.07472,69,977,0.05822,0.09121
2016,"Rhineland-Palatinate, Saarland",Yes,0.92552,781,848,0.90784,0.94320
2016,"Rhineland-Palatinate, Saarland",No,0.07448,67,848,0.05680,0.09216
2016,Baden-Wuerttemberg,Yes,0.91706,1496,1622,0.90363,0.93048
2016,Baden-Wuerttemberg,No,0.08294,126,1622,0.06952,0.09637
2016,Bavaria,Yes,0.90749,2097,2297,0.89564,0.91935
2016,Bavaria,No,0.09251,200,2297,0.08065,0.10436
2016,Berlin,Yes,0.85379,508,610,0.82573,0.88185
2016,Berlin,No,0.14621,102,610,0.11815,0.17427
2016,Brandenburg,Yes,0.92220,522,561,0.90002,0.94439
2016,Brandenburg,No,0.07780,39,561,0.05561,0.09998
2016,Mecklenburg-Western Pomerania,Yes,0.94379,307,307,0.91798,0.96960
2016,Saxony,Yes,0.91451,785,864,0.89585,0.93316
