year,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,Yes,0.94082,6346,6713,0.93517,0.94646
2015,Owner,No,0.05918,367,6713,0.05354,0.06483
2015,Tenant,Yes,0.85971,7758,8971,0.85252,0.86690
2015,Tenant,No,0.14029,1213,8971,0.13310,0.14748
2016,Owner,Yes,0.95706,6051,6297,0.95206,0.96207
2016,Owner,No,0.04294,246,6297,0.03793,0.04794
2016,Tenant,Yes,0.90069,7180,7981,0.89413,0.90726
2016,Tenant,No,0.09931,801,7981,0.09274,0.10587
2017,Owner,Yes,0.96689,6852,7060,0.96272,0.97106
2017,Owner,No,0.03311,208,7060,0.02894,0.03728
2017,Tenant,Yes,0.89567,7825,8596,0.88921,0.90213
2017,Tenant,No,0.10433,771,8596,0.09787,0.11079
2018,Owner,Yes,0.97000,6568,6753,0.96593,0.97407
2018,Owner,No,0.03000,185,6753,0.02593,0.03407
2018,Tenant,Yes,0.92202,8025,8680,0.91638,0.92766
2018,Tenant,No,0.07798,655,8680,0.07234,0.08362
2019,Owner,Yes,0.96984,5784,5940,0.96549,0.97419
2019,Owner,No,0.03016,156,5940,0.02581,0.03451
2019,Tenant,Yes,0.92277,6202,6678,0.91636,0.92917
2019,Tenant,No,0.07723,476,6678,0.07083,0.08364
2020,Owner,Yes,0.96792,6786,6966,0.96379,0.97206
2020,Owner,No,0.03208,180,6966,0.02794,0.03621
2020,Tenant,Yes,0.91299,8285,9315,0.90727,0.91872
2020,Tenant,No,0.08701,1030,9315,0.08128,0.09273
2021,Owner,Yes,0.97438,4538,4656,0.96985,0.97892
2021,Owner,No,0.02562,118,4656,0.02108,0.03015
2021,Tenant,Yes,0.91257,4804,5296,0.90496,0.92018
2021,Tenant,No,0.08743,492,5296,0.07982,0.09504
2022,Owner,Yes,0.96789,7606,7833,0.96398,0.97179
2022,Owner,No,0.03211,227,7833,0.02821,0.03602
2022,Tenant,Yes,0.91075,10169,11332,0.90550,0.91600
2022,Tenant,No,0.08925,1163,11332,0.08400,0.09450
