"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","17-29","(Fach-)Abitur","4.79","4.83","893","3.33","4","5.67","6.33","7","4.72","4.86","1.33","7","4.66666650772095","5"
"2005","17-29","(noch) kein Abschluss","4.83","4.83","677","3","4","5.67","6.33","7","4.74","4.92","1.33","7","4.66666650772095","5"
"2005","17-29","AkademikerIn","4.91","4.83","207","3.33","4.33","5.67","6.33","7","4.76","5.06","1.67","7","4.66666650772095","5"
"2005","17-29","Hauptschule","4.39","4.17","650","3","3.67","5","6","7","4.3","4.48","1","7","4.33333349227905","4.66666650772095"
"2005","17-29","Realschule","4.61","4.5","1079","3.33","4","5.33","6","7","4.54","4.68","1","7","4.66666650772095","4.66666650772095"
"2005","30-45","(Fach-)Abitur","4.64","4.58","797","3","3.67","5.67","6.33","7","4.56","4.72","1","7","4.66666650772095","4.66666650772095"
"2005","30-45","(noch) kein Abschluss","4.03","3.83","62","2.67","3","5.33","5.67","6","3.73","4.33","1","6","3.33333325386047","4"
"2005","30-45","AkademikerIn","4.7","4.58","1381","3.33","4","5.33","6.33","7","4.64","4.76","1.33","7","4.66666650772095","5"
"2005","30-45","Hauptschule","4.34","4.17","1628","3","3.67","5","6","7","4.28","4.4","1","7","4.33333349227905","4.33333349227905"
"2005","30-45","Realschule","4.46","4.17","2172","3","3.67","5.33","6","7","4.41","4.51","1","7","4.33333349227905","4.66666650772095"
"2005","46-65","(Fach-)Abitur","4.59","4.5","438","3","4","5.33","6","7","4.48","4.7","1","7","4.66666650772095","5"
"2005","46-65","(noch) kein Abschluss","3.78","3.58","96","1.67","2.33","5","6","7","3.47","4.09","1","7","3","4"
"2005","46-65","AkademikerIn","4.87","4.83","1913","3.33","4","5.67","6.33","7","4.82","4.92","1","7","5","5"
"2005","46-65","Hauptschule","4.27","4.17","2847","2.67","3.33","5.33","6","7","4.22","4.32","1","7","4.33333349227905","4.33333349227905"
"2005","46-65","Realschule","4.54","4.58","1685","3","3.67","5.33","6","7","4.48","4.6","1","7","4.33333349227905","4.66666650772095"
"2005","66","(Fach-)Abitur","4.75","4.5","163","3.33","4","5.67","6.33","7","4.58","4.92","1.67","7","4.66666650772095","5"
"2005","66","(noch) kein Abschluss","3.46","3.17","63","1.67","2.67","4","5.33","6","3.13","3.79","1","6","2.66666674613953","3.66666674613953"
"2005","66","AkademikerIn","4.88","4.83","657","3.67","4","5.67","6.33","7","4.79","4.97","1","7","4.66666650772095","5"
"2005","66","Hauptschule","3.97","3.83","2394","2.33","3","5","5.67","7","3.92","4.02","1","7","4","4"
"2005","66","Realschule","4.56","4.58","436","2.67","3.67","5.33","6.33","7","4.44","4.68","1","7","4.33333349227905","4.66666650772095"
"2006","17-29","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","17-29","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","17-29","AkademikerIn","","","","","","","","","","","","","",""
"2006","17-29","Hauptschule","","","","","","","","","","","","","",""
"2006","17-29","Realschule","","","","","","","","","","","","","",""
"2006","30-45","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","30-45","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","30-45","AkademikerIn","","","","","","","","","","","","","",""
"2006","30-45","Hauptschule","","","","","","","","","","","","","",""
