year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,2829,37.16147,36.87482,37.44811,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,No migration background,Rural regions,822,37.12598,36.57621,37.67576,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,Direct migration background,Urban regions,1546,38.21610,37.85936,38.57283,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,Direct migration background,Rural regions,214,37.55984,36.51382,38.60585,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,Indirect migration background,Urban regions,49,38.10783,36.11699,40.09867,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,2737,37.14086,36.86800,37.41372,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,No migration background,Rural regions,803,37.37677,36.85238,37.90116,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,Direct migration background,Urban regions,1460,38.01666,37.71140,38.32191,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,Direct migration background,Rural regions,217,36.43366,35.27612,37.59120,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,Indirect migration background,Urban regions,67,37.24998,35.35786,39.14210,35.74591,40.00000,40.00000,29.36478,46.38113,40.0,38.00000,40.00000
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,2716,37.02548,36.73755,37.31341,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,No migration background,Rural regions,827,36.86936,36.31485,37.42387,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,Direct migration background,Urban regions,1448,37.84519,37.52587,38.16451,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,Direct migration background,Rural regions,221,36.23157,35.10168,37.36147,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,Indirect migration background,Urban regions,68,37.71120,36.49440,38.92799,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,39.00000,40.00000
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,2631,36.64173,36.34655,36.93690,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1988,No migration background,Rural regions,739,37.13385,36.56579,37.70191,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1988,Direct migration background,Urban regions,1353,37.48162,37.13092,37.83232,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,39.97500,40.00000
1988,Direct migration background,Rural regions,201,35.36885,34.08167,36.65603,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,39.00000,40.00000
1988,Indirect migration background,Urban regions,87,36.36880,34.76597,37.97163,38.00000,40.00000,40.00000,35.00000,40.0,40.0,38.00000,40.00000
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,2598,36.32439,36.03219,36.61659,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,39.00000,39.00000
1989,No migration background,Rural regions,739,37.45846,36.83801,38.07892,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1989,Direct migration background,Urban regions,1330,37.22318,36.85139,37.59497,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,39.00000,40.00000
1989,Direct migration background,Rural regions,200,35.24298,33.92488,36.56108,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,38.00000,40.00000
1989,Indirect migration background,Urban regions,99,35.30540,33.68083,36.92996,38.00000,39.00000,40.00000,35.00000,42.0,39.0,38.00000,40.00000
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,3535,36.64740,36.39577,36.89903,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1990,No migration background,Rural regions,2715,38.47390,38.18506,38.76274,38.00000,40.00000,43.70000,29.45000,52.25000,40.0,40.00000,40.00000
1990,Direct migration background,Urban regions,1295,37.19041,36.81770,37.56311,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1990,Direct migration background,Rural regions,260,36.62728,35.42400,37.83056,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,39.00000,40.00000
1990,Indirect migration background,Urban regions,120,34.98014,33.43322,36.52705,36.42973,37.79701,40.00000,31.07432,45.35541,38.0,37.50000,38.50000
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,3339,35.95387,35.69157,36.21618,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.50000,38.50000
1991,No migration background,Rural regions,2353,37.20580,36.90127,37.51033,37.50000,40.00000,40.00000,33.75000,43.75000,40.0,39.48750,40.00000
1991,Direct migration background,Urban regions,1301,36.65602,36.27342,37.03861,37.50000,38.00000,40.00000,33.75000,43.75000,38.0,38.00000,38.50000
1991,Direct migration background,Rural regions,247,35.12299,33.92928,36.31671,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.00000,39.00000
1991,Indirect migration background,Urban regions,159,34.84424,33.39704,36.29144,36.00000,38.00000,40.00000,30.00000,46.00000,38.0,37.50000,39.00000
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,3158,35.74666,35.47392,36.01940,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.50000,38.50000
1992,No migration background,Rural regions,2078,36.93441,36.61420,37.25462,37.50000,39.50000,40.00000,33.75000,43.75000,39.5,39.00000,40.00000
1992,Direct migration background,Urban regions,1219,36.45312,36.04467,36.86157,37.50000,38.00000,40.00000,33.75000,43.75000,38.0,37.50000,38.00000
1992,Direct migration background,Rural regions,223,34.84807,33.68932,36.00682,36.38392,38.50000,40.00000,30.95981,45.42411,38.5,37.50000,38.50000
1992,Indirect migration background,Urban regions,172,34.27214,32.71770,35.82657,35.24299,37.50000,40.00000,28.10747,47.13552,37.5,37.50000,38.00000
1992,Indirect migration background,Rural regions,31,36.79431,35.01565,38.57298,37.50000,38.49584,38.50000,36.00000,40.00000,38.5,38.00000,38.50000
1993,No migration background,Urban regions,3112,35.63009,35.36362,35.89656,37.00000,38.50000,39.00000,34.00000,42.00000,38.5,38.00000,38.50000
1993,No migration background,Rural regions,1967,36.51059,36.17750,36.84369,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.50000,39.00000
1993,Direct migration background,Urban regions,1145,36.36518,35.97276,36.75761,37.00000,38.00000,39.00000,34.00000,42.00000,38.0,37.50000,38.00000
1993,Direct migration background,Rural regions,208,35.94703,34.99405,36.90002,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.00000,39.00000
1993,Indirect migration background,Urban regions,209,35.83044,34.85344,36.80744,36.33505,38.00000,40.00000,30.83762,45.49743,38.0,37.50000,38.00000
1993,Indirect migration background,Rural regions,43,37.65093,36.43976,38.86210,37.50000,38.14084,40.00000,33.75000,42.5,38.0,37.50000,39.50000
1994,No migration background,Urban regions,3018,35.49185,35.21064,35.77307,36.50000,38.50000,39.00000,32.75000,42.75000,38.5,38.00000,38.50000
1994,No migration background,Rural regions,1948,36.40847,36.06551,36.75142,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.50000,40.00000
1994,Direct migration background,Urban regions,1032,36.04787,35.59398,36.50175,36.50000,38.00000,39.00000,32.75000,42.75000,38.0,37.50000,38.00000
1994,Direct migration background,Rural regions,179,34.18256,32.96128,35.40383,28.94112,38.00000,40.00000,12.35281,56.58831,38.0,37.50000,38.50000
1994,Indirect migration background,Urban regions,214,35.89496,34.90718,36.88275,36.93673,38.00000,40.00000,32.34184,44.59490,38.0,37.50000,38.50000
1994,Indirect migration background,Rural regions,39,37.78088,34.48784,41.07393,38.00000,39.22195,40.00000,35.00000,43.00000,39.0,38.48750,40.00000
1995,No migration background,Urban regions,3028,35.05568,34.75596,35.35540,36.00000,38.00000,39.00000,31.50000,43.50000,38.0,38.00000,38.50000
1995,No migration background,Rural regions,2055,36.02903,35.68706,36.37100,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.50000,39.00000
1995,Direct migration background,Urban regions,1152,35.32860,34.85367,35.80354,36.00000,38.00000,39.50000,30.75000,44.75000,38.0,37.50000,38.00000
1995,Direct migration background,Rural regions,216,32.84421,31.46519,34.22322,23.79409,38.00000,40.00000,7.0,56.0,38.0,37.50000,38.50000
1995,Indirect migration background,Urban regions,221,33.13766,31.79546,34.47985,35.00000,38.00000,39.50000,28.25000,45.0,38.0,37.00000,38.50000
1995,Indirect migration background,Rural regions,41,34.59596,31.90546,37.28646,36.70310,37.50000,39.45069,32.58173,42.0,37.5,37.00000,38.00000
1996,No migration background,Urban regions,2949,34.98032,34.68251,35.27814,35.00000,38.50000,39.00000,29.00000,45.00000,38.5,38.00000,38.50000
1996,No migration background,Rural regions,1978,35.96221,35.62556,36.29886,36.00000,38.50000,40.00000,30.00000,46.00000,38.5,38.50000,38.50000
1996,Direct migration background,Urban regions,1052,35.06162,34.59064,35.53259,35.00000,37.50000,40.00000,27.50000,47.50000,37.5,37.50000,38.00000
1996,Direct migration background,Rural regions,215,34.91350,33.75443,36.07257,35.00000,38.50000,40.00000,27.50000,47.50000,38.5,37.50000,38.50000
1996,Indirect migration background,Urban regions,233,35.53230,34.60453,36.46007,36.00000,38.00000,39.00000,31.50000,43.50000,38.0,37.50000,38.50000
1996,Indirect migration background,Rural regions,46,35.28793,33.18171,37.39416,35.64033,37.45744,38.50000,31.35083,42.78950,37.2,35.50000,38.50000
1997,No migration background,Urban regions,2796,34.91096,34.60436,35.21757,35.00000,38.00000,39.00000,29.00000,45.00000,38.0,38.00000,38.50000
