year,migback,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,No migration background,Easy,0.02544,270,1704,0.01796,0.03291
1987,No migration background,Difficult,0.09354,951,1704,0.07971,0.10737
1987,No migration background,Almost impossible,0.05351,483,1704,0.04282,0.06420
1987,Direct migration background,Easy,0.02087,75,806,0.01099,0.03074
1987,Direct migration background,Difficult,0.11498,414,806,0.09294,0.13702
1987,Direct migration background,Almost impossible,0.10601,317,806,0.08474,0.12728
1987,Indirect migration background,Difficult,0.02131,42,42,-0.02290,0.06551
1988,No migration background,Easy,0.02708,268,1600,0.01912,0.03503
1988,No migration background,Difficult,0.09036,863,1600,0.07631,0.10442
1988,No migration background,Almost impossible,0.05424,469,1600,0.04314,0.06535
1988,Direct migration background,Easy,0.02045,67,764,0.01041,0.03050
1988,Direct migration background,Difficult,0.11912,383,764,0.09614,0.14211
1988,Direct migration background,Almost impossible,0.09946,314,764,0.07823,0.12070
1988,Indirect migration background,Difficult,0.02992,53,53,-0.01639,0.07623
1989,No migration background,Easy,0.02932,283,1431,0.02058,0.03806
1989,No migration background,Difficult,0.08137,735,1431,0.06720,0.09555
1989,No migration background,Almost impossible,0.04918,413,1431,0.03797,0.06039
1989,Direct migration background,Easy,0.02748,76,704,0.01540,0.03957
1989,Direct migration background,Difficult,0.10429,325,704,0.08170,0.12688
1989,Direct migration background,Almost impossible,0.10465,303,704,0.08202,0.12728
1989,Indirect migration background,Easy,0.01894,31,96,-0.00847,0.04635
1989,Indirect migration background,Difficult,0.04417,65,96,0.00285,0.08549
1990,No migration background,Easy,0.02782,362,1681,0.01996,0.03569
1990,No migration background,Difficult,0.06674,874,1681,0.05480,0.07867
1990,No migration background,Almost impossible,0.03898,445,1681,0.02972,0.04823
1990,Direct migration background,Easy,0.03280,86,690,0.01950,0.04610
1990,Direct migration background,Difficult,0.09755,329,690,0.07539,0.11970
1990,Direct migration background,Almost impossible,0.08591,275,690,0.06499,0.10684
1990,Indirect migration background,Easy,0.01956,45,103,-0.00732,0.04643
1990,Indirect migration background,Difficult,0.03452,58,103,-0.00091,0.06995
1991,No migration background,Easy,0.02859,379,1875,0.02104,0.03613
1991,No migration background,Difficult,0.06935,956,1875,0.05785,0.08085
1991,No migration background,Almost impossible,0.04268,540,1875,0.03353,0.05183
1991,Direct migration background,Easy,0.02804,79,625,0.01509,0.04100
1991,Direct migration background,Difficult,0.09193,293,625,0.06926,0.11460
1991,Direct migration background,Almost impossible,0.08207,253,625,0.06053,0.10360
1991,Indirect migration background,Easy,0.02519,49,103,-0.00522,0.05560
1991,Indirect migration background,Difficult,0.02340,54,103,-0.00594,0.05274
1992,No migration background,Easy,0.03465,440,1992,0.02662,0.04269
1992,No migration background,Difficult,0.07143,1018,1992,0.06012,0.08274
1992,No migration background,Almost impossible,0.04104,534,1992,0.03233,0.04976
1992,Direct migration background,Easy,0.02792,81,621,0.01495,0.04088
1992,Direct migration background,Difficult,0.09407,283,621,0.07109,0.11705
1992,Direct migration background,Almost impossible,0.08643,257,621,0.06431,0.10855
1992,Indirect migration background,Easy,0.03676,65,137,0.00514,0.06839
1992,Indirect migration background,Difficult,0.04702,72,137,0.01144,0.08260
1993,No migration background,Easy,0.02628,341,2096,0.01943,0.03313
1993,No migration background,Difficult,0.07912,1087,2096,0.06756,0.09068
