year,age_gr,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Urban regions,Easy,0.06736,171,838,0.05038,0.08434
1987,17-29 y.,Urban regions,Difficult,0.20351,537,838,0.17624,0.23079
1987,17-29 y.,Urban regions,Almost impossible,0.04883,130,838,0.03423,0.06343
1987,17-29 y.,Rural regions,Easy,0.06431,44,198,0.03006,0.09857
1987,17-29 y.,Rural regions,Difficult,0.16756,119,198,0.11541,0.21972
1987,17-29 y.,Rural regions,Almost impossible,0.05255,35,198,0.02139,0.08371
1987,30-45 y.,Urban regions,Easy,0.03685,90,617,0.02198,0.05173
1987,30-45 y.,Urban regions,Difficult,0.13775,364,617,0.11053,0.16496
1987,30-45 y.,Urban regions,Almost impossible,0.05212,163,617,0.03457,0.06967
1987,30-45 y.,Rural regions,Difficult,0.15311,96,96,0.08070,0.22552
1987,46-65 y.,Urban regions,Easy,0.01450,35,604,0.00496,0.02404
1987,46-65 y.,Urban regions,Difficult,0.08414,222,604,0.06198,0.10630
1987,46-65 y.,Urban regions,Almost impossible,0.12330,347,604,0.09705,0.14954
1987,46-65 y.,Rural regions,Difficult,0.09554,68,140,0.04667,0.14441
1987,46-65 y.,Rural regions,Almost impossible,0.10199,72,140,0.05168,0.15230
1987,66 and older,Urban regions,Almost impossible,0.03562,32,32,-0.02962,0.10086
1988,17-29 y.,Urban regions,Easy,0.08745,201,821,0.06811,0.10678
1988,17-29 y.,Urban regions,Difficult,0.19386,483,821,0.16680,0.22092
1988,17-29 y.,Urban regions,Almost impossible,0.05216,137,821,0.03694,0.06738
1988,17-29 y.,Rural regions,Easy,0.06985,41,158,0.02998,0.10972
1988,17-29 y.,Rural regions,Difficult,0.20569,117,158,0.14246,0.26891
1988,30-45 y.,Urban regions,Easy,0.02763,65,566,0.01412,0.04115
1988,30-45 y.,Urban regions,Difficult,0.14454,363,566,0.11554,0.17354
1988,30-45 y.,Urban regions,Almost impossible,0.04901,138,566,0.03121,0.06681
1988,30-45 y.,Rural regions,Difficult,0.15390,92,92,0.07976,0.22804
1988,46-65 y.,Urban regions,Difficult,0.06594,185,546,0.04511,0.08678
1988,46-65 y.,Urban regions,Almost impossible,0.13196,361,546,0.10355,0.16038
1988,46-65 y.,Rural regions,Difficult,0.09568,57,132,0.04530,0.14605
1988,46-65 y.,Rural regions,Almost impossible,0.09532,75,132,0.04504,0.14561
1989,17-29 y.,Urban regions,Easy,0.08627,203,757,0.06625,0.10628
