year,bula_h,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Schleswig-Holstein,Difficult,0.08029,44,44,-0.00093,0.16152
1987,Lower Saxony,Easy,0.02387,39,284,0.00608,0.04165
1987,Lower Saxony,Difficult,0.11020,169,284,0.07372,0.14668
1987,Lower Saxony,Almost impossible,0.05342,76,284,0.02722,0.07962
1987,North Rhine-Westphalia,Easy,0.02314,99,834,0.01293,0.03335
1987,North Rhine-Westphalia,Difficult,0.11228,452,834,0.09084,0.13372
1987,North Rhine-Westphalia,Almost impossible,0.07502,283,834,0.05713,0.09291
1987,Hesse,Easy,0.02904,42,256,0.00843,0.04966
1987,Hesse,Difficult,0.07580,123,256,0.04331,0.10829
1987,Hesse,Almost impossible,0.06532,91,256,0.03499,0.09564
1987,"Rhineland-Palatinate, Saarland",Difficult,0.09997,108,185,0.05663,0.14331
1987,"Rhineland-Palatinate, Saarland",Almost impossible,0.08147,77,185,0.04194,0.12100
1987,Baden-Wuerttemberg,Easy,0.03020,77,448,0.01434,0.04607
1987,Baden-Wuerttemberg,Difficult,0.08146,235,448,0.05610,0.10682
1987,Baden-Wuerttemberg,Almost impossible,0.04106,136,448,0.02266,0.05945
1987,Bavaria,Easy,0.02913,72,346,0.01138,0.04687
1987,Bavaria,Difficult,0.07949,191,346,0.05095,0.10803
1987,Bavaria,Almost impossible,0.03721,83,346,0.01724,0.05718
1987,Berlin,Difficult,0.07118,44,44,-0.00568,0.14803
1988,Schleswig-Holstein,Difficult,0.10683,45,45,0.01555,0.19810
1988,Lower Saxony,Easy,0.02595,39,270,0.00695,0.04494
1988,Lower Saxony,Difficult,0.10231,149,270,0.06609,0.13853
1988,Lower Saxony,Almost impossible,0.06220,82,270,0.03334,0.09106
1988,North Rhine-Westphalia,Easy,0.02770,107,792,0.01627,0.03914
1988,North Rhine-Westphalia,Difficult,0.11347,422,792,0.09137,0.13557
1988,North Rhine-Westphalia,Almost impossible,0.06980,263,792,0.05205,0.08756
1988,Hesse,Easy,0.02914,40,254,0.00841,0.04986
1988,Hesse,Difficult,0.07734,124,254,0.04442,0.11025
1988,Hesse,Almost impossible,0.07591,90,254,0.04328,0.10855
1988,"Rhineland-Palatinate, Saarland",Difficult,0.10349,107,183,0.05924,0.14774
1988,"Rhineland-Palatinate, Saarland",Almost impossible,0.08100,76,183,0.04136,0.12064
1988,Baden-Wuerttemberg,Easy,0.02908,63,421,0.01301,0.04515
1988,Baden-Wuerttemberg,Difficult,0.07610,213,421,0.05074,0.10146
1988,Baden-Wuerttemberg,Almost impossible,0.04873,145,421,0.02814,0.06933
1988,Bavaria,Easy,0.02975,72,324,0.01122,0.04828
1988,Bavaria,Difficult,0.07192,175,324,0.04375,0.10010
1988,Bavaria,Almost impossible,0.03119,77,324,0.01223,0.05015
1988,Berlin,Difficult,0.05956,36,36,-0.01885,0.13796
1989,Schleswig-Holstein,Difficult,0.09616,40,40,0.00363,0.18868
1989,Lower Saxony,Easy,0.03084,44,251,0.00941,0.05227
1989,Lower Saxony,Difficult,0.08407,117,251,0.04967,0.11847
1989,Lower Saxony,Almost impossible,0.06890,90,251,0.03750,0.10029
1989,North Rhine-Westphalia,Easy,0.03045,103,732,0.01800,0.04291
1989,North Rhine-Westphalia,Difficult,0.10149,378,732,0.07960,0.12338
1989,North Rhine-Westphalia,Almost impossible,0.06606,251,732,0.04805,0.08406
1989,Hesse,Easy,0.04454,56,231,0.01788,0.07121
1989,Hesse,Difficult,0.07257,117,231,0.03904,0.10610
1989,Hesse,Almost impossible,0.04019,58,231,0.01481,0.06557
1989,"Rhineland-Palatinate, Saarland",Difficult,0.08620,87,155,0.04187,0.13053
1989,"Rhineland-Palatinate, Saarland",Almost impossible,0.08269,68,155,0.03919,0.12619
1989,Baden-Wuerttemberg,Easy,0.02638,70,359,0.00978,0.04298
1989,Baden-Wuerttemberg,Difficult,0.07168,181,359,0.04495,0.09840
1989,Baden-Wuerttemberg,Almost impossible,0.03688,108,359,0.01735,0.05640
1989,Bavaria,Easy,0.03089,72,316,0.01178,0.05000
1989,Bavaria,Difficult,0.06948,149,316,0.04140,0.09756
1989,Bavaria,Almost impossible,0.04047,95,316,0.01871,0.06223
1990,Schleswig-Holstein,Difficult,0.08186,32,32,-0.01465,0.17836
1990,Lower Saxony,Easy,0.02801,36,230,0.00664,0.04938
1990,Lower Saxony,Difficult,0.08606,114,230,0.04973,0.12238
1990,Lower Saxony,Almost impossible,0.06312,80,230,0.03162,0.09461
1990,North Rhine-Westphalia,Easy,0.03444,121,685,0.02077,0.04811
1990,North Rhine-Westphalia,Difficult,0.08661,317,685,0.06553,0.10769
1990,North Rhine-Westphalia,Almost impossible,0.06319,247,685,0.04496,0.08143
1990,Hesse,Easy,0.04055,61,215,0.01412,0.06697
1990,Hesse,Difficult,0.07053,97,215,0.03623,0.10484
1990,Hesse,Almost impossible,0.04250,57,215,0.01547,0.06953
1990,"Rhineland-Palatinate, Saarland",Difficult,0.09646,91,142,0.04773,0.14519
1990,"Rhineland-Palatinate, Saarland",Almost impossible,0.06794,51,142,0.02640,0.10948
1990,Baden-Wuerttemberg,Easy,0.03435,86,342,0.01502,0.05368
1990,Baden-Wuerttemberg,Difficult,0.06302,168,342,0.03723,0.08881
1990,Baden-Wuerttemberg,Almost impossible,0.03342,88,342,0.01434,0.05250
1990,Bavaria,Easy,0.03819,80,309,0.01679,0.05959
1990,Bavaria,Difficult,0.06385,148,309,0.03654,0.09115
1990,Bavaria,Almost impossible,0.03879,81,309,0.01722,0.06035
1990,Berlin,Difficult,0.05539,55,55,-0.00562,0.11640
1990,Brandenburg,Difficult,0.04563,48,48,-0.01403,0.10529
1990,Mecklenburg-Western Pomerania,Difficult,0.05161,34,34,-0.02388,0.12709
1990,Saxony,Difficult,0.03066,57,57,-0.01449,0.07582
1990,Saxony-Anhalt,Difficult,0.03053,33,33,-0.02908,0.09013
