year,age_gr,sampreg,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,West,Easy,0.06662,215,1036,0.05143,0.08181
1987,17-29 y.,West,Difficult,0.19482,656,1036,0.17069,0.21895
1987,17-29 y.,West,Almost impossible,0.04973,165,1036,0.03648,0.06297
1987,30-45 y.,West,Easy,0.03547,110,763,0.02234,0.04861
1987,30-45 y.,West,Difficult,0.14130,460,763,0.11656,0.16603
1987,30-45 y.,West,Almost impossible,0.05002,193,763,0.03454,0.06550
1987,46-65 y.,West,Easy,0.01283,40,749,0.00477,0.02090
1987,46-65 y.,West,Difficult,0.08681,290,749,0.06663,0.10699
1987,46-65 y.,West,Almost impossible,0.11830,419,749,0.09516,0.14145
1987,66 and older,West,Almost impossible,0.02952,36,36,-0.02656,0.08560
1988,17-29 y.,West,Easy,0.08336,242,1009,0.06629,0.10042
1988,17-29 y.,West,Difficult,0.19661,600,1009,0.17207,0.22114
1988,17-29 y.,West,Almost impossible,0.05097,167,1009,0.03740,0.06455
1988,30-45 y.,West,Easy,0.02790,82,705,0.01574,0.04007
1988,30-45 y.,West,Difficult,0.14671,455,705,0.12057,0.17285
1988,30-45 y.,West,Almost impossible,0.04783,168,705,0.03206,0.06359
1988,46-65 y.,West,Easy,0.01265,37,715,0.00445,0.02084
1988,46-65 y.,West,Difficult,0.07294,242,715,0.05387,0.09202
1988,46-65 y.,West,Almost impossible,0.12334,436,715,0.09922,0.14746
1989,17-29 y.,West,Easy,0.08698,250,928,0.06884,0.10512
1989,17-29 y.,West,Difficult,0.17404,522,928,0.14964,0.19845
1989,17-29 y.,West,Almost impossible,0.04746,156,928,0.03377,0.06115
1989,30-45 y.,West,Easy,0.03260,95,632,0.01874,0.04645
1989,30-45 y.,West,Difficult,0.12747,372,632,0.10145,0.15349
1989,30-45 y.,West,Almost impossible,0.04589,165,632,0.02957,0.06222
1989,46-65 y.,West,Easy,0.01476,44,663,0.00558,0.02395
1989,46-65 y.,West,Difficult,0.07141,230,663,0.05180,0.09103
1989,46-65 y.,West,Almost impossible,0.11660,389,663,0.09215,0.14105
1990,17-29 y.,West,Easy,0.10531,294,912,0.08537,0.12524
1990,17-29 y.,West,Difficult,0.15625,459,912,0.13267,0.17983
1990,17-29 y.,West,Almost impossible,0.05888,159,912,0.04360,0.07417
1990,17-29 y.,East,Easy,0.03944,44,209,0.01299,0.06589
1990,17-29 y.,East,Difficult,0.14234,165,209,0.09486,0.18982
1990,30-45 y.,West,Easy,0.03974,106,566,0.02363,0.05585
1990,30-45 y.,West,Difficult,0.11412,336,566,0.08790,0.14033
1990,30-45 y.,West,Almost impossible,0.03385,124,566,0.01893,0.04876
1990,30-45 y.,East,Difficult,0.02638,43,43,-0.02209,0.07485
1990,46-65 y.,West,Easy,0.01172,35,634,0.00333,0.02010
1990,46-65 y.,West,Difficult,0.07211,230,634,0.05196,0.09226
1990,46-65 y.,West,Almost impossible,0.10876,369,634,0.08451,0.13302
1991,17-29 y.,West,Easy,0.10751,301,860,0.08679,0.12822
1991,17-29 y.,West,Difficult,0.14297,401,860,0.11956,0.16637
1991,17-29 y.,West,Almost impossible,0.05179,158,860,0.03697,0.06660
1991,17-29 y.,East,Easy,0.03159,33,268,0.01061,0.05257
1991,17-29 y.,East,Difficult,0.19134,189,268,0.14416,0.23853
1991,17-29 y.,East,Almost impossible,0.05111,46,268,0.02470,0.07753
1991,30-45 y.,West,Easy,0.04053,117,552,0.02406,0.05699
1991,30-45 y.,West,Difficult,0.11224,327,552,0.08589,0.13860
1991,30-45 y.,West,Almost impossible,0.03302,108,552,0.01810,0.04793
1991,30-45 y.,East,Difficult,0.08473,126,160,0.04144,0.12801
1991,30-45 y.,East,Almost impossible,0.02230,34,160,-0.00065,0.04526
1991,46-65 y.,West,Easy,0.01551,43,583,0.00547,0.02555
1991,46-65 y.,West,Difficult,0.06711,205,583,0.04678,0.08743
1991,46-65 y.,West,Almost impossible,0.10346,335,583,0.07872,0.12820
1991,46-65 y.,East,Difficult,0.04321,54,175,0.01300,0.07343
1991,46-65 y.,East,Almost impossible,0.09903,121,175,0.05465,0.14342
1992,17-29 y.,West,Easy,0.13516,345,865,0.11236,0.15796
1992,17-29 y.,West,Difficult,0.13801,391,865,0.11501,0.16101
1992,17-29 y.,West,Almost impossible,0.04455,129,865,0.03079,0.05831
1992,17-29 y.,East,Easy,0.04306,42,294,0.01982,0.06631
1992,17-29 y.,East,Difficult,0.22745,216,294,0.17946,0.27545
1992,17-29 y.,East,Almost impossible,0.03989,36,294,0.01748,0.06230
1992,30-45 y.,West,Easy,0.04850,144,565,0.03077,0.06623
1992,30-45 y.,West,Difficult,0.10792,319,565,0.08231,0.13353
1992,30-45 y.,West,Almost impossible,0.03279,102,565,0.01810,0.04749
1992,30-45 y.,East,Difficult,0.12322,168,232,0.08083,0.16560
1992,30-45 y.,East,Almost impossible,0.04747,64,232,0.02005,0.07489
1992,46-65 y.,West,Easy,0.01569,41,562,0.00540,0.02597
1992,46-65 y.,West,Difficult,0.07110,203,562,0.04984,0.09237
1992,46-65 y.,West,Almost impossible,0.09674,318,562,0.07227,0.12120
1992,46-65 y.,East,Difficult,0.06243,75,231,0.03116,0.09370
1992,46-65 y.,East,Almost impossible,0.12994,156,231,0.08648,0.17339
1993,17-29 y.,West,Easy,0.09145,236,892,0.07252,0.11038
1993,17-29 y.,West,Difficult,0.18145,474,892,0.15614,0.20676
1993,17-29 y.,West,Almost impossible,0.06012,182,892,0.04451,0.07573
1993,17-29 y.,East,Easy,0.05682,48,284,0.02985,0.08380
1993,17-29 y.,East,Difficult,0.20216,193,284,0.15537,0.24895
1993,17-29 y.,East,Almost impossible,0.04892,43,284,0.02379,0.07405
1993,30-45 y.,West,Easy,0.04014,107,563,0.02391,0.05637
1993,30-45 y.,West,Difficult,0.11515,342,563,0.08876,0.14154
1993,30-45 y.,West,Almost impossible,0.03293,114,563,0.01818,0.04769
1993,30-45 y.,East,Difficult,0.13324,169,232,0.08941,0.17706
1993,30-45 y.,East,Almost impossible,0.04209,63,232,0.01619,0.06798
1993,46-65 y.,West,Easy,0.01282,33,583,0.00368,0.02196
1993,46-65 y.,West,Difficult,0.07603,209,583,0.05450,0.09756
1993,46-65 y.,West,Almost impossible,0.10596,341,583,0.08095,0.13096
1993,46-65 y.,East,Difficult,0.08335,99,346,0.05419,0.11252
1993,46-65 y.,East,Almost impossible,0.23375,247,346,0.18910,0.27841
1994,17-29 y.,West,Easy,0.09102,206,887,0.07208,0.10996
1994,17-29 y.,West,Difficult,0.19809,512,887,0.17185,0.22433
1994,17-29 y.,West,Almost impossible,0.06175,169,887,0.04590,0.07760
1994,17-29 y.,East,Easy,0.04570,41,290,0.02162,0.06977
1994,17-29 y.,East,Difficult,0.24316,211,290,0.19370,0.29262
1994,17-29 y.,East,Almost impossible,0.04922,38,290,0.02428,0.07416
1994,30-45 y.,West,Easy,0.03307,106,592,0.01866,0.04749
1994,30-45 y.,West,Difficult,0.11811,349,592,0.09209,0.14413
1994,30-45 y.,West,Almost impossible,0.04193,137,592,0.02577,0.05809
1994,30-45 y.,East,Difficult,0.12334,161,227,0.08047,0.16621
1994,30-45 y.,East,Almost impossible,0.05445,66,227,0.02487,0.08404
1994,46-65 y.,West,Difficult,0.07111,198,573,0.05005,0.09217
1994,46-65 y.,West,Almost impossible,0.12737,375,573,0.10005,0.15470
1994,46-65 y.,East,Difficult,0.08911,97,313,0.05750,0.12073
1994,46-65 y.,East,Almost impossible,0.19257,216,313,0.14881,0.23632
1995,17-29 y.,West,Easy,0.08860,204,924,0.07026,0.10693
1995,17-29 y.,West,Difficult,0.21607,547,924,0.18952,0.24262
1995,17-29 y.,West,Almost impossible,0.06047,173,924,0.04510,0.07585
1995,17-29 y.,East,Easy,0.03738,33,276,0.01496,0.05980
1995,17-29 y.,East,Difficult,0.22738,203,276,0.17784,0.27691
1995,17-29 y.,East,Almost impossible,0.04872,40,276,0.02328,0.07417
1995,30-45 y.,West,Easy,0.03493,117,702,0.02134,0.04852
1995,30-45 y.,West,Difficult,0.13282,430,702,0.10770,0.15794
1995,30-45 y.,West,Almost impossible,0.04063,155,702,0.02601,0.05524
1995,30-45 y.,East,Difficult,0.11797,148,201,0.07327,0.16268
1995,30-45 y.,East,Almost impossible,0.04385,53,201,0.01547,0.07222
1995,46-65 y.,West,Difficult,0.08397,231,624,0.06219,0.10575
1995,46-65 y.,West,Almost impossible,0.12948,393,624,0.10312,0.15584
1995,46-65 y.,East,Difficult,0.07708,93,255,0.04428,0.10988
1995,46-65 y.,East,Almost impossible,0.14616,162,255,0.10271,0.18960
1996,17-29 y.,West,Easy,0.08707,178,873,0.06835,0.10578
1996,17-29 y.,West,Difficult,0.22284,521,873,0.19522,0.25046
1996,17-29 y.,West,Almost impossible,0.06469,174,873,0.04837,0.08102
1996,17-29 y.,East,Easy,0.04257,40,301,0.01973,0.06542
1996,17-29 y.,East,Difficult,0.26361,211,301,0.21375,0.31347
1996,17-29 y.,East,Almost impossible,0.05457,50,301,0.02887,0.08028
1996,30-45 y.,West,Easy,0.04012,132,681,0.02537,0.05487
1996,30-45 y.,West,Difficult,0.11600,407,681,0.09194,0.14007
1996,30-45 y.,West,Almost impossible,0.03865,142,681,0.02416,0.05314
1996,30-45 y.,East,Difficult,0.11866,149,200,0.07373,0.16359
1996,30-45 y.,East,Almost impossible,0.04652,51,200,0.01726,0.07578
1996,46-65 y.,West,Difficult,0.08514,224,616,0.06309,0.10720
1996,46-65 y.,West,Almost impossible,0.12786,392,616,0.10147,0.15425
1996,46-65 y.,East,Difficult,0.09242,116,275,0.05813,0.12672
1996,46-65 y.,East,Almost impossible,0.13762,159,275,0.09683,0.17841
1997,17-29 y.,West,Easy,0.06969,138,812,0.05216,0.08721
1997,17-29 y.,West,Difficult,0.22759,503,812,0.19873,0.25644
1997,17-29 y.,West,Almost impossible,0.06963,171,812,0.05211,0.08715
1997,17-29 y.,East,Easy,0.05338,35,311,0.02836,0.07840
1997,17-29 y.,East,Difficult,0.25851,222,311,0.20977,0.30725
1997,17-29 y.,East,Almost impossible,0.07307,54,311,0.04410,0.10204
1997,30-45 y.,West,Easy,0.02976,105,703,0.01719,0.04233
1997,30-45 y.,West,Difficult,0.13544,443,703,0.11012,0.16075
1997,30-45 y.,West,Almost impossible,0.04159,155,703,0.02682,0.05636
1997,30-45 y.,East,Difficult,0.13804,154,205,0.09071,0.18538
1997,30-45 y.,East,Almost impossible,0.04022,51,205,0.01326,0.06718
1997,46-65 y.,West,Difficult,0.07953,216,623,0.05827,0.10079
1997,46-65 y.,West,Almost impossible,0.13448,407,623,0.10767,0.16129
1997,46-65 y.,East,Difficult,0.08423,104,251,0.04980,0.11866
1997,46-65 y.,East,Almost impossible,0.13585,147,251,0.09337,0.17832
1998,17-29 y.,West,Easy,0.06682,157,869,0.05021,0.08343
1998,17-29 y.,West,Difficult,0.24466,538,869,0.21606,0.27326
1998,17-29 y.,West,Almost impossible,0.06451,174,869,0.04817,0.08085
1998,17-29 y.,East,Difficult,0.24270,220,269,0.19137,0.29403
1998,17-29 y.,East,Almost impossible,0.05605,49,269,0.02851,0.08359
1998,30-45 y.,West,Easy,0.03198,133,756,0.01943,0.04453
1998,30-45 y.,West,Difficult,0.12531,462,756,0.10169,0.14892
1998,30-45 y.,West,Almost impossible,0.03940,161,756,0.02552,0.05328
1998,30-45 y.,East,Difficult,0.15075,178,234,0.10481,0.19670
1998,30-45 y.,East,Almost impossible,0.04568,56,234,0.01887,0.07248
1998,46-65 y.,West,Difficult,0.07392,219,648,0.05376,0.09408
1998,46-65 y.,West,Almost impossible,0.11944,429,648,0.09445,0.14443
1998,46-65 y.,East,Difficult,0.07811,111,263,0.04562,0.11061
1998,46-65 y.,East,Almost impossible,0.12301,152,263,0.08324,0.16278
1999,17-29 y.,West,Easy,0.07751,152,753,0.05840,0.09662
1999,17-29 y.,West,Difficult,0.21996,468,753,0.19036,0.24957
1999,17-29 y.,West,Almost impossible,0.05327,133,753,0.03722,0.06932
1999,17-29 y.,East,Easy,0.04653,39,306,0.02289,0.07017
1999,17-29 y.,East,Difficult,0.26725,222,306,0.21759,0.31692
1999,17-29 y.,East,Almost impossible,0.06043,45,306,0.03369,0.08718
1999,30-45 y.,West,Easy,0.03282,114,657,0.01918,0.04645
1999,30-45 y.,West,Difficult,0.11364,417,657,0.08935,0.13793
1999,30-45 y.,West,Almost impossible,0.03212,126,657,0.01863,0.04562
1999,30-45 y.,East,Difficult,0.12517,144,202,0.07943,0.17092
1999,30-45 y.,East,Almost impossible,0.04569,58,202,0.01682,0.07456
1999,46-65 y.,West,Difficult,0.05485,175,570,0.03614,0.07355
1999,46-65 y.,West,Almost impossible,0.12131,395,570,0.09448,0.14813
1999,46-65 y.,East,Difficult,0.07903,105,232,0.04424,0.11382
1999,46-65 y.,East,Almost impossible,0.10252,127,232,0.06341,0.14164
2000,17-29 y.,West,Easy,0.09200,319,1212,0.07572,0.10828
2000,17-29 y.,West,Difficult,0.18316,650,1212,0.16137,0.20495
2000,17-29 y.,West,Almost impossible,0.06228,243,1212,0.04867,0.07590
2000,17-29 y.,East,Easy,0.04835,61,450,0.02851,0.06819
2000,17-29 y.,East,Difficult,0.25427,314,450,0.21399,0.29455
2000,17-29 y.,East,Almost impossible,0.06182,75,450,0.03954,0.08410
2000,30-45 y.,West,Easy,0.03495,232,1211,0.02460,0.04530
2000,30-45 y.,West,Difficult,0.10296,729,1211,0.08583,0.12008
2000,30-45 y.,West,Almost impossible,0.03311,250,1211,0.02303,0.04319
2000,30-45 y.,East,Difficult,0.12408,223,313,0.08750,0.16066
2000,30-45 y.,East,Almost impossible,0.04702,90,313,0.02353,0.07051
2000,46-65 y.,West,Easy,0.01002,63,1139,0.00424,0.01581
2000,46-65 y.,West,Difficult,0.06462,379,1139,0.05033,0.07890
2000,46-65 y.,West,Almost impossible,0.10609,697,1139,0.08820,0.12399
2000,46-65 y.,East,Difficult,0.06702,142,345,0.04059,0.09344
2000,46-65 y.,East,Almost impossible,0.10029,203,345,0.06854,0.13203
2000,66 and older,West,Almost impossible,0.01655,54,54,-0.01780,0.05090
2001,17-29 y.,West,Easy,0.09989,320,1092,0.08209,0.11768
2001,17-29 y.,West,Difficult,0.17659,561,1092,0.15396,0.19921
2001,17-29 y.,West,Almost impossible,0.06246,211,1092,0.04810,0.07682
2001,17-29 y.,East,Easy,0.06007,68,416,0.03721,0.08293
2001,17-29 y.,East,Difficult,0.25717,295,416,0.21511,0.29922
2001,17-29 y.,East,Almost impossible,0.04574,53,416,0.02564,0.06585
2001,30-45 y.,West,Easy,0.03903,235,1027,0.02718,0.05088
2001,30-45 y.,West,Difficult,0.09415,582,1027,0.07628,0.11202
2001,30-45 y.,West,Almost impossible,0.03067,210,1027,0.02012,0.04122
2001,30-45 y.,East,Difficult,0.13236,211,275,0.09223,0.17248
2001,30-45 y.,East,Almost impossible,0.03684,64,275,0.01454,0.05915
2001,46-65 y.,West,Easy,0.00869,48,934,0.00273,0.01465
2001,46-65 y.,West,Difficult,0.06492,320,934,0.04911,0.08073
2001,46-65 y.,West,Almost impossible,0.10101,566,934,0.08167,0.12035
2001,46-65 y.,East,Difficult,0.06708,127,317,0.03950,0.09467
2001,46-65 y.,East,Almost impossible,0.10028,190,317,0.06716,0.13339
2001,66 and older,West,Almost impossible,0.01834,50,50,-0.01923,0.05592
2002,17-29 y.,West,Easy,0.10055,333,1195,0.08349,0.11761
2002,17-29 y.,West,Difficult,0.20392,660,1195,0.18107,0.22678
2002,17-29 y.,West,Almost impossible,0.05918,202,1195,0.04580,0.07257
2002,17-29 y.,East,Easy,0.05849,69,420,0.03602,0.08095
2002,17-29 y.,East,Difficult,0.27567,290,420,0.23288,0.31845
2002,17-29 y.,East,Almost impossible,0.04469,61,420,0.02491,0.06448
2002,30-45 y.,West,Easy,0.03474,213,1032,0.02357,0.04592
2002,30-45 y.,West,Difficult,0.11344,627,1032,0.09408,0.13279
2002,30-45 y.,West,Almost impossible,0.02941,192,1032,0.01910,0.03973
2002,30-45 y.,East,Difficult,0.15234,203,294,0.11119,0.19348
2002,30-45 y.,East,Almost impossible,0.05909,91,294,0.03209,0.08609
2002,46-65 y.,West,Easy,0.01072,65,953,0.00418,0.01726
2002,46-65 y.,West,Difficult,0.05708,325,953,0.04234,0.07182
2002,46-65 y.,West,Almost impossible,0.10405,563,953,0.08466,0.12345
2002,46-65 y.,East,Difficult,0.07204,120,301,0.04278,0.10130
2002,46-65 y.,East,Almost impossible,0.10642,181,301,0.07152,0.14131
2002,66 and older,West,Almost impossible,0.01519,49,49,-0.01941,0.04979
2003,17-29 y.,West,Easy,0.06508,230,999,0.04978,0.08038
2003,17-29 y.,West,Difficult,0.20068,594,999,0.17583,0.22553
2003,17-29 y.,West,Almost impossible,0.04691,175,999,0.03379,0.06002
2003,17-29 y.,East,Easy,0.04919,49,420,0.02848,0.06990
2003,17-29 y.,East,Difficult,0.27740,292,420,0.23453,0.32027
2003,17-29 y.,East,Almost impossible,0.07014,79,420,0.04568,0.09459
2003,30-45 y.,West,Easy,0.02419,135,778,0.01339,0.03500
2003,30-45 y.,West,Difficult,0.10498,526,778,0.08343,0.12654
2003,30-45 y.,West,Almost impossible,0.02142,117,778,0.01124,0.03160
2003,30-45 y.,East,Difficult,0.14425,203,278,0.10287,0.18563
2003,30-45 y.,East,Almost impossible,0.05457,75,278,0.02782,0.08132
2003,46-65 y.,West,Difficult,0.04002,199,319,0.01847,0.06156
2003,46-65 y.,West,Almost impossible,0.02676,120,319,0.00902,0.04450
2003,46-65 y.,East,Difficult,0.07012,120,237,0.03754,0.10270
2003,46-65 y.,East,Almost impossible,0.07095,117,237,0.03819,0.10371
