year,sampreg,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,West,Easy,0.02478,367,2587,0.01879,0.03078
1987,West,Difficult,0.09305,1407,2587,0.08185,0.10425
1987,West,Almost impossible,0.05681,813,2587,0.04789,0.06574
1988,West,Easy,0.02613,361,2458,0.01983,0.03244
1988,West,Difficult,0.09080,1299,2458,0.07944,0.10216
1988,West,Almost impossible,0.05699,798,2458,0.04782,0.06615
1989,West,Easy,0.02874,390,2245,0.02183,0.03566
1989,West,Difficult,0.08212,1125,2245,0.07076,0.09348
1989,West,Almost impossible,0.05304,730,2245,0.04376,0.06231
1990,West,Easy,0.03280,437,2131,0.02523,0.04036
1990,West,Difficult,0.07579,1027,2131,0.06455,0.08703
1990,West,Almost impossible,0.05013,667,2131,0.04086,0.05940
1990,East,Easy,0.00947,56,361,-0.00053,0.01948
1990,East,Difficult,0.03940,234,361,0.01930,0.05949
1990,East,Almost impossible,0.01253,71,361,0.00104,0.02403
1991,West,Easy,0.03381,462,2012,0.02591,0.04171
1991,West,Difficult,0.07040,934,2012,0.05922,0.08158
1991,West,Almost impossible,0.04597,616,2012,0.03682,0.05513
1991,East,Easy,0.00783,45,617,0.00087,0.01479
1991,East,Difficult,0.06649,369,617,0.04682,0.08616
1991,East,Almost impossible,0.04226,203,617,0.02637,0.05815
1992,West,Easy,0.04023,531,2000,0.03161,0.04884
1992,West,Difficult,0.06890,914,2000,0.05780,0.08001
1992,West,Almost impossible,0.04142,555,2000,0.03269,0.05016
1992,East,Easy,0.01029,55,770,0.00316,0.01742
1992,East,Difficult,0.08664,459,770,0.06676,0.10652
1992,East,Almost impossible,0.05424,256,770,0.03823,0.07024
1993,West,Easy,0.02923,378,2054,0.02194,0.03652
1993,West,Difficult,0.07967,1028,2054,0.06795,0.09138
1993,West,Almost impossible,0.04689,648,2054,0.03775,0.05604
1993,East,Easy,0.01201,57,871,0.00477,0.01924
1993,East,Difficult,0.08977,461,871,0.07078,0.10877
1993,East,Almost impossible,0.08257,353,871,0.06428,0.10086
1994,West,Easy,0.02590,339,2105,0.01911,0.03268
1994,West,Difficult,0.08020,1059,2105,0.06860,0.09181
1994,West,Almost impossible,0.05638,707,2105,0.04653,0.06624
1994,East,Easy,0.00955,49,839,0.00297,0.01614
1994,East,Difficult,0.09508,469,839,0.07522,0.11495
1994,East,Almost impossible,0.07464,321,839,0.05684,0.09243
1995,West,Easy,0.02569,351,2309,0.01924,0.03215
1995,West,Difficult,0.08953,1210,2309,0.07788,0.10117
1995,West,Almost impossible,0.05607,748,2309,0.04668,0.06545
1995,East,Easy,0.00851,44,744,0.00191,0.01512
1995,East,Difficult,0.08692,444,744,0.06667,0.10718
1995,East,Almost impossible,0.06004,256,744,0.04295,0.07712
1996,West,Easy,0.02566,334,2217,0.01908,0.03225
1996,West,Difficult,0.08530,1152,2217,0.07367,0.09693
