year,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Easy,0.02478,367,2587,0.01879,0.03078
1987,Difficult,0.09305,1407,2587,0.08185,0.10425
1987,Almost impossible,0.05681,813,2587,0.04789,0.06574
1988,Easy,0.02613,361,2458,0.01983,0.03244
1988,Difficult,0.09080,1299,2458,0.07944,0.10216
1988,Almost impossible,0.05699,798,2458,0.04782,0.06615
1989,Easy,0.02874,390,2245,0.02183,0.03566
1989,Difficult,0.08212,1125,2245,0.07076,0.09348
1989,Almost impossible,0.05304,730,2245,0.04376,0.06231
1990,Easy,0.02796,493,2492,0.02149,0.03443
1990,Difficult,0.06825,1261,2492,0.05834,0.07815
1990,Almost impossible,0.04234,738,2492,0.03443,0.05024
1991,Easy,0.02841,507,2629,0.02206,0.03476
1991,Difficult,0.06959,1303,2629,0.05986,0.07931
1991,Almost impossible,0.04520,819,2629,0.03726,0.05314
1992,Easy,0.03412,586,2770,0.02736,0.04088
1992,Difficult,0.07252,1373,2770,0.06286,0.08218
1992,Almost impossible,0.04403,811,2770,0.03639,0.05168
1993,Easy,0.02574,435,2925,0.02000,0.03148
1993,Difficult,0.08171,1489,2925,0.07178,0.09164
1993,Almost impossible,0.05411,1001,2925,0.04591,0.06231
1994,Easy,0.02264,388,2944,0.01727,0.02802
1994,Difficult,0.08317,1528,2944,0.07319,0.09314
1994,Almost impossible,0.06002,1028,2944,0.05143,0.06860
1995,Easy,0.02238,395,3053,0.01713,0.02762
1995,Difficult,0.08902,1654,3053,0.07892,0.09913
1995,Almost impossible,0.05683,1004,3053,0.04862,0.06505
1996,Easy,0.02290,392,3014,0.01756,0.02824
1996,Difficult,0.08779,1629,3014,0.07768,0.09789
1996,Almost impossible,0.05629,993,3014,0.04806,0.06452
1997,Easy,0.01821,312,2971,0.01340,0.02302
1997,Difficult,0.09076,1642,2971,0.08043,0.10109
1997,Almost impossible,0.05949,1017,2971,0.05098,0.06799
1998,Easy,0.01784,356,3135,0.01321,0.02248
1998,Difficult,0.08921,1731,3135,0.07923,0.09919
1998,Almost impossible,0.05343,1048,3135,0.04556,0.06131
1999,Easy,0.01940,336,2776,0.01427,0.02453
1999,Difficult,0.07874,1533,2776,0.06872,0.08876
1999,Almost impossible,0.05009,907,2776,0.04197,0.05820
2000,Easy,0.02231,700,4761,0.01811,0.02650
2000,Difficult,0.07301,2443,4761,0.06562,0.08040
2000,Almost impossible,0.04847,1618,4761,0.04237,0.05457
2001,Easy,0.02361,693,4140,0.01899,0.02824
2001,Difficult,0.07013,2100,4140,0.06235,0.07791
2001,Almost impossible,0.04609,1347,4140,0.03971,0.05248
2002,Easy,0.02312,696,4272,0.01862,0.02763
2002,Difficult,0.07663,2232,4272,0.06865,0.08461
2002,Almost impossible,0.04688,1344,4272,0.04054,0.05322
2003,Easy,0.01467,445,3074,0.01042,0.01892
2003,Difficult,0.07030,1942,3074,0.06126,0.07934
2003,Almost impossible,0.02354,687,3074,0.01818,0.02890
2004,Easy,0.01405,427,3163,0.00995,0.01815
2004,Difficult,0.07335,1992,3163,0.06427,0.08244
2004,Almost impossible,0.02902,744,3163,0.02317,0.03487
2005,Easy,0.01078,325,3057,0.00712,0.01444
2005,Difficult,0.07914,1932,3057,0.06956,0.08871
2005,Almost impossible,0.03042,800,3057,0.02433,0.03650
2006,Easy,0.01324,393,3055,0.00919,0.01729
2006,Difficult,0.07294,1889,3055,0.06372,0.08216
2006,Almost impossible,0.02965,773,3055,0.02363,0.03566
2007,Easy,0.01384,395,2558,0.00931,0.01837
2007,Difficult,0.06366,1526,2558,0.05419,0.07312
2007,Almost impossible,0.02688,637,2558,0.02061,0.03314
2008,Easy,0.01506,392,2271,0.01005,0.02007
2008,Difficult,0.05809,1344,2271,0.04847,0.06771
2008,Almost impossible,0.02236,535,2271,0.01628,0.02845
2009,Easy,0.01752,380,2060,0.01185,0.02318
2009,Difficult,0.05603,1188,2060,0.04610,0.06597
2009,Almost impossible,0.02286,492,2060,0.01641,0.02932
2010,Easy,0.01813,882,4353,0.01416,0.02209
2010,Difficult,0.06121,2533,4353,0.05409,0.06833
2010,Almost impossible,0.02276,938,4353,0.01833,0.02719
2011,Easy,0.02046,893,4243,0.01620,0.02472
2011,Difficult,0.05176,2413,4243,0.04509,0.05842
2011,Almost impossible,0.01946,937,4243,0.01530,0.02362
2012,Easy,0.02129,864,3879,0.01675,0.02584
2012,Difficult,0.05555,2154,3879,0.04834,0.06276
2012,Almost impossible,0.01879,861,3879,0.01452,0.02306
2013,Easy,0.02268,1091,4605,0.01838,0.02698
2013,Difficult,0.05229,2516,4605,0.04586,0.05872
2013,Almost impossible,0.02022,998,4605,0.01615,0.02429
2014,Easy,0.02038,854,3829,0.01591,0.02486
2014,Difficult,0.05423,2114,3829,0.04706,0.06141
2014,Almost impossible,0.02085,861,3829,0.01632,0.02538
2015,Easy,0.02107,855,3899,0.01656,0.02557
2015,Difficult,0.05288,2170,3899,0.04586,0.05991
2015,Almost impossible,0.01905,874,3899,0.01476,0.02334
2016,Easy,0.02400,779,3233,0.01872,0.02928
2016,Difficult,0.04910,1701,3233,0.04165,0.05654
2016,Almost impossible,0.01854,753,3233,0.01389,0.02319
2017,Easy,0.02477,1118,4867,0.02040,0.02914
2017,Difficult,0.04739,2762,4867,0.04142,0.05336
2017,Almost impossible,0.01913,987,4867,0.01528,0.02298
2018,Easy,0.02526,1242,5304,0.02104,0.02948
2018,Difficult,0.04388,3059,5304,0.03837,0.04939
2018,Almost impossible,0.01800,1003,5304,0.01442,0.02158
2019,Easy,0.02644,1172,4549,0.02177,0.03110
2019,Difficult,0.04132,2641,4549,0.03554,0.04711
2019,Almost impossible,0.01562,736,4549,0.01201,0.01922
2020,Easy,0.02576,1073,4455,0.02111,0.03041
2020,Difficult,0.04245,2634,4455,0.03653,0.04837
2020,Almost impossible,0.01564,748,4455,0.01200,0.01928
2021,Easy,0.00087,240,999,-0.00096,0.00271
2021,Difficult,0.00181,631,999,-0.00083,0.00445
2021,Almost impossible,0.00051,128,999,-0.00089,0.00190
