year,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Urban regions,Easy,0.02601,298,2094,0.01919,0.03283
1987,Urban regions,Difficult,0.09445,1124,2094,0.08192,0.10698
1987,Urban regions,Almost impossible,0.05997,672,2094,0.04980,0.07014
1987,Rural regions,Easy,0.02101,69,493,0.00834,0.03368
1987,Rural regions,Difficult,0.08873,283,493,0.06361,0.11386
1987,Rural regions,Almost impossible,0.04710,141,493,0.02838,0.06582
1988,Urban regions,Easy,0.02739,296,1992,0.02022,0.03456
1988,Urban regions,Difficult,0.08910,1033,1992,0.07659,0.10162
1988,Urban regions,Almost impossible,0.06152,663,1992,0.05096,0.07207
1988,Rural regions,Easy,0.02221,65,466,0.00882,0.03561
1988,Rural regions,Difficult,0.09612,266,466,0.06933,0.12292
1988,Rural regions,Almost impossible,0.04282,135,466,0.02442,0.06122
1989,Urban regions,Easy,0.02982,319,1813,0.02199,0.03766
1989,Urban regions,Difficult,0.08147,907,1813,0.06887,0.09406
1989,Urban regions,Almost impossible,0.05381,587,1813,0.04342,0.06420
1989,Rural regions,Easy,0.02525,71,432,0.01044,0.04007
1989,Rural regions,Difficult,0.08424,218,432,0.05802,0.11046
1989,Rural regions,Almost impossible,0.05053,143,432,0.02985,0.07121
1990,Urban regions,Easy,0.03307,396,1840,0.02490,0.04124
1990,Urban regions,Difficult,0.07021,884,1840,0.05853,0.08189
1990,Urban regions,Almost impossible,0.04630,560,1840,0.03670,0.05591
1990,Rural regions,Easy,0.01734,97,647,0.00728,0.02741
1990,Rural regions,Difficult,0.06459,374,647,0.04563,0.08354
1990,Rural regions,Almost impossible,0.03414,176,647,0.02014,0.04815
1991,Urban regions,Easy,0.03099,385,1784,0.02295,0.03903
1991,Urban regions,Difficult,0.06920,848,1784,0.05742,0.08098
1991,Urban regions,Almost impossible,0.04515,551,1784,0.03551,0.05479
1991,Rural regions,Easy,0.02334,121,831,0.01307,0.03361
1991,Rural regions,Difficult,0.07034,446,831,0.05295,0.08774
1991,Rural regions,Almost impossible,0.04565,264,831,0.03145,0.05985
1992,Urban regions,Easy,0.03738,441,1834,0.02870,0.04607
1992,Urban regions,Difficult,0.06960,855,1834,0.05795,0.08125
1992,Urban regions,Almost impossible,0.04459,538,1834,0.03514,0.05404
1992,Rural regions,Easy,0.02753,144,915,0.01692,0.03814
1992,Rural regions,Difficult,0.07875,503,915,0.06129,0.09622
1992,Rural regions,Almost impossible,0.04320,268,915,0.03002,0.05638
1993,Urban regions,Easy,0.02822,322,1917,0.02080,0.03563
1993,Urban regions,Difficult,0.08132,961,1917,0.06908,0.09356
1993,Urban regions,Almost impossible,0.05050,634,1917,0.04070,0.06031
1993,Rural regions,Easy,0.02043,113,1008,0.01170,0.02917
1993,Rural regions,Difficult,0.08255,528,1008,0.06555,0.09955
1993,Rural regions,Almost impossible,0.06185,367,1008,0.04697,0.07673
1994,Urban regions,Easy,0.02495,280,1960,0.01804,0.03186
1994,Urban regions,Difficult,0.08034,988,1960,0.06830,0.09237
1994,Urban regions,Almost impossible,0.05945,692,1960,0.04897,0.06992
1994,Rural regions,Easy,0.01761,108,984,0.00939,0.02584
1994,Rural regions,Difficult,0.08933,540,984,0.07150,0.10716
1994,Rural regions,Almost impossible,0.06126,336,984,0.04627,0.07625
1995,Urban regions,Easy,0.02409,286,2058,0.01746,0.03071
1995,Urban regions,Difficult,0.09062,1094,2058,0.07822,0.10303
1995,Urban regions,Almost impossible,0.05649,678,2058,0.04651,0.06647
1995,Rural regions,Easy,0.01874,109,995,0.01031,0.02717
1995,Rural regions,Difficult,0.08563,560,995,0.06824,0.10303
1995,Rural regions,Almost impossible,0.05756,326,995,0.04308,0.07204
1996,Urban regions,Easy,0.02462,274,1993,0.01781,0.03142
1996,Urban regions,Difficult,0.08455,1029,1993,0.07233,0.09677
1996,Urban regions,Almost impossible,0.05921,690,1993,0.04885,0.06958
1996,Rural regions,Easy,0.01914,118,1021,0.01073,0.02755
1996,Rural regions,Difficult,0.09487,600,1021,0.07689,0.11285
1996,Rural regions,Almost impossible,0.04992,303,1021,0.03655,0.06328
1997,Urban regions,Easy,0.01912,219,1981,0.01309,0.02516
1997,Urban regions,Difficult,0.08880,1064,1981,0.07627,0.10133
1997,Urban regions,Almost impossible,0.05983,698,1981,0.04938,0.07028
1997,Rural regions,Easy,0.01623,93,989,0.00835,0.02411
1997,Rural regions,Difficult,0.09469,577,989,0.07643,0.11294
1997,Rural regions,Almost impossible,0.05876,319,989,0.04410,0.07343
1998,Urban regions,Easy,0.01944,255,2051,0.01346,0.02541
1998,Urban regions,Difficult,0.08629,1091,2051,0.07414,0.09845
1998,Urban regions,Almost impossible,0.05323,705,2051,0.04351,0.06294
1998,Rural regions,Easy,0.01441,101,1084,0.00732,0.02151
1998,Rural regions,Difficult,0.09550,640,1084,0.07799,0.11300
1998,Rural regions,Almost impossible,0.05388,343,1084,0.04044,0.06733
1999,Urban regions,Easy,0.02044,234,1815,0.01393,0.02695
1999,Urban regions,Difficult,0.07615,967,1815,0.06395,0.08836
1999,Urban regions,Almost impossible,0.05046,614,1815,0.04038,0.06053
1999,Rural regions,Easy,0.01713,102,961,0.00892,0.02534
1999,Rural regions,Difficult,0.08438,566,961,0.06680,0.10196
1999,Rural regions,Almost impossible,0.04928,293,961,0.03559,0.06298
2000,Urban regions,Easy,0.02321,489,3123,0.01793,0.02849
2000,Urban regions,Difficult,0.07028,1543,3123,0.06132,0.07925
2000,Urban regions,Almost impossible,0.04904,1091,3123,0.04146,0.05661
2000,Rural regions,Easy,0.02040,211,1638,0.01355,0.02724
2000,Rural regions,Difficult,0.07881,900,1638,0.06576,0.09186
2000,Rural regions,Almost impossible,0.04725,527,1638,0.03697,0.05753
2001,Urban regions,Easy,0.02526,498,2677,0.01931,0.03120
2001,Urban regions,Difficult,0.06592,1267,2677,0.05652,0.07532
2001,Urban regions,Almost impossible,0.04672,912,2677,0.03872,0.05471
2001,Rural regions,Easy,0.02009,195,1463,0.01290,0.02728
2001,Rural regions,Difficult,0.07915,833,1463,0.06531,0.09299
2001,Rural regions,Almost impossible,0.04476,435,1463,0.03416,0.05536
2002,Urban regions,Easy,0.02591,497,2809,0.02003,0.03178
2002,Urban regions,Difficult,0.07148,1408,2809,0.06195,0.08101
2002,Urban regions,Almost impossible,0.04758,904,2809,0.03971,0.05546
2002,Rural regions,Easy,0.01723,199,1463,0.01056,0.02390
2002,Rural regions,Difficult,0.08754,824,1463,0.07305,0.10203
2002,Rural regions,Almost impossible,0.04539,440,1463,0.03472,0.05606
2003,Urban regions,Easy,0.01599,329,1969,0.01045,0.02154
2003,Urban regions,Difficult,0.06730,1222,1969,0.05623,0.07837
2003,Urban regions,Almost impossible,0.02159,418,1969,0.01517,0.02801
2003,Rural regions,Easy,0.01183,116,1105,0.00545,0.01820
2003,Rural regions,Difficult,0.07675,720,1105,0.06105,0.09245
2003,Rural regions,Almost impossible,0.02775,269,1105,0.01806,0.03744
2004,Urban regions,Easy,0.01379,295,2013,0.00869,0.01888
2004,Urban regions,Difficult,0.06805,1256,2013,0.05704,0.07905
2004,Urban regions,Almost impossible,0.02689,462,2013,0.01982,0.03396
2004,Rural regions,Easy,0.01463,132,1150,0.00769,0.02157
2004,Rural regions,Difficult,0.08488,736,1150,0.06877,0.10100
2004,Rural regions,Almost impossible,0.03364,282,1150,0.02321,0.04406
2005,Urban regions,Easy,0.01194,240,1967,0.00714,0.01675
2005,Urban regions,Difficult,0.07542,1229,1967,0.06375,0.08709
2005,Urban regions,Almost impossible,0.02925,498,1967,0.02180,0.03670
2005,Rural regions,Easy,0.00827,85,1090,0.00289,0.01365
2005,Rural regions,Difficult,0.08716,703,1090,0.07041,0.10392
2005,Rural regions,Almost impossible,0.03293,302,1090,0.02233,0.04353
2006,Urban regions,Easy,0.01395,278,1946,0.00874,0.01916
2006,Urban regions,Difficult,0.07174,1208,1946,0.06027,0.08321
2006,Urban regions,Almost impossible,0.02766,460,1946,0.02037,0.03495
2006,Rural regions,Easy,0.01175,115,1109,0.00540,0.01809
2006,Rural regions,Difficult,0.07547,681,1109,0.05991,0.09102
2006,Rural regions,Almost impossible,0.03383,313,1109,0.02318,0.04447
2007,Urban regions,Easy,0.01499,287,1645,0.00912,0.02087
2007,Urban regions,Difficult,0.06310,978,1645,0.05134,0.07485
2007,Urban regions,Almost impossible,0.02538,380,1645,0.01778,0.03298
2007,Rural regions,Easy,0.01141,108,913,0.00452,0.01831
2007,Rural regions,Difficult,0.06484,548,913,0.04886,0.08082
2007,Rural regions,Almost impossible,0.03004,257,913,0.01896,0.04112
2008,Urban regions,Easy,0.01504,268,1440,0.00875,0.02132
2008,Urban regions,Difficult,0.05722,866,1440,0.04522,0.06922
2008,Urban regions,Almost impossible,0.02036,306,1440,0.01306,0.02765
2008,Rural regions,Easy,0.01512,124,831,0.00682,0.02343
2008,Rural regions,Difficult,0.05994,478,831,0.04379,0.07609
2008,Rural regions,Almost impossible,0.02665,229,831,0.01569,0.03761
2009,Urban regions,Easy,0.01740,255,1309,0.01032,0.02449
2009,Urban regions,Difficult,0.05660,760,1309,0.04407,0.06912
2009,Urban regions,Almost impossible,0.02118,294,1309,0.01338,0.02898
2009,Rural regions,Easy,0.01775,125,751,0.00830,0.02721
2009,Rural regions,Difficult,0.05485,428,751,0.03856,0.07115
2009,Rural regions,Almost impossible,0.02639,198,751,0.01492,0.03786
2010,Urban regions,Easy,0.02008,626,2892,0.01496,0.02519
2010,Urban regions,Difficult,0.06317,1661,2892,0.05430,0.07204
2010,Urban regions,Almost impossible,0.02337,605,2892,0.01786,0.02887
2010,Rural regions,Easy,0.01394,256,1461,0.00792,0.01995
2010,Rural regions,Difficult,0.05701,872,1461,0.04511,0.06890
2010,Rural regions,Almost impossible,0.02146,333,1461,0.01402,0.02889
2011,Urban regions,Easy,0.02425,644,2756,0.01851,0.03000
2011,Urban regions,Difficult,0.05187,1540,2756,0.04359,0.06015
2011,Urban regions,Almost impossible,0.01941,572,2756,0.01426,0.02456
2011,Rural regions,Easy,0.01260,249,1487,0.00693,0.01827
2011,Rural regions,Difficult,0.05152,873,1487,0.04028,0.06276
2011,Rural regions,Almost impossible,0.01957,365,1487,0.01253,0.02661
2012,Urban regions,Easy,0.02321,592,2496,0.01730,0.02912
2012,Urban regions,Difficult,0.05581,1378,2496,0.04680,0.06482
2012,Urban regions,Almost impossible,0.01845,526,2496,0.01317,0.02373
2012,Rural regions,Easy,0.01734,272,1383,0.01046,0.02422
2012,Rural regions,Difficult,0.05500,776,1383,0.04298,0.06702
2012,Rural regions,Almost impossible,0.01950,335,1383,0.01221,0.02679
2013,Urban regions,Easy,0.02410,792,3122,0.01872,0.02948
2013,Urban regions,Difficult,0.05163,1672,3122,0.04387,0.05940
2013,Urban regions,Almost impossible,0.01973,658,3122,0.01485,0.02461
2013,Rural regions,Easy,0.01973,299,1483,0.01265,0.02682
2013,Rural regions,Difficult,0.05364,844,1483,0.04216,0.06511
2013,Rural regions,Almost impossible,0.02124,340,1483,0.01390,0.02858
2014,Urban regions,Easy,0.02238,601,2577,0.01667,0.02809
2014,Urban regions,Difficult,0.05401,1397,2577,0.04528,0.06274
2014,Urban regions,Almost impossible,0.02152,579,2577,0.01592,0.02713
2014,Rural regions,Easy,0.01617,253,1252,0.00918,0.02317
2014,Rural regions,Difficult,0.05471,717,1252,0.04211,0.06731
2014,Rural regions,Almost impossible,0.01943,282,1252,0.01178,0.02708
2015,Urban regions,Easy,0.02195,574,2627,0.01635,0.02755
2015,Urban regions,Difficult,0.05353,1462,2627,0.04492,0.06214
2015,Urban regions,Almost impossible,0.01944,591,2627,0.01416,0.02473
2015,Rural regions,Easy,0.01919,281,1272,0.01165,0.02674
2015,Rural regions,Difficult,0.05151,708,1272,0.03936,0.06366
2015,Rural regions,Almost impossible,0.01821,283,1272,0.01086,0.02557
2016,Urban regions,Easy,0.02646,535,2203,0.01975,0.03316
2016,Urban regions,Difficult,0.05033,1177,2203,0.04120,0.05946
2016,Urban regions,Almost impossible,0.01874,491,2203,0.01308,0.02440
2016,Rural regions,Easy,0.01877,244,1030,0.01048,0.02706
2016,Rural regions,Difficult,0.04647,524,1030,0.03361,0.05933
2016,Rural regions,Almost impossible,0.01811,262,1030,0.00996,0.02626
2017,Urban regions,Easy,0.02802,803,3392,0.02247,0.03358
2017,Urban regions,Difficult,0.04944,1951,3392,0.04214,0.05673
2017,Urban regions,Almost impossible,0.02009,638,3392,0.01537,0.02481
2017,Rural regions,Easy,0.01764,315,1475,0.01092,0.02436
2017,Rural regions,Difficult,0.04291,811,1475,0.03256,0.05325
2017,Rural regions,Almost impossible,0.01704,349,1475,0.01044,0.02365
2018,Urban regions,Easy,0.02803,925,3741,0.02274,0.03332
2018,Urban regions,Difficult,0.04524,2156,3741,0.03858,0.05190
2018,Urban regions,Almost impossible,0.01817,660,3741,0.01389,0.02245
2018,Rural regions,Easy,0.01914,317,1563,0.01235,0.02594
2018,Rural regions,Difficult,0.04089,903,1563,0.03107,0.05071
2018,Rural regions,Almost impossible,0.01761,343,1563,0.01109,0.02414
