year,quintil_oecd,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,1st Quintile,Easy,0.02464,85,832,0.01410,0.03518
1987,1st Quintile,Difficult,0.13637,448,832,0.11303,0.15970
1987,1st Quintile,Almost impossible,0.09104,299,832,0.07148,0.11060
1987,2nd Quintile,Easy,0.03166,92,594,0.01757,0.04575
1987,2nd Quintile,Difficult,0.09426,327,594,0.07074,0.11778
1987,2nd Quintile,Almost impossible,0.06115,175,594,0.04187,0.08044
1987,3rd Quintile,Easy,0.02218,67,465,0.00878,0.03558
1987,3rd Quintile,Difficult,0.09863,274,465,0.07150,0.12576
1987,3rd Quintile,Almost impossible,0.04207,124,465,0.02381,0.06034
1987,4th Quintile,Easy,0.02404,65,401,0.00903,0.03905
1987,4th Quintile,Difficult,0.07634,211,401,0.05031,0.10236
1987,4th Quintile,Almost impossible,0.05147,125,401,0.02982,0.07312
1987,5th Quintile,Easy,0.02143,58,294,0.00485,0.03801
1987,5th Quintile,Difficult,0.05915,146,294,0.03214,0.08617
1987,5th Quintile,Almost impossible,0.03839,90,294,0.01639,0.06039
1988,1st Quintile,Easy,0.03234,96,788,0.01998,0.04470
1988,1st Quintile,Difficult,0.12791,402,788,0.10458,0.15125
1988,1st Quintile,Almost impossible,0.08749,290,788,0.06775,0.10723
1988,2nd Quintile,Easy,0.02920,79,543,0.01503,0.04338
1988,2nd Quintile,Difficult,0.09756,305,543,0.07258,0.12254
1988,2nd Quintile,Almost impossible,0.05273,159,543,0.03392,0.07155
1988,3rd Quintile,Easy,0.02882,83,467,0.01363,0.04401
1988,3rd Quintile,Difficult,0.09083,246,467,0.06474,0.11692
1988,3rd Quintile,Almost impossible,0.05765,138,467,0.03649,0.07881
1988,4th Quintile,Easy,0.02293,63,401,0.00826,0.03759
1988,4th Quintile,Difficult,0.08681,220,401,0.05921,0.11440
1988,4th Quintile,Almost impossible,0.04376,118,401,0.02372,0.06381
1988,5th Quintile,Easy,0.01741,40,258,0.00142,0.03340
1988,5th Quintile,Difficult,0.05100,126,258,0.02410,0.07789
1988,5th Quintile,Almost impossible,0.04222,92,258,0.01763,0.06680
1989,1st Quintile,Easy,0.03421,107,725,0.02097,0.04746
1989,1st Quintile,Difficult,0.11449,359,725,0.09130,0.13769
1989,1st Quintile,Almost impossible,0.08250,259,725,0.06246,0.10255
1989,2nd Quintile,Easy,0.03659,103,552,0.02091,0.05227
1989,2nd Quintile,Difficult,0.08730,270,552,0.06373,0.11087
1989,2nd Quintile,Almost impossible,0.05675,179,552,0.03743,0.07606
1989,3rd Quintile,Easy,0.02932,74,402,0.01281,0.04583
1989,3rd Quintile,Difficult,0.08267,202,402,0.05571,0.10962
1989,3rd Quintile,Almost impossible,0.05157,126,402,0.02992,0.07322
1989,4th Quintile,Easy,0.02902,69,340,0.01115,0.04689
1989,4th Quintile,Difficult,0.07125,176,340,0.04386,0.09863
1989,4th Quintile,Almost impossible,0.04035,95,340,0.01940,0.06130
1989,5th Quintile,Easy,0.01458,37,226,-0.00108,0.03024
1989,5th Quintile,Difficult,0.05491,118,226,0.02515,0.08468
1989,5th Quintile,Almost impossible,0.03401,71,226,0.01033,0.05770
