year,age_gr,quintil_oecd,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,1st Quintile,Easy,0.08426,57,358,0.05545,0.11308
1987,17-29 y.,1st Quintile,Difficult,0.34964,229,358,0.30018,0.39911
1987,17-29 y.,1st Quintile,Almost impossible,0.10385,72,358,0.07220,0.13549
1987,17-29 y.,2nd Quintile,Easy,0.09011,48,207,0.05100,0.12921
1987,17-29 y.,2nd Quintile,Difficult,0.20183,159,207,0.14702,0.25664
1987,17-29 y.,3rd Quintile,Easy,0.05891,41,162,0.02254,0.09528
1987,17-29 y.,3rd Quintile,Difficult,0.19440,121,162,0.13327,0.25553
1987,17-29 y.,4th Quintile,Easy,0.04593,36,129,0.00966,0.08219
1987,17-29 y.,4th Quintile,Difficult,0.13440,93,129,0.07531,0.19349
1987,17-29 y.,5th Quintile,Easy,0.05910,33,86,0.00897,0.10923
1987,17-29 y.,5th Quintile,Difficult,0.10667,53,86,0.04105,0.17230
1987,30-45 y.,1st Quintile,Difficult,0.26814,146,228,0.21052,0.32577
1987,30-45 y.,1st Quintile,Almost impossible,0.12037,82,228,0.07804,0.16270
1987,30-45 y.,2nd Quintile,Easy,0.05949,39,209,0.02735,0.09164
1987,30-45 y.,2nd Quintile,Difficult,0.17295,116,209,0.12155,0.22435
1987,30-45 y.,2nd Quintile,Almost impossible,0.08032,54,209,0.04339,0.11726
1987,30-45 y.,3rd Quintile,Difficult,0.15795,90,90,0.08218,0.23372
1987,30-45 y.,4th Quintile,Difficult,0.09508,61,61,0.02086,0.16930
1987,30-45 y.,5th Quintile,Difficult,0.06775,47,47,-0.00488,0.14038
1987,46-65 y.,1st Quintile,Difficult,0.14144,73,204,0.09351,0.18938
1987,46-65 y.,1st Quintile,Almost impossible,0.21779,131,204,0.16101,0.27457
1987,46-65 y.,2nd Quintile,Difficult,0.08867,52,143,0.04191,0.13542
1987,46-65 y.,2nd Quintile,Almost impossible,0.15428,91,143,0.09487,0.21369
1987,46-65 y.,3rd Quintile,Difficult,0.09475,62,130,0.04421,0.14529
1987,46-65 y.,3rd Quintile,Almost impossible,0.10319,68,130,0.05070,0.15569
1987,46-65 y.,4th Quintile,Difficult,0.07465,57,133,0.02981,0.11948
1987,46-65 y.,4th Quintile,Almost impossible,0.10418,76,133,0.05206,0.15630
1987,46-65 y.,5th Quintile,Difficult,0.05983,46,99,0.01287,0.10678
1987,46-65 y.,5th Quintile,Almost impossible,0.06354,53,99,0.01524,0.11184
1988,17-29 y.,1st Quintile,Easy,0.11186,64,334,0.07801,0.14572
1988,17-29 y.,1st Quintile,Difficult,0.30179,198,334,0.25249,0.35109
1988,17-29 y.,1st Quintile,Almost impossible,0.09697,72,334,0.06518,0.12875
1988,17-29 y.,2nd Quintile,Easy,0.10919,53,187,0.06437,0.15401
1988,17-29 y.,2nd Quintile,Difficult,0.24296,134,187,0.18133,0.30460
1988,17-29 y.,3rd Quintile,Easy,0.08072,57,174,0.04012,0.12131
1988,17-29 y.,3rd Quintile,Difficult,0.19135,117,174,0.13273,0.24997
1988,17-29 y.,4th Quintile,Easy,0.06270,43,144,0.02297,0.10243
1988,17-29 y.,4th Quintile,Difficult,0.14759,101,144,0.08945,0.20572
1988,17-29 y.,5th Quintile,Difficult,0.11323,50,50,0.02451,0.20196
1988,30-45 y.,1st Quintile,Difficult,0.28676,148,227,0.22779,0.34572
1988,30-45 y.,1st Quintile,Almost impossible,0.13950,79,227,0.09432,0.18467
1988,30-45 y.,2nd Quintile,Difficult,0.17843,121,170,0.12070,0.23615
1988,30-45 y.,2nd Quintile,Almost impossible,0.06802,49,170,0.03006,0.10598
1988,30-45 y.,3rd Quintile,Difficult,0.13773,79,79,0.06125,0.21420
1988,30-45 y.,4th Quintile,Difficult,0.11466,58,58,0.03194,0.19737
1988,30-45 y.,5th Quintile,Difficult,0.07172,49,49,-0.00127,0.14472
1988,46-65 y.,1st Quintile,Difficult,0.11805,56,188,0.07181,0.16430
1988,46-65 y.,1st Quintile,Almost impossible,0.20618,132,188,0.14820,0.26417
1988,46-65 y.,2nd Quintile,Difficult,0.08847,50,128,0.03908,0.13786
1988,46-65 y.,2nd Quintile,Almost impossible,0.13569,78,128,0.07613,0.19526
1988,46-65 y.,3rd Quintile,Difficult,0.06447,48,133,0.02257,0.10637
1988,46-65 y.,3rd Quintile,Almost impossible,0.13778,85,133,0.07898,0.19658
1988,46-65 y.,4th Quintile,Difficult,0.08814,61,137,0.04049,0.13579
1988,46-65 y.,4th Quintile,Almost impossible,0.09166,76,137,0.04316,0.14015
1988,46-65 y.,5th Quintile,Almost impossible,0.08498,65,65,0.01666,0.15330
1989,17-29 y.,1st Quintile,Easy,0.12778,77,317,0.09097,0.16458
1989,17-29 y.,1st Quintile,Difficult,0.28073,187,317,0.23119,0.33028
1989,17-29 y.,1st Quintile,Almost impossible,0.06439,53,317,0.03733,0.09145
1989,17-29 y.,2nd Quintile,Easy,0.12290,68,227,0.08009,0.16571
1989,17-29 y.,2nd Quintile,Difficult,0.17798,119,227,0.12811,0.22785
1989,17-29 y.,2nd Quintile,Almost impossible,0.05153,40,227,0.02271,0.08036
1989,17-29 y.,3rd Quintile,Easy,0.07211,42,133,0.02798,0.11624
1989,17-29 y.,3rd Quintile,Difficult,0.17650,91,133,0.11146,0.24154
1989,17-29 y.,4th Quintile,Easy,0.07921,45,116,0.02985,0.12858
1989,17-29 y.,4th Quintile,Difficult,0.10992,71,116,0.05275,0.16708
1989,17-29 y.,5th Quintile,Difficult,0.13503,54,54,0.04302,0.22704
1989,30-45 y.,1st Quintile,Difficult,0.26042,122,189,0.19769,0.32315
1989,30-45 y.,1st Quintile,Almost impossible,0.11533,67,189,0.06967,0.16098
1989,30-45 y.,2nd Quintile,Difficult,0.16862,100,149,0.10830,0.22894
1989,30-45 y.,2nd Quintile,Almost impossible,0.07660,49,149,0.03375,0.11945
1989,30-45 y.,3rd Quintile,Difficult,0.13301,71,71,0.05346,0.21257
1989,30-45 y.,4th Quintile,Difficult,0.09009,51,51,0.01073,0.16946
1989,46-65 y.,1st Quintile,Difficult,0.08995,49,181,0.04815,0.13175
1989,46-65 y.,1st Quintile,Almost impossible,0.24179,132,181,0.17924,0.30434
1989,46-65 y.,2nd Quintile,Difficult,0.08229,51,136,0.03593,0.12865
1989,46-65 y.,2nd Quintile,Almost impossible,0.13108,85,136,0.07415,0.18801
1989,46-65 y.,3rd Quintile,Difficult,0.06520,40,114,0.01968,0.11072
1989,46-65 y.,3rd Quintile,Almost impossible,0.12960,74,114,0.06767,0.19153
1989,46-65 y.,4th Quintile,Difficult,0.07876,54,110,0.02819,0.12933
1989,46-65 y.,4th Quintile,Almost impossible,0.07903,56,110,0.02838,0.12967
1989,46-65 y.,5th Quintile,Difficult,0.05212,36,78,0.00248,0.10177
1989,46-65 y.,5th Quintile,Almost impossible,0.06201,42,78,0.00814,0.11587
1990,17-29 y.,1st Quintile,Easy,0.11288,72,290,0.07639,0.14936
1990,17-29 y.,1st Quintile,Difficult,0.25034,159,290,0.20039,0.30029
1990,17-29 y.,1st Quintile,Almost impossible,0.11335,59,290,0.07680,0.14990
1990,17-29 y.,2nd Quintile,Easy,0.11522,68,223,0.07322,0.15722
1990,17-29 y.,2nd Quintile,Difficult,0.18727,115,223,0.13595,0.23859
1990,17-29 y.,2nd Quintile,Almost impossible,0.07479,40,223,0.04019,0.10939
1990,17-29 y.,3rd Quintile,Easy,0.11901,61,143,0.06575,0.17226
1990,17-29 y.,3rd Quintile,Difficult,0.14379,82,143,0.08608,0.20150
1990,17-29 y.,4th Quintile,Easy,0.08519,53,108,0.03229,0.13808
1990,17-29 y.,4th Quintile,Difficult,0.09000,55,108,0.03578,0.14423
1990,17-29 y.,5th Quintile,Easy,0.09958,40,86,0.03592,0.16324
1990,17-29 y.,5th Quintile,Difficult,0.12833,46,86,0.05723,0.19944
1990,30-45 y.,1st Quintile,Difficult,0.22582,113,170,0.16278,0.28886
1990,30-45 y.,1st Quintile,Almost impossible,0.09257,57,170,0.04887,0.13627
1990,30-45 y.,2nd Quintile,Difficult,0.15993,97,97,0.08660,0.23325
1990,30-45 y.,3rd Quintile,Difficult,0.10466,58,58,0.02519,0.18413
1990,30-45 y.,4th Quintile,Difficult,0.07247,40,40,-0.00890,0.15384
1990,46-65 y.,1st Quintile,Difficult,0.11070,58,188,0.06573,0.15568
1990,46-65 y.,1st Quintile,Almost impossible,0.19743,130,188,0.14037,0.25448
1990,46-65 y.,2nd Quintile,Difficult,0.08548,48,128,0.03685,0.13411
1990,46-65 y.,2nd Quintile,Almost impossible,0.15496,80,128,0.09202,0.21790
1990,46-65 y.,3rd Quintile,Difficult,0.07968,49,113,0.02952,0.12983
1990,46-65 y.,3rd Quintile,Almost impossible,0.10280,64,113,0.04655,0.15904
