year,age_gr,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Easy,0.06662,215,1036,0.05143,0.08181
1987,17-29 y.,Difficult,0.19482,656,1036,0.17069,0.21895
1987,17-29 y.,Almost impossible,0.04973,165,1036,0.03648,0.06297
1987,30-45 y.,Easy,0.03547,110,763,0.02234,0.04861
1987,30-45 y.,Difficult,0.14130,460,763,0.11656,0.16603
1987,30-45 y.,Almost impossible,0.05002,193,763,0.03454,0.06550
1987,46-65 y.,Easy,0.01283,40,749,0.00477,0.02090
1987,46-65 y.,Difficult,0.08681,290,749,0.06663,0.10699
1987,46-65 y.,Almost impossible,0.11830,419,749,0.09516,0.14145
1987,66 and older,Almost impossible,0.02952,36,36,-0.02656,0.08560
1988,17-29 y.,Easy,0.08336,242,1009,0.06629,0.10042
1988,17-29 y.,Difficult,0.19661,600,1009,0.17207,0.22114
1988,17-29 y.,Almost impossible,0.05097,167,1009,0.03740,0.06455
1988,30-45 y.,Easy,0.02790,82,705,0.01574,0.04007
1988,30-45 y.,Difficult,0.14671,455,705,0.12057,0.17285
1988,30-45 y.,Almost impossible,0.04783,168,705,0.03206,0.06359
1988,46-65 y.,Easy,0.01265,37,715,0.00445,0.02084
1988,46-65 y.,Difficult,0.07294,242,715,0.05387,0.09202
1988,46-65 y.,Almost impossible,0.12334,436,715,0.09922,0.14746
1989,17-29 y.,Easy,0.08698,250,928,0.06884,0.10512
1989,17-29 y.,Difficult,0.17404,522,928,0.14964,0.19845
1989,17-29 y.,Almost impossible,0.04746,156,928,0.03377,0.06115
1989,30-45 y.,Easy,0.03260,95,632,0.01874,0.04645
1989,30-45 y.,Difficult,0.12747,372,632,0.10145,0.15349
1989,30-45 y.,Almost impossible,0.04589,165,632,0.02957,0.06222
1989,46-65 y.,Easy,0.01476,44,663,0.00558,0.02395
1989,46-65 y.,Difficult,0.07141,230,663,0.05180,0.09103
1989,46-65 y.,Almost impossible,0.11660,389,663,0.09215,0.14105
1990,17-29 y.,Easy,0.09158,338,1149,0.07489,0.10826
1990,17-29 y.,Difficult,0.15335,624,1149,0.13251,0.17420
1990,17-29 y.,Almost impossible,0.05169,187,1149,0.03889,0.06450
1990,30-45 y.,Easy,0.03281,115,631,0.01890,0.04672
1990,30-45 y.,Difficult,0.09669,379,631,0.07361,0.11977
1990,30-45 y.,Almost impossible,0.02867,137,631,0.01564,0.04170
1990,46-65 y.,Easy,0.00972,37,686,0.00237,0.01706
1990,46-65 y.,Difficult,0.06164,254,686,0.04363,0.07965
1990,46-65 y.,Almost impossible,0.09112,395,686,0.06957,0.11267
1991,17-29 y.,Easy,0.09191,334,1128,0.07504,0.10878
1991,17-29 y.,Difficult,0.15290,590,1128,0.13189,0.17392
1991,17-29 y.,Almost impossible,0.05165,204,1128,0.03873,0.06457
1991,30-45 y.,Easy,0.03395,128,723,0.02074,0.04716
1991,30-45 y.,Difficult,0.10668,453,723,0.08416,0.12919
1991,30-45 y.,Almost impossible,0.03085,142,723,0.01824,0.04346
1991,46-65 y.,Easy,0.01223,44,759,0.00441,0.02006
1991,46-65 y.,Difficult,0.06188,259,759,0.04473,0.07903
1991,46-65 y.,Almost impossible,0.10249,456,759,0.08090,0.12408
1992,17-29 y.,Easy,0.11643,387,1159,0.09795,0.13490
1992,17-29 y.,Difficult,0.15620,607,1159,0.13529,0.17711
1992,17-29 y.,Almost impossible,0.04360,165,1159,0.03184,0.05537
1992,30-45 y.,Easy,0.04072,155,808,0.02708,0.05436
1992,30-45 y.,Difficult,0.11095,487,808,0.08928,0.13262
1992,30-45 y.,Almost impossible,0.03570,166,808,0.02290,0.04851
1992,46-65 y.,Easy,0.01256,43,795,0.00482,0.02031
1992,46-65 y.,Difficult,0.06922,278,795,0.05157,0.08688
1992,46-65 y.,Almost impossible,0.10394,474,795,0.08271,0.12517
1993,17-29 y.,Easy,0.08455,284,1176,0.06864,0.10046
1993,17-29 y.,Difficult,0.18558,667,1176,0.16335,0.20781
1993,17-29 y.,Almost impossible,0.05789,225,1176,0.04453,0.07124
1993,30-45 y.,Easy,0.03361,115,803,0.02114,0.04608
1993,30-45 y.,Difficult,0.11881,511,803,0.09641,0.14120
1993,30-45 y.,Almost impossible,0.03478,177,803,0.02210,0.04746
1993,46-65 y.,Easy,0.01027,34,930,0.00378,0.01675
1993,46-65 y.,Difficult,0.07759,308,930,0.06039,0.09479
1993,46-65 y.,Almost impossible,0.13318,588,930,0.11133,0.15502
1994,17-29 y.,Easy,0.08198,247,1177,0.06630,0.09766
1994,17-29 y.,Difficult,0.20708,723,1177,0.18392,0.23024
1994,17-29 y.,Almost impossible,0.05925,207,1177,0.04575,0.07274
1994,30-45 y.,Easy,0.02790,113,826,0.01666,0.03913
1994,30-45 y.,Difficult,0.11914,510,826,0.09703,0.14125
1994,30-45 y.,Almost impossible,0.04440,203,826,0.03034,0.05846
1994,46-65 y.,Difficult,0.07491,295,886,0.05756,0.09225
1994,46-65 y.,Almost impossible,0.14112,591,886,0.11819,0.16406
1995,17-29 y.,Easy,0.07850,237,1200,0.06327,0.09372
