year,age_gr,migback,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,No migration background,Easy,0.06653,154,676,0.04773,0.08533
1987,17-29 y.,No migration background,Difficult,0.18989,416,676,0.16030,0.21948
1987,17-29 y.,No migration background,Almost impossible,0.04809,106,676,0.03195,0.06423
1987,17-29 y.,Direct migration background,Easy,0.05662,44,294,0.03015,0.08308
1987,17-29 y.,Direct migration background,Difficult,0.23915,201,294,0.19031,0.28799
1987,17-29 y.,Direct migration background,Almost impossible,0.06124,49,294,0.03379,0.08870
1987,17-29 y.,Indirect migration background,Difficult,0.21651,39,39,0.08556,0.34747
1987,30-45 y.,No migration background,Easy,0.03602,81,476,0.01927,0.05278
1987,30-45 y.,No migration background,Difficult,0.14196,313,476,0.11058,0.17335
1987,30-45 y.,No migration background,Almost impossible,0.03948,82,476,0.02197,0.05699
1987,30-45 y.,Direct migration background,Difficult,0.13790,145,255,0.09550,0.18031
1987,30-45 y.,Direct migration background,Almost impossible,0.11394,110,255,0.07486,0.15301
1987,46-65 y.,No migration background,Easy,0.01411,33,519,0.00395,0.02426
1987,46-65 y.,No migration background,Difficult,0.09023,222,519,0.06556,0.11490
1987,46-65 y.,No migration background,Almost impossible,0.11388,264,519,0.08653,0.14124
1987,46-65 y.,Direct migration background,Difficult,0.06319,67,220,0.03097,0.09542
1987,46-65 y.,Direct migration background,Almost impossible,0.15453,153,220,0.10666,0.20241
1987,66 and older,No migration background,Almost impossible,0.02787,31,31,-0.03103,0.08677
1988,17-29 y.,No migration background,Easy,0.08381,173,651,0.06251,0.10511
1988,17-29 y.,No migration background,Difficult,0.19499,388,651,0.16453,0.22545
1988,17-29 y.,No migration background,Almost impossible,0.04791,90,651,0.03149,0.06433
1988,17-29 y.,Direct migration background,Easy,0.06774,46,273,0.03788,0.09761
1988,17-29 y.,Direct migration background,Difficult,0.20426,164,273,0.15635,0.25217
1988,17-29 y.,Direct migration background,Almost impossible,0.07095,63,273,0.04044,0.10146
1988,17-29 y.,Indirect migration background,Difficult,0.23395,48,48,0.11292,0.35498
1988,30-45 y.,No migration background,Easy,0.02927,64,450,0.01368,0.04486
1988,30-45 y.,No migration background,Difficult,0.14348,303,450,0.11105,0.17591
1988,30-45 y.,No migration background,Almost impossible,0.04139,83,450,0.02297,0.05982
1988,30-45 y.,Direct migration background,Difficult,0.16875,149,234,0.12066,0.21685
1988,30-45 y.,Direct migration background,Almost impossible,0.09198,85,234,0.05487,0.12908
1988,46-65 y.,No migration background,Easy,0.01378,31,475,0.00329,0.02428
1988,46-65 y.,No migration background,Difficult,0.07302,170,475,0.04960,0.09644
1988,46-65 y.,No migration background,Almost impossible,0.11918,274,475,0.09001,0.14835
1988,46-65 y.,Direct migration background,Difficult,0.07341,70,232,0.03977,0.10704
1988,46-65 y.,Direct migration background,Almost impossible,0.15842,162,232,0.11133,0.20550
1989,17-29 y.,No migration background,Easy,0.08624,173,571,0.06320,0.10929
1989,17-29 y.,No migration background,Difficult,0.16701,314,571,0.13639,0.19763
1989,17-29 y.,No migration background,Almost impossible,0.04383,84,571,0.02702,0.06063
1989,17-29 y.,Direct migration background,Easy,0.07907,46,254,0.04582,0.11232
1989,17-29 y.,Direct migration background,Difficult,0.20149,147,254,0.15206,0.25092
1989,17-29 y.,Direct migration background,Almost impossible,0.08098,61,254,0.04737,0.11460
1989,17-29 y.,Indirect migration background,Easy,0.14278,31,92,0.07090,0.21466
1989,17-29 y.,Indirect migration background,Difficult,0.31241,61,92,0.21718,0.40764
1989,30-45 y.,No migration background,Easy,0.03318,71,411,0.01584,0.05052
1989,30-45 y.,No migration background,Difficult,0.12716,257,411,0.09491,0.15940
1989,30-45 y.,No migration background,Almost impossible,0.03810,83,411,0.01957,0.05663
