year,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,male,Easy,0.01799,145,705,0.00817,0.02781
1987,male,Difficult,0.05153,376,705,0.03520,0.06786
1987,male,Almost impossible,0.02669,184,705,0.01478,0.03859
1987,female,Easy,0.03105,222,1882,0.02321,0.03889
1987,female,Difficult,0.13133,1031,1882,0.11606,0.14659
1987,female,Almost impossible,0.08459,629,1882,0.07201,0.09716
1988,male,Easy,0.02525,155,667,0.01334,0.03717
1988,male,Difficult,0.05060,353,667,0.03395,0.06724
1988,male,Almost impossible,0.02388,159,667,0.01229,0.03548
1988,female,Easy,0.02695,206,1791,0.01945,0.03445
1988,female,Difficult,0.12817,946,1791,0.11269,0.14366
1988,female,Almost impossible,0.08776,639,1791,0.07465,0.10087
1989,male,Easy,0.02315,141,588,0.01098,0.03531
1989,male,Difficult,0.04666,298,588,0.02959,0.06372
1989,male,Almost impossible,0.02164,149,588,0.00987,0.03341
1989,female,Easy,0.03396,249,1657,0.02524,0.04268
1989,female,Difficult,0.11519,827,1657,0.09981,0.13057
1989,female,Almost impossible,0.08231,581,1657,0.06908,0.09555
1990,male,Easy,0.02487,198,692,0.01326,0.03648
1990,male,Difficult,0.03742,327,692,0.02327,0.05157
1990,male,Almost impossible,0.01891,167,692,0.00875,0.02907
1990,female,Easy,0.03088,295,1800,0.02288,0.03887
1990,female,Difficult,0.09720,934,1800,0.08351,0.11089
1990,female,Almost impossible,0.06434,571,1800,0.05300,0.07567
1991,male,Easy,0.02219,192,749,0.01164,0.03275
1991,male,Difficult,0.03700,347,749,0.02347,0.05053
1991,male,Almost impossible,0.02342,210,749,0.01258,0.03425
1991,female,Easy,0.03424,315,1880,0.02602,0.04247
1991,female,Difficult,0.10017,956,1880,0.08660,0.11375
1991,female,Almost impossible,0.06565,609,1880,0.05445,0.07685
1992,male,Easy,0.02632,203,789,0.01514,0.03750
1992,male,Difficult,0.03878,380,789,0.02530,0.05226
1992,male,Almost impossible,0.02518,206,789,0.01424,0.03612
1992,female,Easy,0.04148,383,1981,0.03270,0.05026
1992,female,Difficult,0.10437,993,1981,0.09090,0.11784
1992,female,Almost impossible,0.06183,605,1981,0.05122,0.07244
1993,male,Easy,0.01977,154,917,0.01075,0.02878
1993,male,Difficult,0.05172,457,917,0.03737,0.06606
1993,male,Almost impossible,0.03397,306,917,0.02224,0.04570
