year,quintil_oecd,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.04538,173,2879,0.03778,0.05298
2009,1st Quintile,No,0.77356,2706,2879,0.75827,0.78885
2009,2nd Quintile,Yes,0.03708,146,3166,0.03049,0.04366
2009,2nd Quintile,No,0.77050,3020,3166,0.75585,0.78515
2009,3rd Quintile,Yes,0.04503,183,3434,0.03809,0.05197
2009,3rd Quintile,No,0.79557,3251,3434,0.78208,0.80906
2009,4th Quintile,Yes,0.04482,174,3732,0.03818,0.05146
2009,4th Quintile,No,0.80818,3558,3732,0.79555,0.82081
2009,5th Quintile,Yes,0.03998,193,4802,0.03444,0.04552
2009,5th Quintile,No,0.85803,4609,4802,0.84816,0.86791
2011,1st Quintile,Yes,0.04326,150,2462,0.03522,0.05130
2011,1st Quintile,No,0.62955,2312,2462,0.61047,0.64863
2011,2nd Quintile,Yes,0.03998,136,2762,0.03267,0.04729
2011,2nd Quintile,No,0.67786,2626,2762,0.66043,0.69529
2011,3rd Quintile,Yes,0.04600,180,3070,0.03859,0.05341
2011,3rd Quintile,No,0.73414,2890,3070,0.71851,0.74977
2011,4th Quintile,Yes,0.04521,169,3218,0.03803,0.05238
2011,4th Quintile,No,0.75917,3049,3218,0.74440,0.77395
2011,5th Quintile,Yes,0.04621,188,4150,0.03982,0.05260
2011,5th Quintile,No,0.80351,3962,4150,0.79142,0.81560
2013,1st Quintile,Yes,0.05085,224,3103,0.04312,0.05858
2013,1st Quintile,No,0.65845,2879,3103,0.64176,0.67514
2013,2nd Quintile,Yes,0.04375,195,3436,0.03691,0.05059
2013,2nd Quintile,No,0.70365,3241,3436,0.68838,0.71892
2013,3rd Quintile,Yes,0.05672,240,3592,0.04916,0.06429
2013,3rd Quintile,No,0.72275,3352,3592,0.70811,0.73739
2013,4th Quintile,Yes,0.04334,216,3938,0.03698,0.04970
2013,4th Quintile,No,0.77674,3722,3938,0.76373,0.78975
2013,5th Quintile,Yes,0.05198,253,4793,0.04569,0.05826
2013,5th Quintile,No,0.81274,4540,4793,0.80169,0.82378
2015,1st Quintile,Yes,0.06088,361,5007,0.05426,0.06750
2015,1st Quintile,No,0.73517,4646,5007,0.72295,0.74740
2015,2nd Quintile,Yes,0.05739,342,5281,0.05112,0.06366
2015,2nd Quintile,No,0.76952,4939,5281,0.75816,0.78088
2015,3rd Quintile,Yes,0.05281,292,4880,0.04653,0.05909
2015,3rd Quintile,No,0.78563,4588,4880,0.77412,0.79715
2015,4th Quintile,Yes,0.04614,278,4767,0.04018,0.05210
2015,4th Quintile,No,0.81669,4489,4767,0.80570,0.82767
2015,5th Quintile,Yes,0.05414,256,5101,0.04793,0.06035
2015,5th Quintile,No,0.84227,4845,5101,0.83226,0.85227
2017,1st Quintile,Yes,0.06683,379,4676,0.05967,0.07399
2017,1st Quintile,No,0.70103,4297,4676,0.68791,0.71415
2017,2nd Quintile,Yes,0.05561,298,4851,0.04916,0.06206
2017,2nd Quintile,No,0.77392,4553,4851,0.76215,0.78570
2017,3rd Quintile,Yes,0.06196,304,4415,0.05485,0.06908
2017,3rd Quintile,No,0.77496,4111,4415,0.76264,0.78728
2017,4th Quintile,Yes,0.04354,255,4340,0.03747,0.04961
2017,4th Quintile,No,0.83287,4085,4340,0.82176,0.84397
2017,5th Quintile,Yes,0.05222,235,4554,0.04576,0.05868
2017,5th Quintile,No,0.84035,4319,4554,0.82971,0.85099
2019,1st Quintile,Yes,0.06712,377,4398,0.05972,0.07451
2019,1st Quintile,No,0.69233,4021,4398,0.67868,0.70597
2019,2nd Quintile,Yes,0.06746,357,4763,0.06034,0.07459
2019,2nd Quintile,No,0.75008,4406,4763,0.73779,0.76238
2019,3rd Quintile,Yes,0.05950,317,4509,0.05259,0.06641
2019,3rd Quintile,No,0.77865,4192,4509,0.76653,0.79077
2019,4th Quintile,Yes,0.05646,283,4270,0.04954,0.06339
2019,4th Quintile,No,0.80028,3987,4270,0.78828,0.81227
2019,5th Quintile,Yes,0.05495,306,4786,0.04849,0.06140
2019,5th Quintile,No,0.84313,4480,4786,0.83282,0.85343
2021,1st Quintile,Yes,0.08072,384,4717,0.07295,0.08850
2021,1st Quintile,No,0.70780,4333,4717,0.69482,0.72078
2021,2nd Quintile,Yes,0.05570,262,3582,0.04819,0.06321
2021,2nd Quintile,No,0.74701,3320,3582,0.73277,0.76125
2021,3rd Quintile,Yes,0.08245,259,3034,0.07266,0.09224
2021,3rd Quintile,No,0.73235,2775,3034,0.71659,0.74811
2021,4th Quintile,Yes,0.07053,255,3246,0.06172,0.07934
2021,4th Quintile,No,0.78430,2991,3246,0.77015,0.79845
2021,5th Quintile,Yes,0.06312,310,4281,0.05583,0.07040
2021,5th Quintile,No,0.80541,3971,4281,0.79355,0.81728
