year,age_gr,bula_h,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,No,0.88952,80,80,0.82039,0.95865
2009,17-29 y.,Hamburg,No,0.92021,54,54,0.84726,0.99316
2009,17-29 y.,Lower Saxony,No,0.91710,214,214,0.88007,0.95413
2009,17-29 y.,North Rhine-Westphalia,No,0.88580,513,513,0.85825,0.91335
2009,17-29 y.,Hesse,No,0.87222,172,172,0.82218,0.92226
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.83987,149,149,0.78078,0.89895
2009,17-29 y.,Baden-Wuerttemberg,No,0.85919,380,380,0.82417,0.89421
2009,17-29 y.,Bavaria,No,0.88292,395,395,0.85117,0.91467
2009,17-29 y.,Berlin,No,0.81345,104,104,0.73822,0.88868
2009,17-29 y.,Brandenburg,No,0.94498,103,103,0.90073,0.98923
2009,17-29 y.,Mecklenburg-Western Pomerania,No,0.87283,57,57,0.78556,0.96009
2009,17-29 y.,Saxony,No,0.93754,214,214,0.90504,0.97004
2009,17-29 y.,Saxony-Anhalt,No,0.96896,131,131,0.93915,0.99877
2009,17-29 y.,Thuringa,No,0.93024,129,129,0.88610,0.97437
2009,30-45 y.,Schleswig-Holstein,No,0.93036,102,102,0.88072,0.98000
2009,30-45 y.,Hamburg,No,0.92364,60,60,0.85587,0.99141
2009,30-45 y.,Lower Saxony,No,0.91860,424,424,0.89254,0.94466
2009,30-45 y.,Bremen,No,0.91103,37,37,0.81803,1.00403
2009,30-45 y.,North Rhine-Westphalia,Yes,0.04280,45,1000,0.03025,0.05535
2009,30-45 y.,North Rhine-Westphalia,No,0.95720,955,1000,0.94465,0.96975
2009,30-45 y.,Hesse,No,0.93720,296,296,0.90951,0.96488
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.92163,232,232,0.88697,0.95629
2009,30-45 y.,Baden-Wuerttemberg,No,0.97540,561,561,0.96257,0.98823
2009,30-45 y.,Bavaria,Yes,0.05008,44,724,0.03419,0.06598
2009,30-45 y.,Bavaria,No,0.94992,680,724,0.93402,0.96581
2009,30-45 y.,Berlin,No,0.91646,146,146,0.87143,0.96150
2009,30-45 y.,Brandenburg,No,0.97849,181,181,0.95730,0.99968
2009,30-45 y.,Mecklenburg-Western Pomerania,No,0.86966,101,101,0.80367,0.93565
2009,30-45 y.,Saxony,No,0.95546,319,319,0.93278,0.97813
2009,30-45 y.,Saxony-Anhalt,No,0.95204,162,162,0.91904,0.98505
2009,30-45 y.,Thuringa,No,0.98291,190,190,0.96443,1.00139
2009,46-65 y.,Schleswig-Holstein,No,0.93139,169,169,0.89317,0.96962
2009,46-65 y.,Hamburg,No,0.95687,74,74,0.91027,1.00347
2009,46-65 y.,Lower Saxony,No,0.97544,511,511,0.96200,0.98887
2009,46-65 y.,Bremen,No,0.99484,38,38,0.97174,1.01793
2009,46-65 y.,North Rhine-Westphalia,Yes,0.05160,63,1238,0.03927,0.06392
2009,46-65 y.,North Rhine-Westphalia,No,0.94840,1175,1238,0.93608,0.96073
2009,46-65 y.,Hesse,No,0.96255,445,445,0.94489,0.98021
2009,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.97109,385,385,0.95433,0.98785
2009,46-65 y.,Baden-Wuerttemberg,No,0.95233,647,647,0.93590,0.96876
2009,46-65 y.,Bavaria,No,0.96546,891,891,0.95346,0.97746
2009,46-65 y.,Berlin,No,0.92678,248,248,0.89430,0.95927
2009,46-65 y.,Brandenburg,No,0.95563,272,272,0.93111,0.98015
2009,46-65 y.,Mecklenburg-Western Pomerania,No,0.97457,186,186,0.95189,0.99726
2009,46-65 y.,Saxony,No,0.95645,469,469,0.93796,0.97494
2009,46-65 y.,Saxony-Anhalt,No,0.95713,272,272,0.93302,0.98125
2009,46-65 y.,Thuringa,No,0.93394,277,277,0.90463,0.96324
2009,66 and older,Schleswig-Holstein,No,0.94373,131,131,0.90412,0.98334
2009,66 and older,Hamburg,No,0.93771,62,62,0.87706,0.99836
2009,66 and older,Lower Saxony,No,0.94339,396,396,0.92060,0.96618
2009,66 and older,North Rhine-Westphalia,Yes,0.05100,43,853,0.03623,0.06577
2009,66 and older,North Rhine-Westphalia,No,0.94900,810,853,0.93423,0.96377
2009,66 and older,Hesse,No,0.95167,233,233,0.92407,0.97927
2009,66 and older,"Rhineland-Palatinate, Saarland",No,0.95908,210,210,0.93222,0.98594
2009,66 and older,Baden-Wuerttemberg,Yes,0.07804,31,448,0.05318,0.10291
2009,66 and older,Baden-Wuerttemberg,No,0.92196,417,448,0.89709,0.94682
2009,66 and older,Bavaria,No,0.94634,530,530,0.92714,0.96554
2009,66 and older,Berlin,No,0.94478,138,138,0.90653,0.98303
2009,66 and older,Brandenburg,No,0.96099,205,205,0.93442,0.98756
2009,66 and older,Mecklenburg-Western Pomerania,No,0.96857,105,105,0.93504,1.00210
2009,66 and older,Saxony,No,0.94022,308,308,0.91370,0.96674
2009,66 and older,Saxony-Anhalt,No,0.92012,169,169,0.87912,0.96111
2009,66 and older,Thuringa,No,0.92555,194,194,0.88851,0.96258
2011,17-29 y.,Schleswig-Holstein,No,0.77185,114,114,0.69447,0.84922
2011,17-29 y.,Hamburg,No,0.81089,48,48,0.69894,0.92285
2011,17-29 y.,Lower Saxony,No,0.74109,225,225,0.68373,0.79846
2011,17-29 y.,North Rhine-Westphalia,Yes,0.04579,35,608,0.02916,0.06242
2011,17-29 y.,North Rhine-Westphalia,No,0.77492,573,608,0.74170,0.80815
2011,17-29 y.,Hesse,No,0.79379,180,180,0.73452,0.85306
