year,migback,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.04492,765,15653,0.04168,0.04817
2009,No migration background,No,0.81204,14888,15653,0.80592,0.81816
2009,Direct migration background,Yes,0.03575,73,1659,0.02681,0.04468
2009,Direct migration background,No,0.94023,1586,1659,0.92882,0.95164
2009,Indirect migration background,Yes,0.02547,31,706,0.01384,0.03710
2009,Indirect migration background,No,0.50429,675,706,0.46739,0.54120
2011,No migration background,Yes,0.04556,966,17940,0.04251,0.04862
2011,No migration background,No,0.74625,16974,17940,0.73988,0.75262
2011,Direct migration background,Yes,0.03313,89,2015,0.02532,0.04095
2011,Direct migration background,No,0.79619,1926,2015,0.77859,0.81378
2011,Indirect migration background,Yes,0.03059,51,790,0.01857,0.04261
2011,Indirect migration background,No,0.36904,739,790,0.33537,0.40271
2013,No migration background,Yes,0.04997,998,16436,0.04664,0.05330
2013,No migration background,No,0.74154,15438,16436,0.73485,0.74823
2013,Direct migration background,Yes,0.02663,81,1730,0.01904,0.03422
2013,Direct migration background,No,0.47671,1649,1730,0.45317,0.50025
2013,Indirect migration background,Yes,0.01896,49,700,0.00885,0.02907
2013,Indirect migration background,No,0.22315,651,700,0.19228,0.25401
2015,No migration background,Yes,0.05504,1218,19063,0.05180,0.05827
2015,No migration background,No,0.80523,17845,19063,0.79960,0.81085
2015,Direct migration background,Yes,0.04414,193,4415,0.03808,0.05020
2015,Direct migration background,No,0.79209,4222,4415,0.78012,0.80406
2015,Indirect migration background,Yes,0.04719,118,1562,0.03667,0.05771
2015,Indirect migration background,No,0.43481,1444,1562,0.41021,0.45940
2017,No migration background,Yes,0.06001,1395,20158,0.05673,0.06329
2017,No migration background,No,0.80010,18763,20158,0.79458,0.80562
2017,Direct migration background,Yes,0.04764,213,4754,0.04159,0.05370
2017,Direct migration background,No,0.85660,4541,4754,0.84663,0.86656
2017,Indirect migration background,Yes,0.04181,122,1637,0.03211,0.05150
2017,Indirect migration background,No,0.46556,1515,1637,0.44139,0.48973
2019,No migration background,Yes,0.06453,1521,20183,0.06114,0.06792
2019,No migration background,No,0.79420,18662,20183,0.78862,0.79977
2019,Direct migration background,Yes,0.05051,191,3963,0.04369,0.05733
2019,Direct migration background,No,0.84940,3772,3963,0.83827,0.86054
2019,Indirect migration background,Yes,0.04842,126,1579,0.03783,0.05901
2019,Indirect migration background,No,0.46482,1453,1579,0.44022,0.48943
2021,No migration background,Yes,0.07308,1139,13109,0.06863,0.07754
2021,No migration background,No,0.77483,11970,13109,0.76767,0.78198
2021,Direct migration background,Yes,0.06629,244,5120,0.05948,0.07311
2021,Direct migration background,No,0.85578,4876,5120,0.84616,0.86540
2021,Indirect migration background,Yes,0.05019,94,935,0.03619,0.06419
2021,Indirect migration background,No,0.42592,841,935,0.39420,0.45763
